GSE_ID,GPL_ID,nMuestras_GPL,nMuestas_adiposo,indicadorMT,ESTADO,criterio_de_exclusion
GSE27916,GPL570,375,375,MONOTEJIDO,INCLUIDO,
GSE13070,GPL570,364,84,MULTITEJIDO,INCLUIDO,
GSE17170,GPL570,70,70,MONOTEJIDO,INCLUIDO,
GSE41168,GPL570,140,70,MULTITEJIDO,INCLUIDO,
GSE39117,GPL570,54,54,MONOTEJIDO,INCLUIDO,
GSE39118,GPL570,54,54,MONOTEJIDO,EXCLUIDO,2
GSE26339,GPL570,50,50,MONOTEJIDO,INCLUIDO,
GSE115799,GPL570,49,49,MONOTEJIDO,INCLUIDO,
GSE13506,GPL570,49,49,MONOTEJIDO,INCLUIDO,
GSE28005,GPL570,38,38,MONOTEJIDO,INCLUIDO,
GSE66159,GPL570,76,38,MULTITEJIDO,EXCLUIDO,2
GSE66162,GPL570,150,38,MULTITEJIDO,INCLUIDO,
GSE27949,GPL570,33,33,MONOTEJIDO,INCLUIDO,
GSE27951,GPL570,33,33,MONOTEJIDO,EXCLUIDO,2
GSE88837,GPL570,30,30,MONOTEJIDO,INCLUIDO,
GSE133346,GPL570,24,24,MONOTEJIDO,INCLUIDO,
GSE71416,GPL570,20,20,MONOTEJIDO,INCLUIDO,
GSE27657,GPL570,18,18,MONOTEJIDO,INCLUIDO,
GSE61302,GPL570,15,15,MONOTEJIDO,INCLUIDO,
GSE9624,GPL570,11,11,MONOTEJIDO,INCLUIDO,
GSE17090,GPL570,10,10,MONOTEJIDO,INCLUIDO,
GSE120196,GPL570,10,10,MONOTEJIDO,INCLUIDO,
GSE3526,GPL570,353,10,MULTITEJIDO,INCLUIDO,
GSE124226,GPL570,8,8,MONOTEJIDO,EXCLUIDO,3
GSE98421,GPL570,8,8,MONOTEJIDO,EXCLUIDO,3
GSE26626,GPL570,4,4,MONOTEJIDO,EXCLUIDO,3
GSE66084,GPL570,12,3,MULTITEJIDO,EXCLUIDO,3
GSE20033,GPL570,19,3,MULTITEJIDO,EXCLUIDO,3
GSE18391,GPL570,2,2,MONOTEJIDO,EXCLUIDO,3
GSE19238,GPL570,2,2,MONOTEJIDO,EXCLUIDO,3
GSE12843,GPL570,4,2,MULTITEJIDO,EXCLUIDO,3
GSE37896,GPL570,8,2,MULTITEJIDO,EXCLUIDO,3
GSE43346,GPL570,68,1,MULTITEJIDO,EXCLUIDO,3
GSE99316,GPL570,68,1,MULTITEJIDO,EXCLUIDO,3
GSE2109,GPL570,2158,1,MULTITEJIDO,EXCLUIDO,3
GSE34200,GPL570,12,0,MULTITEJIDO,EXCLUIDO,1
GSE17312,GPL570,17,0,MULTITEJIDO,EXCLUIDO,1
GSE25402,GPL6244,92,92,MONOTEJIDO,EXCLUIDO,2
GSE25401,GPL6244,56,56,MONOTEJIDO,INCLUIDO,
GSE70529,GPL6244,36,36,MONOTEJIDO,INCLUIDO,
GSE62832,GPL6244,36,36,MONOTEJIDO,INCLUIDO,
GSE25910,GPL6244,36,36,MONOTEJIDO,INCLUIDO,
GSE20571,GPL6244,27,27,MONOTEJIDO,INCLUIDO,
GSE37324,GPL6244,26,26,MONOTEJIDO,INCLUIDO,
GSE33070,GPL6244,26,26,MONOTEJIDO,INCLUIDO,
GSE73655,GPL6244,20,20,MONOTEJIDO,INCLUIDO,
GSE34302,GPL6244,20,20,MONOTEJIDO,INCLUIDO,
GSE41223,GPL6244,20,20,MONOTEJIDO,INCLUIDO,
GSE38792,GPL6244,18,18,MONOTEJIDO,INCLUIDO,
GSE54280,GPL6244,12,12,MONOTEJIDO,INCLUIDO,
GSE59325,GPL6244,10,10,MONOTEJIDO,INCLUIDO,
GSE56635,GPL6244,6,0,MULTITEJIDO,EXCLUIDO,1
GSE58559,GPL10558,170,170,MONOTEJIDO,INCLUIDO,
GSE65221,GPL10558,136,136,MONOTEJIDO,INCLUIDO,
GSE72158,GPL10558,84,84,MONOTEJIDO,INCLUIDO,
GSE119717,GPL10558,119,60,MULTITEJIDO,INCLUIDO,
GSE115645,GPL10558,24,24,MONOTEJIDO,INCLUIDO,
GSE73108,GPL10558,12,12,MONOTEJIDO,INCLUIDO,
GSE42809,GPL10558,12,12,MONOTEJIDO,INCLUIDO,
GSE133803,GPL10558,6,6,MONOTEJIDO,EXCLUIDO,3
GSE42523,GPL10558,6,6,MONOTEJIDO,EXCLUIDO,3
GSE48774,GPL10558,9,6,MULTITEJIDO,EXCLUIDO,3
GSE42560,GPL10558,6,6,MONOTEJIDO,EXCLUIDO,3
GSE55695,GPL10558,12,3,MULTITEJIDO,EXCLUIDO,3
GSE130393,GPL10558,8,0,MONOTEJIDO,EXCLUIDO,1
GSE53081,GPL10558,24,0,MULTITEJIDO,EXCLUIDO,1
GSE32512,GPL6947,204,204,MONOTEJIDO,INCLUIDO,
GSE27666,GPL6947,175,175,MONOTEJIDO,INCLUIDO,
GSE22070,GPL6947,142,142,MONOTEJIDO,INCLUIDO,
GSE43471,GPL6947,96,96,MONOTEJIDO,INCLUIDO,
GSE27121,GPL6947,70,70,MONOTEJIDO,INCLUIDO,
GSE112307,GPL6947,54,54,MONOTEJIDO,INCLUIDO,
GSE23506,GPL6947,36,36,MONOTEJIDO,INCLUIDO,
GSE29231,GPL6947,24,24,MONOTEJIDO,INCLUIDO,
GSE29226,GPL6947,24,24,MONOTEJIDO,INCLUIDO,
GSE22651,GPL6947,65,3,MULTITEJIDO,EXCLUIDO,3
GSE30652,GPL6947,239,2,MULTITEJIDO,EXCLUIDO,3
GSE30654,GPL6947,239,2,MULTITEJIDO,EXCLUIDO,3
