Estudio,Plataforma,N.º de muestras de tejido adiposo,indicadorMT,Muestras de tejido adiposo
GSE120196,GPL570,10,MONOTEJIDO,ALL
GSE115799,GPL570,49,MONOTEJIDO,ALL
GSE13070,GPL570,84,MULTITEJIDO,"'GSM342612', 'GSM342613', 'GSM342618', 'GSM342619', 'GSM342624', 'GSM342625', 'GSM342630', 'GSM342631', 'GSM342636', 'GSM342637', 'GSM342640', 'GSM342641', 'GSM342646', 'GSM342647', 'GSM342652', 'GSM342657', 'GSM342658', 'GSM342663', 'GSM342664', 'GSM3426"
GSE133346,GPL570,24,MONOTEJIDO,ALL
GSE13506,GPL570,49,MONOTEJIDO,ALL
GSE17090,GPL570,10,MONOTEJIDO,ALL
GSE17170,GPL570,70,MONOTEJIDO,ALL
GSE26339,GPL570,50,MONOTEJIDO,ALL
GSE27657,GPL570,18,MONOTEJIDO,ALL
GSE27916,GPL570,375,MONOTEJIDO,ALL
GSE27949,GPL570,33,MONOTEJIDO,ALL
GSE28005,GPL570,38,MONOTEJIDO,ALL
GSE3526,GPL570,10,MULTITEJIDO,"'GSM80561', 'GSM80562', 'GSM80563', 'GSM80564', 'GSM80580', 'GSM80583', 'GSM80584', 'GSM80588', 'GSM80589', 'GSM80590'"
GSE39117,GPL570,54,MONOTEJIDO,ALL
GSE41168,GPL570,70,MULTITEJIDO,"'GSM1009752', 'GSM1009753', 'GSM1009756', 'GSM1009757', 'GSM1009760', 'GSM1009761', 'GSM1009764', 'GSM1009765', 'GSM1009768', 'GSM1009769', 'GSM1009772', 'GSM1009773', 'GSM1009776', 'GSM1009777', 'GSM1009778', 'GSM1009779', 'GSM1009782', 'GSM1009783', 'GS"
GSE61302,GPL570,15,MONOTEJIDO,ALL
GSE66159,GPL570,38,MULTITEJIDO,"'GSM1615577', 'GSM1615578', 'GSM1615579', 'GSM1615580', 'GSM1615581', 'GSM1615582', 'GSM1615583', 'GSM1615584', 'GSM1615585', 'GSM1615586', 'GSM1615587', 'GSM1615588', 'GSM1615589', 'GSM1615590', 'GSM1615591', 'GSM1615592', 'GSM1615593', 'GSM1615594', 'GS"
GSE71416,GPL570,20,MONOTEJIDO,ALL
GSE88837,GPL570,30,MONOTEJIDO,ALL
GSE9624,GPL570,11,MONOTEJIDO,ALL
GSE25401,GPL6244,56,MONOTEJIDO,ALL
GSE70529,GPL6244,36,MONOTEJIDO,ALL
GSE62832,GPL6244,36,MONOTEJIDO,ALL
GSE25910,GPL6244,36,MONOTEJIDO,ALL
GSE20571,GPL6244,27,MONOTEJIDO,ALL
GSE37324,GPL6244,26,MONOTEJIDO,ALL
GSE33070,GPL6244,26,MONOTEJIDO,ALL
GSE73655,GPL6244,20,MONOTEJIDO,ALL
GSE34302,GPL6244,20,MONOTEJIDO,ALL
GSE41223,GPL6244,20,MONOTEJIDO,ALL
GSE38792,GPL6244,18,MONOTEJIDO,ALL
GSE54280,GPL6244,12,MONOTEJIDO,ALL
GSE59325,GPL6244,10,MONOTEJIDO,ALL
GSE73108,GPL10558,12,MONOTEJIDO,ALL
GSE72158,GPL10558,84,MONOTEJIDO,ALL
GSE65221,GPL10558,136,MONOTEJIDO,ALL
GSE58559,GPL10558,170,MONOTEJIDO,ALL
GSE42809,GPL10558,12,MONOTEJIDO,ALL
GSE119717,GPL10558,60,MULTITEJIDO,"'GSM3381381', 'GSM3381382', 'GSM3381383', 'GSM3381384', 'GSM3381389', 'GSM3381391', 'GSM3381397', 'GSM3381398', 'GSM3381401', 'GSM3381402', 'GSM3381404', 'GSM3381405', 'GSM3381408', 'GSM3381409', 'GSM3381410', 'GSM3381412', 'GSM3381413', 'GSM3381416', 'GS"
GSE115645,GPL10558,24,MONOTEJIDO,ALL
GSE43471,GPL6947,96,MONOTEJIDO,ALL
GSE32512,GPL6947,204,MONOTEJIDO,ALL
GSE29231,GPL6947,24,MONOTEJIDO,ALL
GSE29226,GPL6947,24,MONOTEJIDO,ALL
GSE27666,GPL6947,175,MONOTEJIDO,ALL
GSE27121,GPL6947,70,MONOTEJIDO,ALL
GSE23506,GPL6947,36,MONOTEJIDO,ALL
GSE22070,GPL6947,142,MONOTEJIDO,ALL
GSE112307,GPL6947,54,MONOTEJIDO,ALL
