"Gene","metaRanking","RP"
"RNA28S5",1,1.189
"MT-RNR1",2,2.378
"LOC101928826",3,3.568
"CYTB",4,5.03
"RP5-882O7.1",5,9.212
"LOC100129158",6,10.67
"RN7SKP9",7,12.9
"LOC100129141",8,14.46
"RPS11P5",9,16.52
"COX1",10,17.66
"ND3",11,18.59
"LOC100508408",12,19.1
"CHMP4BP1",13,21.26
"LOC728576",14,23.07
"COX2",15,23.17
"LOC440027",16,25.11
"LOC391777",17,26.19
"RN7SL674P",18,28.19
"LOC649076",19,30.13
"LOC389101",20,31.18
"LOC648729",21,37.23
"RP6-11O7.2",22,38.51
"ND4",23,40.59
"ACTBP2",24,42.84
"LOC100133224",25,44.12
"ND5",26,45.77
"MYL8P",27,49.4
"LOC643863",28,51.25
"LOC645296",29,52.33
"LOC645715",30,53.57
"ACTG1P1",31,56.15
"MIR4485",32,59.31
"LOC728517",33,61.19
"MYL12B",34,62.84
"KLRAQ1",35,66.26
"LOC647276",36,67.54
"UBBP4",37,70.54
"LOC653162",38,71.99
"LOC284393",39,75.06
"LOC728533",40,76.82
"POTEF",41,78.08
"LOC647099",42,80.87
"TMED7-TICAM2",43,84.12
"POTEJ",44,85.57
"ZC3H11B",45,89.38
"LOC100129979",46,92.65
"LOC441484",47,94.58
"LOC728693",48,104
"RPS2P7",49,107.9
"LOC100130553",50,109.2
"LOC728467",51,110.7
"LOC100133876",52,112.5
"ND1",53,115.3
"RPL41",54,117.3
"RN7SL396P",55,118.9
"LOC645515",56,122
"C22orf40",57,125.4
"HIST2H2BC",58,129
"HIST3H2BA",59,130.3
"RPL12P1",60,134.4
"MIR1244-3",61,136.2
"LOC643856",62,140.3
"EEF1A1",63,142.3
"YBX1P10",64,143.1
"FLJ10661",65,144.6
"LOC100128533",66,149.4
"LOC728368",67,160.2
"RPL3",68,163.2
"LOC100130550",69,168
"FLJ33630",70,169.5
"LOC552889",71,172.2
"LOC440575",72,173.6
"LOC400013",73,174.8
"LOC101929087",74,186.9
"LOC389223",75,188.3
"IST1",76,191.2
"LOC643123",77,191.7
"LOC100129758",78,194.7
"C3orf75",79,199.1
"TPM3P9",80,202.3
"NELFCD",81,204.6
"LOC645174",82,204.9
"RNU6-283P",83,208.1
"LOC644363",84,210.6
"RAC1P2",85,212.8
"LOC100133478",86,215.5
"PPIAL4A",87,216.8
"EEF1A1P11",88,220.8
"METTL16",89,222.5
"RP13-258O15.1",90,226
"LOC728597",91,227.3
"FAM75C1",92,235.3
"LOC644745",93,245.4
"FAM75A4",94,247.5
"LOC389404",95,248.8
"PTGES3L-AARSD1",96,252.9
"LOC343184",97,254.4
"RNU6-1261P",98,259.3
"LOC100131737",99,264.7
"TEN1-CDK3",100,266.7
"YBX1P1",101,268.7
"RNASEK-C17orf49",102,271.9
"LOC653881",103,273.9
"LOC100133931",104,278.9
"CTDNEP1",105,280.4
"RN7SL156P",106,280.5
"LOC646438",107,285.2
"LOC642446",108,287.3
"LOC100129413",109,290
"LOC439953",110,291.7
"PTMAP4",111,299.6
"TMA7",112,305.1
"LOC729903",113,309.1
"LOC391044",114,314.4
"RPL13AP25",115,317
"CDC42P6",116,319.4
"LOC100130426",117,323.3
"KRT18P40",118,325.7
"NCRNA00161",119,329.3
"RNU6-1218P",120,330.8
"DDX39B",121,332.6
"LOC729402",122,334.4
"TRAJ41",123,337.2
"RPL22P11",124,340.8
"RPL13AP5",125,342.1
"LOC728975",126,346
"LOC389873",127,347.9
"LOC100131199",128,350.6
"LOC100131257",129,355.6
"CYSTM1",130,357.8
"LOC389328",131,363.9
"TMEM110-MUSTN1",132,365.8
"HNRNPK",133,366.7
"LOC646784",134,368.8
"DUB4",135,373.6
"INO80",136,374.5
"MT-TF",137,376.9
"LOC646934",138,379.9
"KIAA1310",139,384.2
"ACTBP7",140,385.7
"RPL34P34",141,396.2
"LOC100130262",142,398.1
"PRSS29P",143,401.2
"RPL4P4",144,403.3
"COX3",145,403.6
"LOC645978",146,405.9
"LOC728098",147,409
"LOC440043",148,411.7
"RN7SKP79",149,413.3
"LOC283028",150,416.5
"GOLGA8DP",151,421.4
"FAM86B2",152,423
"CERS2",153,424
"RPL7AP8",154,425.7
"LOC401875",155,429.2
"TMEM248",156,429.4
"SNORA18",157,430.9
"LOC401717",158,432.3
"LOC389768",159,434
"LOC730465",160,436.2
"HMGB1P10",161,438.5
"LOC100132234",162,439.9
"LOC729484",163,442.7
"SFSWAP",164,445.1
"NACA",165,447.1
"GRXCR2",166,450.7
"LOC728804",167,454.5
"MARCHF10",168,460.1
"LOC100128386",169,461.7
"RPL6",170,465.7
"LOC100128440",171,466.7
"UBE2Q2P2",172,471.9
"LOC729390",173,473.8
"LOC100132944",174,475.8
"RING1",175,479.7
"LOC100132979",176,480.9
"LOC728586",177,485.8
"TMSB4XP2",178,488.7
"LOC100128765",179,490.6
"LOC100128469",180,493
"FTSJD2",181,495.5
"NPIPA7",182,497.8
"LOC100130472",183,503.9
"LOC100132488",184,507.9
"RN7SL526P",185,509.9
"DNAJC25-GNG10",186,511.2
"LOC100131174",187,511.4
"LOC100130716",188,514.5
"LOC100130178",189,516
"MPC1L",190,519.8
"LOC100130010",191,523.2
"LOC100132513",192,525.2
"FUSSEL18",193,526.6
"LOC100130224",194,528.3
"C5orf44",195,529.6
"LOC729537",196,532.4
"EIF1",197,535.3
"LOC728208",198,535.6
"LOC100131904",199,538.6
"LOC730964",200,543.8
"MGC26356",201,547.5
"CT47A6",202,549.3
"LOC100129866",203,551.6
"SPDYE9P",204,553.1
"RPL11",205,556
"RN7SL4P",206,556.4
"LOC100129053",207,563.4
"C12orf33",208,566.6
"RTFDC1",209,568.1
"LOC100133695",210,570.5
"LOC100996428",211,572.9
"WDR45B",212,575.1
"LOC100133825",213,576.4
"LOC100133177",214,583.1
"LOC731631",215,585.8
"LOC100130967",216,590
"LOC339970",217,592.5
"LOC100130291",218,594
"LOC100128904",219,596.5
"WTH3DI",220,599
"RPS4XP2",221,600.9
"BABAM1",222,602.2
"MARCHF5",223,604.5
"LOC392288",224,606.1
"LOC100129463",225,608.8
"SNRNP200",226,610.3
"LOC100127982",227,610.9
"RPS2P32",228,615.3
"CSNK2A3",229,617.9
"LOC100131261",230,619.4
"UBXN1",231,621.5
"PARK7",232,622.1
"LOC100128853",233,622.4
"LOC729960",234,623.9
"LOC341689",235,626.1
"LOC100127971",236,629.6
"EEF1DP3",237,635.7
"RN7SL148P",238,637.9
"C12orf51",239,641.5
"LOC100129315",240,642.9
"EIF3L",241,643.7
"LOC100129081",242,645.6
"LOC730631",243,647.1
"LOC442609",244,650.5
"LOC100128585",245,653.4
"LOC729327",246,657.9
"FAM13AOS",247,660.2
"LOC730978",248,662.6
"LOC392435",249,665.1
"GNB1",250,665.1
"LOC441089",251,667.3
"C20orf56",252,669.8
"RNU86",253,670.1
"LOC728672",254,671.8
"MTCH1",255,673.3
"LOC731797",256,677
"LOC646201",257,678.9
"LOC727941",258,680.4
"LOC100130819",259,686.6
"LOC728139",260,694.3
"LOC727918",261,698
"RPS11",262,698.6
"LOC728162",263,699.4
"LOC100132215",264,701.5
"LOC646754",265,703.9
"LOC728611",266,706.4
"FAM120AOS",267,706.8
"LOC644517",268,708.6
"LOC100133600",269,710.5
"MRPS21P2",270,712.1
"UBC",271,712.4
"LOC643531",272,713.6
"EIF2B4",273,714.3
"C4orf44",274,715
"MAPKSP1",275,719.6
"LOC100132909",276,722
"LOC401007",277,725.9
"LOC653753",278,727.8
"TRAPPC2P1",279,731.5
"FAM104A",280,734.5
"LOC100130345",281,734.6
"DEM1",282,738.1
"LOC644604",283,740.8
"LOC100131243",284,742.5
"RNASEK",285,743.9
"LOC100130155",286,747
"YWHAZP3",287,749
"LOC100132911",288,750.9
"RPL13A",289,755.6
"SPATA31A3",290,756.8
"RNU6-1161P",291,760.9
"RPL32",292,761.5
"LUZP6",293,764
"LOC100129936",294,765.5
"LOC390251",295,770.5
"RN7SL352P",296,772.3
"ANXA2P2",297,775.1
"LOC100132369",298,776
"LOC100134291",299,777.4
"NUTM2G",300,779.2
"LOC642357",301,782
"BRK1",302,782.1
"PTMAP5",303,793.3
"LOC729231",304,794.8
"LOC728128",305,798.4
"LOC646316",306,804.6
"MIR6890",307,809.1
"LOC442249",308,814.3
"LOC100128131",309,816.2
"LOC100128693",310,818.2
"LOC729080",311,820.3
"LOC647597",312,824.1
"LOC100131830",313,827
"LOC100129571",314,828.7
"GNB2L1",315,830.7
"LOC730974",316,831.6
"CARKD",317,833.6
"PRAMEF3",318,836.2
"RPL18",319,838.6
"LOC400129",320,839
"LOC100130852",321,840.5
"LOC440180",322,842.1
"DAZAP2P1",323,848.2
"LOC730474",324,851.3
"LOC100131389",325,854.1
"LOC100130814",326,855.5
"LOC728210",327,860.9
"KRT18P26",328,862.2
"LOC138864",329,864.4
"RPRD1B",330,864.8
"LOC399988",331,866.7
"PRAMEF15",332,869.8
"FLJ43859",333,872.2
"RN7SKP110",334,875.3
"ADH5P4",335,877.8
"LOC286456",336,879.3
"LOC100132870",337,882.9
"LOC388795",338,885.1
"LOC100129058",339,886.7
"LOC730087",340,890.8
"LOC100129513",341,892.2
"RPL7P23",342,893.7
"LOC729225",343,895.6
