"Gene","metaRanking","RP"
"RNA5SP299",1,1
"RNU6-69P",2,2.378
"RNU6-275P",3,3.948
"RN7SKP128",4,5.371
"EEF1DP3",5,7.106
"RNU6ATAC34P",6,8.207
"RNU6-383P",7,11.43
"MIR4485",8,12.97
"RNU5F-7P",9,14.46
"RNU6-597P",10,16.68
"RN7SKP9",11,18.13
"RNU6-963P",12,19.28
"RNU2-25P",13,21.75
"RNU6-311P",14,23.18
"RPS18P9",15,24.43
"RNU6-1130P",16,25.94
"CYTB",17,27.09
"HBCBP",18,28.62
"RNU6-370P",19,30.16
"SRSF2",20,31.69
"LOC101928826",21,32.83
"COX1",22,33.04
"TMPPE",23,34.49
"RNU4-50P",24,35.98
"RNA5SP275",25,38.75
"RN7SL416P",26,40.44
"RNU6-185P",27,41.79
"RN7SKP61",28,43.76
"RNU6-1146P",29,44.92
"RNU6-268P",30,46.26
"AC012531.25",31,47.6
"RNU5F-8P",32,49.39
"RNA5SP371",33,52.26
"RP11-400N13.1",34,53.5
"RNU6-1203P",35,54.84
"RNU6-417P",36,57.58
"RNU6-193P",37,58.74
"RN7SKP101",38,59.89
"LOC100505710",39,61.04
"RN7SL674P",40,62.19
"ND5",41,63.33
"RNU6-1307P",42,64.95
"OR7E106P",43,66.28
"MRRFP1",44,67.52
"PPP1R2P1",45,69.42
"RN7SKP130",46,71.31
"ACTG1P1",47,72.72
"RN7SL591P",48,74.06
"JMJD7-PLA2G4B",49,75.29
"RNU6-769P",50,76.82
"PRSS29P",51,78.15
"RP13-258O15.1",52,79.29
"RP5-882O7.1",53,81.86
"RNU6-884P",54,84.03
"RNU5A-2P",55,85.46
"RNA5SP240",56,87.72
"RP11-548M13.1",57,89.51
"LOC102724200",58,91.94
"RNU6-897P",59,93.65
"RNY4P28",60,96.25
"RP11-16P6.1",61,97.87
"ADTRP",62,98.02
"LOC100508408",63,101.1
"RNU6-1221P",64,102.3
"RPS18P12",65,107.1
"RNU6-460P",66,108.8
"ND3",67,110.2
"RPL12P1",68,112.3
"RNU5F-6P",69,113.7
"RNA5SP185",70,116.3
"TRIM39-RPP21",71,117.9
"RNASEK-C17orf49",72,119
"SNORD115-15",73,120.9
"RNU4-43P",74,123.1
"RNU6-390P",75,124.5
"NACA3P",76,127.1
"MT-TF",77,129.9
"YWHAZP3",78,131.1
"RNU4-39P",79,132.5
"RNU6-438P",80,133.7
"RP1-190J20.2",81,135.1
"RNU4-14P",82,136.8
"RAC1P2",83,138
"RNA5SP163",84,139.3
"LPEQ6126",85,142.9
"ACTBP7",86,144.1
"SUB1P3",87,147.2
"RNU6-1113P",88,150
"FTH1P3",89,154.7
"RNU6-924P",90,156
"RNU6-730P",91,157.3
"OR14K1",92,158.5
"RNU6-1032P",93,160
"RPL13AP5",94,161.2
"EIF3KP1",95,163.6
"PRR23B",96,168.9
"GOLGA8CP",97,171.9
"RNA5SP57",98,173.4
"RNU2-37P",99,174.8
"RNU6-129P",100,176.4
"RNU5F-3P",101,179.6
"MT-TA",102,181.4
"RN7SKP257",103,183
"RPS16P9",104,184.3
"CPSF7",105,184.8
"RN7SKP129",106,186.2
"UBE2E4P",107,188.4
"LOC100507501",108,189.9
"HMGXB3",109,190.5
"AC073283.7",110,192.4
"LINC00999",111,193.9
"RNU6-935P",112,195.5
"RNU1-86P",113,200.2
"RNA28S5",114,201.5
"LRRC37A6P",115,202.8
"RNU4ATAC4P",116,204.2
"RPL13AP20",117,205.5
"TMED7-TICAM2",118,207.5
"RN7SL863P",119,209.6
"PRR27",120,211.6
"RNU4-20P",121,213.2
"RNU6-412P",122,214.5
"RN7SKP271",123,216.3
"RNU6-1294P",124,217.9
"RNU5E-7P",125,219.8
"RNU6-1177P",126,221.3
"GPR79",127,222.7
"LOC101927620",128,224.1
"SNORD115-8",129,226.2
"RNU4-12P",130,228
"RN7SKP118",131,229.3
"IGLV9-49",132,233.8
"RNU6-281P",133,235.1
"RNU6-72P",134,236.7
"LINC00944",135,240.6
"ND4",136,241.4
"SNORD115-27",137,244.1
"RNU2-21P",138,246.7
"EEF1A1",139,248.1
"RNU4-90P",140,248.2
"YBX1P1",141,249.8
"RNU2-56P",142,251.4
"LOC100131232",143,253.1
"RNU6-1321P",144,254.8
"OR5AN2P",145,256
"WBP2P1",146,257.3
"IGKV2OR22-4",147,258.6
