"X","medianGPL570","medianGPL6244","medianGPL10558","medianGPL6947"
"7A5",NA,NA,0.0376345406564169,0.185388546679119
"A1BG",0.109380439042407,0.029829966878321,0.0398558144041569,0.11152184397967
"A1BG-AS1",0.0739170269755967,NA,NA,NA
"A1CF",0.0837742960750074,0.0403743799424544,0.0259575919111687,0.128166119930622
"A26A1",NA,NA,NA,0.112129564690218
"A26B1",NA,NA,NA,0.155595279921456
"A26C1B",NA,NA,NA,0.125718328274299
"A26C3",NA,NA,0.0388995656286328,0.120386245240995
"A2BP1",NA,NA,0.0235175321087308,0.108962221869104
"A2LD1",NA,NA,0.0859412652650271,NA
"A2M",0.0456611037078541,0.0931399215160513,0.0447742724419849,0.281475002048664
"A2M-AS1",0.0887512422053432,NA,NA,NA
"A2ML1",0.0736949138019982,0.0446117409656647,0.0379889119103996,0.18778006466433
"A2MP1",0.0783074377858372,NA,NA,NA
"A3GALT2",NA,0.052318320130386,0.0330788210496845,0.0906984533695688
"A4GALT",0.064849704186826,0.0384129536928735,0.0954087012365641,0.237681503782353
"A4GNT",0.0929706614396413,0.0487270347789186,0.0476692962248235,0.171594492999354
"AA06",0.122093023255814,NA,NA,NA
"AAA1",NA,NA,0.0306940933334936,0.0891388907614037
"AAAS",0.0417251124456183,0.0306961328520957,0.0343625139821952,0.140187897278337
"AACS",0.101221098063983,0.0655953127425326,0.0551720489373286,0.26717321772109
"AACSL",NA,NA,0.057090998021322,0.172675355178108
"AACSP1",0.0784665304302334,NA,NA,NA
"AADAC",0.266443517410204,0.254910366000493,0.112926750584516,0.302801746880543
"AADACL1",NA,NA,0.0476029871922671,0.308463746146656
"AADACL2",0.2386601609424,0.0748856763899473,0.0496910282183966,0.177769164110944
"AADACL3",NA,0.0897576321429334,0.0445385396292561,0.162710134201655
"AADACL4",NA,0.064388949503865,0.0910281599951691,0.186124746207598
"AADACP1",0.0810101313826748,NA,NA,NA
"AADAT",0.0655051991607608,0.0586217661368871,0.0285854179299865,0.063442998978327
"AAED1",0.0765921975545867,0.0427393146408431,NA,NA
"AAGAB",0.0699422741110286,0.037026393165836,0.0412951748892186,NA
"AAK1",0.0933413142260473,0.0336648748307997,0.0355254286397111,0.146095798451552
"AAMDC",0.0488685278272095,0.0505044609917189,NA,NA
"AAMP",0.0283788479132228,0.025177975449985,0.0404661477066076,0.168179813423359
"AANAT",0.107330070847503,0.034692120009598,0.0383882709611277,0.159276980166931
"AAR2",0.0309319856255657,0.0286494196917691,NA,NA
"AARD",NA,0.0712642712820557,NA,NA
"AARS",0.0336124278243502,0.0247336966403419,0.0231770971877487,0.132580389625169
"AARS2",0.0478322136781305,0.0289756004706901,0.0265438921282479,0.163547831648278
"AARSD1",0.0419072254008495,NA,0.0279463377528669,0.206379188594386
"AASDH",0.0635494518430076,0.0547781589169038,0.0320195572481524,0.146658087265292
"AASDHPPT",0.0849014958796065,0.0333529944785755,0.0269027248340988,0.148686452690389
"AASS",0.0882406701694856,0.051708945586352,0.0407594166973243,0.163969147636621
