"X","medianGPL570","medianGPL6244","medianGPL10558","medianGPL6947"
"7A5",NA,NA,0.0571717940697824,0.233529582428643
"A1BG",0.152131318021909,0.0467870388074077,0.0633602864910112,0.170424373193882
"A1BG-AS1",0.0991546069934013,NA,NA,NA
"A1CF",0.131372675897254,0.0583582192533819,0.0388953202226692,0.190786339815873
"A26A1",NA,NA,NA,0.151105790201721
"A26B1",NA,NA,NA,0.246309022583586
"A26C1B",NA,NA,NA,0.196359958777016
"A26C3",NA,NA,0.055525026625999,0.18903013281256
"A2BP1",NA,NA,0.0328666553342954,0.168430266510139
"A2LD1",NA,NA,0.163843918760066,NA
"A2M",0.0672760381494166,0.147714304087056,0.0675489031986633,0.431636985335175
"A2M-AS1",0.136799286786415,NA,NA,NA
"A2ML1",0.110780645741393,0.0627046159289244,0.0587792065722329,0.277125441941261
"A2MP1",0.11610703486378,NA,NA,NA
"A3GALT2",NA,0.0812190708929338,0.0485014031748282,0.139073095219618
"A4GALT",0.0876599502798185,0.0521055916302036,0.142942687224347,0.334425145521655
"A4GNT",0.121017314438957,0.0717960416264088,0.0724556944005322,0.268324988247355
"AA06",0.178915340930233,NA,NA,NA
"AAA1",NA,NA,0.0454143948979807,0.157368034867918
"AAAS",0.0657641891453024,0.0472385485820244,0.0630501999116957,0.186012798409276
"AACS",0.139358296454915,0.113297814660961,0.084161453037582,0.439629082720547
"AACSL",NA,NA,0.0825069395171487,0.258474552936179
"AACSP1",0.136832172192889,NA,NA,NA
"AADAC",0.322268985005592,0.334159029989707,0.162770955850612,0.428815165156722
"AADACL1",NA,NA,0.0520053197366281,0.389480813689301
"AADACL2",0.324746422514577,0.0997826255620861,0.07663897269464,0.22317294988809
"AADACL3",NA,0.127253144286959,0.0608182541812793,0.245692083566952
"AADACL4",NA,0.0913607750688563,0.118652885757234,0.270982173522625
"AADACP1",0.153183778079883,NA,NA,NA
"AADAT",0.0979770404715431,0.0724181215848536,0.0423915574856317,0.094487993652195
"AAED1",0.11018382861667,0.0663310051813499,NA,NA
"AAGAB",0.107384765401546,0.0594864595297821,0.0557695372351297,NA
"AAK1",0.143257908899598,0.0460222314833911,0.0555053064998877,0.199640897358506
"AAMDC",0.0787911778155922,0.10151174037266,NA,NA
"AAMP",0.0412157071580766,0.040571927480397,0.0485889807202823,0.257627303642023
"AANAT",0.192749919868776,0.0553698289242171,0.052854376735207,0.249121675427644
"AAR2",0.0466210250327422,0.0456755206091109,NA,NA
"AARD",NA,0.1216962860739,NA,NA
"AARS",0.0489441007848557,0.0389073790221532,0.0371290476012028,0.186450566888005
"AARS2",0.0661167194666525,0.0428551117631901,0.0398188847432177,0.218479136202079
"AARSD1",0.0649908595875016,NA,0.0437281411043022,0.250345877079218
"AASDH",0.0844003680451144,0.0580558690645216,0.0472359781566367,0.19950965016257
"AASDHPPT",0.108792429135144,0.052432955957429,0.039247812355644,0.225269152904375
"AASS",0.135436166170444,0.0765482712911516,0.0771513076531525,0.154661573916142
"AATF",0.0601666160017374,0.0334646876511362,0.0521808418091665,0.201296999716153
"AATK",0.116521755588798,0.0588923733856278,0.0475751295556509,0.1912367197521
"AATK-AS1",NA,0.0471629243534647,NA,NA
"AB074162",0.270028714316873,NA,NA,NA
"AB488780",0.0905384374014069,NA,NA,NA
"ABAT",0.122916447077478,0.0507281945819626,0.0485981207324227,0.140551697102785
"ABCA1",0.118297316492934,0.0930218145442469,0.0793446511843685,0.302463637058007
"ABCA10",NA,0.16537076617967,0.0956906806688412,0.2249380180691
"ABCA11",NA,NA,0.0846472273801762,0.230868947586856
"ABCA11P",0.129926825434198,0.0982732084479737,NA,NA
"ABCA12",0.191077927718948,0.0727144721692411,0.0337677170779002,0.165226845360387
"ABCA13",0.073289898286337,0.0406751343544237,0.0511092791792113,0.242251798453277
"ABCA17P",0.168837565349625,NA,NA,NA
"ABCA2",0.0905769538601635,0.0593292758094984,0.0753734576237517,0.260839310754522
"ABCA3",0.0927265847539131,0.0674637719725725,0.0564590985036493,0.28838598892866
"ABCA4",0.134991955877977,0.0505496949405199,0.0756878342737656,0.249883473187353
"ABCA5",0.0921577701441632,0.0907096268388036,0.143925428036463,0.237276524371318
"ABCA6",0.180666307264965,0.158635920474119,0.0792509254562021,0.279415832420449
"ABCA7",0.132175692215017,0.034704890334723,0.0656761493075711,0.199011012700756
"ABCA8",0.145328674056668,0.109666858917631,0.0609231926406642,0.287840068912152
"ABCA9",0.191430043592971,0.178560818652811,0.108505597161509,0.252410095871128
"ABCB1",0.167182721411611,0.100425555972992,0.106631064454116,0.223090541008857
"ABCB10",0.123369669346446,0.0290193118968652,0.0346640354530229,0.228868283061242
"ABCB11",0.168031438204684,0.0936583350022408,0.070219034761959,0.217747141770662
"ABCB4",0.137086107442616,0.0879335931408827,0.141172668130038,0.269024875262409
"ABCB5",0.197587422960108,0.118913820634202,0.0532275510463931,0.313749538811534
"ABCB6",0.0693277825435803,0.0627405417790851,0.0483602538117665,0.261142251521566
"ABCB7",0.0720090810086464,0.0611934722633617,0.0733562725834126,0.275814556321983
"ABCB8",0.142836276976529,0.0307024170854742,0.0675581215231845,0.31039267495397
"ABCB9",0.130512264353077,0.0510486899743935,0.108681302390141,0.286058901125152
"ABCC1",0.0948636238750519,0.0579071100444214,0.0727770875194691,0.227004770964789
"ABCC10",0.103421109766761,0.0482266484431407,0.0738148380734587,0.218043350707461
"ABCC11",0.0969850228714583,0.0464804519691243,0.056953680311569,0.177086388167401
"ABCC12",0.111222326126774,0.0570272812796184,0.0524663046403338,0.191424661986582
"ABCC13",0.15827354150511,0.0751783005946065,0.0489217883460778,0.152588802776939
"ABCC2",0.263837123056522,0.0763967756354015,0.111101801796795,0.30907368183259
"ABCC3",0.12110207484453,0.106810095372528,0.122780416726267,0.511412358572712
"ABCC4",0.137462365874596,0.0734242626144307,0.119302299313316,0.192086762032557
"ABCC5",0.139282888276283,0.0900840735023661,0.067207511444305,0.292237974465202
"ABCC6",0.169592568302902,0.0543169409089788,0.0728545604593458,0.192349309364073
"ABCC6P1",0.175946951221358,NA,0.100590032192515,NA
"ABCC6P2",NA,NA,0.121772161681619,NA
"ABCC8",0.139256911932156,0.0384999820346389,0.0525771239763909,0.228778603683779
"ABCC9",0.19294256025693,0.0883609604235994,0.0703742708011159,0.249410817787148
"ABCD1",0.0965801928960885,0.0598327539641858,0.173275309328153,0.356402249491835
"ABCD1P2",0.162641634030607,NA,NA,NA
"ABCD2",0.261544750790987,0.108440875204346,0.0727980430282313,0.169404641886358
"ABCD3",0.0828031414635071,0.0578853629146927,0.0440302413691611,0.236577158074708
"ABCD4",0.0633226168299021,0.0427193401481989,0.0414124530583685,0.167156580973539
"ABCE1",0.0683096435084759,0.0566484757880507,0.0549036102409839,0.202268941172837
"ABCF1",0.0535292454084323,0.0353446366645094,0.10048582178368,0.193686536792634
"ABCF2",0.0956533228256897,0.0412820957034871,0.0725717108761258,0.18873711874473
"ABCF3",0.0511880393839209,0.0449289591171132,0.0773388780624263,0.242335037591048
"ABCG1",0.14017678799977,0.0626651672634096,0.0604612073745935,0.148462740754408
"ABCG2",0.174618272242482,0.0871781675276196,0.0779068718847628,0.303217935563004
"ABCG4",0.114283558168765,0.0493127083278644,0.0742803597897733,0.257642123724384
"ABCG5",0.0811020972172639,0.0715944420140984,0.069862698279417,0.241696746764814
"ABCG8",0.173534428421053,0.0756814150131421,0.0636139989047902,0.219464909671041
"ABHD1",0.126746439993052,0.0658690184084765,0.13430062559683,0.344208296190759
"ABHD10",0.0808992226436364,0.0662634710117279,0.0378934009426459,0.351390320935549
"ABHD11",0.0699445030602741,0.0552054493473556,0.0905580578304709,0.229030889853814
"ABHD12",0.104753249042379,0.0382085718160915,0.070002931513032,0.230993980930267
"ABHD12B",0.129300162352941,0.0813807624269946,0.0993541693867608,0.163111945960068
"ABHD13",0.139195237818699,0.0422888364525907,0.0431163355327785,0.155223356280497
"ABHD14A",0.0730065359892263,0.0461620020878957,0.0484433131477493,0.22429926589992
"ABHD14A-ACY1",0.088993780794844,NA,NA,NA
"ABHD14B",0.085672248697307,0.0461874576860826,0.073634555923038,0.280825231159748
"ABHD15",0.152724066542786,0.0468422936402699,0.0645561164657726,NA
"ABHD16A",0.0521962950447874,0.0368784304796292,NA,NA
"ABHD16B",0.169916909785471,0.0516431361739932,NA,NA
"ABHD17A",0.0638518878629034,0.0503267220452175,NA,NA
"ABHD17AP4",NA,0.0516813286095741,NA,NA
"ABHD17B",0.109967124772364,0.0458150017474819,NA,NA
"ABHD17C",0.191846100568566,0.0371154778934877,NA,NA
"ABHD2",0.0983602710796081,0.0447487239538104,0.0627171758920896,0.201511495283615
"ABHD3",0.089942273249954,0.0764431849385443,0.0532667180440256,0.282088816617562
"ABHD4",0.080312106715347,0.0721482312464794,0.0849993628568039,0.265004463579892
"ABHD5",0.150020922464547,0.091604420794571,0.143712770269545,0.401921589115508
