"X","medianGPL570","medianGPL6244","medianGPL10558","medianGPL6947"
"7A5",NA,NA,0.0818024799275222,0.136938668219419
"A1BG",0.122059784681301,0.0991356366711087,0.0357668952412544,0.105815437671475
"A1BG-AS1",0.0936170431077724,NA,NA,NA
"A1CF",0.0905172413793103,0.105764364104722,0.0545253611796626,0.130072650364158
"A26A1",NA,NA,NA,0.0994970327708738
"A26B1",NA,NA,NA,0.164331498935565
"A26C1B",NA,NA,NA,0.107245728299576
"A26C3",NA,NA,0.0980639916606,0.0970516036745556
"A2BP1",NA,NA,0.0522860063059997,0.087680445267815
"A2LD1",NA,NA,0.151549242649588,NA
"A2M",0.0449304347497953,0.118059429675368,0.0697791809807386,0.411823684427011
"A2M-AS1",0.112397419313796,NA,NA,NA
"A2ML1",0.108870967741935,0.151529610025856,0.0668143388244478,0.172259955769694
"A2MP1",0.165927597372506,NA,NA,NA
"A3GALT2",NA,0.219262377266259,0.0757945649083241,0.0883627053902734
"A4GALT",0.0910680893522655,0.0880138565144519,0.252373873869782,0.24175639366124
"A4GNT",0.109375,0.141713718030376,0.109795367681227,0.167692102588968
"AA06",0.142527130134657,NA,NA,NA
"AAA1",NA,NA,0.0418720726050403,0.0880511396290154
"AAAS",0.0501805072523849,0.0679249525569512,0.0707632349149796,0.124112453005399
"AACS",0.090510048188943,0.17021367096067,0.0915136714454122,0.326255724183865
"AACSL",NA,NA,0.110696308144761,0.145087611718271
"AACSP1",0.14989069488703,NA,NA,NA
"AADAC",0.534064270681753,0.476707572389266,0.345722581863473,0.322686873038471
"AADACL1",NA,NA,0.0288833161273276,0.367931782102849
"AADACL2",0.241946929375212,0.132194599994932,0.22475433520514,0.155484923962091
"AADACL3",NA,0.151037964301406,0.0408370126849749,0.160892421175982
"AADACL4",NA,0.188477954660811,0.147869912972807,0.174823835678554
"AADACP1",0.136363636363636,NA,NA,NA
"AADAT",0.141570025338714,0.0989321850347276,0.0584210797845169,0.0608491644962864
"AAED1",0.114736086946698,0.146539675469474,NA,NA
"AAGAB",0.101624080537687,0.110871837972774,0.093396245230086,NA
"AAK1",0.10674162460867,0.0787649603448691,0.0621179344025639,0.107329811643138
"AAMDC",0.10287610619469,0.143433410275972,NA,NA
"AAMP",0.0497897622667373,0.108842465293326,0.0937455674328204,0.174411177368303
"AANAT",0.20225862181176,0.163778294746399,0.0542075149776196,0.132144217923787
"AAR2",0.0788437952599017,0.0952247930447412,NA,NA
"AARD",NA,0.131208989678383,NA,NA
"AARS",0.0429595611071705,0.110037017697535,0.14124295909354,0.142405596553748
"AARS2",0.0801894650751258,0.0816515755795707,0.0974042361676802,0.177097645598542
"AARSD1",0.0546787005979825,NA,0.0389537661973306,0.210382571183931
"AASDH",0.0752337898688426,0.156692400387369,0.125026049748067,0.134436414110539
"AASDHPPT",0.139409557007367,0.0818664980322737,0.130482381507278,0.174779396323702
"AASS",0.152725172091528,0.149729578738809,0.0784817553717986,0.132359553991008
"AATF",0.0660530105875328,0.0731264657369368,0.123151319522283,0.130040169929694
"AATK",0.119548276519235,0.0898521422988259,0.0848438385454136,0.104756623224163
"AATK-AS1",NA,0.0798362559229918,NA,NA
"AB074162",0.163479207445154,NA,NA,NA
"AB488780",0.105224158372163,NA,NA,NA
"ABAT",0.143353544614573,0.107158027580809,0.0780567149232381,0.0882577885953722
"ABCA1",0.130285975846264,0.196497588213511,0.0730748268672011,0.218123960620046
"ABCA10",NA,0.192168848333601,0.0972559267777901,0.188014540103942
"ABCA11",NA,NA,0.114302785791443,0.146044629715432
"ABCA11P",0.107280591771517,0.142645114004221,NA,NA
"ABCA12",0.204156838051764,0.168674803112176,0.0563385466873171,0.104651010049859
"ABCA13",0.140870522389561,0.169712720457405,0.0919949706306734,0.14580699128315
"ABCA17P",0.171613782511733,NA,NA,NA
"ABCA2",0.11728273534722,0.131799091167677,0.165869209967974,0.271063084482565
"ABCA3",0.0976035836712968,0.0928245658904925,0.196228953098818,0.178785481596356
"ABCA4",0.137068965517241,0.106311640031946,0.101847008975218,0.132830079449915
"ABCA5",0.0855385682231549,0.136769229649328,0.135804956676746,0.190164440759507
"ABCA6",0.108113696396297,0.293585507335756,0.15528169997655,0.249717370357853
"ABCA7",0.102678867331099,0.117187772060231,0.0697219895346549,0.110851955947067
"ABCA8",0.221216184126979,0.260544869086265,0.095151712625587,0.222274707988596
"ABCA9",0.143156650220151,0.267706783956988,0.0536559458488354,0.242020245774292
"ABCB1",0.139179294377383,0.15618753749257,0.148470860778314,0.121589043286569
"ABCB10",0.103363246857856,0.0920187394986651,0.144149857291583,0.180092992374834
"ABCB11",0.122390729290581,0.14568612017497,0.0639326239385126,0.165046050059316
"ABCB4",0.202439073480699,0.148151224130302,0.136413810345779,0.204219669733465
"ABCB5",0.144404714634553,0.283515472147545,0.0985419038170046,0.141892851661791
"ABCB6",0.125381763083812,0.163911425209722,0.0606861236165108,0.184325445877135
"ABCB7",0.056905795330655,0.118937056578059,0.0412488947574491,0.202428393735295
"ABCB8",0.153947368421053,0.0407790317553618,0.124184850392843,0.174725645735718
"ABCB9",0.131038308584488,0.134374201852705,0.175517400327499,0.173406792463669
"ABCC1",0.0933549401369581,0.140597315711961,0.139095451427566,0.206648721674371
"ABCC10",0.0766315809305712,0.0801883506489294,0.112992498230735,0.171872476293072
"ABCC11",0.0989583333333333,0.155721242594294,0.0705901822076386,0.122801195361675
"ABCC12",0.1125,0.124095355777993,0.0640266291719707,0.118572242282501
"ABCC13",0.129747178955419,0.141161437835514,0.0591670858072956,0.0931656762788535
"ABCC2",0.238486660231855,0.176111684920842,0.17450185680388,0.165849842584298
"ABCC3",0.0825970052598378,0.152727091983997,0.395496440428726,0.407610803809891
"ABCC4",0.147586156096419,0.117249951958974,0.104328097298379,0.117514047762096
"ABCC5",0.221658965177116,0.138859613079184,0.176774701508214,0.214049555969445
"ABCC6",0.160447776669494,0.118314148133353,0.0869406055823225,0.147508429443219
"ABCC6P1",0.131361109736643,NA,0.153023854335859,NA
"ABCC6P2",NA,NA,0.1336622172865,NA
"ABCC8",0.144095963222525,0.114930296686204,0.157259378961952,0.174932221113047
"ABCC9",0.213815789473684,0.153402667555425,0.056865904176604,0.165809626478219
"ABCD1",0.0895536520445767,0.11380289223256,0.258410377895393,0.283669755483521
"ABCD1P2",0.107142857142857,NA,NA,NA
"ABCD2",0.214610613656032,0.16724579870174,0.0568255896792647,0.0965387929662464
"ABCD3",0.0912379421221865,0.0936338591315295,0.0870027534739356,0.19340145990628
"ABCD4",0.0473800768423946,0.0993873349960731,0.0588380823845753,0.108862046211133
"ABCE1",0.0714981199645497,0.164850998011552,0.113815666385776,0.200942852388151
"ABCF1",0.0686402901506811,0.108586938673329,0.113086329404995,0.145356691438463
"ABCF2",0.0947564658061497,0.0965137114299683,0.138312413696943,0.13315307453986
"ABCF3",0.0507278111099494,0.103387766745675,0.10988975389872,0.17568811065169
"ABCG1",0.198194032381356,0.219955665835119,0.0708547669903003,0.0975813166085839
"ABCG2",0.198582708561396,0.197871218921404,0.0946285098612765,0.208668797642824
"ABCG4",0.141891891891892,0.117410899227329,0.102327350157086,0.14648075380943
"ABCG5",0.0849020130341821,0.0815791404588991,0.0628042095237485,0.160907958007492
"ABCG8",0.16420086270516,0.106363093301907,0.0928548423266475,0.131506201865738
"ABHD1",0.112751542992465,0.0869916776494412,0.115408408577985,0.261233345015281
"ABHD10",0.0884874683259348,0.124111348627904,0.0955442125509405,0.270002560597906
"ABHD11",0.0930585396505721,0.113573033655333,0.0866711149706796,0.160551306859251
"ABHD12",0.0929703141691253,0.0830574039055725,0.038800383396135,0.176147052830134
"ABHD12B",0.145397603477646,0.157533569015981,0.120534099019284,0.105439345535125
"ABHD13",0.159568058257814,0.0849214064252836,0.0536660184569933,0.0913620409489071
"ABHD14A",0.070954533938576,0.0727195180223293,0.124388416135732,0.154583873092506
"ABHD14A-ACY1",0.104220191542835,NA,NA,NA
"ABHD14B",0.0816306344995004,0.0839998810120508,0.115693552398891,0.221618535962442
"ABHD15",0.111132163331063,0.109351961868382,0.134639546176752,NA
"ABHD16A",0.0590019736015828,0.0967959935186929,NA,NA
"ABHD16B",0.16170620229068,0.109610426479727,NA,NA
"ABHD17A",0.0350980536863222,0.0926858774287146,NA,NA
"ABHD17AP4",NA,0.119489828739675,NA,NA
"ABHD17B",0.118682485412222,0.0935186590433959,NA,NA
"ABHD17C",0.16843732063614,0.0844267788751917,NA,NA
"ABHD2",0.0687765451948445,0.0774799331378264,0.0930083327831165,0.140041204908117
"ABHD3",0.0545933432751781,0.0867222402947044,0.0768852583292952,0.21980100000765
"ABHD4",0.0725174738959671,0.119926428690673,0.156399953646504,0.179826798541834
"ABHD5",0.089789344637147,0.172020852023776,0.138917205099431,0.359654677137274
"ABHD6",0.0905557218755561,0.150911561596161,0.110425337009897,0.17556450396523
"ABHD7",NA,NA,0.0221823534946988,0.156025625864051
"ABHD8",0.11184163714375,0.0513787240940101,0.157177149906796,0.162971866575717
"ABHD9",NA,NA,0.0910524247814314,0.132076773401703
"ABI1",0.0920173963138208,0.103354471597033,0.0676847841873897,0.170892663759752
"ABI2",0.0547923677123158,0.0916509701587306,0.0760198603352331,0.0966393084994805
