"X","medianGPL570","medianGPL6244","medianGPL10558","medianGPL6947"
"7A5",NA,NA,0.135665907974014,0.187969253378484
"A1BG",0.180149483076823,0.17494155474583,0.0558945420159552,0.164335647798828
"A1BG-AS1",0.133255322399275,NA,NA,NA
"A1CF",0.151593293793103,0.173606694933165,0.0789942785311736,0.151151827623911
"A26A1",NA,NA,NA,0.141818927106781
"A26B1",NA,NA,NA,0.24382424095138
"A26C1B",NA,NA,NA,0.165966688108229
"A26C3",NA,NA,0.135217888381721,0.153248046335823
"A2BP1",NA,NA,0.0805651351055562,0.13758670577642
"A2LD1",NA,NA,0.209605916498913,NA
"A2M",0.0683245550226675,0.181350287648823,0.0691667034711908,0.618572279525484
"A2M-AS1",0.157436810210776,NA,NA,NA
"A2ML1",0.166751797906345,0.234717318662693,0.0982239827074654,0.266079656893804
"A2MP1",0.248727162476993,NA,NA,NA
"A3GALT2",NA,0.351830430528117,0.103664218066098,0.134304533358592
"A4GALT",0.12658789914388,0.118975374935229,0.0737035167147257,0.355013033325207
"A4GNT",0.141135103828354,0.226816451167077,0.171934816063699,0.267747266031151
"AA06",0.240745148199737,NA,NA,NA
"AAA1",NA,NA,0.0864699068410707,0.15192267789672
"AAAS",0.0748601122772155,0.112246888258573,0.131442510108936,0.172020909747957
"AACS",0.132515921929979,0.258022957973027,0.0738907289005548,0.495119203387033
"AACSL",NA,NA,0.0742326565051656,0.213951148925658
"AACSP1",0.229680997351378,NA,NA,NA
"AADAC",0.721618070559377,0.778494993947597,0.487021832519159,0.441418246927408
"AADACL1",NA,NA,0.0778747268645683,0.46475979719198
"AADACL2",0.335543063350747,0.195189334032275,0.220646802597916,0.251863286927645
"AADACL3",NA,0.231201758345805,0.0496928664347332,0.239066690805558
"AADACL4",NA,0.293083927963232,0.228239876340013,0.249500612984698
"AADACP1",0.199827523636364,NA,NA,NA
"AADAT",0.17981386476728,0.161545314183535,0.0935237729813523,0.0912274535086476
"AAED1",0.169269910742255,0.21858841430719,NA,NA
"AAGAB",0.16544859483871,0.169072675783645,0.0557695372351297,NA
"AAK1",0.159922180086565,0.137756705461737,0.0916911440815318,0.157771073928912
"AAMDC",0.100797954400644,0.205104793347165,NA,NA
"AAMP",0.069542788278061,0.171761469989565,0.12508833486645,0.279793369839187
"AANAT",0.280190629349268,0.229306637065628,0.131069012234742,0.204334668159937
"AAR2",0.10346841847617,0.127451082407771,NA,NA
"AARD",NA,0.176923503185803,NA,NA
"AARS",0.058316694406521,0.165561921912186,0.204809666731897,0.215541281725283
"AARS2",0.121761998322914,0.0783211721177998,0.15007439895785,0.226954897080065
"AARSD1",0.106729854767633,NA,0.103526746502783,0.27469880987557
"AASDH",0.120075368423575,0.201229593136844,0.184741149065804,0.1745855296334
"AASDHPPT",0.187902332709677,0.130595748472593,0.0722506985774888,0.273001701414316
"AASS",0.229393474946249,0.225348228698707,0.140882557186726,0.154069206982361
"AATF",0.118347165866682,0.130000845795375,0.188111831815015,0.201381652636446
"AATK",0.133294557066447,0.119136091337313,0.166375130976661,0.148071872659245
"AATK-AS1",NA,0.113123317708382,NA,NA
"AB074162",0.292792600167824,NA,NA,NA
"AB488780",0.133474341306687,NA,NA,NA
"ABAT",0.18557259455131,0.158743835304247,0.109946867542174,0.134631066575461
"ABCA1",0.14280460710062,0.316320973077559,0.140258619135608,0.330290579926329
"ABCA10",NA,0.292034916157076,0.183862407671849,0.270129309070011
"ABCA11",NA,NA,0.154878847156116,0.224700025364172
"ABCA11P",0.174799007425296,0.21546877458371,NA,NA
"ABCA12",0.23551101,0.232600229658825,0.079630689265869,0.147809331573444
"ABCA13",0.272810006570707,0.233795986516441,0.15095590777828,0.20752130782812
"ABCA17P",0.234628090511455,NA,NA,NA
"ABCA2",0.163949753956263,0.170075430352694,0.276333879821388,0.33496475542769
"ABCA3",0.166861732914245,0.138982127096723,0.334490333144876,0.259765880289433
"ABCA4",0.181911952551724,0.144632040361968,0.0767926892733192,0.217155387654858
"ABCA5",0.127121644937763,0.184107188478043,0.232567138512731,0.248738585525084
"ABCA6",0.226874791631244,0.473474822003208,0.110136762370168,0.368514288902329
"ABCA7",0.154695949061487,0.183067667059153,0.018826702893391,0.169619451395161
"ABCA8",0.388234307736608,0.420280241365145,0.0876475994746956,0.305310319328339
"ABCA9",0.208941317255674,0.436163794602445,0.102599306283144,0.412810180225651
"ABCB1",0.2678432886871,0.255916519112615,0.211959558156524,0.181201395007347
"ABCB10",0.154398060383867,0.13010645384412,0.229836504001022,0.253352222369658
"ABCB11",0.187550881194573,0.219900810772037,0.104384119764777,0.216585244301805
"ABCB4",0.255774786016105,0.211580614105017,0.154461482474561,0.282390730553894
"ABCB5",0.20157053074469,0.412550379253838,0.145700659628275,0.216959075334031
"ABCB6",0.165634801397434,0.25051754663941,0.0459700674355644,0.265477893769035
"ABCB7",0.0938142744719336,0.163761848673571,0.0733562725834126,0.281754474414923
"ABCB8",0.19957732178576,0.0586336687250443,0.181142063081594,0.272673693996226
"ABCB9",0.190133320951849,0.212279168955471,0.108681302390141,0.267828080641969
"ABCC1",0.153301876746967,0.224233135338022,0.201076414076957,0.249312761788226
"ABCC10",0.126886105846576,0.0899329600482524,0.180201248864079,0.239014895116158
