"X","medianGPL570","medianGPL6244","medianGPL10558","medianGPL6947"
"7A5",NA,NA,0.163999836919771,0.143403283340432
"A1BG",0.181841618495507,0.02145219455774,0.107100413614101,0.113263976914716
"A1BG-AS1",0.203259775956252,NA,NA,NA
"A1CF",0.0856270869585803,0.0210819115753632,0.110060141239041,0.112557245945276
"A26A1",NA,NA,NA,0.109850442311385
"A26B1",NA,NA,NA,0.155260278798996
"A26C1B",NA,NA,NA,0.132938503677591
"A26C3",NA,NA,0.13883916443833,0.127590318146492
"A2BP1",NA,NA,0.0776381174220238,0.100525734175669
"A2LD1",NA,NA,0.212555025809392,NA
"A2M",0.0411642244839769,0.0801472769923168,0.196497976961206,0.169817995832285
"A2M-AS1",0.211550623191433,NA,NA,NA
"A2ML1",0.0934051085192999,0.0261896123658682,0.174384149264379,0.180803606939785
"A2MP1",0.104861193274622,NA,NA,NA
"A3GALT2",NA,0.0347536251243752,0.148305476944402,0.103863392999777
"A4GALT",0.10194811764264,0.0297658584029179,0.237840259350211,0.157469300856131
"A4GNT",0.0884882607376899,0.0300288774979279,0.191323641664875,0.153224639844401
"AA06",0.0765195080776603,NA,NA,NA
"AAA1",NA,NA,0.0981102239339555,0.0817412988509202
"AAAS",0.0590816219598622,0.01896789426618,0.164057630141343,0.102229355795811
"AACS",0.0884585743356977,0.0948643747664251,0.539629386029373,0.370732595145698
"AACSL",NA,NA,0.189604475446793,0.152239431942171
"AACSP1",0.0684131353939063,NA,NA,NA
"AADAC",0.311313201075496,0.153742189593184,0.545986333436583,0.276481214018512
"AADACL1",NA,NA,0.453567186186285,0.42521935199616
"AADACL2",0.251314299485251,0.0632162519917359,0.117261056643905,0.145446220114996
"AADACL3",NA,0.0367204723756911,0.160990341963564,0.16586553110038
"AADACL4",NA,0.0287603475219007,0.159096398798927,0.214856812364401
"AADACP1",0.11450571809898,NA,NA,NA
"AADAT",0.173849821815874,0.0333172584939578,0.0565001831387441,0.116438279571833
"AAED1",0.125391245331497,0.04354543814615,NA,NA
"AAGAB",0.149189242577131,0.0274731130050635,0.200484714370252,NA
"AAK1",0.0705203636088773,0.0336312089265108,0.0926491833342843,0.12770192477169
"AAMDC",0.114670074341589,0.0359860600638598,NA,NA
