"X","medianGPL570","medianGPL6244","medianGPL10558","medianGPL6947"
"7A5",NA,NA,0.151711097357142,0.141136575590338
"A1BG",0.128323330006548,0.0165449872717213,0.0922968142571887,0.10300848061324
"A1BG-AS1",0.223321704559131,NA,NA,NA
"A1CF",0.0403905162864873,0.0174605673650006,0.11831865071326,0.130232163751673
"A26A1",NA,NA,NA,0.123349757329041
"A26B1",NA,NA,NA,0.13332847511944
"A26C1B",NA,NA,NA,0.138359386314927
"A26C3",NA,NA,0.118040971347411,0.124772062663338
"A2BP1",NA,NA,0.076309187067192,0.0978604526398929
"A2LD1",NA,NA,0.183662869034652,NA
"A2M",0.0427321894211234,0.0683863187206194,0.224103737347237,0.201049245976443
"A2M-AS1",0.112472271715349,NA,NA,NA
"A2ML1",0.0644864255693252,0.0262206086578053,0.162351797269734,0.174746919497331
"A2MP1",0.116473802594688,NA,NA,NA
"A3GALT2",NA,0.0366549978930229,0.151983232296489,0.103957002654395
"A4GALT",0.105178544544955,0.0174251352362637,0.267586928000255,0.168629772695101
"A4GNT",0.0728947652910578,0.0354049973572314,0.125805496590627,0.149104438640827
"AA06",0.0726827134307715,NA,NA,NA
"AAA1",NA,NA,0.0794489016769429,0.0837343352578235
"AAAS",0.0416669310039518,0.0233892748345216,0.134330509567053,0.0928829868837898
"AACS",0.0597913258158851,0.0264708503132799,0.369627405205193,0.316989045745467
"AACSL",NA,NA,0.18648899841025,0.14370710603043
"AACSP1",0.059767142129847,NA,NA,NA
"AADAC",0.286171584958038,0.140142885756594,0.625429986542514,0.267385135046161
"AADACL1",NA,NA,0.287731366888843,0.324295707863031
"AADACL2",0.110064530031422,0.0370247084856283,0.0701587786770834,0.149507400845489
"AADACL3",NA,0.0394456851481102,0.150684228053341,0.149672087425363
"AADACL4",NA,0.0251435580747464,0.168533251487615,0.207547206727272
"AADACP1",0.074923526948618,NA,NA,NA
"AADAT",0.130729108733884,0.0270898417942949,0.0590197440662388,0.104083827491525
"AAED1",0.0711713859349493,0.0222074478500477,NA,NA
"AAGAB",0.0935038129849095,0.0155313758541549,0.205855897339501,NA
"AAK1",0.0659378208374617,0.0227282618806958,0.0979879557719611,0.101519708418844
"AAMDC",0.0674014784231986,0.0244186019685091,NA,NA
"AAMP",0.0212353126024734,0.0227555445840569,0.118264003702368,0.100882403516741
"AANAT",0.0693780462461923,0.01195645684078,0.174582541753966,0.185247393664444
"AAR2",0.0513509590696292,0.0261414236895329,NA,NA
"AARD",NA,0.0384232327094434,NA,NA
