"Gene","metaRanking","RP"
"RNA28S5",1,1.316
"MT-RNR1",2,2.378
"LOC653162",3,5.01
"RPS11P5",4,7.565
"RN7SKP9",5,10.54
"CYTB",6,12
"LOC100129158",7,13.51
"LOC100129141",8,14.59
"LOC647276",9,16.04
"LOC101928826",10,18.66
"LOC100133931",11,20.4
"LOC100508408",12,22.76
"LOC284393",13,23.86
"MIR4485",14,25.16
"ACTG1P1",15,26.26
"RP6-11O7.2",16,31.98
"LOC648729",17,34.88
"LOC649076",18,36.34
"RN7SL396P",19,40.44
"LOC389404",20,42.6
"LOC100132488",21,44.92
"COX2",22,45.85
"LOC728533",23,46.79
"RPS2P7",24,48.38
"RPL12P1",25,50.91
"LOC647099",26,52.83
"ND3",27,53.23
"LOC389101",28,54.16
"LOC100128585",29,55.88
"RP5-882O7.1",30,58.33
"RPL4P4",31,67.37
"HIST2H2BC",32,69.65
"ND5",33,74.48
"RPL13AP5",34,77.74
"LOC728517",35,84.5
"CSNK2A3",36,87.49
"KLRAQ1",37,89.76
"LOC645715",38,91.26
"LOC653881",39,93.26
"YBX1P10",40,96.16
"LOC100130550",41,97.79
"ND4",42,100.4
"RN7SL674P",43,101.1
"LOC401717",44,102.4
"DDX39B",45,104.7
"TMEM110-MUSTN1",46,108.5
"YWHAZP3",47,110.1
"ZC3H11B",48,111.6
"LOC643856",49,114.4
"LOC729903",50,116.2
"COX1",51,116.9
"LOC389223",52,121.4
"LOC440043",53,123.7
"YBX1P1",54,125.1
"LOC439953",55,129.2
"LOC728576",56,133.4
"LOC400013",57,135
"LOC284230",58,137.6
"PTMAP4",59,144.8
"LOC441484",60,146.4
"C3orf75",61,147.8
"LOC552889",62,149.8
"LOC644363",63,151.2
"LOC728693",64,156.5
"LOC645515",65,162.8
"RNU6-1261P",66,165.3
"CYTSA",67,167.7
"TMED7-TICAM2",68,169.4
"PPIAL4A",69,171.1
"LOC100127982",70,172.7
"FAM54B",71,175.1
"LOC100128115",72,177.6
"LOC728467",73,181.5
"LOC100133224",74,184.3
"CHMP4BP1",75,186.6
"LOC100131257",76,188.6
"ACTBP2",77,191.7
"LOC729960",78,194.4
"HIST3H2BA",79,195.9
"RP3-507I15.1",80,197.2
"LOC343184",81,206.9
"LOC391777",82,209.2
"WTH3DI",83,215.3
"PTGES3L-AARSD1",84,220.3
"FAM75C1",85,222.1
"NELFA",86,226.3
"LOC728597",87,228
"NCRNA00161",88,231.5
"LOC100130472",89,234.2
"LOC100130553",90,236
"LOC646316",91,237.5
"LOC101929087",92,238.9
"FAM86B2",93,243
"KIAA1310",94,247.2
"FAM75A4",95,249.3
"LOC728210",96,251
"LOC644604",97,254.2
"RAC1P2",98,257.8
"LOC100130716",99,268.6
"GOLGA8DP",100,272.9
"LOC440027",101,274.4
"LOC644684",102,276
"LOC100132369",103,278.7
"C5orf44",104,280.3
"LOC728128",105,286.7
"LOC339970",106,293.3
"LOC100130852",107,294.7
"LOC730474",108,297.6
"RPL13AP25",109,304
"LOC647597",110,306.4
"RPS4XP2",111,308.1
"LOC100129758",112,312.6
"LOC728098",113,316.1
"MARCHF10",114,318.1
"CHCHD2P8",115,323
"LOC100129081",116,326.4
"LOC341689",117,328.3
"C7orf70",118,331.5
"LOC100130345",119,337.6
"LOC100129058",120,339.3
"LOC728368",121,341.1
"LOC100133169",122,344
"DUB4",123,345.8
"LOC729327",124,349.2
"LOC645296",125,359.1
"LOC100133478",126,360.6
"TMSB4XP2",127,362.4
"LOC285634",128,364.3
"EIF1",129,368.4
"LOC393078",130,373.7
"LOC100130092",131,376.9
"C12orf51",132,378.6
"LOC728162",133,380.4
"POTEF",134,382.1
"MYL8P",135,384.7
"LOC100128006",136,388
"EEF1A1",137,391.2
"CT47A6",138,393.6
"NUPR1L",139,396.1
"LOC100128386",140,397.8
"LOC648822",141,400.8
"LOC731542",142,404.5
"LOC100132979",143,406.6
"LOC100128960",144,409.1
"RN7SKP79",145,410.7
"NACA",146,412.2
"KRT18P26",147,412.3
"LOC728586",148,415.6
"RN7SL4P",149,417.1
"SEPT5",150,420.2
"LOC389768",151,425.2
"LOC100132944",152,427.6
"LOC442249",153,429.4
"LOC392288",154,431.5
"GRXCR2",155,432.9
"POTEJ",156,434.9
"GNB2L1",157,437
"LOC100130358",158,437.5
"CORO7-PAM16",159,441.1
"LOC100129381",160,442.8
"C4orf44",161,445.1
"LOC440595",162,447.6
"RNF222",163,450
"LOC646034",164,452.5
"LOC100996428",165,454.3
"LOC100128469",166,458.2
"ND1",167,459.9
"LOC100128440",168,461.5
"LOC729356",169,466.4
"LOC100131174",170,468.3
"ACTBP7",171,470.8
"LOC730964",172,473
"NPIPA7",173,475.6
"RPL41",174,478.4
"RPL12",175,478.8
"LOC730839",176,479.3
"LOC100130814",177,481
"LOC100130141",178,482.9
