"Gene","metaRanking","RP"
"RNA28S5",1,1.316
"MT-RNR1",2,2.378
"LOC101928826",3,3.834
"CYTB",4,4.865
"RPS11P5",5,8.438
"COX1",6,10.25
"ND3",7,12.34
"COX2",8,13.5
"RP5-882O7.1",9,14.98
"LOC728576",10,16.68
"LOC100508408",11,19.03
"CHMP4BP1",12,21.08
"LOC728533",13,23.43
"LOC100129141",14,24.68
"LOC100133876",15,25.93
"RN7SKP9",16,27.17
"LOC648729",17,28.64
"LOC391777",18,30.09
"LOC389101",19,31.15
"RP6-11O7.2",20,32.59
"ND5",21,34.07
"LOC100129158",22,36.78
"ND4",23,37.58
"LOC645296",24,39.1
"MIR4485",25,41.35
"MYL12B",26,41.71
"ACTBP2",27,43.18
"MYL8P",28,44.4
"LOC100133224",29,46.2
"LOC645715",30,47.25
"POTEF",31,52.98
"LOC647099",32,54.05
"ACTG1P1",33,55.33
"LOC100133931",34,59.21
"RPL12P1",35,64.79
"LOC649076",36,66.87
"TMED7-TICAM2",37,69.51
"YBX1P10",38,70.77
"LOC100128533",39,74.2
"LOC440027",40,78.85
"LOC729960",41,81.25
"RN7SL396P",42,83.27
"LOC100130178",43,86.3
"RPS2P7",44,89.61
"KLRAQ1",45,91.34
"LOC728368",46,95.6
"ZC3H11B",47,99.4
"EEF1A1",48,105.8
"FLJ10661",49,105.9
"UBBP4",50,108.2
"LOC653162",51,109.5
"LOC728517",52,112.8
"LOC284393",53,115.8
"LOC728693",54,117.7
"RPL41",55,121.1
"LOC100130553",56,122.2
"LOC441484",57,125
"MIR1244-3",58,126.2
"LOC100131737",59,132.8
"RPL3",60,135.9
"HIST2H2BC",61,138.5
"LOC643863",62,141.9
"LOC728467",63,144.1
"POTEJ",64,146.2
"LOC101929087",65,149.1
"TMSB4XP2",66,152.5
"LOC440575",67,159.9
"LOC643856",68,167.4
"LOC100130550",69,172.3
"LOC642446",70,174.5
"RPL7AP8",71,178.3
"RAC1P2",72,179.9
"LOC644745",73,181.5
"LOC552889",74,183.7
"LOC644363",75,186.8
"IST1",76,191.9
"RN7SL674P",77,194.8
"LOC643123",78,196.9
"EEF1A1P11",79,201.4
"LOC389404",80,202.8
"LOC645515",81,206.4
"LOC647276",82,208.3
"ND1",83,213.3
"LOC645174",84,214.9
"LOC389223",85,216.7
"C5orf44",86,222.1
"LOC100132488",87,229.4
"LOC284230",88,232.3
"LOC653881",89,234.5
"LOC728597",90,236.4
"RPL4P4",91,238.6
"DUB4",92,244.9
"C12orf51",93,246.2
"RNU6-283P",94,248.5
"LOC646316",95,249.8
"RN7SL526P",96,258.2
"LOC100133478",97,260.5
"C3orf75",98,263.1
"RP13-258O15.1",99,270.4
"ACTBP7",100,273.9
"C22orf40",101,275.2
"FAM75A4",102,277.8
"YBX1P1",103,280
"LOC646438",104,281.6
"RPL22P11",105,284
"LOC343184",106,286.4
"RPL13AP5",107,288
"RN7SL156P",108,289.3
"LOC728975",109,292.5
"LOC100133273",110,295.6
"GOLGA8DP",111,300.7
"LOC341689",112,308.7
"LOC100130426",113,310.2
"LOC646934",114,313.1
"LOC729903",115,315
"CDC42P6",116,316.3
"LOC730964",117,318.5
"LOC389873",118,320.8
"LOC439953",119,325
"RNU6-1218P",120,328.9
"RNU6-1261P",121,330.9
"WTH3DI",122,337.8
"COX3",123,342
"MARCHF5",124,342.3
"LOC100131199",125,345
"LOC391044",126,348.2
"MIR6890",127,355.2
"NCRNA00161",128,359.3
"LOC728098",129,362.4
"MT-TF",130,365.5
"LOC339970",131,367.6
"FAM75C1",132,369.9
"NACA",133,372.6
"RPL13AP25",134,373.4
"CTDNEP1",135,374.2
"HIST3H2BA",136,375.4
"RPS2P32",137,380.8
"PPIAL4A",138,391
"TMA7",139,391
"GRXCR2",140,395.3
"LOC100128469",141,402.4
"LOC389328",142,404.3
"HMGB1P10",143,406.1
"LOC100132979",144,409.6
"RPL6",145,411.1
"LOC100130262",146,411.3
"RTCB",147,423.7
"FAM54B",148,425.3
"LOC401717",149,429.9
"BRK1",150,436.1
"FAM86B2",151,436.8
"TMEM248",152,437.1
"DDX39B",153,441.3
"LOC100129413",154,445.2
"DNAJC25-GNG10",155,445.8
"CYSTM1",156,449.3
"RPS11",157,452.6
"SRSF9",158,454
"LOC102723566",159,455.4
"LOC341784",160,456.8
"C12orf33",161,459.1
"CSNK2A3",162,460.5
"LOC648822",163,463.2
"RPS4XP2",164,467.2
"RN7SL4P",165,468.7
"LOC100130716",166,473.8
"LOC100129060",167,477.2
"CHCHD2P8",168,479
"FAM86JP",169,482.1
"LOC729327",170,483.5
"METTL16",171,486.4
"MIR6805",172,487.8
"CNOT11",173,489.8
"LOC100132944",174,491.6
"LOC730465",175,493.7
"LOC100128765",176,496.2
"LOC100128585",177,503.5
"LOC100130291",178,506.6
