"Gene","metaRanking","RP"
"RNU6-69P",1,1.189
"RNU6ATAC34P",2,2.213
"RNU6-275P",3,3.409
"RNU6-383P",4,4.757
"MIR4485",5,6.58
"RNU6-597P",6,7.969
"SRSF2",7,10.14
"RNU6-193P",8,12.15
"RN7SKP128",9,13.29
"CYTB",10,14.42
"HBCBP",11,15.84
"RN7SL416P",12,17.54
"RNU6-268P",13,18.77
"RNU2-25P",14,20.19
"RNU5F-8P",15,22.58
"RNA5SP240",16,24
"RNU6-1307P",17,25.16
"RNU6-963P",18,26.4
"RN7SKP61",19,27.73
"RN7SKP130",20,28.88
"RP5-882O7.1",21,30.65
"LOC101928826",22,31.98
"RNU4-43P",23,33.91
"ACTG1P1",24,35.24
"RNU6-884P",25,36.57
"ND5",26,38.32
"ND3",27,39.98
"RNA5SP163",28,42.74
"RNU6-438P",29,46.58
"RNY4P28",30,48.85
"RN7SL591P",31,50.35
"RNU6-129P",32,51.64
"RN7SKP9",33,53.49
"NACA3P",34,55.96
"ACTBP7",35,57.18
"RNU6-935P",36,58.69
"RNU6-123P",37,60.12
"TMPPE",38,62.65
"RN7SL674P",39,64.5
"LOC100131232",40,66.06
"RNU4-39P",41,67.49
"RNU5E-7P",42,68.92
"RNU6-417P",43,70.35
"RNA28S5",44,74.69
"PPP1R2P1",45,76.98
"COX1",46,78.22
"RNU6-435P",47,78.23
"RPS18P12",48,80.72
"RNU4-20P",49,83.07
"LRRC37A6P",50,84.33
"PRR23B",51,86.1
"RNU6-769P",52,87.61
"RNU1-115P",53,89.05
"IGKV2OR22-4",54,90.69
"IGLV9-49",55,92.07
"RN7SKP118",56,93.77
"ND1",57,95.74
"RNU6-924P",58,96.99
"RNU6-588P",59,98.49
"RN7SL135P",60,103.1
"LPEQ6126",61,104.8
"IFNL3",62,106.1
"MEIOB",63,107.5
"RPL7AP8",64,109.6
"RN7SL299P",65,110.9
"PPP1R42",66,112.6
"RNU6-72P",67,114.1
"RFTN1P1",68,115.6
"RNU6-857P",69,117.3
"YBX1P1",70,119.4
"MT-TF",71,120.8
"RPL4P4",72,122.8
"RNU6-624P",73,125.3
"RN7SKP101",74,126.9
"RNU4-90P",75,128.2
"RNA5SP275",76,130.4
"RN7SL177P",77,131.8
"RNU6-1177P",78,133.9
"RN7SKP217",79,135.9
"RNU6-1246P",80,137.5
"RNU6-1339P",81,139
"EEF1DP3",82,141
"RNU6-802P",83,142.5
"SUB1P3",84,143.7
"RNA5SP188",85,145.5
"RN7SKP235",86,147
"RNU6-1063P",87,148.4
"RNU6-1294P",88,149.7
"OR5AN2P",89,151.1
"DNM1P33",90,153.4
"MT-TS2",91,154.7
"RN7SKP72",92,157.3
"RNU6-569P",93,159.4
"RPS18P9",94,161.2
"LOC100506882",95,163.8
"RPL12P1",96,165.1
"RNU6-281P",97,166.6
"RNU1-74P",98,168
"LOC102724970",99,171
"LOC100508408",100,173.3
"RNU6-983P",101,175.3
"HIST2H2BC",102,178.6
"RNU6-815P",103,180.3
"YWHAQP8",104,181.9
"FAM138D",105,183.2
"RNU6-1321P",106,184.7
"SNRPD2P2",107,186.3
"SNORD115-8",108,189.3
"RNU2-56P",109,190.5
"RNU6-697P",110,193.3
"GPR79",111,194.5
"RN7SKP30",112,195.8
"RN7SKP257",113,197.8
"GOLGA8DP",114,199
"RNASEK-C17orf49",115,200.8
"OR7E106P",116,202.3
"RPL35P5",117,204.1
"SLC25A52",118,205.8
"LINC00999",119,207.1
"RPL22P19",120,208.4
"RNU6-696P",121,209.7
"MYL12B",122,209.7
"RN7SL810P",123,211.8
"RN7SKP32",124,213.8
"RNA5SP470",125,216.3
"RN7SKP271",126,218.2
"RNU6-274P",127,221.5
"RN7SKP243",128,223.4
"AATK-AS1",129,224.8
"RPL13AP20",130,226.8
"MT-TA",131,228.4
"RNU5F-3P",132,230.7
"RPL13AP5",133,232.1
"LINC00535",134,233.7
"RNU6-424P",135,235.2
"TPT1P13",136,236.4
"RNU6-261P",137,237.7
"SNORD115-40",138,239.2
"RN7SL221P",139,242.2
"RNU6-445P",140,243.5
"RNU6-1146P",141,245.5
"RN7SKP62",142,247.1
"ND4",143,248.2
"PRR27",144,251.1
"POTEJ",145,252.3
"OR7E128P",146,253.6
"RNU6-460P",147,255.4
"RNU6-927P",148,257.3
"RNU6-1095P",149,258.7
"RNU6-406P",150,262
"NAA38",151,263.2
"RNA5SP299",152,263.5
"RN7SL861P",153,266.8
"PPIAP11",154,271.4
"RNU2-70P",155,273.1
"DKFZP434F142",156,274.9
"RNU6-229P",157,275.9
"RNU6-53P",158,279.4
"RP13-258O15.1",159,281.7
"OR14K1",160,283.9
"CDC42P6",161,287.9
"UBE2E4P",162,289.6
"LRRC37A11P",163,290.9
"LOC102723981",164,292.2
"RPL22P22",165,293.8
"RN7SL111P",166,295.6
"CHMP4BP1",167,297
"RNU4-14P",168,299
"RNU6-1032P",169,302.6
"LOC100507501",170,304.2
"TMED7-TICAM2",171,305.9
"RN7SKP129",172,307.9
"RPS2P7",173,310.1
"RNLS",174,312.9
"HMGB1P10",175,313.4
"RN7SL432P",176,315.9
"RNU5E-5P",177,317.3
"EEF1A1",178,318.1
"RPL37AP8",179,318.7
"TNRC18P2",180,320.1
"RN7SL4P",181,322.5
"RPS20P27",182,324
"RNU6-351P",183,325.2
"RN7SL146P",184,328.4
"RNA5SP151",185,330.9
"RN7SKP136",186,332.8
"RNA5SP462",187,334.3
"RPS11P5",188,335.6
"RN7SL255P",189,337.3
"RPL7AL2",190,338.7
"RNU2-21P",191,340.6
"RNU6-1034P",192,342.7
"NELFE",193,345.4
"LOC101928143",194,347.2
"HINT1P1",195,349
"ACTBP2",196,350.3
"RNU6-217P",197,351.7
"RN7SKP143",198,355.6
"NPIPB9",199,357.6
"RNU6-827P",200,361.7
"CCDC183",201,363.5
"MIR135A1",202,365.1
"ANKRD62",203,367.3
"PRSS29P",204,369.7
"LINC00092",205,371
"DXO",206,371.6
"RN7SL108P",207,373.4
"FXYD6P3",208,375.1
"RNA5SP507",209,379
"ADTRP",210,379.1
"BCRP2",211,380.7
"RNA5SP466",212,382.9
"RN7SKP170",213,385.1
"RNU6-1221P",214,386.8
"COX2",215,387
"RNA5SP282",216,388.1
"RNU6-828P",217,390.3
"CTAGE7P",218,392.2
"RNU6ATAC38P",219,395.5
"RNU6-1148P",220,397
"MRPS21P2",221,399.1
"RN7SKP63",222,400.7
"RN7SKP81",223,402.7
"RNA5SP512",224,404.4
"HMGXB3",225,404.9
"RNA5SP170",226,407.5
"RNU6-1195P",227,409.3
"CFL1P3",228,413.8
"RNU4-50P",229,415.6
"FAM83A-AS1",230,416.9
"LOC101928953",231,418.2
"RN7SL833P",232,419.7
"CPSF7",233,421.9
"HIST3H2BA",234,423.3
"RN7SKP269",235,425.1
"RNA5SP289",236,426.5
"APOPT1",237,428
"RNU6-78P",238,428
"CSNK2A3",239,429.4
"RNA5SP508",240,431.1
"LAMTOR5",241,433.8
"RPL7AP66",242,434
"RN7SL737P",243,435.4
"RNA5SP256",244,440.5
"LOC100288910",245,442
"OR7E155P",246,445.2
"LOC101929115",247,446.6
"JARID2-AS1",248,448.3
"RN7SL443P",249,450
"RNU6-909P",250,451.9
"GJA1P1",251,455.7
"RNU6-422P",252,457
"RNU6-655P",253,459.3
"RNU6ATAC31P",254,461.4
"RP11-382B18.4",255,462.7
"RNY1P1",256,464.2
"SMCO2",257,466.6
"RNU1-22P",258,467.9
"RNU6-1046P",259,470.9
"RNU6-1062P",260,472.5
"SPDYE3",261,476.6
"SNRPD2P1",262,478.4
"NELFA",263,480.3
"RNU1-86P",264,483.4
"AC017104.6",265,485.6
"LOC440300",266,487.2
"ACSM6",267,489.4
"SNORD115-23",268,490.9
"LOC102724200",269,493.7
"RN7SKP161",270,495.1
"MOB2",271,496.4
"RNU6-1084P",272,499.1
"MIR520C",273,501.2
"TSPY14P",274,503
"ST13P4",275,504.4
"SPDYE7P",276,506.6
"TCEB2P2",277,508.5
"RNA5SP479",278,511.2
"TRIM39-RPP21",279,512.8
"IBA57",280,513.1
"TMA7",281,513.6
"RMRPP5",282,514.7
"RN7SL623P",283,516.5
"RNU6-1081P",284,518.6
"RNU6-716P",285,520
"RN7SL292P",286,521.5
"RNA5SP485",287,523.1
"NOS2P3",288,524.4
"RNU6-451P",289,526.3
"BAK1P2",290,527.7
"RNA5SP185",291,529.1
"RN7SL526P",292,530.4
"RNU6-754P",293,531.7
"LINC00896",294,532.1
"INTS6-AS1",295,534.3
"RNA5SP208",296,535.8
"TATDN2P1",297,537.1
"RN7SL863P",298,538.4
"RN7SL8P",299,539.7
"RNU6-138P",300,541.1
"CT47A10",301,542.4
"RNU6-380P",302,544.1
"RNU6-369P",303,546.3
"SIGLEC27P",304,547.6
"LOC100996428",305,549.6
"SLC15A5",306,551
"CHCHD2P8",307,552.6
"RNU6-1142P",308,554.8
"GOLGA8CP",309,557.2
"ASIC3",310,558.7
"RN7SKP142",311,563.4
"RNU6-799P",312,564.7
"RNU6-1206P",313,566.5
"MIR6805",314,568.4
"TMEM244",315,570.2
"OR7E5P",316,571.6
"MRRFP1",317,573.4
"HNRNPA1P12",318,574.7
"RNU6-752P",319,576.2
"EEF1DP1",320,578.1
"RNU6-947P",321,579.4
"RNU6-855P",322,580.8
"RNA5SP478",323,582.5
"SRSF9",324,583.8
"RNU2-3P",325,585.4
"RNA5SP24",326,586.8
"HSBP1P2",327,588.4
"RNA5SP237",328,590.1
"CENPBD1P1",329,590.8
"MT-TC",330,591.8
"CTAGE3P",331,593.3
"RN7SL481P",332,594.7
"RPL10AP6",333,596
"RNU6-505P",334,597.6
"RNA5SP379",335,599
"OR7E85P",336,600.4
"OR7E162P",337,601.7
"RNU2-47P",338,604.2
"DUS2",339,604.6
"RNU2-32P",340,607.2
"COA3",341,610.2
"OR51H1P",342,611.2
"RNA5SP147",343,613.1
"RNU2-36P",344,614.7
"RN7SKP185",345,616.6
"CYSTM1",346,616.9
"NPIPB5",347,618.1
"EIF3KP1",348,620.9
"RN7SL396P",349,622.5
"OR7E43P",350,624
"RN7SL505P",351,625.4
"RNU5A-2P",352,626.7
"MIR124-3",353,627.9
"RNU4-73P",354,629.8
"RNU6-974P",355,632.7
"RNU6-929P",356,634.3
"RNU6-551P",357,636
"RNU6-800P",358,637.5
"RNU6-448P",359,639.3
"SKOR1",360,641.3
"RNU6-289P",361,643
"RN7SKP275",362,644.5
"RNA5SP112",363,648.2
"RN7SKP39",364,649.6
"RNU6-1134P",365,652.8
"RNA5SP383",366,654.6
"RN7SKP44",367,656.2
"RNA5SP490",368,658.5
"RP6-11O7.2",369,660.5
"ZNF625-ZNF20",370,662.7
"ZAR1L",371,664.8
"RNU6-132P",372,666.5
"RNU6-461P",373,667.9
"MAN1B1-AS1",374,669.3
"CYCSP51",375,671.7
