"Gene","metaRanking","RP"
"TTC34",1,1.414
"FLJ35379",2,2.515
"ERCC-00095",3,3.708
"LOC553137",4,5.371
"LOC731787",5,6.468
"ERCC-00108",6,7.896
"LOC100131124",7,9.41
"CYTB",8,11.47
"LOC729789",9,12.69
"LOC100128819",10,14.75
"LOC100132088",11,15.99
"LOC729815",12,17.13
"LOC100133053",13,18.36
"MIR20B",14,19.77
"LOC728449",15,21.28
"LOC100132870",16,22.51
"LOC100130563",17,24.21
"MIR525",18,25.53
"LOC100130341",19,27.82
"LOC392452",20,29.15
"LOC100132235",21,30.82
"MT-TF",22,32.4
"LOC100132310",23,33.98
"ERCC-00092",24,35.15
"LOC100132944",25,37.21
"LOC728290",26,38.39
"LOC727951",27,39.56
"ERCC-00073",28,40.81
"MIR556",29,42.23
"LOC100128519",30,43.64
"RN7SL554P",31,45.31
"LOC644387",32,46.72
"RNU6-929P",33,48.57
"C20orf66",34,49.9
"LOC730517",35,51.81
"LOC100133649",36,53.31
"LOC360030",37,54.81
"LOC101928826",38,56.22
"SNORD112",39,57.39
"MIR181D",40,58.56
"LOC729854",41,60.57
"LOC646851",42,61.74
"LOC727831",43,62.98
"COX1",44,63.28
"LOC728804",45,64.82
"LOC728914",46,65.98
"LOC100132733",47,68.35
"LOC100127989",48,69.85
"LOC729862",49,71.71
"LOC100129719",50,72.96
"LOC100132113",51,74.71
"LOC286157",52,75.88
"LOC121906",53,77.57
"LOC100133993",54,79.76
"LOC647597",55,81.18
"MIR376A2",56,82.51
"LOC100133446",57,83.75
"LOC728522",58,85.08
"LOC100130616",59,86.24
"LOC100130207",60,87.49
"LOC100131414",61,88.64
"LOC100133005",62,89.97
"LOC100129626",63,91.38
"ND4",64,92.94
"LOC729368",65,93.23
"LOC100129058",66,95.1
"LOC100132847",67,97.29
"MIR1180",68,98.45
"LOC400129",69,99.6
"LOC100131549",70,100.8
"LOC730121",71,102.6
"MIR1245",72,104.2
"TAS2R30",73,105.3
"LOC100129737",74,106.6
"LOC729770",75,109.5
"MIR421",76,110.6
"LOC348926",77,112
"SNORD126",78,113.2
"MIR1246",79,114.3
"LOC100129315",80,115.5
"LOC649294",81,117
"RN7SL551P",82,118.2
"LOC100131909",83,119.4
"MARCHF10",84,120.9
"MIR1298",85,122.3
"MIR548Q",86,123.9
"LOC100130453",87,125
"YBX1P10",88,126.4
"RNA5SP117",89,127.7
"LOC730376",90,129
"RNA5SP112",91,130.4
"LOC100133847",92,131.7
"LOC100134373",93,133.1
"CHMP4BP1",94,134.5
"TTTY7B",95,135.7
"LOC100132317",96,136.9
"LOC442427",97,138.1
"MIR1290",98,139.5
"ERCC-00143",99,141.1
"PRAMEF3",100,142.2
"MYL8P",101,143.7
"LOC729977",102,145
"LOC391044",103,146.6
"MIR1302-1",104,147.8
"RN7SL442P",105,149
"LOC642413",106,150.6
"LOC728592",107,151.7
