"Gene","metaRanking","RP"
"CYTB",1,1.189
"LOC101928826",2,2.632
"ND5",3,4.243
"RPL12P1",4,5.447
"RN7SKP9",5,7.208
"NACA3P",6,8.909
"MT-TF",7,10.63
"MIR4485",8,12.23
"RN7SL4P",9,13.65
"CHMP4BP1",10,14.89
"RNU6-460P",11,16.75
"RNU6-769P",12,18.08
"ACTBP7",13,19.24
"RN7SL674P",14,20.97
"RNU5F-8P",15,22.65
"RNA5SP163",16,24.16
"RNU4-20P",17,25.71
"ACTG1P1",18,26.86
"RNU2-25P",19,29.29
"RPS11P5",20,31.05
"RPL7AP8",21,32.39
"OR7E106P",22,33.55
"RNY4P28",23,35.31
"RP5-882O7.1",24,36.48
"RNA5SP240",25,37.9
"RPS18P9",26,40.23
"RNU6-597P",27,42.92
"RNU6-435P",28,44.19
"ND4",29,45.34
"TMPPE",30,46.84
"ND3",31,48.24
"POTEJ",32,49.29
"RPL4P4",33,51.37
"COX1",34,53.87
"ND1",35,54.31
"NELFA",36,56.16
"RN7SKP61",37,57.37
"ACTBP2",38,58.72
"RNA5SP275",39,61.05
"RNU2-32P",40,63.04
"RNU6-1246P",41,66.19
"RPS20P27",42,71.16
"RNU2-56P",43,72.42
"RNU2-21P",44,74.71
"RN7SKP118",45,76.09
"RNU6-1134P",46,77.47
"RNU6-1307P",47,80.18
"RNU6-1146P",48,83.26
"FAM86JP",49,84.58
"PPP1R42",50,86.4
"RPS18P12",51,88.16
"LPEQ6126",52,91.04
"GOLGA8DP",53,94.24
"COX2",54,94.7
"CHCHD2P8",55,96.56
"RN7SKP235",56,98.98
"RNU6-391P",57,100.3
"RN7SL591P",58,103.3
"RNU5E-5P",59,105.7
"RN7SKP185",60,107.6
"PRR27",61,110.1
"TMEM236",62,112.4
"GOLGA6L10",63,113.8
"RNU5A-2P",64,117.1
"EEF1DP3",65,119.1
"RNU6-792P",66,121
"YBX1P1",67,123
"EEF1A1",68,123.8
"RNU1-115P",69,124.8
"RN7SL177P",70,126.2
"RNU6-366P",71,127.9
"NPIPB5",72,129.4
"CYSTM1",73,130.1
"RNA5SP507",74,131.6
"LINC00999",75,133.8
"YWHAZP3",76,135.1
"RNA28S5",77,136.5
"RNU6-193P",78,139.1
"RNU2-3P",79,141.1
"PRAMENP",80,143.9
"HIST2H2BC",81,146.3
"RNU6-927P",82,147.6
"RAC1P2",83,149.1
"RN7SL705P",84,150.4
"SRSF2",85,151.8
"RN7SKP240",86,153.2
"NPIPA3",87,157.6
"RN7SKP79",88,159.1
"RNU6-1084P",89,161.2
"NPIPA7",90,163.1
"SNRPD2P2",91,165
"SRSF9",92,166.3
"GOLGA2P6",93,168.4
"RN7SKP130",94,169.7
"HINT1P1",95,171.2
"RN7SKP217",96,172.5
"RN7SL833P",97,174.6
"RNU6-1148P",98,176
"LOC440700",99,177.6
"RNA5SP466",100,179
"RNU6-53P",101,181.7
"RPS2P7",102,183.2
"MIR1244-3",103,184.6
"RNU6-448P",104,186.4
"RN7SKP162",105,188.6
"RN7SL863P",106,190.1
"RNU6-588P",107,192.5
"RNU6-123P",108,196.1
"RNA5SP214",109,197.7
"RNU6-78P",110,199
"ST13P4",111,200.3
"RNU6-281P",112,201.7
"UBE2E4P",113,203.5
"RN7SL737P",114,205.2
"LOC100508408",115,206.6
"RNU6-935P",116,208.7
"SNORD115-23",117,211.7
"RNA5SP223",118,214.5
"TMED7-TICAM2",119,215.9
"RNU6-1062P",120,218.5
"RNU6-261P",121,220
"PPP1R2P1",122,221.5
"CFL1P3",123,222.8
"RNU2-23P",124,224.9
"RN7SKP189",125,226.4
"SMCO2",126,228.5
"FLJ45743",127,232.3
"PTMAP4",128,233.7
"RPL7AP66",129,235.2
"RPL36AP40",130,237.1
"RNY1P1",131,238.8
"SKOR1",132,240.3
"PRSS29P",133,242.6
"RN7SKP44",134,244.1
"RNU6-424P",135,245.7
"RNU6ATAC34P",136,247
"RNU6-380P",137,249.4
"RNU6-438P",138,252.2
"RNU6-417P",139,255.7
"APITD1-CORT",140,257.1
"SNRPD2P1",141,259.5
"RN7SKP110",142,262
"TMEM244",143,263.6
"RNU6-754P",144,266.7
"NUPR1L",145,268.9
"SPDYE9P",146,270.6
"RNU6-440P",147,272.3
"SLC25A53",148,273.2
"OR7D1P",149,274.7
"RN7SL267P",150,278.8
"RN7SKP248",151,282.5
"UBE2Q2P2",152,284
"OR5AN2P",153,285.5
"LOC100507646",154,287.1
"FAM161B",155,289.1
"H3F3AP5",156,291.6
"RPL36P18",157,294.3
"NPIPB9",158,295.7
"RN7SL442P",159,297.2
"RNU1-117P",160,301
"HBCBP",161,302.7
"RNASEK-C17orf49",162,304.3
"RNU6-1081P",163,306
"HMGB1P10",164,307.9
"FAM35DP",165,309.7
"CCDC183",166,311.7
"YBX1P10",167,313.1
"RPL13AP5",168,314.4
"TRIM39-RPP21",169,315.9
"RN7SL526P",170,318.8
"AC017104.6",171,320.2
"LIPT2",172,321.7
"RNU6-1310P",173,323.2
"FER1L6-AS2",174,325
"RNU6-1034P",175,327
"RNU6-1032P",176,328.6
"RNU1-74P",177,330.4
"RP6-11O7.2",178,331.8
"RNU6-67P",179,334.3
"LAMTOR5",180,334.4
"RNU4-27P",181,336.6
"RN7SL623P",182,343.1
"RNU6-627P",183,344.6
"METTL16",184,345.9
"MRRFP1",185,348.1
"RN7SKP132",186,352.1
"RN7SKP275",187,354.1
"TATDN2P1",188,355.8
"IGLV9-49",189,357.2
"RNU6-1254P",190,358.6
"SNORA70E",191,360
"RN7SKP25",192,361.7
"RN7SKP269",193,363.2
"AATK-AS1",194,365.1
"RNU2-70P",195,366.6
"LOC100996428",196,368.6
"NPIPB6",197,370.4
"RN7SKP161",198,372.4
"RN7SL302P",199,374.1
"PRR23B",200,376.4
