"X","medianGPL570","medianGPL6244","medianGPL10558","medianGPL6947"
"7A5",NA,NA,0.0781227637018658,0.147118317464529
"A1BG",0.147198709351008,0.124471677457165,0.0525579521645928,0.115924368077206
"A1BG-AS1",0.127305294841597,NA,NA,NA
"A1CF",0.108815081457578,0.124034458233344,0.0578331577600492,0.152935163608358
"A26A1",NA,NA,NA,0.111160750324159
"A26B1",NA,NA,NA,0.170588682936705
"A26C1B",NA,NA,NA,0.137559030963957
"A26C3",NA,NA,0.0890397217967815,0.124636023826638
"A2BP1",NA,NA,0.0785769532585055,0.0886123989497237
"A2LD1",NA,NA,0.190207325086916,NA
"A2M",0.109855735499197,0.140279422843595,0.0956718207302846,0.315283822274833
"A2M-AS1",0.119634153150687,NA,NA,NA
"A2ML1",0.1475356407474,0.146119382683929,0.0907408645143386,0.170011049772975
"A2MP1",0.153912336909665,NA,NA,NA
"A3GALT2",NA,0.184002189013627,0.0800473045758216,0.10854252461395
"A4GALT",0.1081507357923,0.158299025903206,0.221643493697868,0.271727109796582
"A4GNT",0.0987506855925991,0.164328277478554,0.224013603173443,0.1957794416078
"AA06",0.141484008346832,NA,NA,NA
"AAA1",NA,NA,0.0557491913420512,0.103348086639782
"AAAS",0.0640877737313202,0.0951452457900954,0.098710708511818,0.156640643291422
"AACS",0.155431780217688,0.223945350206475,0.126504893636234,0.500213496178429
"AACSL",NA,NA,0.116066913960607,0.201558917087061
"AACSP1",0.151561256668662,NA,NA,NA
"AADAC",0.476250303162554,0.404263731590466,0.415004820088047,0.445798159099305
"AADACL1",NA,NA,0.0430983841423287,0.304156248080024
"AADACL2",0.282734315557822,0.159471911625562,0.243518349476902,0.158856729469675
"AADACL3",NA,0.156002360066715,0.0562745768035469,0.138167046423592
"AADACL4",NA,0.166480515928121,0.17414598201874,0.206057340349787
"AADACP1",0.240980281436584,NA,NA,NA
"AADAT",0.146395647081369,0.095449274361061,0.0593861301911087,0.0967224507163434
"AAED1",0.172825794564112,0.140284024014858,NA,NA
"AAGAB",0.105162735432621,0.101897486410124,0.131158063656343,NA
"AAK1",0.124706150772846,0.171842905685262,0.0903036168695946,0.110725036097149
"AAMDC",0.12617224788314,0.137785071282243,NA,NA
"AAMP",0.117265819413962,0.149408016485407,0.0986498946068945,0.226502102033582
"AANAT",0.194809645231904,0.130190405489671,0.072037224322595,0.140242093470635
"AAR2",0.0912740171591986,0.100923064589316,NA,NA
"AARD",NA,0.155561650505824,NA,NA
"AARS",0.0889324799700065,0.131864767247558,0.188318153269274,0.166995076559891
"AARS2",0.0771546369222626,0.081204042778409,0.123526389663656,0.187913847876982
"AARSD1",0.0856316264081548,NA,0.0518461809839466,0.192392777016733
"AASDH",0.0797889882598552,0.138110964735439,0.15543752072446,0.143687170988217
"AASDHPPT",0.161575316329962,0.115788293798492,0.145532049756403,0.19827966188786
"AASS",0.163116089258839,0.150376868761139,0.110208499987219,0.140644197135547
"AATF",0.166605323724868,0.129364105247474,0.147565109040905,0.158054540288159
"AATK",0.1330568382708,0.0985603782944882,0.11225656789761,0.112950493051694
"AATK-AS1",NA,0.103575206223016,NA,NA
"AB074162",0.202270826817504,NA,NA,NA
"AB488780",0.121709668047379,NA,NA,NA
"ABAT",0.149250154023218,0.112652726325321,0.0898736565277839,0.0886663444332619
"ABCA1",0.202674180362793,0.182707838628038,0.101626295520653,0.2272601902319
"ABCA10",NA,0.235989050488759,0.136560022583957,0.200235166170079
"ABCA11",NA,NA,0.119693639474724,0.178721819101201
"ABCA11P",0.115052499529169,0.147454493656089,NA,NA
"ABCA12",0.213035804131099,0.134741370941181,0.0988585485361483,0.114278621899822
"ABCA13",0.198160191162463,0.143426708034902,0.141299080149904,0.150063712162013
"ABCA17P",0.181114237969593,NA,NA,NA
"ABCA2",0.130688871099428,0.109645611374538,0.196694269893894,0.240040231533342
"ABCA3",0.0966785967999508,0.0989416928524477,0.203395190336898,0.187415829275467
"ABCA4",0.143445326555935,0.114606930952828,0.10332200664803,0.140054247041589
"ABCA5",0.100470113414884,0.117755558988377,0.114950860567611,0.180108454369642
"ABCA6",0.183302130517996,0.279898569373991,0.22535292382502,0.231900233904514
"ABCA7",0.136330335067326,0.0994761027145813,0.0704832916269047,0.133605265377346
"ABCA8",0.261744372114211,0.230817189916808,0.144850153874124,0.234092994540999
"ABCA9",0.182196027242221,0.283859605171262,0.0545524170724736,0.235342773593328
"ABCB1",0.14812113457225,0.165950001194461,0.183814217051495,0.131707686607372
"ABCB10",0.145309591069996,0.109129641302074,0.168294131505124,0.196158861650969
"ABCB11",0.121558534379484,0.180627733556958,0.0701765203376024,0.161237837705522
"ABCB4",0.368598252455311,0.14163710253057,0.110184565870049,0.187695716645261
"ABCB5",0.170956833243259,0.247260849432662,0.0877802343806269,0.154160733646652
"ABCB6",0.101839408073153,0.151706751507118,0.0973430428138054,0.196815346283352
"ABCB7",0.133770329438868,0.126568099902624,0.044236387309457,0.2248992731045
"ABCB8",0.182500348873522,0.0668098519764277,0.131535145163675,0.152089514846757
"ABCB9",0.135381197127075,0.132744082593296,0.170647593459882,0.173121882603423
"ABCC1",0.0866207226666314,0.155194678685179,0.142448353905817,0.198522839719908
"ABCC10",0.110999291279162,0.0952249380603346,0.120973256803488,0.153228978032254
"ABCC11",0.129447062816267,0.13037210186369,0.0720905842393799,0.140860518557092
"ABCC12",0.13338960678793,0.13366681367977,0.0849389460673987,0.11695149733431
"ABCC13",0.133307460433327,0.137032963885247,0.0744731857748803,0.104921208099189
"ABCC2",0.216119749601067,0.205945700310324,0.238855510896321,0.191893522089794
"ABCC3",0.108827276847776,0.157037348721628,0.455705085636146,0.553556187812791
"ABCC4",0.154535684311469,0.143774758100531,0.124089986319996,0.116560806272505
"ABCC5",0.169933467204425,0.149009653633685,0.170851580356146,0.247425997771674
"ABCC6",0.13894795319416,0.140790837224015,0.120703239229765,0.172525608561961
"ABCC6P1",0.173227165200519,NA,0.129604186410147,NA
"ABCC6P2",NA,NA,0.180156316701726,NA
"ABCC8",0.122334175203092,0.1144006028893,0.200334512667872,0.165026576138923
"ABCC9",0.208796458680109,0.147139122436328,0.075790313329254,0.1616964379375
"ABCD1",0.11535203616212,0.119914599262831,0.21854383248833,0.26895235292418
"ABCD1P2",0.149398638353421,NA,NA,NA
"ABCD2",0.21863111217644,0.181846587798864,0.0818004734629845,0.136350525701665
"ABCD3",0.130032240206423,0.113063813632144,0.118988673476674,0.177816108925997
"ABCD4",0.0863885758995535,0.0866495552112941,0.0722793410320697,0.0975257378520347
"ABCE1",0.125213584085371,0.154963669986934,0.16801570368551,0.204606409625022
"ABCF1",0.104396598482242,0.124327033530835,0.140817294850212,0.13947210958363
"ABCF2",0.124128507587772,0.0976020496385769,0.13645454927843,0.155184374694968
"ABCF3",0.0507595350831974,0.138123678811787,0.114985218810795,0.227926474638543
"ABCG1",0.189757698798139,0.20718420615361,0.114573110989499,0.105596668378813
"ABCG2",0.196374347663252,0.23399309533773,0.124539794267095,0.178653378932307
"ABCG4",0.143564826484956,0.109247607344645,0.110419894571713,0.142877352890336
"ABCG5",0.146039108413987,0.108978816696712,0.0787047573360301,0.16112314387649
"ABCG8",0.156464129328175,0.130720807221497,0.112503719954864,0.154742751049608
"ABHD1",0.138661621828384,0.0890376563789012,0.153449859710534,0.232692531669009
"ABHD10",0.10714436214163,0.124874881835471,0.126766815543567,0.284565893530517
"ABHD11",0.0921366131244272,0.123163684651007,0.122504663887704,0.161517374428162
"ABHD12",0.0961140854363838,0.0834771250625889,0.0539654959825899,0.205069504109655
"ABHD12B",0.147224062158813,0.170184293816638,0.105589225030448,0.105089405964936
"ABHD13",0.158139992752904,0.0802115874712115,0.0798035375599532,0.108678138018149
