"X","medianGPL570","medianGPL6244","medianGPL10558","medianGPL6947"
"7A5",NA,NA,0.18723535198912,0.198063427053047
"A1BG",0.14554777062069,0.0268989903969211,0.128783529650875,0.150754360848048
"A1BG-AS1",0.326863140598818,NA,NA,NA
"A1CF",0.0355106768270603,0.0280532194845312,0.181216469948925,0.184404149991458
"A26A1",NA,NA,NA,0.167744613171405
"A26B1",NA,NA,NA,0.173745308383487
"A26C1B",NA,NA,NA,0.205605395493775
"A26C3",NA,NA,0.193570396094169,0.184059291430756
"A2BP1",NA,NA,0.120432064870976,0.149122424247208
"A2LD1",NA,NA,0.282468730302294,NA
"A2M",0.0685344355527648,0.0789592531753546,0.278957997680871,0.29335585237156
"A2M-AS1",0.20130445983155,NA,NA,NA
"A2ML1",0.0897609974880881,0.0395568289574744,0.242945576758728,0.257629578286898
"A2MP1",0.171421725437232,NA,NA,NA
"A3GALT2",NA,0.0591239985663434,0.204804290782539,0.150615654895308
"A4GALT",0.130383441803293,0.0311731219960854,0.41481757734909,0.242085935181966
"A4GNT",0.134392146326549,0.0509813115487356,0.146750582629306,0.233748857362955
"AA06",0.112168572314222,NA,NA,NA
"AAA1",NA,NA,0.122555499248864,0.119854022356223
"AAAS",0.0754942104217047,0.0247371711410486,0.198517469377147,0.142142186524004
"AACS",0.11999019459741,0.0469218566580646,0.573776800996239,0.371419383289552
"AACSL",NA,NA,0.263085353804574,0.216385175679903
"AACSP1",0.126627477134784,NA,NA,NA
"AADAC",0.497926713322819,0.18229808200086,0.839281509710648,0.38806804831351
"AADACL1",NA,NA,0.276581268243494,0.448067008884807
"AADACL2",0.19478199384396,0.0628002589954926,0.102225156138202,0.214909823090285
"AADACL3",NA,0.0617604861859257,0.243104815358116,0.218636377807062
"AADACL4",NA,0.0424240924829107,0.236443622567293,0.295604144494038
"AADACP1",0.175685287481225,NA,NA,NA
"AADAT",0.220271471217182,0.0350342593287209,0.0838088604067287,0.15677735415082
"AAED1",0.113914318999894,0.0423618540978224,NA,NA
"AAGAB",0.153065833097567,0.0220301049495004,0.305616420676638,NA
"AAK1",0.123009072686373,0.0350058811048736,0.138363307555345,0.15114345260174
"AAMDC",0.095641383560936,0.0386457998468775,NA,NA
"AAMP",0.0248319688416507,0.0279105257949556,0.173162019065856,0.149815366983386
"AANAT",0.120095337210111,0.0214415677175173,0.261688836030672,0.2727863601834
"AAR2",0.0804997594783251,0.0190676649507422,NA,NA
"AARD",NA,0.0682002231272111,NA,NA
"AARS",0.0398473593456856,0.0329346538067397,0.203203349769723,0.0822013832466933
"AARS2",0.111511603803965,0.0288689663332131,0.177994454616496,0.104223968555799
"AARSD1",0.0399054673482971,NA,0.139037586576226,0.0945217072460777
"AASDH",0.141862565104363,0.0488222692647624,0.261653516344148,0.127116242798319
"AASDHPPT",0.265003658590988,0.0192808367062054,0.220263701373571,0.130966611850042
"AASS",0.0809061503689956,0.059473323371531,0.300647596735433,0.288653481559985
"AATF",0.0421266526961832,0.0206620849609414,0.173803245949439,0.114845917460821
"AATK",0.128777107554485,0.0394241823974301,0.192900780707244,0.217076921807365
"AATK-AS1",NA,0.0235402415954192,NA,NA
"AB074162",0.174209022561114,NA,NA,NA
"AB488780",0.0586382724316701,NA,NA,NA
"ABAT",0.178953107278793,0.0256476074435777,0.186300014295008,0.185317307674137
"ABCA1",0.151247057308817,0.0427841857053671,0.351408025678574,0.143682672488224
"ABCA10",NA,0.0828147625291626,0.254032914350052,0.228215451041893
"ABCA11",NA,NA,0.211110821205731,0.197810125315106
"ABCA11P",0.209661710552566,0.038480545792253,NA,NA
"ABCA12",0.0793471669049065,0.0165630404377435,0.151050849285141,0.139356660363101
"ABCA13",0.188324299711254,0.0335765347193873,0.294360420433859,0.226078181327874
"ABCA17P",0.177356068166772,NA,NA,NA
"ABCA2",0.191162592603975,0.0582152965823434,0.189724689347688,0.152957759720567
"ABCA3",0.0489296478611346,0.0500642725542172,0.210269923634392,0.18061155581449
"ABCA4",0.15263673947919,0.0291851095455853,0.168519656277228,0.220275649243272
"ABCA5",0.14150616678876,0.0742180339226086,0.264427463035168,0.150571903348648
"ABCA6",0.194001664541165,0.131436229543145,0.321787582897161,0.204655665508329
"ABCA7",0.120256626398892,0.029543624388891,0.088652369359495,0.202944105183475
"ABCA8",0.167483264623459,0.0865161351107142,0.325637556806096,0.160234363536974
"ABCA9",0.215369363861195,0.10026636827071,0.348285966197179,0.151716678250402
"ABCB1",0.180590876468111,0.0350985469964369,0.249428599529986,0.210436428910242
"ABCB10",0.235099840259216,0.0336542111523541,0.191153162241948,0.118849777752959
"ABCB11",0.0681386951668159,0.0947941101524761,0.207054624991605,0.349768490869201
"ABCB4",0.242627448286708,0.0482110301794671,0.336915150012415,0.261130991537657
"ABCB5",0.22210996838137,0.0549956727089537,0.231198347423826,0.249533014421309
"ABCB6",0.0773912731207928,0.0560785810928451,0.196898962974312,0.14044050969607
"ABCB7",0.0919369125519477,0.0399737598178303,0.184079447594955,0.14147555190301
"ABCB8",0.0625110378654877,0.0281504741462331,0.203611146333032,0.226436748755332
"ABCB9",0.176411241854161,0.0306874874824572,0.290638495713925,0.210707186044491
"ABCC1",0.0825809313365705,0.0384507321320492,0.278607220086322,0.208111123570557
"ABCC10",0.135984968038486,0.0238317073496131,0.188731104250664,0.138827685305419
"ABCC11",0.160902097086413,0.0337310431603437,0.180258711805066,0.188916644858004
"ABCC12",0.0852215929939079,0.0278380454675715,0.245531820836119,0.242531060930801
"ABCC13",0.0965319383209533,0.0287191077592295,0.214695240950633,0.176362734602564
"ABCC2",0.148926265004816,0.0471904336244851,0.260064766156767,0.271911690874551
"ABCC3",0.0842279949395631,0.113960767665355,0.388715056090195,0.441947148285231
"ABCC4",0.0709809444229773,0.0539923961910271,0.211796299224463,0.251030488436742
"ABCC5",0.206507689705808,0.0734123771555016,0.280386946782201,0.183409319376258
"ABCC6",0.161505264017418,0.0606131946190588,0.225913314270854,0.203982626237898
"ABCC6P1",0.179555503301178,NA,0.224197062362504,NA
"ABCC6P2",NA,NA,0.207205712374,NA
"ABCC8",0.0735284085623389,0.0142494647445906,0.130017292417495,0.200977459174476
"ABCC9",0.060203725357503,0.0679137100445127,0.180911954586261,0.18316948180749
"ABCD1",0.0795608786331583,0.0203569527352601,0.308297573752268,0.218790761560075
"ABCD1P2",0.155308817009011,NA,NA,NA
"ABCD2",0.102744447375572,0.0930321058827333,0.216980522822305,0.204736274939011
"ABCD3",0.0531016030567173,0.0791665496609199,0.205681707182052,0.124131382945708
"ABCD4",0.0401613725577601,0.0246110618958979,0.144986999749038,0.147175436148341
"ABCE1",0.0931094986805658,0.082674080786042,0.238428064179915,0.090203233654289
"ABCF1",0.0502153032055862,0.0246969890731826,0.138473217106637,0.0820398809288151
"ABCF2",0.0307306534294363,0.0359122136659669,0.202495393343763,0.21490453248441
"ABCF3",0.0787009136565659,0.0281403863713338,0.148270578984193,0.153896808720494
"ABCG1",0.163991382946822,0.0753254069188008,0.118686308556736,0.130752295184366
"ABCG2",0.0683988006535731,0.0531915906129432,0.223023174282899,0.217793053358541
"ABCG4",0.102558569312045,0.0330844918887823,0.15682899538594,0.283837076149401
"ABCG5",0.160227290821234,0.025320196524961,0.314940326966616,0.212377649176139
"ABCG8",0.3355429415965,0.0531531068122515,0.208560963843101,0.200256123369766
"ABHD1",0.272379847757829,0.03849380685953,0.346332400109268,0.216822057607077
"ABHD10",0.105692276968449,0.0538878676538171,0.233967954555027,0.191580565725929
"ABHD11",0.0754818474191001,0.0403139594999075,0.256315263905566,0.188632143178123
"ABHD12",0.161263964976634,0.0324108661800257,0.285222520293641,0.193164545679364
"ABHD12B",0.1615038538029,0.0460989920785478,0.274079020322,0.145783490316337
"ABHD13",0.285995709488126,0.0383299389765247,0.205816286135525,0.170570186020008
"ABHD14A",0.0703659868408825,0.0255772835559855,0.247084427927502,0.143108915126928
"ABHD14A-ACY1",0.136156121385391,NA,NA,NA
"ABHD14B",0.101256196506943,0.0338395340450819,0.210040552733179,0.154256968392898
"ABHD15",0.0541883456597247,0.0500157066744584,0.297129182969413,NA
"ABHD16A",0.0371232487485546,0.0180080481147815,NA,NA
"ABHD16B",0.100127317027001,0.0385873494565079,NA,NA
"ABHD17A",0.0549203963063606,0.0383169968161009,NA,NA
"ABHD17AP4",NA,0.0450392498857589,NA,NA
"ABHD17B",0.0817696434410623,0.0447910872326214,NA,NA
"ABHD17C",0.112143510681601,0.0219031567376195,NA,NA
"ABHD2",0.0531269978477599,0.0347239375193072,0.130319593991966,0.187811994106808
"ABHD3",0.0726498335682254,0.039521675590632,0.281186930038124,0.151672310823307
"ABHD4",0.0375373782848926,0.0566997808493984,0.247119212704774,0.159834712983885
"ABHD5",0.04598468200287,0.0811135340783632,0.5468376250246,0.234881539676082
"ABHD6",0.0867491869179589,0.0581329696145965,0.239166738315653,0.139880098517414
"ABHD7",NA,NA,0.207999027267586,0.234388777319152
"ABHD8",0.131466587161664,0.0360197142399701,0.233044861858568,0.114624970546824
"ABHD9",NA,NA,0.250108821691071,0.182806596723794
"ABI1",0.166420641032213,0.026591764491428,0.189953710798093,0.128603012760184
"ABI2",0.0256784054111799,0.0426268872342167,0.131014301056378,0.12420144612933
"ABI3",0.11749570186112,0.0346907730848053,0.243961563632537,0.187159134581612
"ABI3BP",0.168406067568637,0.0754709425734837,0.438899024342866,0.188862173022937
"ABL1",0.0679362629273401,0.0657627475886653,0.12676329814067,0.179334126026677
"ABL2",0.0866953695293392,0.0221895968812892,0.27424305242647,0.175915983357943
"ABLIM1",0.0463227209065994,0.0953527583149905,0.322028121089884,0.184257163433497
"ABLIM2",0.0354433814354682,0.0369861917648079,0.269035904156133,0.185051175298193
"ABLIM3",0.0502831289400578,0.0622440462061577,0.303326310313363,0.20866120969164
"ABO",0.0913353258652282,0.0297853568763318,0.288076286196527,0.240020577130022
"ABP1",NA,NA,0.210362546177696,0.231247235442407
"abParts",0.15919008790893,NA,NA,NA
"ABR",0.0867594821816088,0.0595319151668252,0.128850996896734,0.132564551316561
"ABRA",0.256558984955306,0.0399067415634844,0.300133955962335,0.188265733085572
"ABRACL",0.364848289127097,0.0694983557416642,NA,NA
"ABT1",0.103432668516626,0.0258009127842035,0.185624077708858,0.261179189544191
"ABTB1",0.0956700936876314,0.0409163910748181,0.285107843529667,0.157483230792798
"ABTB2",0.15165143946872,0.0525773284707071,0.249220044863959,0.24986946848992
"AC000111.3",0.289607026623938,NA,NA,NA
"AC002059.10",0.196008724502372,NA,NA,NA
"AC002064.5",0.234512064441201,NA,NA,NA
"AC002310.12",0.146493381712957,NA,NA,NA
"AC002310.7",0.299164920668043,NA,NA,NA
"AC003973.4",0.451280512273398,NA,NA,NA
"AC003986.5",0.138874665461526,NA,NA,NA
"AC003989.4",0.189431104968914,NA,NA,NA
"AC004158.3",0.154755917691336,NA,NA,NA
"AC004490.1",0.258480564301221,NA,NA,NA
"AC004538.3",0.28258858266821,NA,NA,NA
"AC004692.5",0.11637529257239,NA,NA,NA
"AC004941.5",0.0907982879030186,NA,NA,NA
"AC004951.6",0.150123595940352,NA,NA,NA
"AC005162.4",0.0920070614618707,NA,NA,NA
"AC005224.2",0.188896415340809,NA,NA,NA
"AC005256.1",0.103715814889041,NA,NA,NA
"AC005306.3",0.100961683647786,NA,NA,NA
"AC005498.3",0.134972441149498,NA,NA,NA
"AC005523.2",0.100388850787486,NA,NA,NA
"AC005523.3",0.0485038698702608,NA,NA,NA
"AC005537.2",0.119434698347815,NA,NA,NA
"AC005592.3",0.13716348147443,NA,NA,NA
"AC005606.14",0.355405352378265,NA,NA,NA
"AC005754.7",0.108822634946533,NA,NA,NA
"AC005785.2",0.228508841903227,NA,NA,NA
"AC005838.2",0.164218947719426,NA,NA,NA
"AC006026.13",0.0738353860697883,NA,NA,NA
"AC006129.2",0.209884235935606,NA,NA,NA
"AC006538.1",0.0632613755899358,NA,NA,NA
"AC007228.11",0.0540836849707692,NA,NA,NA
"AC007255.8",0.1123059340336,NA,NA,NA
"AC007292.3",0.101925477012604,NA,NA,NA
"AC007349.5",0.171255152758013,NA,NA,NA
"AC007362.3",0.197720440803507,NA,NA,NA
"AC007364.1",0.320321003102592,NA,NA,NA
"AC007365.3",0.0968260082674623,NA,NA,NA
"AC007389.3",0.1908518041422,NA,NA,NA
"AC007401.2",0.233925782414939,NA,NA,NA
"AC007557.2",0.146389666189744,NA,NA,NA
"AC007680.2",0.184412628637587,NA,NA,NA
"AC007787.2",0.201350441884232,NA,NA,NA
"AC007967.3",0.198372429312217,NA,NA,NA
"AC008088.4",0.216492039186881,NA,NA,NA
"AC008746.12",0.13749335230582,NA,NA,NA
"AC008753.4",0.216533391173734,NA,NA,NA
"AC009120.6",0.135262531391398,NA,NA,NA
"AC009133.15",0.110498501099121,NA,NA,NA
"AC009237.8",0.26326377886439,NA,NA,NA
"AC009502.4",0.142264626128553,NA,NA,NA
"AC009947.3",0.164660046308019,NA,NA,NA
"AC010095.5",0.128926083280335,NA,NA,NA
"AC010145.3",0.107993396795387,NA,NA,NA
"AC010145.4",0.155402215378704,NA,NA,NA
"AC010524.4",0.277995865121191,NA,NA,NA
"AC010980.2",0.302658674941649,NA,NA,NA
"AC011997.1",0.128259211155433,NA,NA,NA
"AC012065.7",0.111337299766929,NA,NA,NA
"AC012360.6",0.160039062549075,NA,NA,NA
"AC012499.1",0.125892419337699,NA,NA,NA
"AC012531.25",0.0142761173684449,NA,NA,NA
"AC013463.2",0.215944445617593,NA,NA,NA
"AC013733.4",0.119074529401409,NA,NA,NA
"AC016831.7",0.264398382072241,NA,NA,NA
"AC016999.2",0.122830945040038,NA,NA,NA
"AC017002.2",0.145314289326425,NA,NA,NA
"AC017104.6",0.0267178142119031,NA,NA,NA
"AC018462.2",0.139574837436639,NA,NA,NA
"AC018755.16",0.145029505002017,NA,NA,NA
"AC018755.17",0.0443606606722866,NA,NA,NA
"AC018766.6",0.0654211630538915,NA,NA,NA
"AC018816.3",0.167336769159352,NA,NA,NA
"AC024560.2",0.0429847137756563,NA,NA,NA
"AC025442.3",0.0851701766810219,NA,NA,NA
"AC064852.4",0.24075998093092,NA,NA,NA
"AC067956.1",0.141646155741141,NA,NA,NA
"AC068039.4",0.120505895113427,NA,NA,NA
"AC068138.1",0.0853046915856447,NA,NA,NA
"AC068831.3",0.172752654060299,NA,NA,NA
"AC069277.2",0.101118562776833,NA,NA,NA
"AC073283.7",0.019250918930309,NA,NA,NA
"AC073321.4",0.0834624282607064,NA,NA,NA
"AC074212.6",0.0965869293566342,NA,NA,NA
"AC078842.4",0.194990064901297,NA,NA,NA
"AC078883.3",0.161724147674525,NA,NA,NA
"AC079305.10",0.264914609872156,NA,NA,NA
"AC079741.2",0.278586220058577,NA,NA,NA
"AC079767.4",0.0444452895969487,NA,NA,NA
"AC079807.4",0.174529087637004,NA,NA,NA
"AC083843.1",0.0657794351464803,NA,NA,NA
"AC083949.1",0.112811912998934,NA,NA,NA
"AC084219.3",0.0862414944190782,NA,NA,NA
"AC087501.1",0.219353305377376,NA,NA,NA
"AC090627.1",0.158593144790356,NA,NA,NA
"AC091133.1",0.112001867154388,NA,NA,NA
"AC091633.3",0.142771899267904,NA,NA,NA
"AC092155.4",0.152104753216186,NA,NA,NA
"AC092192.1",0.272535088168042,NA,NA,NA
"AC092620.2",0.15283684560923,NA,NA,NA
"AC092660.1",0.108442911520745,NA,NA,NA
"AC092667.2",0.179777011607435,NA,NA,NA
"AC099684.1",0.132446611553476,NA,NA,NA
"AC099850.1",0.0427239061892691,NA,NA,NA
"AC100830.4",0.119108609225582,NA,NA,NA
"AC104537.2",0.137189238735931,NA,NA,NA
"AC104667.3",0.105529782141157,NA,NA,NA
