"","GSE73108","GSE72158","GSE65221","GSE58559","GSE42809","GSE119717","GSE115645"
"7A5",0.0192468156857756,0.0462221810283757,0.0766194506331297,0.0276743989749419,0.00207693076778528,NA,0.2377160690861
"A1BG",0.0354140102897754,0.0497368378444951,0.0669421683163929,0.0180604675118191,0.00117101961478572,NA,0.143939227157977
"A1CF",0.0227121028291434,0.036314928046014,0.0552877612785886,0.0227061709873982,0.00283605855745293,NA,0.165552698707231
"A26C3",0.020806098563116,0.0496941328629806,0.0884060689138867,0.0268932919313517,0.00376478634475029,NA,0.192068702935763
"A2BP1",0.0220498754640599,0.0289710554329572,0.0656387261846955,0.0199146498604839,0.00104483458127161,NA,0.124097984406964
"A2LD1",0.0831068215087513,0.124644763380521,0.205472877776686,0.032557636086932,0.022351397881142,0.0202586478982198,0.225371272047533
"A2M",0.0180409654074617,0.358862357796776,0.215261952724202,0.0241217533184175,0.00452583248467598,0.052758707866545,0.324677528272696
"A2ML1",0.0108491533384327,0.0660757749027253,0.0934986035245191,0.0247666974366441,0.00184017739492499,NA,0.243729185174286
"A3GALT2",0.0157106075814211,0.0475785998036471,0.0741872081631682,0.021876531604099,0.00208292354308133,NA,0.226186680912292
"A4GALT",0.0707251735830956,0.175553261484432,0.23004369376829,0.0370283735069417,0.0736410850003205,0.0414221349281457,0.360448816242589
"A4GNT",0.0701033473855533,0.0716812039511104,0.252315516628555,0.0314811455021779,0.00398426328130265,NA,0.193784660655165
"AAA1",0.0125112866169793,0.0380743635865974,0.0608639964541178,0.0218620163360336,0.00253957552803042,NA,0.134004964117832
"AAAS",0.0420046445056277,0.0848729204505327,0.172084333215661,0.0316545845988512,0.00871826416817514,0.0236311959566255,0.588314677734839
"AACS",0.058920787115209,0.332606876766003,0.744024304494269,0.0607692716616854,0.006209991521252,0.0353928727295717,0.5045881736501
"AACSL",0.0535506862086405,0.0820358679702227,0.125013764879792,0.025648867331422,0.00429713750067947,NA,0.234096013120724
"AADAC",0.12378665172199,0.566179725799839,0.56020191450093,0.0569043553126103,0.0211043694121201,0.0115062359061365,0.864443777193005
"AADACL1",0.0430983841423287,0.336753928939615,0.48298489734165,0.0481756093441871,0.0111832458596881,0.070579325686379,0.431263371833183
"AADACL2",0.243518349476902,0.0948560486898342,0.112087514224115,0.0260587767179407,0.00226629945767582,0.0299166846911681,0.217991011769712
"AADACL3",0.0203301270491778,0.0583433017867673,0.091001279656636,0.0258234314667102,0.00263906509196287,NA,0.211807549078193
"AADACL4",0.0717521226590528,0.111282712944685,0.167791461077933,0.0370432759645028,0.00366441267805049,0.0372653687232283,0.320234139384632
"AADAT",0.045211122286755,0.0369870132511887,0.0582921059652244,0.017495595176341,0.00220569479844651,0.0301781350495167,0.166121414896912
"AAGAB",0.0474738570481887,0.199288174962378,0.202504198845372,0.0252812288060156,0.0132962945196546,0.0358678628628668,0.196641930746988
"AAK1",0.0355807666073566,0.0389217863529733,0.0911151570104393,0.0279346874289479,0.00244849805324222,0.040675379085429,0.176533267279353
"AAMP",0.0361663949396118,0.131808335403267,0.10026016312457,0.0224281906152386,0.0214352394114112,0.036237530710685,0.391811027505379
"AANAT",0.0104060767134897,0.0521757497830064,0.100832390229504,0.0248412641457426,0.00286398569391948,NA,0.227943087519415
"AARS",0.0143567876500448,0.123220337260466,0.172906260938112,0.0151356756723249,0.0218733690549958,0.0194842508560375,0.233730905418616
"AARS2",0.0293799265088429,0.0898253655225948,0.129783074042194,0.0265926215728919,0.0240613023564103,0.0274968247515531,0.186328568360083
"AARSD1",0.0228658976664606,0.181442548037379,0.142318298023921,0.0234527158713824,0.0185038867428674,0.0265460487624375,0.15830726081741
"AASDH",0.0249966897859132,0.101301279616382,0.164368298120882,0.0341126990786112,0.00388970289651826,0.0195668788912055,0.23975222191403
"AASDHPPT",0.0317625264924526,0.146554601225106,0.15760193437125,0.0151548422057365,0.00685054220198999,0.0251386095444417,0.267588034653968
"AASS",0.0404071286005199,0.136371636326909,0.288211522710466,0.0248794454464105,0.00231572925140612,0.0310319016399535,0.252187936037932
"AATF",0.0326868436653937,0.128805866691581,0.136430482880986,0.0309405878245557,0.0262225459557341,0.0244108973773115,0.403517612433052
"AATK",0.0466168873505064,0.0786596817248571,0.166987317346189,0.0211240095874895,0.00291781237264277,0.0214372576248504,0.288085648139034
"ABAT",0.0267381067853164,0.0410603642060129,0.0834456565237063,0.0256687701306184,0.00493461663121886,NA,0.221611066153761
"ABCA1",0.0194904528961127,0.275978284456447,0.196649964150888,0.0233749083957601,0.0469938841751399,0.0485650157913446,0.306145543258887
"ABCA10",0.0538811632498996,0.0695510552051788,0.185014484148174,0.0268677635024262,0.00231796062992104,0.0232387082065922,0.199039923869722
"ABCA11",0.0585595763929714,0.0736835904270142,0.121984492706947,0.0263960908823437,0.00306605942413818,0.0195349520054574,0.301676094985102
"ABCA12",0.00724344671024366,0.0349700363443017,0.0843950375275126,0.01696350003644,0.00141958050662668,NA,0.159781504474721
"ABCA13",0.0181053563279316,0.0500531991240524,0.140504769530079,0.0266431231549984,0.0020267382674237,NA,0.3723533064109
"ABCA2",0.0477761405530436,0.12044757088027,0.187257573572848,0.0264685755580209,0.0047221005848947,0.028168357249768,0.191306873096297
"ABCA3",0.0470335496206167,0.171141559801522,0.209027754916248,0.0274552923860625,0.00936616433052187,0.0351865605664418,0.200524053140986
"ABCA4",0.040158877306776,0.0565061129137105,0.102425226562926,0.0247267545067445,0.00373714049743482,NA,0.170221791201853
"ABCA5",0.114950860567611,0.106275411555276,0.169142425431976,0.0341923907836961,0.00176293820796814,0.0319227866566932,0.301079393350535
"ABCA6",0.0356860807364312,0.161703846052532,0.22899239924579,0.0363452098807254,0.0125584609411384,0.0561939596225505,0.345311848411519
"ABCA7",0.0119791013548609,0.0464572552523236,0.0660138816443124,0.0195869177767929,0.00256721991861628,0.0740322097711496,0.145718302000048
"ABCA8",0.0368175233844791,0.236932420551401,0.207681629073682,0.0347057655080257,0.0391517916454419,0.0586560106547517,0.212728199539131
"ABCA9",0.0545524170724736,0.186114506321755,0.206903812291354,0.0304218242149578,0.0117861781581692,0.0667576218754831,0.218961713746985
"ABCB1",0.183814217051495,0.0980723374755236,0.209689032110534,0.039802464140187,0.00140643353187985,0.0345456779326918,0.204148259504233
"ABCB10",0.0191740731222953,0.158787463271551,0.15810667698677,0.0186618561892187,0.0112530473754411,0.0261738584008962,0.3200848158785
"ABCB11",0.0419623025909069,0.0690388082774046,0.181603401458263,0.0292142523516501,0.00197803163728313,NA,0.167074912384418
"ABCB4",0.0953332069168857,0.0872672000383872,0.117290359562962,0.0256830382273939,0.00325381679914231,NA,0.294107639802133
"ABCB5",0.0161641510575926,0.0493890909334312,0.0922307725687728,0.0247056770417257,0.00217475026661914,NA,0.277409290871881
