"","ranking","median","mean","sd"
"EIF1",1,0.0117409549856192,0.0726773300024916,0.0910269478736799
"YBX1",2,0.0125433252566918,0.0676976676206321,0.0887599501529716
"RNA28S5",3,0.0126552826069264,0.0512499041379544,0.0629770771081491
"MT-RNR1",4,0.0129695634596749,0.0519472466117336,0.0657031543400515
"GNB1",5,0.0142559058710368,0.0759126186754539,0.0919736491574882
"EEF1A1",6,0.0150136878814255,0.0550774232195669,0.0699817145606541
"COX1",7,0.0151391825254962,0.0454556258752231,0.0565572706480046
"GNAS",8,0.0151516470873892,0.0778543005151553,0.10577478241995
"UBB",9,0.0151537294171408,0.0770006151623382,0.0913137401603208
"UBXN4",10,0.0155761344913611,0.0756878538141273,0.0916599731329744
"COX2",11,0.0156797936131298,0.0495240149141541,0.0668553228380732
"RPS11P5",12,0.0159181843453042,0.0550760387400987,0.0713073153263086
"GLUD1",13,0.016174818975846,0.0872141787624102,0.111991586400543
"CHMP4B",14,0.0161919218173635,0.0745059531251853,0.0896908429535834
"RN7SKP9",15,0.0162615923343605,0.0596350336344558,0.0816969775975078
"FAM104A",16,0.0163842769875528,0.0823433036524094,0.107647935777023
"CYTB",17,0.0166065903173905,0.0457537431679667,0.061235841790731
"PTP4A2",18,0.0166745416725064,0.0780363268193822,0.0932617866935936
"BTF3",19,0.0167286693719012,0.0792510213548781,0.0910365122466901
"GPBP1L1",20,0.0169556092562419,0.0799325172680019,0.0938594861036901
"PURB",21,0.0169985577935385,0.083261419740405,0.100681544424515
"UBC",22,0.0170037030256966,0.065741497792112,0.0839056202558343
"ARPC2",23,0.0170319591519806,0.079299671924414,0.094255994673443
"NUS1",24,0.017048209803412,0.0859719368630419,0.104225680986484
"IST1",25,0.0171903257906598,0.0798924760254958,0.0939015609719706
"BRD3",26,0.0172592951201439,0.0790922415131971,0.0996578774140135
"RBBP7",27,0.0173620641254742,0.075074130551681,0.0924278605233538
"RN7SK",28,0.017367231780348,0.0639930497406892,0.0784024772919664
"RPL13A",29,0.0173806612927873,0.0644222682560905,0.079116174427975
"PPIA",30,0.0175215249446588,0.0712844661742976,0.0874489448951319
"SAE1",31,0.017522930444859,0.075201268173907,0.0845966506719074
"CCZ1",32,0.0175284712713065,0.0807006942674545,0.10009081892072
"RPL12",33,0.0175840090297943,0.0798825496628208,0.0983613507857659
"XRCC5",34,0.0176105433102289,0.0772016727485897,0.0901519939295008
"MTDH",35,0.0176831628349545,0.0894840747419907,0.114456842110003
"MIR4485",36,0.0177729078114485,0.0602864635029075,0.0783312463881784
"ACTG1P1",37,0.0177748132309903,0.065552043651348,0.0868330411362724
"RPL15",38,0.0178310321259782,0.0749914529221888,0.0909502786731872
"MKRN2",39,0.0178659497670059,0.0920215277818318,0.116425628416123
"DDX17",40,0.0179689529574022,0.0845589596199693,0.094623372433024
"HNRNPC",41,0.0179766787572227,0.0966549954450712,0.120954689932079
"SRPR",42,0.018098083563925,0.0926976101883311,0.114934964140725
"CANX",43,0.0181908364084174,0.0739817611039788,0.0857144739214636
