"","GSE73108","GSE65221","GSE115645"
"7A5",0.0192468156857756,0.0781227637018658,0.11400394967666
"A1BG",0.0354140102897754,0.0626611370758419,0.0525579521645928
"A1CF",0.0227121028291434,0.0578331577600492,0.186213045182992
"A26C3",0.020806098563116,0.0890397217967815,0.146681218177312
"A2BP1",0.0220498754640599,0.0785769532585055,0.179992956489574
"A2LD1",0.0831068215087513,0.190207325086916,0.213124578234773
"A2M",0.0180409654074617,0.221676416345706,0.0956718207302846
"A2ML1",0.0108491533384327,0.0907408645143386,0.225051465637619
"A3GALT2",0.0157106075814211,0.0800473045758216,0.152647451060415
"A4GALT",0.0707251735830956,0.221643493697868,0.495355244259852
"A4GNT",0.0701033473855533,0.296310485615429,0.224013603173443
"AAA1",0.0125112866169793,0.0661255848234881,0.0557491913420512
"AAAS",0.0420046445056277,0.178964620861502,0.098710708511818
"AACS",0.058920787115209,0.867048404889684,0.126504893636234
"AACSL",0.0535506862086405,0.116066913960607,0.194137056713664
"AADAC",0.12378665172199,0.559866779172031,0.415004820088047
"AADACL1",0.0430983841423287,0.390657255083551,0.0386315983547134
"AADACL2",0.243518349476902,0.108237845916819,0.283355604756987
"AADACL3",0.0203301270491778,0.086242944445586,0.0562745768035469
"AADACL4",0.0717521226590528,0.17414598201874,0.224809334756162
"AADAT",0.045211122286755,0.0593861301911087,0.141827941109557
"AAGAB",0.0474738570481887,0.19475176169978,0.131158063656343
"AAK1",0.0355807666073566,0.0903036168695946,0.165008733579423
"AAMP",0.0361663949396118,0.0986498946068945,0.1657427122092
"AANAT",0.0104060767134897,0.111273824798769,0.072037224322595
"AARS",0.0143567876500448,0.188318153269274,0.455104985110453
"AARS2",0.0293799265088429,0.123526389663656,0.188579548306859
"AARSD1",0.0228658976664606,0.159232547019517,0.0518461809839466
"AASDH",0.0249966897859132,0.15543752072446,0.266954626413356
"AASDHPPT",0.0317625264924526,0.145532049756403,0.254633862946982
"AASS",0.0404071286005199,0.288949810292345,0.110208499987219
"AATF",0.0326868436653937,0.147565109040905,0.34097734938642
"AATK",0.0466168873505064,0.185378578138912,0.11225656789761
"ABAT",0.0267381067853164,0.0898736565277839,0.262443527865689
"ABCA1",0.0194904528961127,0.194771297651259,0.101626295520653
"ABCA10",0.0538811632498996,0.181860414243729,0.136560022583957
"ABCA11",0.0585595763929714,0.119693639474724,0.287037799922529
"ABCA12",0.00724344671024366,0.0988585485361483,0.129234984330817
"ABCA13",0.0181053563279316,0.141299080149904,0.465762288474939
"ABCA2",0.0477761405530436,0.196694269893894,0.394457838384593
"ABCA3",0.0470335496206167,0.203395190336898,0.263837719873893
"ABCA4",0.040158877306776,0.10332200664803,0.288890708212573
"ABCA5",0.114950860567611,0.157518455557819,0.0643884493498068
"ABCA6",0.0356860807364312,0.22535292382502,0.252408661715414
"ABCA7",0.0119791013548609,0.0704832916269047,0.138279847693798
"ABCA8",0.0368175233844791,0.18993580288863,0.144850153874124
"ABCA9",0.0545524170724736,0.193517465105065,0.0491460471535109
"ABCB1",0.183814217051495,0.184057981487451,0.0596777549871771
"ABCB10",0.0191740731222953,0.168294131505124,0.187690136334813
"ABCB11",0.0419623025909069,0.0701765203376024,0.16958340714205
"ABCB4",0.0953332069168857,0.110184565870049,0.311096167036607
"ABCB5",0.0161641510575926,0.0877802343806269,0.136869475868769
"ABCB6",0.026214418318899,0.19948630464534,0.0973430428138054
"ABCB7",0.0373416776664506,0.176286542085187,0.044236387309457
"ABCB8",0.0326298439951308,0.131535145163675,0.28593579378894
"ABCB9",0.0686683270537348,0.170647593459882,0.3016986683446
"ABCC1",0.033030117175488,0.142448353905817,0.292409650710594
"ABCC10",0.0385100339526591,0.120973256803488,0.383625827412385
"ABCC11",0.0267503152244337,0.0720905842393799,0.127362289056433
"ABCC12",0.012104458039636,0.0849389460673987,0.0938951321151744
"ABCC13",0.0363363008138034,0.0744731857748803,0.170505412971318
"ABCC2",0.123395477539049,0.35159630150035,0.238855510896321
"ABCC3",0.0651467377010853,0.759207815040122,0.455705085636146
"ABCC4",0.0835882956633891,0.180296914792406,0.124089986319996
"ABCC5",0.0383934842371342,0.170851580356146,0.289122658514744
"ABCC6",0.0607385435261604,0.140529495743862,0.120703239229765
