"","GSE27657","GSE27916","GSE41168","GSE61302","GSE66159","GSE71416","GSE88837"
"A1BG",0.147198709351008,0.00732959672154404,0.118484770541807,0.24026210286877,0.476806628587027,0.0715792674444884,0.474435300391469
"A1BG-AS1",0.111836346619142,0.00933213011378298,0.127305294841597,0.230630702035243,0.544800218481377,0.0465330583779407,0.540876519384266
"A1CF",0.0562577433680152,0.00528547220556413,0.130619725388941,0.108815081457578,0.409574791305183,0.0690964126557981,0.195664203016766
"A2M",0.038942649069277,0.0145792413111171,0.0306782323006749,0.882462432022711,0.114074056677115,0.109855735499197,0.306187358461533
"A2M-AS1",0.119634153150687,0.0164264147944887,0.0801642279412429,0.537401682614073,0.219499138292664,0.106996412968291,0.376065943474207
"A2ML1",0.1475356407474,0.00470232434969759,0.15488797762257,0.107080896427966,0.350888610187043,0.143992402822744,0.310738740430603
"A2MP1",0.082043172626358,0.00788652189247838,0.153912336909665,0.313100734542169,0.648720636564763,0.0741506781166695,0.398324797745188
"A4GALT",0.0740506932617349,0.00827991676100517,0.0973303340206856,0.165882365136349,0.487554814070036,0.1081507357923,0.373405568780942
"A4GNT",0.0910005875759378,0.00693207579694757,0.0987506855925991,0.125572601945022,0.414371419224857,0.0833660983430358,0.290919042614704
"AA06",0.182283887936812,0.00662869113071035,0.141484008346832,0.135735467631293,0.407919285305207,0.107548574153527,0.299808965462236
"AAAS",0.0640877737313202,0.0120249460759072,0.0567342245779628,0.130085324342798,0.409072672557976,0.0371122283285069,0.405149502700634
"AACS",0.155431780217688,0.0543670986666143,0.098418466171409,0.346938055878623,0.710411535066962,0.0902552232805698,1.40769461876851
"AACSP1",0.151561256668662,0.00624868106923157,0.194776579068098,0.144571881020675,0.753878168690299,0.135461315771291,0.404413831481998
"AADAC",0.476250303162554,0.0431173729333621,0.260491829403407,0.847310104417826,0.587666782405473,0.298828822866177,1.79506768644925
"AADACL2",0.321507542997842,0.00577286942964042,0.236717864755667,0.282734315557822,0.686899511878828,0.218917895111999,1.07684076310474
"AADACP1",0.260954309879945,0.00564067719918294,0.240980281436584,0.1748109071927,0.918993477431993,0.123107141812887,0.743424117224154
"AADAT",0.146395647081369,0.00665390251947149,0.144959848019044,0.209428661098694,0.268591724750416,0.0751196586116427,0.391127917368462
"AAED1",0.0913369439788196,0.0143086545580531,0.0578119885770323,0.240794420749468,0.174702403572527,0.172825794564112,0.273283840202499
"AAGAB",0.130984252478246,0.00793411750395561,0.104812845845685,0.105162735432621,0.375370424215725,0.103810054008881,0.295112860639321
"AAK1",0.124706150772846,0.00667561535218452,0.120941971225218,0.17933522655755,0.342060191074761,0.0757705620891014,0.27636800837778
"AAMDC",0.12617224788314,0.0246377134025053,0.0490757323608597,0.11917746473144,0.160152445978505,0.151717467862268,0.326032751135677
"AAMP",0.0471891785559304,0.0176586882115624,0.0332156308529082,0.195517141092167,0.128596872733454,0.117265819413962,0.340154408347841
"AANAT",0.15361646496173,0.00661481166009289,0.217918448968325,0.194809645231904,0.431863055839847,0.127194112978566,0.652211612579521
"AAR2",0.0373722115951355,0.0101145157719317,0.0420544070721175,0.153644700593343,0.119504104252714,0.0912740171591986,0.284203527900405
"AARS",0.0264401004536734,0.015149468027228,0.02733852886722,0.144668243069387,0.136780997886203,0.0889324799700065,0.269713080303868
"AARS2",0.0771546369222626,0.00687049769836097,0.0716364926874028,0.131108352585779,0.209751569887245,0.0624081304376546,0.27221309544092
"AARSD1",0.0684017044555297,0.00932781049872473,0.0530085488989881,0.2129007899174,0.146040780988403,0.0856316264081548,0.235561774335208
"AASDH",0.069040471216774,0.0112800062085668,0.0539524014432123,0.176476280663198,0.208232551346844,0.0797889882598552,0.377434455761244
"AASDHPPT",0.117494010123302,0.0230042379750295,0.0938262016299684,0.206084414516341,0.190192771492967,0.161575316329962,0.428436580777843
"AASS",0.0848065173651827,0.020550046213986,0.163116089258839,0.364094213839615,0.250908539045847,0.116647672745821,0.603467135438817
"AATF",0.0501100757428066,0.0136507819198478,0.0423249308779998,0.226484596514625,0.16804129779631,0.166605323724868,0.330719503092555
"AATK",0.139487545157481,0.0110147113436262,0.0885490861524803,0.1330568382708,0.221438428130696,0.080031467059932,0.45934768007873
"AB074162",0.202270826817504,0.00882770028088845,0.181487039491118,0.277184531687722,1.08596336295447,0.16211419196234,0.444538647783355
"AB488780",0.0633253648997602,0.0101944034314005,0.0771651355332442,0.208285375033103,0.186078968085742,0.121709668047379,0.257976045273423
"ABAT",0.149250154023218,0.0105474339291499,0.137330666472751,0.767962877902066,0.325579148959933,0.0669080473204244,0.620525959517667
"ABCA1",0.106512255263426,0.022430372155567,0.0748374381445523,0.250062559371618,0.235003444084947,0.202674180362793,0.524343181224458
"ABCA11P",0.115052499529169,0.0127209046609602,0.104271477684746,0.194983766837922,0.234885411773713,0.0962590300342201,0.435520781692047
"ABCA12",0.213035804131099,0.00560995732716657,0.256826020611292,0.196275652126695,1.01941839593822,0.114433646248953,0.365648074783223
"ABCA13",0.306642821227778,0.00530965345475837,0.181847252090982,0.0749930242291622,0.783839219402538,0.198160191162463,0.712059906276698
"ABCA17P",0.128601662915814,0.00642019470012556,0.135475000399576,0.389481404083916,0.314963775711351,0.181114237969593,0.452573960551648
"ABCA2",0.123744400188935,0.0123214064141001,0.131474558038749,0.130688871099428,0.690377629624114,0.128800819380102,0.403775754773987
"ABCA3",0.0966785967999508,0.0110384357159425,0.0696041083881347,0.20226716814943,0.245877608103447,0.0521566434379878,0.341198839032954
"ABCA4",0.105852230571624,0.00463505767006132,0.164192313019711,0.143445326555935,0.621335930815623,0.134584135148575,0.492361072689829
"ABCA5",0.100470113414884,0.0165352205505461,0.07102484455382,0.243446517558864,0.211008344552642,0.0716892179070334,0.419745345062897
"ABCA6",0.126336272407258,0.0207306999995753,0.0843538866197585,0.637530821674411,0.319551073653939,0.183302130517996,0.481162568473442
"ABCA7",0.211969256331967,0.0101580214248629,0.136330335067326,0.129832340853969,0.248182658156845,0.0858360915317692,0.340196011676864
"ABCA8",0.280464669697644,0.0126862255597515,0.261744372114211,0.237734238816432,0.61399957022411,0.220064957980684,0.674952143063817
"ABCA9",0.125123345866878,0.0212595323039531,0.121585191087732,0.390849406074755,0.453735302122832,0.182196027242221,0.583687539509894
"ABCB1",0.288581147051421,0.00754907745398098,0.133004258341615,0.14812113457225,0.264708279401429,0.144638831725385,0.737912121080975
"ABCB10",0.15212716704726,0.0189914298197903,0.0753519351754187,0.182973817849825,0.110580966551834,0.145309591069996,0.416367036667574
