"","GSE25401","GSE25910","GSE33070","GSE73655","GSE41223","GSE54280"
"A1BG",0.326659561461231,0.228178552449907,0.0207648024644234,0.0111291152861006,0.359359483506808,0.0107159460109027
"A1CF",0.310773789524164,0.341293175307752,0.0260040755151328,0.0221859502024102,0.222064840951555,0.0246542760325861
"A2M",0.223289320146167,0.586129614401304,0.0272916767601053,0.0114138785310919,0.440822303806072,0.0572695255410224
"A2ML1",0.260263433423788,0.263562949519403,0.0305749990130794,0.0250181397194607,0.589701033415611,0.0319753319440701
"A3GALT2",0.364085947337265,0.338180624803032,0.0273976687635255,0.0298237532242216,0.523216800705042,0.0222988542620661
"A4GALT",0.292973163833505,0.401768161370953,0.0200624246938453,0.023624887972906,0.352718002907252,0.0105470020719172
"A4GNT",0.341851455482697,0.289513336016716,0.0200079047968395,0.039143218940391,0.44422323138767,0.0257793435654065
"AAAS",0.236131470404553,0.312052499109968,0.0256291022038497,0.0120023242277238,0.164661389376341,0.0223234141618171
"AACS",0.380035583416519,0.385683631171896,0.0630117914045494,0.0678551169964318,0.382417207724002,0.0186679461709398
"AADAC",0.74309681424702,0.585526721416515,0.223000741764417,0.196232364069092,1.12828756433407,0.0459017314838652
"AADACL2",0.281215269704263,0.320752723072007,0.0377285535468607,0.0311761782061906,1.04641141588918,0.012607281892647
"AADACL3",0.361202263374583,0.267293077250405,0.0302816331461725,0.0447116428830241,0.875004522104945,0.0174657519194837
"AADACL4",0.423545544141191,0.28762405712402,0.0216419210731655,0.0453369747322221,0.534901963802668,0.0218733937784962
"AADAT",0.250183550460959,0.364146157573067,0.0326421682041616,0.0336585579718859,0.157239990750236,0.0318280824052179
"AAED1",0.271538601906799,0.372445871608332,0.0442425796411491,0.0221124474299079,0.236325468388567,0.0298200730510683
"AAGAB",0.283681955214183,0.314650342943641,0.0311292035812583,0.0158670459094729,0.166748711932755,0.0370462608874928
"AAK1",0.299621544505548,0.35596354638811,0.0440642668649765,0.0253757787683203,0.415465878404904,0.018743805056092
"AAMDC",0.265354158774123,0.702428695467095,0.0419119643137949,0.0171686484828457,0.233658178250692,0.0127113772811006
"AAMP",0.263251072500694,0.309401142639984,0.0355649604701191,0.0208967580119757,0.269307427570357,0.0158277692672695
"AANAT",0.275381506444717,0.234533769135889,0.023474915741836,0.0258470418434532,0.544310816692538,0.0143629350360947
"AAR2",0.207110328995594,0.329685467197466,0.030105422564372,0.0201625304846499,0.171740706614261,0.00914530835310451
"AARD",0.278314152476328,0.204632526431687,0.0220084497878149,0.0336510985845954,0.240580668776327,0.106490774579962
"AARS",0.241081567671263,0.296338935836884,0.0226479668238528,0.0203552667274092,0.408237667928834,0.0138855795622545
"AARS2",0.268310660419482,0.282393977907682,0.0267243414838439,0.0152946144005291,0.130932418413396,0.031475667143422
"AASDH",0.264159026427608,0.298108502662884,0.0275413450365431,0.0414767892977277,0.234745140173151,0.0303988513522507
"AASDHPPT",0.206712526167625,0.282381392703918,0.0142849955454142,0.0248640614293591,0.254750524837025,0.0219124506022918
"AASS",0.345311351635648,0.279943449985188,0.0494930319011613,0.0396581680721667,0.249112921637152,0.0516408158851258
"AATF",0.254065934344184,0.310613621611891,0.0233093408189698,0.0137528020166729,0.235418869675978,0.0199634796919426
"AATK",0.271872737162545,0.176306578099415,0.0208141784895614,0.0139317331668906,0.291682533137394,0.0125597318007706
"AATK-AS1",0.254217575280493,0.180203709874431,0.0257804570404729,0.0145002834151658,0.280060475547229,0.0269467025716017
"ABAT",0.255688239151281,0.267690156824463,0.0188743269201208,0.0166519421628312,0.203826428648026,0.0214790240026166
"ABCA1",0.265637869857012,0.380115309979341,0.0421408409002892,0.0435376618325059,0.487769993732522,0.0997778073990631
"ABCA10",0.346799734958037,0.418522360760772,0.0465340367835236,0.0516181560120733,0.404092746857667,0.12517836601948
"ABCA11P",0.400709710731069,0.2456344748504,0.0327707743853387,0.0492745124617774,0.457596051056932,0.0140794176121371
"ABCA12",0.316479644823261,0.242937342968515,0.0265453989138473,0.0263910534517937,0.440667964788615,0.0220741238741284
"ABCA13",0.300207378311881,0.264432495909514,0.0224209201602894,0.0200010125050259,0.689658415634956,0.0169922979543732
"ABCA2",0.299616345855101,0.402052231516525,0.0331280786145611,0.0268815476661445,0.174230476559784,0.0450607461892918
"ABCA3",0.291820340373878,0.322606010245013,0.0278111955033488,0.0217025944611249,0.161348698668979,0.0365346870359165
"ABCA4",0.258619067752225,0.209199841034743,0.019365899685425,0.0200140208709131,0.281704801156157,0.00861218025590867
"ABCA5",0.257870316687304,0.312571688570028,0.0268325128347811,0.0405000706993596,0.186962269001605,0.0485488489751496
"ABCA6",0.323729256955077,0.56271528363427,0.0446896921822345,0.0434097314967981,0.447733897997353,0.236067881792906
"ABCA7",0.268104421651734,0.345334817377997,0.0299507765134007,0.0104240415353885,0.169001428915762,0.0218719806496629
"ABCA8",0.27192961068312,0.50275532015185,0.0509345186857964,0.0291528000373688,0.390608169491198,0.189704769150497
"ABCA9",0.303143073216471,0.600057316899782,0.052143841467875,0.0369158113636973,0.36249888119704,0.264576137126053
