"","GSE29231","GSE43471","GSE29226","GSE112307"
"7A5",0.175658867888514,0.231105504903932,0.118577767040544,0.0715076506260331
"A1BG",0.123417444248851,0.144739525800345,0.108431291905562,0.0778461990804611
"A1CF",0.230070590023578,0.156480809455628,0.149389517761087,0.0450202457788348
"A26A1",0.0935285292116337,0.144751240856582,0.128792971436685,0.075728775843367
"A26B1",0.191649403471469,0.209626737152457,0.149527962401941,0.0479346350016552
"A26C1B",0.202342428910167,0.175387020714072,0.0997310412138413,0.0896927112838779
"A26C3",0.157507888034244,0.169553658537078,0.0917641596190324,0.0498342837826477
"A2BP1",0.0863880136946212,0.150639514820198,0.0908367842048262,0.0360423793126196
"A2M",0.255460673318017,0.269649790906865,0.360917853642802,0.387090858754173
"A2ML1",0.162389664950828,0.202713510339481,0.177632434595123,0.0628826478010094
"A3GALT2",0.122844419147931,0.158767642029275,0.0942406300799689,0.0613478778187607
"A4GALT",0.363764725251065,0.278373226327802,0.180381876226859,0.265080993265362
"A4GNT",0.171190633995618,0.223085033559148,0.1957794416078,NA
"AAA1",0.117464762209829,0.121406914865783,0.0892314110697348,0.0422672169499367
"AAAS",0.138978636475323,0.174302650107521,0.130379701149657,0.272807946701897
"AACS",0.318158842559123,0.608343618789273,0.699375817914273,0.392083373567586
"AACSL",0.212857220677583,0.213647122693963,0.190260613496538,0.0894946864638796
"AADAC",0.467281804838099,0.653365090776376,0.270901757387986,0.424314513360511
"AADACL1",0.285452124744465,0.505812461668773,0.322860371415583,0.251610830567663
"AADACL2",0.169035238164487,0.217721834489888,0.148678220774863,0.0791595818681973
"AADACL3",0.144835723958745,0.182198700579412,0.131498368888439,0.0640776195750875
"AADACL4",0.200291278735066,0.290182395181417,0.211823401964507,0.156707569027523
"AADAT",0.0924201406168167,0.143245930861906,0.10102476081587,0.056129778543238
"AAK1",0.129091581816298,0.13891306179907,0.0923584903779998,0.0532265696237663
"AAMP",0.2193066614942,0.166873937622267,0.24188468392389,0.233697542572963
"AANAT",0.163176694459219,0.2503892979778,0.117307492482051,0.0723732087824917
"AARS",0.242544177599027,0.139981340320907,0.183267641133089,0.150722511986694
"AARS2",0.187913847876982,0.158448064718158,0.211487667158114,NA
"AARSD1",0.203947752427092,0.144410346950896,0.180837801606373,0.225149800995046
"AASDH",0.144235703094195,0.14313863888224,0.212379311293522,0.123268291331596
"AASDHPPT",0.192246707574261,0.204312616201458,0.264347020826243,0.164840249979041
"AASS",0.146285112561216,0.303730545841249,0.135003281709878,0.0831689570289961
"AATF",0.180398439856765,0.135710640719553,0.135480597404651,0.18616686926558
"AATK",0.115010855954062,0.171659442953975,0.110890130149326,0.0716681080933953
"ABAT",0.0859225802585348,0.160060678644854,0.0914101086079889,0.0552493836846128
"ABCA1",0.408463277460943,0.204679860242585,0.148693151508374,0.249840520221215
"ABCA10",0.207430866545921,0.221402822967338,0.193039465794238,0.0512873459651085
"ABCA11",0.237981624409206,0.162904665622624,0.194538972579779,0.0994697963729536
"ABCA12",0.131198088471297,0.183862176700002,0.0973591553283469,0.0401386299636033
"ABCA13",0.135482102766122,0.25613067913402,0.164645321557904,0.0628907779156824
"ABCA2",0.311612685827043,0.231893418656621,0.135445971056855,0.248187044410063
"ABCA3",0.184194337090016,0.213914331600838,0.170770584914731,0.190637321460918
"ABCA4",0.145765126365084,0.243386046805646,0.134343367718093,0.0542871431395539
"ABCA5",0.313970923977056,0.230916945363544,0.12929996337574,0.0684578338031668
"ABCA6",0.404670025945298,0.255784202602408,0.20801626520662,0.161009809701421
"ABCA7",0.130261572514084,0.188464801165293,0.136948958240608,0.0564856530382418
"ABCA8",0.170764153035517,0.275418512080537,0.279608787508926,0.19276747700146
"ABCA9",0.271944691901965,0.361950520434586,0.19874085528469,0.178822070594889
"ABCB1",0.171249849930483,0.235733763996145,0.0842225456242128,0.0921655232842612
"ABCB10",0.189185008426795,0.203132714875142,0.244610319348363,0.148899490478309
"ABCB11",0.197976175049654,0.193583672619458,0.128892002791586,0.101018833350729
"ABCB4",0.219807536726663,0.225232146189533,0.155583896563859,0.067024113510361
"ABCB5",0.17302621788826,0.254415238018984,0.135295249405044,0.0515009590215488
"ABCB6",0.297971265587856,0.186550193720872,0.188265244083319,0.205365448483384
"ABCB7",0.234601635821387,0.215196910387614,0.273261314895525,0.21329514463723
"ABCB8",0.174728889033852,0.253997274780671,0.129450140659661,0.112733997833215
"ABCB9",0.177191840906156,0.247173000535523,0.16905192430069,0.115171461655528
"ABCC1",0.190364347701677,0.22507335717909,0.206681331738139,0.0856690253519173
"ABCC10",0.139248610859944,0.200036019402722,0.167209345204565,0.117421612028363
"ABCC11",0.133799503685061,0.173509057443669,0.147921533429123,0.0500973697482619
"ABCC12",0.115681594728008,0.180355680426131,0.118221399940612,0.0531750658749853
"ABCC13",0.0856706053063412,0.14221037553562,0.124171810892037,0.0537456819173864
"ABCC2",0.277015663197366,0.383713336380685,0.102057333559735,0.106771380982223
"ABCC3",0.701299340361767,0.682205013838385,0.354693945651046,0.424907361787196
"ABCC4",0.141200362911648,0.215355835465948,0.0919212496333625,0.0776463421144481
"ABCC5",0.52744287618624,0.235653930099452,0.259198065443896,0.166220112538363
"ABCC6",0.142415431523341,0.206111756432521,0.161294417504768,0.183756799619153
"ABCC8",0.226244982724467,0.189902664995086,0.14015048728276,0.057452980640515
"ABCC9",0.203979653224302,0.281193789195842,0.119413222650698,0.113253291464878
"ABCD1",0.27088198691164,0.267022718936719,0.18892389760988,0.3245993534127
"ABCD2",0.13966041855814,0.223264806340182,0.133040632845189,0.0659084771419294
"ABCD3",0.177002887186068,0.260053817995827,0.178629330665925,0.135662041000348
"ABCD4",0.122627348003383,0.11623990027807,0.0788115754259995,0.0429069604506169
"ABCE1",0.214577830126209,0.194634989123835,0.214687025929498,0.174274830318095
"ABCF1",0.133169025354488,0.137026402633318,0.153741222935156,0.141917816533942
"ABCF2",0.152181618566421,0.192609780992404,0.158187130823515,0.101637885670091
