"","ranking","median","mean","sd"
"LOC100132310",1,0.00903923821576587,0.0249020559791932,0.0309070993139574
"FLJ35379",2,0.00952262470154713,0.0286154549301731,0.0340606494968406
"TMC1",3,0.0111950637171327,0.04252347070261,0.0553885916395923
"MIR141",4,0.0118826205642781,0.0351601385328214,0.0403571929986412
"HYDIN",5,0.0119878653578011,0.132345448886708,0.211535465704587
"FAM183A",6,0.0121632450750658,0.0343641653620654,0.0436121767826212
"KCNG1",7,0.0127228278611429,0.0296228742528939,0.0318756345075104
"GRM8",8,0.0127310653825991,0.0513075610014756,0.0674362702651176
"PRNPIP",9,0.0132509403544063,0.0808445367595252,0.119315997678872
"LOC644824",10,0.0134173746302662,0.12147206183022,0.19458193527215
"TM4SF5",11,0.0135586783122941,0.0781380739816163,0.114865635352494
"BLR1",12,0.0141455751861657,0.0428694961524417,0.053144561331987
"LOC100128542",13,0.0141642743653146,0.0450020857081234,0.0600524230905809
"LOC646960",14,0.0142149648953328,0.0393020286621584,0.0498997368159319
"CSAG1",15,0.0143160722428367,0.0698645508410401,0.0976019004864463
"KIAA0494",16,0.0144867621873277,0.0776807791714082,0.110683087839576
"TULP2",17,0.0146657795669097,0.0456587352680163,0.0580992924056222
"HHCM",18,0.014681650085774,0.0396764279690272,0.0454240337246341
"C18orf8",19,0.0147007128456105,0.0457554137000103,0.0609936471313066
"LOC100132235",20,0.0149531124666,0.077816123245557,0.111407864688645
"BECN1L1",21,0.0150164993926326,0.0366636457793959,0.0392659121270344
"SOX1",22,0.0153097454641427,0.0605507351726509,0.0830411300769097
"SNORD5",23,0.0158068078015321,0.0471021659957745,0.0574311473661485
"LOC100129058",24,0.0158937058657163,0.0364405578565302,0.0408729135521511
"UTP20",25,0.0159968332918692,0.0381755636455043,0.0386814669815805
"LOC391767",26,0.0161348271086963,0.0392691085588968,0.0411000030812907
"PDHB",27,0.0161708357507044,0.0585457978785074,0.0756813764465246
"IL22RA2",28,0.0162603452123244,0.061872835516928,0.0852040333703124
"C19orf43",29,0.0163686899644395,0.0423881306476722,0.0451791975373879
"LOC645661",30,0.0165179347457414,0.0452888737598355,0.053221703950828
"SRMS",31,0.0168116141219256,0.0426884136790042,0.0466315509654645
"C11orf37",32,0.0168179118543168,0.0433330098141458,0.0466384174073144
"LOC100128870",33,0.0169418559125489,0.0446841337146252,0.0532891397745342
"GRIK2",34,0.0171218564440061,0.055415298618899,0.0702695457944181
"CER1",35,0.0171268189912706,0.0731721343155789,0.100741879948535
"LOC100131124",36,0.0172658418434221,0.0566591215266607,0.0745056613422178
"LOC391347",37,0.0172914390873608,0.0593939876417853,0.0736242548120768
"WDR17",38,0.0174081164027089,0.0404782496174223,0.0413701058517657
"LOC649139",39,0.0175574205459814,0.0550254209489558,0.0672204682140506
"GABRB2",40,0.0175637282569824,0.0620940147734545,0.079499687933741
"OR10H2",41,0.0175812764444761,0.0422274398591372,0.0517114535459149
"LOC646895",42,0.017623124044953,0.0835586644658501,0.117620060748527
"PKHD1",43,0.0176762974688117,0.0781881240807587,0.105310944691832
"LOC653162",44,0.0177228911228664,0.0371088288380938,0.0359387170562584
"ERCC-00092",45,0.0178744365569943,0.0570336791823417,0.0708622602269996
"KRT2",46,0.0179139461627257,0.0342393312885972,0.043326469926901
"LOC644843",47,0.018137915528085,0.0440654901153809,0.0450542538954244
"IFITM4P",48,0.0183397085772731,0.0453135318614742,0.0537207712439562
"LOC401351",49,0.0187611017772505,0.0410236469996437,0.0439767715814823
"HSP90AB4P",50,0.0187754263129827,0.0588530851475095,0.0712728008821553
"ACTR3B",51,0.0191462178086843,0.0306998437469844,0.0265376595004194
"SNORD18C",52,0.0191938672862796,0.0375773647775385,0.0347288026411529
"ASB15",53,0.0192166845892566,0.0377788542648941,0.039503805541688
"STX10",54,0.0192488195397702,0.0497523291097463,0.0625184815032393
"BMS1",55,0.0192953599575202,0.0499863228986735,0.0618168010414515
"LOC645444",56,0.0193315149923677,0.0403374721326293,0.0449055792374858
"FIP1L1",57,0.0198661848143646,0.0310998976905428,0.0363436695273565
"IWS1",58,0.0198705133960248,0.0721316625450422,0.097235784791561
"NLRP6",59,0.0200075560140912,0.0561555024417618,0.0639489030381705
"ZNF689",60,0.0200523417724956,0.0490470907355804,0.0515904720983819
"UBXN11",61,0.0200838919913168,0.0486941128589052,0.0512345145027889
"AUP1",62,0.0201736566955826,0.0526931773378636,0.0564973786563921
"OR8G1",63,0.0202902503577127,0.056251380686711,0.0635631072968866
"LOC100129236",64,0.0204917114514889,0.0292664511830439,0.0207601931813675
"PSMD4",65,0.0205891181390002,0.0631741291673341,0.0870066157272826
"FAM123C",66,0.0206499001015081,0.0939397879286069,0.128475321978804
"LOC645576",67,0.0206688388059791,0.0403057931523576,0.0403732118215953
"C16orf85",68,0.0207224730910573,0.0396320307266318,0.0460033726142401
"RNF121",69,0.0207363601209585,0.0472928852545407,0.0502883651709002
"FLJ33708",70,0.0208032353933525,0.039177695667379,0.0437681994067302
"MME",71,0.0208396439719003,0.0908645611568805,0.124567096953558
"GBP2",72,0.0208514713397187,0.0703320662634665,0.0927421301430605
"LOC643000",73,0.0208867179012892,0.0371977621677637,0.035046372868721
"LOC439992",74,0.0209076625339044,0.0443397254992593,0.0413418934004732
"TTTY7",75,0.0209091565984457,0.0923949256147277,0.127684010272361
"C9orf84",76,0.020951327320064,0.0339829428523019,0.0251594587178911
"LOC642859",77,0.0211298505585589,0.0663073937749434,0.0812749551889726
"LOC642434",78,0.0211961113534513,0.056284434143571,0.0623848806966667
"CPSF4",79,0.021225719845226,0.0470195128428679,0.0506621828919339
"PCMTD1",80,0.0212629905731404,0.0456929154147404,0.048575558325509
"ADAMTSL1",81,0.0213287695632854,0.0392338002138293,0.031879023770459
"LOC389435",82,0.021335832652452,0.0912651735430823,0.13315271647116
"EXOC2",83,0.0213445606221769,0.0989934821446299,0.135603362345597
"FSCN2",84,0.0213454201503755,0.0583670032863369,0.0709157929350726
"LOC727811",85,0.021406621854141,0.0438514211487253,0.0443579261434102
"KIR2DL4",86,0.0214133716494012,0.0561587028323654,0.063683309253868
"C19orf62",87,0.0214535349620308,0.046264042388743,0.0431467965070152
"FLJ34870",88,0.0214566957628945,0.0603179463317268,0.0727110100418236
"LOC646040",89,0.0214815750090134,0.0391930586017163,0.0429065570198802
"KRT85",90,0.0215484997918931,0.0480297408013244,0.0547713568047994
"RAD17",91,0.0215799238935828,0.0501444771499466,0.0513665281792555
"ACER1",92,0.0215811689374611,0.0383535282470989,0.0352134595171703
"ZNF263",93,0.0215941952335517,0.0642450736632048,0.0749695041377214
"COPZ1",94,0.0216143492437869,0.0733940457007776,0.0899041839997252
"LRBA",95,0.0216862356143419,0.054021394134101,0.0587350991586586
"LOC648706",96,0.021798142176751,0.0855265662927502,0.115682420114184
"CD164L2",97,0.0218033884823679,0.0420104010278027,0.0462300636382226
"COMMD7",98,0.0219210610834431,0.0422781550552839,0.0376264257377943
"OR10AD1",99,0.0219689192043183,0.0531216443551751,0.0654313299299145
"LOC440302",100,0.0221509324154337,0.045013855821912,0.0407415787026219
"ACSM1",101,0.0221617138377811,0.0497456408230033,0.0573522793891479
"PGRMC1",102,0.0223463041025601,0.0440140277538729,0.0387143834922012
