"","GSE65221","GSE119717","GSE115645"
"7A5",0.075071174564634,NA,0.252928499274908
"A1BG",0.0720993971335489,NA,0.142101430094654
"A1CF",0.0526301430588085,NA,0.167490139419274
"A26C3",0.0881679496140427,NA,0.189510379262617
"A2BP1",0.0469799362207786,NA,0.108296298623269
"A2LD1",0.222086906406478,0.0202586478982198,0.212555025809392
"A2M",0.196497976961206,0.052758707866545,0.348962325276803
"A2ML1",0.0973253841198698,NA,0.251442914408889
"A3GALT2",0.0645813421080581,NA,0.232029611780746
"A4GALT",0.237840259350211,0.0414221349281457,0.341785274656409
"A4GNT",0.188839990388825,NA,0.193807292940925
"AAA1",0.0543996277552301,NA,0.141820820112681
"AAAS",0.164057630141343,0.0236311959566255,0.623113871685932
"AACS",0.586212584140787,0.0353928727295717,0.539629386029373
"AACSL",0.135535950316542,NA,0.243673000577045
"AADAC",0.545986333436583,0.0115062359061365,0.921820100368046
"AADACL1",0.555749317719566,0.070579325686379,0.453567186186285
"AADACL2",0.117261056643905,0.0299166846911681,0.207659082774744
"AADACL3",0.0958297130271452,NA,0.226150970899982
"AADACL4",0.159096398798927,0.0372653687232283,0.249577649661486
"AADAT",0.0565001831387441,0.0301781350495167,0.166481856460035
"AAGAB",0.200484714370252,0.0358678628628668,0.205788137657656
"AAK1",0.0926491833342843,0.040675379085429,0.181091663025262
"AAMP",0.102749629376982,0.036237530710685,0.41584336136362
"AANAT",0.0877284904433515,NA,0.24411502266028
"AARS",0.151994516618659,0.0194842508560375,0.193469145297216
"AARS2",0.137646844114485,0.0274968247515531,0.189033011968635
"AARSD1",0.11928589042321,0.0265460487624375,0.15329319521376
"AASDH",0.171929882112253,0.0195668788912055,0.242268533363384
"AASDHPPT",0.168582201369,0.0251386095444417,0.274404629537928
"AASS",0.271035968220213,0.0310319016399535,0.263149390612415
"AATF",0.123335058632316,0.0244108973773115,0.40895032645413
"AATK",0.143142325327675,0.0214372576248504,0.308292509007045
"ABAT",0.0698137507073619,NA,0.199063980214415
"ABCA1",0.199719300214772,0.0485650157913446,0.328525887346131
"ABCA10",0.172890145921712,0.0232387082065922,0.181988685669345
"ABCA11",0.124643714735373,0.0195349520054574,0.298256875899539
"ABCA12",0.0632713777822745,NA,0.16160159893371
"ABCA13",0.139664938264305,NA,0.331943892411342
"ABCA2",0.173608591593317,0.028168357249768,0.163727868556614
"ABCA3",0.214413998591905,0.0351865605664418,0.197815259432502
"ABCA4",0.101500837989162,NA,0.12761679484582
"ABCA5",0.168832936249817,0.0319227866566932,0.305166188139291
"ABCA6",0.225256485062135,0.0561939596225505,0.344656428616021
"ABCA7",0.060550020434689,0.0740322097711496,0.147302830589785
"ABCA8",0.223514965296102,0.0586560106547517,0.207658312417737
"ABCA9",0.221883615215184,0.0667576218754831,0.204895036459099
"ABCB1",0.224412402163381,0.0345456779326918,0.216117807444274
"ABCB10",0.145964211331311,0.0261738584008962,0.317340632583759
"ABCB11",0.177321081159557,NA,0.14930329086625
"ABCB4",0.121996960716749,NA,0.281734097159087
"ABCB5",0.0970344248893832,NA,0.277201349717134
"ABCB6",0.210177131904381,0.0348020764135371,0.243903153162825
"ABCB7",0.21568867535851,0.0323386425183867,0.231087674025333
"ABCB8",0.109159149208087,NA,0.255146453146641
"ABCB9",0.185177199524624,0.0267999654728558,0.263950285344543
"ABCC1",0.0880421242439315,NA,0.270378025013778
"ABCC10",0.109566135968488,0.0218354924200648,0.180574848979907
"ABCC11",0.0729227889531907,NA,0.168951751016914
"ABCC12",0.074619691272481,NA,0.193702641854949
"ABCC13",0.0574945347247062,NA,0.178150004368918
"ABCC2",0.179411402341102,0.0358176213417015,0.289276793539634
"ABCC3",0.501684164644523,0.119575608829498,0.36084033899345
"ABCC4",0.150650708982878,0.024853788890011,0.243474050817435
"ABCC5",0.219732799953942,0.0282495369136653,0.361395384333398
"ABCC6",0.157772449525169,0.0247696473341955,0.250298269643919
"ABCC6P1",0.121152953411766,NA,0.191861229430236
"ABCC6P2",0.206332896883523,0.0220648922864652,0.223028716504996
"ABCC8",0.127710021557654,0.0498602647356593,0.27006889365456
"ABCC9",0.143423416907933,0.0232094387768422,0.20046572354643
"ABCD1",0.222811699194256,0.0319920496135963,0.543940134451383
"ABCD2",0.20809198248601,NA,0.209103697645826
"ABCD3",0.166381097142999,0.0259326127921379,0.245560786222364
"ABCD4",0.0839267514177433,NA,0.109750700953391
"ABCE1",0.193484499913778,0.021085927288595,0.250441701817737
"ABCF1",0.119928632674988,0.024872705069324,0.157174861379192
"ABCF2",0.129883586757574,0.0201127264909959,0.212904622913719
"ABCF3",0.109561111808791,0.020890355792801,0.291849278424065
"ABCG1",0.10018230398157,0.0347610136950641,0.112133463111014
"ABCG2",0.0997062767375246,NA,0.273298332462856
"ABCG4",0.113723004717946,NA,0.170540373185704
"ABCG5",0.0794322898091863,NA,0.250299640812248
"ABCG8",0.106302944742644,NA,0.223453937732755
"ABHD1",0.286040265005384,0.0226442220715383,0.247607655669473
"ABHD10",0.150629596430708,0.0253044038755795,0.233122545947118
"ABHD11",0.14986856569366,NA,0.255343688788454
"ABHD12",0.219415415283681,0.0248868663266297,0.277873910385758
"ABHD12B",0.0846733144116429,NA,0.225959484689185
"ABHD13",0.0672982495661066,NA,0.17494610617857
"ABHD14A",0.1661112267109,0.0328320126315816,0.507537872696815
"ABHD14B",0.156941138662668,0.0338455822396213,0.317203441617583
"ABHD15",0.213928844520538,0.0458179883963915,0.202330665169971
"ABHD2",0.114986072078959,0.0185625804285407,0.289150482474195
"ABHD3",0.180378454513309,0.0379378991608173,0.320240859463937
"ABHD4",0.167467373688854,0.0290797294532836,0.561014292660156
"ABHD5",0.353070048438922,0.0874208643973364,0.560086184980756
"ABHD6",0.155017195912405,0.0248777257731206,0.219597514025284
"ABHD7",0.150155975511613,0.0202161355247573,0.212383686452807
"ABHD8",0.16278262589623,0.0241272494260743,0.197616416563797
"ABHD9",0.116463113065243,NA,0.214015823006193
"ABI1",0.14296631655724,0.0269980915473694,0.220382434051445
"ABI2",0.089330750307068,0.0237412845563859,0.169828132296311
"ABI3",0.170242120168939,0.0463565095327845,0.180256103257365
"ABI3BP",0.335921349549128,0.0459358911622117,0.291869352527814
"ABL1",0.098993372850422,0.0335619393889601,0.195933774902891
"ABL2",0.165328410318253,NA,0.218090626085633
"ABLIM1",0.19517224545174,0.0360811326050237,0.282030876963828
"ABLIM2",0.192345087453335,0.0357220433631318,0.281490231145919
