"","GSE27657","GSE27916","GSE71416","GSE9624"
"A1BG",0.34208812560525,0.0064217464024416,0.0215951113857634,0.627578171682386
"A1BG-AS1",0.357781473931823,0.00881028635448581,0.048738077980681,0.805262422654265
"A1CF",0.134217141322358,0.00555472122066546,0.0370370325948026,0.532803412679582
"A2M",0.0415382363688642,0.0147475340650411,0.0407902125990895,0.279032628517812
"A2M-AS1",0.306758627360078,0.0182382105209372,0.116342619022789,0.574902219368853
"A2ML1",0.151079360882332,0.00487791937698298,0.0357308561562677,0.684804691096512
"A2MP1",0.160797609623201,0.00726181372506193,0.0489247769260422,0.488384756233782
"A4GALT",0.13715639938224,0.0085742894134841,0.0667398359030397,0.594302492515485
"A4GNT",0.0705919057476268,0.00721167011108677,0.106384615727753,0.268344426806692
"AA06",0.117965149545121,0.00675849253237675,0.0350738666101996,0.338153767047316
"AAAS",0.0766313704561706,0.0130239026919476,0.0415318734635538,0.400297335007789
"AACS",0.108284300341098,0.0686328483302975,0.0374139231927649,0.593295031354346
"AACSP1",0.0616531534255554,0.00671699253001277,0.0751731173622572,0.977647364076288
"AADAC",0.414338755860699,0.0362716023756285,0.208287646290292,0.902253763756813
"AADACL2",0.154872212241318,0.00592532225365277,0.347756386729183,0.55621155045164
"AADACP1",0.18039920150189,0.0059950369380924,0.0486122346960698,1.23305608477627
"AADAT",0.262661782430591,0.0068169749206142,0.0850378612011578,0.547896876357125
"AAED1",0.182363116662136,0.0158227868207402,0.0684193740008583,0.242878608688296
"AAGAB",0.242836628159852,0.00858828143297144,0.0555418569944104,0.421151736938966
"AAK1",0.0850871075527091,0.00627765870821215,0.0559536196650455,0.226883624400072
"AAMDC",0.140095167264427,0.0230463589849574,0.0892449814187512,0.499161276047048
"AAMP",0.0278076098098612,0.0205248792045595,0.0161670426609889,0.253063435145691
"AANAT",0.0777365499578922,0.00612987108289023,0.0922129945527371,1.06509796652353
"AAR2",0.0772019486559248,0.0104635997941308,0.0436248242114842,0.193703343838818
"AARS",0.0651519253371982,0.0134609035624055,0.019536865592831,0.216434755934649
"AARS2",0.100037271222616,0.00675081786413878,0.027165641839256,0.413336783396633
"AARSD1",0.045610307257934,0.00846065951239093,0.039823529359501,0.113114349197909
"AASDH",0.112142834730465,0.012545555403745,0.0879012384974674,0.179544926035691
"AASDHPPT",0.199786644392703,0.0250039747229074,0.0850491215294275,0.310003476202338
"AASS",0.144824241064918,0.0191640692164758,0.0573623266123106,0.340771114049356
"AATF",0.0283342812543678,0.0138462682614755,0.0485756843915118,0.352180999357068
"AATK",0.18395248843037,0.00955194361721258,0.0562471244359324,0.189968592757977
"AB074162",0.249900985730734,0.00804221313819432,0.0517425742511481,0.671097428503903
