"","GSE32512","GSE27666"
"7A5",0.0270790782434276,0.259727488437436
"A1BG",0.0390284502781148,0.187499503551318
"A1CF",0.0260277749472426,0.19908671694331
"A26A1",0.0254244438141422,0.194276440808628
"A26B1",0.041433051405588,0.269087506192404
"A26C1B",0.035177365959823,0.230699641395359
"A26C3",0.0296254070635645,0.22555522922942
"A2BP1",0.0235908739273469,0.177460594423991
"A2M",0.0390451802076577,0.300590811456913
"A2ML1",0.027324090582855,0.334283123296715
"A3GALT2",0.0202929731975086,0.187433812802046
"A4GALT",0.0507918773090502,0.264146724403212
"A4GNT",0.0555168711968845,0.250932408491917
"AAA1",0.0196170663785484,0.143865531323292
"AAAS",0.0443954233275087,0.160063288264113
"AACS",0.0811983846499086,0.660266805641487
"AACSL",0.0656512105384357,0.238827653345907
"AADAC",0.106590359259946,0.446372068777078
"AADACL1",0.113693361260877,0.736745342731442
"AADACL2",0.0382690839471089,0.252623356282884
"AADACL3",0.0335917483443965,0.298139313856364
"AADACL4",0.0680832271738997,0.361630397554902
"AADAT",0.0308802649437517,0.201996294199914
"AAK1",0.0385239550962704,0.216879894447109
"AAMP",0.0341224561454293,0.16264645403204
"AANAT",0.0333258759771916,0.335902658999174
"AARS",0.0137642933338183,0.118854788226559
"AARS2",0.0314665896974613,0.146831191862887
"AARSD1",0.0217660533047299,0.126213383989125
"AASDH",0.025761109024788,0.140426840524776
"AASDHPPT",0.0255469388539065,0.145133308582533
"AASS",0.0721789730829654,0.325646767259877
"AATF",0.021776687889362,0.132414921359913
"AATK",0.0443397093178735,0.22730663871074
"ABAT",0.0340752369710839,0.210076752736083
"ABCA1",0.0215023186546564,0.188896117411243
"ABCA10",0.0606077185015045,0.238438336108248
"ABCA11",0.063686287778515,0.204051806190075
"ABCA12",0.0402776682470917,0.186225429920296
"ABCA13",0.0429091994491409,0.446542237896031
"ABCA2",0.0319868076884807,0.170326346706125
"ABCA3",0.0413353430988756,0.187338305228983
"ABCA4",0.0663562662267759,0.222525820890419
"ABCA5",0.0472002448454073,0.185075956466559
"ABCA6",0.0367308790418936,0.232536917068486
"ABCA7",0.0275071551548507,0.22837311388337
"ABCA8",0.023394458962216,0.193562678733092
"ABCA9",0.0400866261909263,0.196931458235801
"ABCB1",0.0700880064398241,0.24718025426851
"ABCB10",0.029167087219585,0.158538017200945
"ABCB11",0.105758866587068,0.424639026251088
"ABCB4",0.069204975706482,0.280176537513509
"ABCB5",0.0243896034413061,0.339075522608528
"ABCB6",0.0259053614131332,0.15582944281155
"ABCB7",0.033094570698025,0.175721072730126
"ABCB8",0.0592343071108564,0.246740541628294
"ABCB9",0.0713107027860971,0.225890717952932
"ABCC1",0.0505454401372908,0.213538230432859
"ABCC10",0.0453207322553636,0.168112316117115
"ABCC11",0.0250570045375266,0.207267733806876
"ABCC12",0.0670767868164083,0.23453104789424
"ABCC13",0.0437604871057569,0.201318533494654
"ABCC2",0.0928218266845116,0.33870824329188
"ABCC3",0.0803670256556285,0.549154090507506
"ABCC4",0.0755120675241437,0.299633209797548
"ABCC5",0.0457486051937863,0.226242610544942
"ABCC6",0.0608831377585501,0.205719033821962
"ABCC8",0.0401350828834805,0.23656972439572
"ABCC9",0.0638814294457952,0.224521472002571
"ABCD1",0.0518619951060216,0.232131005015702
"ABCD2",0.0520621276709824,0.232954594239277
"ABCD3",0.0341714026209469,0.19360888215564
"ABCD4",0.0362352832786231,0.16034974515544
"ABCE1",0.0195320442212209,0.116248129045497
"ABCF1",0.0173037501151785,0.0953757605776295
"ABCF2",0.0664201893850455,0.219901305964808
"ABCF3",0.0471002498564514,0.186035031493678
"ABCG1",0.0394598830773701,0.140692238328178
"ABCG2",0.0514462902913757,0.271639100448753
"ABCG4",0.0950876501315264,0.343930930232073
"ABCG5",0.0728114644058434,0.237740964956282
"ABCG8",0.0345424816020967,0.265030422018355
"ABHD1",0.0674770320603238,0.269486450003019
"ABHD10",0.0436627479456511,0.215060531267549
"ABHD11",0.0617049142433755,0.196891349895686
"ABHD12",0.0458806059691982,0.220379003555944
"ABHD12B",0.03237530226254,0.194653786433285
"ABHD13",0.033796547700357,0.186727716142416
"ABHD14A",0.0263341660034776,0.165024880236892
"ABHD14B",0.0319015859449161,0.198923888467982
"ABHD2",0.0665869898652212,0.203685942115924
"ABHD3",0.031776195230013,0.186642849765531
"ABHD4",0.040134481103712,0.191292050154708
"ABHD5",0.0485662671891166,0.317803000274276
"ABHD6",0.0302861768119657,0.167289803289727
"ABHD7",0.0799015379064756,0.26608834458878
"ABHD8",0.026039838908326,0.142779571226753
"ABHD9",0.0615036630540848,0.207246468003165
"ABI1",0.0269625164731746,0.150665818195086
"ABI2",0.0419652501574573,0.141042813911739
"ABI3",0.0700871136526931,0.276415421175905
"ABI3BP",0.0365925194236264,0.239039621796825
"ABL1",0.0550554344401267,0.208410580768263
"ABL2",0.0406183335044056,0.19136876446511
"ABLIM1",0.0402051156346745,0.220073684854244
"ABLIM2",0.0629888186906432,0.250499937902039
"ABLIM3",0.0420653047299357,0.261918411774965
"ABO",0.043442203229896,0.284951877437061
"ABP1",0.0646619286786754,0.264397266504325
"ABR",0.0419625027636296,0.165993390767634
"ABRA",0.0368716364084228,0.243728688853797
"ABT1",0.0698853035879735,0.22998267504247
"ABTB1",0.0328952485480415,0.228782189487181
