"","ranking","median","mean","sd"
"LOC101928826",1,0.00898702742034064,0.0397576026500154,0.0638954400696041
"TATDN2",2,0.00957686724631741,0.136331654764878,0.256270958443223
"NACAP1",3,0.0115305560451546,0.0793202248539365,0.138901766210748
"FAM161B",4,0.0127928737678708,0.0712129905170758,0.11862109228375
"RPS15",5,0.0130725607962831,0.0945137797654522,0.162958122717657
"CYSTM1",6,0.0134897087624611,0.0575313652537985,0.0914124883789305
"RP5-882O7.1",7,0.0138013273673438,0.0478695247479825,0.0719876750700039
"ND3",8,0.0141104926736219,0.0426787311142134,0.0609372850876801
"PARL",9,0.0143314128089866,0.0405617572094541,0.0577064439418591
"RPLP1",10,0.0147957351956071,0.0536222217228575,0.0853871435823133
"RTN4",11,0.0150946424508928,0.0637225012688773,0.0998623120422496
"ANKRD52",12,0.0152756007223453,0.145559027911775,0.263590068368774
"ZDHHC5",13,0.0152826082111894,0.0962345959973147,0.168072164329267
"RPL24",14,0.0153722189610218,0.0563666834561686,0.0835576455122043
"RPLP0",15,0.0154365139418342,0.050560774959068,0.0748308975336216
"PRICKLE4",16,0.0154418249512051,0.0742256310785463,0.123695170164051
"HP1BP3",17,0.0154786094222834,0.0639966753157215,0.10005206659109
"MTCH1",18,0.0158393433599635,0.060200472215194,0.0967479733861254
"PTMA",19,0.016046696234084,0.0667187413535806,0.104615260187645
"PSMA7",20,0.0162032115297557,0.0867087294723266,0.144116685154892
"JTB",21,0.0163161209943788,0.0522411742650584,0.0746852008431681
"SLC25A53",22,0.0165730971496255,0.17453803574478,0.324166228912417
"USP7",23,0.0166680441691377,0.082752843931299,0.138021734746669
"GNA11",24,0.0169387155976955,0.0441545629174525,0.0597149512168917
"CCDC152",25,0.0169768770123047,0.111354630872394,0.18902547900783
"SLC25A3",26,0.0169819466260347,0.0594188804335927,0.089041341323911
"RPL9",27,0.0169986522192199,0.0454995349738188,0.0588898364283284
"UBB",28,0.0170463526939882,0.0380526461696378,0.0463855127266363
"RPL7",29,0.0170783515610305,0.0375660650943071,0.0469806523531348
"XPNPEP3",30,0.0171959642726834,0.0566949179434578,0.0861489505254624
"ND4",31,0.0172426935718719,0.0460017488489335,0.0621774664336074
"RPL39",32,0.0176008639612956,0.0458329180336746,0.0656038749293665
"ANAPC16",33,0.0176851647342584,0.0656223684105601,0.100353896015409
"ABI2",34,0.0179012580894164,0.0375553910156404,0.0468709374532206
"TIRAP",35,0.0179657090608274,0.0917712635117977,0.156246801638734
"MIR1244-3",36,0.0181474167825858,0.0990106270912637,0.165809942764876
"LOC100130987",37,0.0181584893562121,0.0745247909596349,0.120142204634308
"APOPT1",38,0.0182962686814542,0.056611645526821,0.0830220835878976
"UBC",39,0.0183848766994879,0.0480967488347884,0.0633146207219473
"RPL41",40,0.0183983340484673,0.0413699609695584,0.0540668914766951
"LOC100508408",41,0.0184699423538116,0.0430362012598491,0.0547244994798167
"UBE2D4",42,0.0185350604206732,0.0732075721888535,0.118768327929762
"LGALS3",43,0.0185766217589189,0.08738660874458,0.148051713713853
"ZNF721",44,0.0186849552152621,0.126020794118991,0.215470752070725
"RPL30",45,0.0187473024397837,0.0587169805009397,0.0848916948034265
"RPL23A",46,0.0187954710161305,0.0489756320219293,0.0693209129118004
"FTH1P5",47,0.0188295605069526,0.0633491633979188,0.0938044611050576
"APOC3",48,0.0188604782909878,0.19936344877706,0.370327877241647
"NDUFB4",49,0.0190268218575122,0.0324739294193215,0.0326315717736669
"PLSCR3",50,0.0191216912031031,0.0894045134754856,0.146909541390019
"LRRC71",51,0.0193883459214598,0.28694161891342,0.543036201173195
"ARFIP2",52,0.019415990203704,0.0752615728709242,0.115762256316823
"SPAG7",53,0.0197982495576838,0.0528132516521373,0.0732572789130959
"RPL21",54,0.0198908053931841,0.0476042090084016,0.0595528584264834
"TELO2",55,0.0199026804975709,0.0575047696307102,0.0829334766053149
"RASSF7",56,0.0199290275307912,0.0907282046253572,0.149375581774749
"FUNDC2",57,0.0199989675692508,0.0524278540925454,0.0700457809680868
"XKR8",58,0.0200501292636954,0.0441045894173538,0.0556990091949169
"AC017104.6",59,0.0202451860282613,0.198087358326838,0.363256998796985
"C1orf186",60,0.0202748812417479,0.133994643266476,0.236227819950695
"RP6-11O7.2",61,0.020307784653912,0.0609466779194986,0.0868763375181501
"FAU",62,0.0203610137114461,0.0608861944603587,0.0905497893021781
"NDUFS4",63,0.0203618644658954,0.0534414505235854,0.0702895238056789
"MACF1",64,0.0203901905087953,0.0556066298223092,0.0757665790259515
"RPL32",65,0.0204446267832746,0.0637563589311546,0.0941840700195078
"FAM19A5",66,0.020457440978688,0.16833730275834,0.30543449428122
"MRPL3",67,0.0204900649273038,0.135862295287759,0.236665803797487
"ILK",68,0.0205163626473386,0.0592190655812148,0.087627835758804
"NDUFB3",69,0.0205301677034584,0.0885983348346807,0.139602048502826
"ISCU",70,0.0207328356444095,0.0680698865862226,0.103839577943789
"RPS25",71,0.0208028913021419,0.0494188370508733,0.0635765219362556
"ZNF611",72,0.0208161046282992,0.0677441074914283,0.1010141367929
"WDR31",73,0.0208550545409435,0.139444580552427,0.248754456228631
"EFTUD2",74,0.0208875888248246,0.117581302022615,0.2030279027226
"PABPC3",75,0.0209740320156096,0.0614441855609014,0.0854873738935851
"CLTA",76,0.0209853636832864,0.0824089974287325,0.12666636470116
"PGAM1",77,0.0210270610039684,0.0959841209127335,0.156960231968349
"CCDC51",78,0.0210625803315961,0.0682020789495631,0.102146802605117
"C11orf68",79,0.0211411649844883,0.0643434691625797,0.0953370568571487
"RPL3",80,0.0211878041917952,0.0515769768839943,0.0635564770228605
"CPSF7",81,0.0211916042930355,0.0993803751939226,0.163238043809087
"MORN3",82,0.0212163226433763,0.203104863515652,0.37412208306076
"FEZ2",83,0.0214015254205729,0.0849393554169606,0.128361525742478
"COMMD6",84,0.0214524132846117,0.0896474209945849,0.145228641134948
"RP13-258O15.1",85,0.0215282624409685,0.0696084330135519,0.106264059204247
"SF3B2",86,0.0215301784228177,0.0639484986486535,0.093174191412533
"SDHD",87,0.0215876930629972,0.106296289498269,0.173647056768555
"LRP10",88,0.0216530788200429,0.0443496265498342,0.0511293353964823
"RGS19",89,0.0217284621984511,0.128929397477644,0.220045828467232
"RPL22",90,0.0218377833640368,0.0467936783775216,0.0581356648144799
"SLC2A8",91,0.0218446223161916,0.121239074233327,0.208397359492197
"RNF8",92,0.0219039904906723,0.112451830777276,0.194722440554757
"ITM2B",93,0.0219064710600426,0.0671145339075689,0.0951128417090646
"UNC45A",94,0.0219243546522679,0.054733635722222,0.076040016145235
"TMBIM6",95,0.0219668434981903,0.0741175396810781,0.116447220520467
"RP11-403P17.4",96,0.0219803153653273,0.104497712403788,0.166163350444633
"YWHAG",97,0.021992331362342,0.0552798389798714,0.0723081385038658
"ANKRD17",98,0.022070396134557,0.0786104179706242,0.118552948411495
"C1orf122",99,0.0220857075681853,0.084656682931423,0.126616587598164
"RPL34",100,0.0221880918153888,0.0544362521671985,0.0731367656159193
"LRP3",101,0.022267442912385,0.143363461176788,0.250891833770575
"CTSE",102,0.0223487338446191,0.256316164385012,0.478031020307376
"ANO6",103,0.0223840190909778,0.0957259316398002,0.149369813567215
"KTN1",104,0.0224670934002031,0.095255167655328,0.150032921417671
"RPSA",105,0.0224856279733473,0.0616782471652626,0.0881371713538367
"NOA1",106,0.022507955900896,0.0586074689798672,0.0791411238538061
"DAXX",107,0.0226136879786762,0.070441066606084,0.105334880179001
