"","GSE73108","GSE72158","GSE65221","GSE58559","GSE42809","GSE119717","GSE115645"
"7A5",0.0199141657705839,0.0489364751034241,0.0882037174309615,0.0263326062094096,0.00133656388182488,NA,0.224581514123928
"A1BG",0.0297196099912703,0.0499920188170436,0.0711381521076742,0.0154552827933123,0.00108597459927572,NA,0.138803291871916
"A1CF",0.0230685476200905,0.0288466362022469,0.0557787684540232,0.0218302139624573,0.00267888823216717,NA,0.185439397902222
"A26C3",0.0223381167429724,0.0546570246043348,0.0867178730020973,0.0231421066529308,0.00311541855758092,NA,0.18267158115756
"A2BP1",0.0220639784869232,0.0249710857305383,0.0503663165558576,0.016985477583969,0.000929269643322935,NA,0.117495615601612
"A2LD1",0.0859412652650271,0.146257874098266,0.166248520128091,0.0326465217607275,0.0280855603359013,0.0179583268600753,0.190061710095725
"A2M",0.0101238845325791,0.360355209277615,0.153246092220815,0.024299695719497,0.00354533196259574,0.0447742724419849,0.23309589824547
"A2ML1",0.0093274529372279,0.0497602593041335,0.0723601984355296,0.0262175645166657,0.00194951282389364,NA,0.239843368489201
"A3GALT2",0.0154195249430264,0.0503103946175906,0.0689904855930923,0.0158472474817785,0.00217471742227737,NA,0.222515805335047
"A4GALT",0.0486239696231122,0.172017186587017,0.256928033989318,0.0320031946100375,0.0954087012365641,0.0390464839148533,0.372313040168368
"A4GNT",0.0291760720382229,0.0636926077770577,0.110884458521287,0.0316459846725893,0.00349041150662197,NA,0.163451920439139
"AAA1",0.011468245568867,0.0422830681253108,0.061406582169296,0.0191051185416763,0.00246510511016806,NA,0.0930816854662052
"AAAS",0.0343625139821952,0.0659990175195058,0.146647601065524,0.0314324942978089,0.00798176811696371,0.0216302713789375,0.218734623752109
"AACS",0.0370009901816669,0.355471856260183,0.51063761278567,0.0551720489373286,0.00548685414248804,0.038346388735836,0.349532109047477
"AACSL",0.0526570478085933,0.0615249482340507,0.133561625798188,0.0224488804466514,0.00305230732259884,NA,0.23587732371459
"AADAC",0.112926750584516,0.512048242672196,0.574675580536233,0.0603826280949721,0.0223982573734112,0.0129833525774666,1.12367031364661
"AADACL1",0.0222269946402423,0.287093320221176,0.228274676918269,0.0336381168960599,0.0149786256391971,0.0476029871922671,0.240233240605614
"AADACL2",0.29658598921446,0.0496910282183966,0.0795927015607921,0.0231267640339268,0.00139323222336444,0.0295435009118736,0.230364240369882
"AADACL3",0.0155614040405863,0.0664246846600964,0.0768254586447838,0.0226523945984158,0.00240816668553158,NA,0.198899033996813
"AADACL4",0.0910281599951691,0.100170314403013,0.165613726852594,0.0325164465483683,0.00261981918604732,0.0387011803482381,0.27789670475735
"AADAT",0.017938205730807,0.0348260647628304,0.0596800283138234,0.017867396043845,0.00217192156586234,0.0285854179299865,0.191195938835723
"AAGAB",0.0412951748892186,0.227476798461136,0.193272363535903,0.0269210140668537,0.0131455555816991,0.0339740280326748,0.190794379319038
"AAK1",0.0355254286397111,0.0344622238195336,0.075911639859812,0.0281948546781082,0.00162251920428674,0.0486314427389242,0.252466324976764
"AAMP",0.0404661477066076,0.146965020931332,0.100997446776261,0.0166423231655758,0.0227012376528403,0.0283604076168038,0.181567741436721
"AANAT",0.00437859465766942,0.0497390833543241,0.0743779039112788,0.0270374585679312,0.0026672594742512,NA,0.215947383010754
"AARS",0.00893767751334591,0.112904672433656,0.145590258809738,0.0157076056172402,0.0231770971877487,0.0161778928027194,0.139153669643194
"AARS2",0.0169717369972156,0.101225758805787,0.113122067969335,0.025480521344823,0.0240041719018917,0.0265438921282479,0.118785264927612
"AARSD1",0.0222354632226477,0.188507909193673,0.12302523008648,0.0201574927733483,0.0258474711831077,0.0279463377528669,0.142176800433638
"AASDH",0.0320195572481524,0.110658629376924,0.155635721239183,0.0225301466353892,0.00525500265209089,0.0167063145597952,0.19412391999832
"AASDHPPT",0.0236940713520095,0.170395289898037,0.130777537295859,0.0141524875495273,0.00565112967335729,0.0269027248340988,0.238626604203984
"AASS",0.0407594166973243,0.130875951446506,0.248134021555858,0.0239977271902887,0.00227773808744757,0.035999385501755,0.287791724073787
"AATF",0.0280353150577189,0.130315765653992,0.1200655920168,0.0275901153486399,0.033074563142806,0.0246868432417661,0.230507744871039
"AATK",0.0285998130051911,0.0525443525696354,0.122118021135569,0.0203166937412286,0.00137837925609991,0.0205280744360259,0.164141010072194
"ABAT",0.0160898695408917,0.0427606164506962,0.075404910337736,0.0244679113063596,0.00209407489344874,NA,0.239248667026375
"ABCA1",0.021899738942706,0.368964272318672,0.225684989705938,0.0214575446166798,0.0523465111973937,0.0487154525724616,0.334469264026252
"ABCA10",0.0653098895215669,0.0703484809386702,0.164174093688987,0.0259254480766423,0.00166168977607894,0.0186695837072186,0.215916225979962
"ABCA11",0.0548707799170947,0.053965937990952,0.125112878033317,0.0293764314113559,0.0028132126797861,0.0207424478541149,0.285452862245592
"ABCA12",0.00833839430378419,0.0309282345565898,0.0574094555907801,0.0153718105342756,0.000886964655810649,NA,0.173272116185175
"ABCA13",0.0119931244686772,0.0455368383026681,0.092582009423839,0.0234777418955642,0.00180411026676531,NA,0.375386882356121
"ABCA2",0.0478160873369311,0.100137150885448,0.1633687549044,0.0251990930472231,0.0041466896892328,0.0310021589956316,0.158392566233764
"ABCA3",0.0375086177878188,0.1610752140172,0.221961114422238,0.0285847292459201,0.0116252766355585,0.0332933913506175,0.15818866645076
"ABCA4",0.0477651775977371,0.0492883297400611,0.0943303622002307,0.0196748454452777,0.00403945604457436,NA,0.169764152774308
"ABCA5",0.135804956676746,0.107046496634708,0.179827361837584,0.0325154609977288,0.00115257544244697,0.0372494581483266,0.394819796384946
"ABCA6",0.0259336905305507,0.178982005268627,0.22747106808617,0.0308178083726167,0.0163715902974941,0.0523984494616472,0.383936985111919
"ABCA7",0.0123521815538184,0.042882193152704,0.0594373602490443,0.0182003478786938,0.00214390746153595,0.0552535781543989,0.114877760848508
"ABCA8",0.0421065754922822,0.264603146987474,0.227641213333236,0.0347917953672984,0.0420961995413732,0.0397141358946111,0.259790780344564
"ABCA9",0.0536559458488354,0.189178288097501,0.187610409195215,0.029161845775983,0.0135864058531071,0.0689607076347606,0.246551534673859
