"","ranking","median","mean","sd"
"EEF1A1",1,0.0109956467911559,0.0642525106739922,0.112554015798031
"LOC101928826",2,0.011438993369877,0.0489027087482993,0.0597612256225787
"RPL39",3,0.0115238012109805,0.0558772514272276,0.074939574621954
"RPL7",4,0.0116266955861667,0.0680477063415713,0.094588404333338
"RPL23A",5,0.0117621798421101,0.0656343417122538,0.0862233358896572
"RPL22",6,0.0119612664212807,0.0575884136979934,0.0725726391931947
"NACAP1",7,0.0121054309859622,0.0935701425827432,0.123680158937913
"ND3",8,0.0125008599941488,0.0589188133238693,0.0746769448741023
"RNU86",9,0.0127442632167793,0.0702158226224702,0.098486889284939
"RPL41",10,0.0128848475949245,0.0476923155444864,0.0627908778254461
"RPL9",11,0.0133097570711756,0.0529179055166343,0.0643022874109019
"RPL34",12,0.0133223906974199,0.0613455740332625,0.0815656133524785
"RPL37",13,0.0135412591937498,0.0572171936532965,0.0749889289821681
"RPS17",14,0.013592708227905,0.0664492430334397,0.0935639816435751
"RPL30",15,0.0141621488248792,0.053559345051708,0.0765115446229404
"RP5-882O7.1",16,0.0142265281165569,0.0650112170805957,0.0989343570401428
"RPSA",17,0.0143855853232597,0.0964070249169382,0.130741379154157
"CD63",18,0.0144956336537197,0.0478053653355402,0.0669709105114747
"RPLP1",19,0.0145488292652806,0.0651635518440625,0.0888745647209127
"RPL3",20,0.0145696702640809,0.0722108499000169,0.0909826197791586
"LOC100508408",21,0.0146444843347587,0.0574294094686362,0.0771445766495099
"PABPC3",22,0.0150637620771184,0.0796379332528319,0.105107868137821
"TMA7",23,0.0155019834915975,0.0695347078996616,0.0812747150698858
"MTCH1",24,0.0156730007590803,0.0596925056555958,0.0755875376836881
"RP6-11O7.2",25,0.0157028470462771,0.0926374494326474,0.122018846757256
"ND4",26,0.0162395194687404,0.0554597180832677,0.0698967943131578
"COX2",27,0.0164696224353048,0.0785305944148434,0.103446174137225
"FTH1P5",28,0.0166536221480598,0.0741099938768531,0.103055270897359
"RPL13A",29,0.0170203766103437,0.0741916883850485,0.106047080713587
"HNRNPK",30,0.0173846790112225,0.068438595531802,0.0918823829608219
"RPL12",31,0.0177925043843968,0.0750584154486632,0.103885522512698
"UBB",32,0.0178320279240072,0.060572683483815,0.0858431696754925
"RPLP0",33,0.017851888213164,0.0764737816770705,0.0977367466133655
"RPL24",34,0.0182440050708973,0.0789756768090033,0.110704033467463
"LOC101060363",35,0.0183325112519066,0.0735843577133962,0.0899449680818697
"DERL2",36,0.0183856431585641,0.0729995464555925,0.109288131111292
"RPL27",37,0.0184927871159019,0.0547050260962718,0.0712778075853678
"RPS7",38,0.0188568121672878,0.0714994218819006,0.0959322685613402
"RPS18",39,0.0189224930373694,0.0612676953162757,0.085837184507411
"RPS20",40,0.0189689633603093,0.0960715539385461,0.153374963914898
"EEF2",41,0.0189889299464123,0.0874956348345144,0.11146185371896
"MRFAP1",42,0.0189906151838729,0.0649603050237087,0.0774478818198667
"RPL6",43,0.0190050924239491,0.0540011125434441,0.0767080419027848
"RPL32",44,0.0190984110032292,0.0740757248817054,0.107977853647002
"EEF1G",45,0.0191991616377131,0.0659415777611339,0.0818183874888908
"MIR1244-3",46,0.0193858322146468,0.100908874893777,0.143734195227193
"C14orf166",47,0.0196595175619186,0.0652066028448463,0.0801640177712588
"MYL12B",48,0.0196950381998046,0.079823035944149,0.0991536006197636
"RPS4X",49,0.0197863053062165,0.0753090001862905,0.0981473563548964
"LOC101929087",50,0.0198924466014629,0.0777397137204159,0.102783134275607
"TBCA",51,0.0200791400767901,0.0807293906096816,0.0922866011295644
"NARS",52,0.0202323650212058,0.0769743311665929,0.102491783202417
"COX1",53,0.0202516115468721,0.0627978805413167,0.0644807915825817
"PABPC1",54,0.0202738003816625,0.071134852843381,0.084225968931429
"PARK7",55,0.0203335931627923,0.0639283870878646,0.0720182359383865
"SRP14",56,0.0204841870086544,0.0482746763696439,0.0556044496120618
"RPL7A",57,0.0206596578504642,0.0791997299062899,0.0958887404865529
"EIF3L",58,0.0206782658701633,0.0760525026943863,0.0930734731002021
"ATP5O",59,0.0209014093469654,0.0869538674098918,0.109407245484558
"SLC25A3",60,0.0209398146853376,0.0779638418452707,0.0878269549532857
"SSR2",61,0.0209658685735821,0.0746208850295254,0.0957476175517086
"UBA52",62,0.0210133830767603,0.0530686766622662,0.0621697697673815
"RPS3A",63,0.0210577405495488,0.0699892805906416,0.101675030062963
"RPS12",64,0.0213346951072932,0.0724688673177128,0.108766960132237
"RPL4",65,0.0213757523234394,0.0780190869252605,0.104790759871931
"RPS25",66,0.0214145022063009,0.0602038589436194,0.0809619307891402
"GLO1",67,0.0216174627649735,0.0771414645572683,0.12257974513536
"COX6C",68,0.0217607729097227,0.0847901976139697,0.112315196970505
"GABARAP",69,0.021789901982062,0.0656850977564637,0.0730443115701045
"PRICKLE4",70,0.0218150345771646,0.075221316629983,0.0890292382244253
