"","GSE73108","GSE65221","GSE115645"
"7A5",0.0199141657705839,0.0903959068719743,0.0818024799275222
"A1BG",0.0297196099912703,0.0666300502576213,0.0357668952412544
"A1CF",0.0230685476200905,0.0545253611796626,0.142427774706608
"A26C3",0.0223381167429724,0.0980639916606,0.111355417808884
"A2BP1",0.0220639784869232,0.0522860063059997,0.130470695799014
"A2LD1",0.0859412652650271,0.164308519485257,0.151549242649588
"A2M",0.0101238845325791,0.159499171340386,0.0697791809807386
"A2ML1",0.0093274529372279,0.0668143388244478,0.173831473600116
"A3GALT2",0.0154195249430264,0.0757945649083241,0.114563738509578
"A4GALT",0.0486239696231122,0.252373873869782,0.449730762238467
"A4GNT",0.0291760720382229,0.109795367681227,0.173409377285692
"AAA1",0.011468245568867,0.0647290354194364,0.0418720726050403
"AAAS",0.0343625139821952,0.137469176874726,0.0707632349149796
"AACS",0.0370009901816669,0.440420020146307,0.0915136714454122
"AACSL",0.0526570478085933,0.110696308144761,0.143251598239374
"AADAC",0.112926750584516,0.483964577438628,0.345722581863473
"AADACL1",0.0222269946402423,0.197718237712442,0.0288833161273276
"AADACL2",0.29658598921446,0.0890675556603009,0.22475433520514
"AADACL3",0.0155614040405863,0.0677684199536297,0.0408370126849749
"AADACL4",0.0910281599951691,0.147869912972807,0.160067641209966
"AADAT",0.017938205730807,0.0584210797845169,0.106372149925942
"AAGAB",0.0412951748892186,0.192337201033269,0.093396245230086
"AAK1",0.0355254286397111,0.0621179344025639,0.107842201260579
"AAMP",0.0404661477066076,0.0937455674328204,0.112689816649009
"AANAT",0.00437859465766942,0.0803182585256391,0.0542075149776196
"AARS",0.00893767751334591,0.14124295909354,0.373541450437801
"AARS2",0.0169717369972156,0.0974042361676802,0.134310879769598
"AARSD1",0.0222354632226477,0.146369957633625,0.0389537661973306
"AASDH",0.0320195572481524,0.125026049748067,0.172140990158379
"AASDHPPT",0.0236940713520095,0.130482381507278,0.196520367146746
"AASS",0.0407594166973243,0.225623067728475,0.0784817553717986
"AATF",0.0280353150577189,0.123151319522283,0.257725452370967
"AATK",0.0285998130051911,0.121257569503587,0.0848438385454136
"ABAT",0.0160898695408917,0.0780567149232381,0.204737028834345
"ABCA1",0.021899738942706,0.194444948395195,0.0730748268672011
"ABCA10",0.0653098895215669,0.146068085199235,0.0972559267777901
"ABCA11",0.0548707799170947,0.114302785791443,0.177416899295821
"ABCA12",0.00833839430378419,0.0563385466873171,0.0950142227366802
"ABCA13",0.0119931244686772,0.0919949706306734,0.313734006632581
"ABCA2",0.0478160873369311,0.165869209967974,0.267144808965678
"ABCA3",0.0375086177878188,0.203981773536625,0.196228953098818
"ABCA4",0.0477651775977371,0.101847008975218,0.162439144320667
"ABCA5",0.135804956676746,0.189425676452723,0.0469332928373253
"ABCA6",0.0259336905305507,0.234113250046729,0.15528169997655
"ABCA7",0.0123521815538184,0.0697219895346549,0.0979376805131158
"ABCA8",0.0421065754922822,0.237684334673067,0.095151712625587
"ABCA9",0.0536559458488354,0.184401283599812,0.0367346505069082
"ABCB1",0.22944418891131,0.148470860778314,0.0418010017165029
"ABCB10",0.00864558101123081,0.154818138283801,0.144149857291583
"ABCB11",0.0502923680367412,0.0639326239385126,0.112950811377078
"ABCB4",0.136413810345779,0.103783752624815,0.24156097124048
"ABCB5",0.0183142935005168,0.0985419038170046,0.099416728190827
"ABCB6",0.0216136588336609,0.19808924695347,0.0606861236165108
"ABCB7",0.0412488947574491,0.207730358136598,0.0302637007371459
"ABCB8",0.0405013657391518,0.124184850392843,0.209148260665975
"ABCB9",0.0790994060064629,0.212428577235811,0.175517400327499
"ABCC1",0.0265665816389592,0.139095451427566,0.204219331262181
"ABCC10",0.0490742662943904,0.112992498230735,0.319951933353401
"ABCC11",0.0127333337404319,0.0705901822076386,0.0823076309852651
"ABCC12",0.00765661210994492,0.0677452055059394,0.0640266291719707
"ABCC13",0.0275597831882653,0.0591670858072956,0.111689892472593
"ABCC2",0.102740278438378,0.256198705766291,0.17450185680388
"ABCC3",0.0430486487231693,0.632945686021773,0.395496440428726
"ABCC4",0.104328097298379,0.144105036014201,0.084064973194682
"ABCC5",0.036234118717135,0.176774701508214,0.20725174568921
"ABCC6",0.0573014944589115,0.154312407077981,0.0869406055823225
"ABCC6P1",0.0683979108839879,0.153023854335859,0.189531805186909
"ABCC6P2",0.072470022213185,0.249815622569826,0.1336622172865
"ABCC8",0.0226605986044778,0.157259378961952,0.178319923595019
"ABCC9",0.0446873954104829,0.173993552849066,0.056865904176604
"ABCD1",0.10476636299267,0.258410377895393,0.457700675506977
"ABCD2",0.0287268195774527,0.191000057762248,0.0568255896792647
"ABCD3",0.036061878476857,0.0870027534739356,0.158914609644485
"ABCD4",0.0182444750354643,0.0588380823845753,0.126227541263834
"ABCE1",0.0330915046775605,0.113815666385776,0.172839672961944
"ABCF1",0.0216697139141778,0.142205281345003,0.113086329404995
"ABCF2",0.046814700864582,0.138312413696943,0.170860871386303
"ABCF3",0.0459534864596847,0.10988975389872,0.210722054495877
"ABCG1",0.0388459971512625,0.104634546134337,0.0708547669903003
"ABCG2",0.0201277141493596,0.0946285098612765,0.303057723273638
"ABCG4",0.0471475069416546,0.122303862825861,0.102327350157086
"ABCG5",0.0400813489172215,0.0628042095237485,0.210710567100341
"ABCG8",0.0366913524509022,0.0928548423266475,0.300291482470747
"ABHD1",0.0749507837827293,0.153512433527325,0.115408408577985
"ABHD10",0.0165443455172226,0.0955442125509405,0.202998596503004
"ABHD11",0.0568132057535993,0.139722760623443,0.0866711149706796
"ABHD12",0.0365617548061341,0.151955381240166,0.038800383396135
"ABHD12B",0.120534099019284,0.083833334479625,0.150911278660252
"ABHD13",0.0164863334723089,0.0536660184569933,0.13456796056873
"ABHD14A",0.0163280636631127,0.124388416135732,0.12574695967416
"ABHD14B",0.0524869383020659,0.143571002353762,0.115693552398891
"ABHD15",0.0325411796983737,0.180585450645927,0.134639546176752
"ABHD2",0.0382774992875583,0.0930083327831165,0.14687336532707
"ABHD3",0.0386691540572979,0.14733514892883,0.0768852583292952
"ABHD4",0.0602116828664079,0.183559211774728,0.156399953646504
"ABHD5",0.0990166775853699,0.347010594173696,0.138917205099431
"ABHD6",0.0501970781376778,0.169716113214824,0.110425337009897
"ABHD7",0.021810580967052,0.168355941240344,0.0221823534946988
"ABHD8",0.02483172184835,0.157177149906796,0.295085550158865
"ABHD9",0.0309904464332908,0.0910524247814314,0.108054109408205
"ABI1",0.0290490257494548,0.118731563627233,0.0676847841873897
"ABI2",0.0517895207023637,0.0760198603352331,0.0855454261946258
"ABI3",0.0339651606707593,0.138691579485387,0.199969883052289
"ABI3BP",0.0803713972168155,0.380342695305347,0.18208188221976
"ABL1",0.0497951075282964,0.0942745628563577,0.123306562410921
"ABL2",0.0722011300844923,0.111744370521728,0.101098917463424
"ABLIM1",0.0164976143576349,0.203738260080435,0.220661847376877
"ABLIM2",0.0772573979637017,0.216046244731113,0.29531287250105
"ABLIM3",0.0517447347259363,0.196015383552232,0.145151137084557
"ABO",0.0166976433822365,0.0713130161802565,0.233243791022162
"ABP1",0.00693509318641929,0.0932708815934262,0.0984436721337346
"ABR",0.0327385164297447,0.0836792666278071,0.206983548432062
"ABRA",0.0138101139982152,0.0808540958688518,0.123066061323546
"ABT1",0.0343604945305144,0.136246620881453,0.0908839613712271
"ABTB1",0.0324246026163748,0.156895903961334,0.258684734773696
"ABTB2",0.0474582251577316,0.109084397378667,0.099726899539768
"ACAA1",0.0313088630914205,0.129955206794365,0.0902032331746934
"ACAA2",0.0332081954529989,0.175417658390328,0.0773206529965315
"ACACA",0.020774434378291,0.469541373569267,0.330882461377136
"ACACB",0.0239961223178501,0.244627325251384,0.345544360860474
"ACAD10",0.0210761254421149,0.0923534985229446,0.279698645039014
"ACAD11",0.0250435776798211,0.221617765943389,0.0906525304713532
"ACAD8",0.011042499361045,0.120051796296968,0.0322212494270781
"ACAD9",0.0178622170050785,0.22473799732748,0.0677978444032776
"ACADL",0.0519877798093649,0.184439558955896,0.0587118691957929
"ACADM",0.0187277917451066,0.184040121027414,0.145587883720366
"ACADS",0.0688594703273296,0.201769837836053,0.0580819205525615
"ACADSB",0.0586644353310789,0.126129930369907,0.106353493258497
"ACADVL",0.025072261168373,0.194391084020754,0.288482443507319
"ACAN",0.0074955206900154,0.0915538932493627,0.215078988021647
"ACAP1",0.0553528389128162,0.194170312280601,0.176464907888312
"ACAP2",0.0344956576347446,0.106785248413352,0.0343473968038619
"ACAP3",0.0641815454214182,0.178305891586092,0.369615775061137
"ACAT1",0.0186851639198801,0.176888324826275,0.136858201643093
