"","GSE27916","GSE27657","GSE41168","GSE61302","GSE66159","GSE71416","GSE88837"
"A1BG",0.00682620556203104,0.0626466740467281,0.122059784681301,0.2625,0.402606766769945,0.0560059090441521,0.433587488642682
"A1BG-AS1",0.00884884288392103,0.07106528351416,0.0936170431077724,0.174723756906077,0.435760204847879,0.0451323058435081,0.504128842989442
"A1CF",0.00535085802244529,0.063564830478224,0.119418701945444,0.0905172413793103,0.479816021587996,0.0609368983725214,0.167594886390136
"A2M",0.0140515104897283,0.0185896675011732,0.0249858082256078,1.27332089552239,0.0800566149673737,0.0449304347497953,0.216559301893726
"A2M-AS1",0.0155723331965272,0.0988800752857869,0.0644875239098468,0.714041095890411,0.213935669815388,0.112397419313796,0.35231156978474
"A2ML1",0.00498445837965649,0.107097473824279,0.143113926443672,0.108870967741935,0.312077604633667,0.0286505646490493,0.336782096209205
"A2MP1",0.00767283339867442,0.0636061166522484,0.165927597372506,0.3421875,0.549800858197779,0.0431641607730507,0.492337319254258
"A4GALT",0.00764933120695995,0.0493495534948773,0.0910680893522655,0.192913385826772,0.652946221339422,0.0363486699860389,0.251276963325784
"A4GNT",0.00767544552775951,0.123705713138701,0.099892170565484,0.109375,0.447606370327276,0.0519528164263185,0.188416561314791
"AA06",0.00689227222209044,0.165990413217076,0.142527130134657,0.122093023255814,0.445361618362196,0.108831583289444,0.321398484924957
"AAAS",0.0105027445712334,0.0359926851489842,0.0501805072523849,0.134028642590286,0.551522648931742,0.0235215676412584,0.370494254102501
"AACS",0.0539169458507242,0.0815384255460054,0.090510048188943,0.181324456902593,0.505355990888004,0.0714413987299946,0.627494041842676
"AACSP1",0.00615108996550777,0.14989069488703,0.200000197170975,0.0661764705882353,0.779420256697277,0.0489177575830364,0.467264417901597
"AADAC",0.0461693076427882,0.740088343016375,0.166970068673086,0.939759036144578,0.534064270681753,0.321685271777202,3.43943871261884
"AADACL2",0.00629922842734492,0.263897078446586,0.241946929375212,0.1875,0.736799601503519,0.174424384496429,1.504470334049
"AADACP1",0.00533667758188293,0.0637270373686757,0.262808715400544,0.136363636363636,1.06406703271969,0.0709953592053291,0.871959819207058
"AADAT",0.00660095749307059,0.115376863083958,0.141570025338714,0.218908629441624,0.260254232005034,0.0392217092906918,0.370229021316054
"AAED1",0.012960473170627,0.0448788508712083,0.0542175254299149,0.266113892365457,0.184329374214084,0.114736086946698,0.298347950042994
"AAGAB",0.00788025502638985,0.101624080537687,0.101526996670115,0.115322580645161,0.402680384344123,0.0820754387191498,0.251487413088218
"AAK1",0.00693790978235879,0.096987277455001,0.10674162460867,0.2125,0.314195607537305,0.0670720014318468,0.259803304677541
"AAMDC",0.0228555495644805,0.118228500936642,0.0440439025448252,0.10287610619469,0.159449814882712,0.0399791157370607,0.302813649317454
"AAMP",0.0151931599653892,0.0497897622667373,0.0308759786761337,0.212450592885375,0.142618010657107,0.0193372521223815,0.29825122165278
"AANAT",0.00614051130206762,0.113587344459685,0.20225862181176,0.227678571428571,0.450325454658456,0.0678759726889446,0.717161055786478
"AAR2",0.00880782204011111,0.0189574910057129,0.0319310229247746,0.182941988950276,0.116629107223836,0.0788437952599017,0.183235165665317
"AARS",0.0135546951567734,0.0218309031931453,0.0251901022642894,0.0900956116695268,0.136323424819595,0.0429595611071705,0.236157142768478
"AARS2",0.00583374596728444,0.0554241866364524,0.0801894650751258,0.118103448275862,0.23803729062743,0.0628677399409621,0.222080835202054
"AARSD1",0.00919620407358643,0.0546787005979825,0.0391428279447604,0.241696588868941,0.124956605125041,0.0377173638938947,0.224379049147599
"AASDH",0.0123780754663578,0.0752337898688426,0.0472789614453494,0.197226821192053,0.252752422188692,0.0583055741764807,0.370549197487788
"AASDHPPT",0.0230311722185983,0.139409557007367,0.0849014958796065,0.169959677419355,0.215157714362462,0.0629710753809212,0.466785691867379
"AASS",0.0229181073483004,0.0804632331598645,0.152725172091528,0.327783558792924,0.202143821635328,0.0849863482351392,0.431923789296766
"AATF",0.0119642342607686,0.0660530105875328,0.043136820066906,0.144761029411765,0.167751944107589,0.0552860291365759,0.171228091479005
"AATK",0.0108661442538872,0.119548276519235,0.0876660429205736,0.127747252747253,0.193674220041596,0.0612676881105583,0.421766516117605
"AB074162",0.00872642597151185,0.148397842568473,0.163479207445154,0.298192771084337,0.472135054283402,0.100572352548637,0.27374874946994
"AB488780",0.0102692632831656,0.0241609604487802,0.0736707125137464,0.138066871637202,0.222977543827572,0.105224158372163,0.157022281897312
"ABAT",0.0103211377234108,0.0646587570792231,0.143353544614573,0.563992042440318,0.319928653690218,0.0562630850292585,0.501485863507718
"ABCA1",0.0229978532066126,0.0787312166110178,0.0789739805874879,0.24031007751938,0.280504163043803,0.130285975846264,0.466758215653501
"ABCA11P",0.0121907890708523,0.0980438308910209,0.107280591771517,0.148255813953488,0.250035131727916,0.0552137785798836,0.449230695083362
"ABCA12",0.00579547716971832,0.209533222181648,0.204156838051764,0.174107142857143,1.6724570137525,0.0525687851414879,0.269575999978629
