"","GSE25401","GSE25910","GSE33070","GSE73655","GSE41223","GSE54280"
"A1BG",0.292327433628319,0.182922435253527,0.0153488380886904,0.00848708713123588,0.32657636127256,0.0105161698108195
"A1CF",0.300351429956374,0.347568535610966,0.0184573254906016,0.019940144766147,0.189301194939081,0.0222275332703621
"A2M",0.202556056784828,0.65485613143324,0.0234866104705813,0.0133748113829087,0.652770997689927,0.0335628025659089
"A2ML1",0.262451902522446,0.308836996336996,0.0306207374881194,0.0316168307100828,0.459088412959912,0.0406073175292655
"A3GALT2",0.413470425138632,0.400625744934446,0.0313573523716715,0.0378990095980721,0.584230769230769,0.0187038302388203
"A4GALT",0.254276769867876,0.398620054551078,0.0224910852230917,0.0198019246571014,0.153536627805812,0.00963439589144334
"A4GNT",0.369549150036955,0.235863418877773,0.0196149923451032,0.0475640171829794,0.509026345024599,0.0150096993668942
"AAAS",0.178756567018457,0.221258753679082,0.0236647105069325,0.00440580551611275,0.11218519460697,0.0160482382520756
"AACS",0.382431192660551,0.263075095849308,0.0773522460720322,0.0677353748305994,0.384323644316107,0.011553876887654
"AADAC",0.650107681972655,0.722198075686489,0.303307462805877,0.177948979137719,1.79589624757064,0.0163743654817602
"AADACL2",0.228619302949062,0.333909370199693,0.0357698970408019,0.0317177450670076,1.09281361097004,0.00910266640690263
"AADACL3",0.286910197869102,0.25127341439369,0.0360385093420668,0.0508025142091217,1.09882169853268,0.0198147852854311
"AADACL4",0.348752792256143,0.335733809924306,0.0161728329090726,0.0412220993973167,0.342792792792793,0.0124934089710722
"AADAT",0.242472693302673,0.427992594391162,0.0299279660507327,0.0334864606322993,0.164377909437156,0.0227667354526053
"AAED1",0.264969139317193,0.251026204631824,0.0420531463071237,0.025664258772331,0.254937015503876,0.0132862994176239
"AAGAB",0.317512137954127,0.255410422799037,0.0257348717906546,0.0152490066448457,0.182839930304425,0.0389037456411233
"AAK1",0.271144929259303,0.210116416485802,0.0356878909761092,0.0216271198137888,0.121842029713629,0.0142611521076096
"AAMDC",0.257237113402062,0.64559059863399,0.0296297071498829,0.0230524849363478,0.296532218396458,0.0140895533127395
