"","ranking","median","mean","sd"
"FGL1",1,0.038218645940877,0.0552947346256645,0.0348913291715899
"BZW1",2,0.0430743397881771,0.05751511218097,0.0370794235773192
"BDNF",3,0.0433660783752804,0.0555904509578456,0.0321956153916649
"HYDIN",4,0.0441478313535832,0.0433890486230604,0.0212125955511369
"PRAMEF10",5,0.0481699262046961,0.0604071965398943,0.0434036697853148
"RGS12",6,0.0482942988611694,0.0615182500840626,0.0376347376100008
"AKT3",7,0.0499854847369582,0.0563744085352341,0.0228951394527634
"NTSR2",8,0.0506948614219646,0.0695839364175885,0.0482135183911963
"TCOF1",9,0.0520623283827,0.0621611432966652,0.0344867204391643
"FLJ43860",10,0.0529536111925559,0.0614398327394867,0.0265000754212703
"LLGL2",11,0.0540583407131233,0.0604976912260257,0.0291218788889038
"KIAA0692",12,0.0545887919513444,0.0604724298174071,0.0309168280846097
"EPHA6",13,0.0554268502079834,0.0609241251463174,0.0317711440532127
"LOC644019",14,0.0563675366712383,0.0673405102168905,0.0366920609041127
"OR8H1",15,0.0567611960748232,0.0701289520434443,0.0331823664564178
"KIAA0888",16,0.0569655185210139,0.0676546224765085,0.0423454554143468
"PLEKHG5",17,0.057020347565301,0.0718937708167396,0.0471803298900459
"LOC727735",18,0.0572940916316786,0.0649840326351318,0.0334011373310996
"FAM21B",19,0.0576789275462833,0.0618528587467636,0.0307025466360376
"LOC653238",20,0.0578672316565567,0.0641321517498872,0.0225995764295087
"FAM9C",21,0.0580502588815345,0.0749626392764803,0.04882254666258
"SLCO1A2",22,0.0581025826591335,0.0719680312061104,0.039513635752081
"HIF3A",23,0.0584712292480693,0.0747069589579933,0.0505644637115143
"MASP1",24,0.058791264672572,0.0706236139421831,0.0407132796594806
"DDX12",25,0.0589476724475195,0.0552898539787823,0.0254085352949593
"LAD1",26,0.0590530780304094,0.0682669674774748,0.04234673490458
"DST",27,0.059128459037497,0.0656051991274155,0.0382324312094228
"HPS4",28,0.0593563324435905,0.0695503247892488,0.0410675033545242
"FLJ45445",29,0.0600481170928603,0.0691382114969174,0.0341901729560972
"COL9A1",30,0.0601287651650934,0.0804726173112504,0.0615284411297092
"BRUNOL4",31,0.0603258119042983,0.0677432142994578,0.0325726432436006
"NFASC",32,0.0603624466758951,0.0637186636378039,0.0198742569191498
"AADAT",33,0.0608491644962864,0.0705375653249797,0.0282159396996948
"ZSWIM3",34,0.0610848932168482,0.0661125464380421,0.0366350333031111
"OPRM1",35,0.0615504635913962,0.0712471140591722,0.0429355229920195
"LOC647447",36,0.0620293283256183,0.069998039230852,0.0364923004843784
"TCF7",37,0.0623256934630265,0.0656745104938704,0.0316426110721147
"TRIM36",38,0.0625335795014189,0.0694246493231151,0.0327350202045735
"FOLR1",39,0.0625984560081855,0.0683120828025943,0.0273711842131512
"CLDN16",40,0.0627047592231949,0.0723506242386771,0.0285611458094752
"WHSC1",41,0.0629646906269094,0.060208249496455,0.0286988969342292
"RFX3",42,0.0632037650417736,0.0682347553575211,0.0271689766175512
"CNIH2",43,0.0634131852200658,0.0674931069720624,0.0258959131634101
"ONECUT1",44,0.0635518659923407,0.0791910030098932,0.0467999583258221
"HAGHL",45,0.0636718863124882,0.0806130682012808,0.0442016732156311
"C3orf35",46,0.0636960578513407,0.0712045417788843,0.0404639694713549
"TRIM34",47,0.0639849553233733,0.0707682393900623,0.0330126276576975
"CCNE2",48,0.0642226208042128,0.0973412440292699,0.081829722020411
"C3orf60",49,0.0645169585738299,0.0853794925580794,0.0513254194962428
"FSD1",50,0.0646035362557008,0.0659130247204129,0.0279938037688952
"PDPK1",51,0.0646207424574146,0.0782439795067075,0.0412109612824502
"SUZ12P",52,0.0646666868994197,0.0668405307282521,0.0268508754616052
"FRS2",53,0.0649343271355211,0.0794248657554415,0.0404781732870562
"CHRFAM7A",54,0.0651428194703255,0.0728530024653334,0.0378804194791344
"ACBD7",55,0.0655505465340138,0.0833780980279594,0.0520390225537329
"LHX3",56,0.0657178478224822,0.070340972070051,0.0322922964074037
"SPDYA",57,0.0660033602242276,0.0694265531028419,0.0419722020438048
"NKPD1",58,0.0660816779295295,0.0842540197187762,0.0499827524248006
"BOLL",59,0.0662539032723513,0.073289524828018,0.0272747613113758
"SCARF1",60,0.0666974111869685,0.0805940980456475,0.0394664296949578
"FAM153C",61,0.0667216522347222,0.0804551131518283,0.0512857706081724
"CLUL1",62,0.0668382814659531,0.0739795103535392,0.0275588788686112
"FER1L5",63,0.0668384200189909,0.0790915574420751,0.0358058407043363
"PLEC1",64,0.0670142911028941,0.0682062047580012,0.0307179706752982
"COL11A1",65,0.0670588877228653,0.0801397052470333,0.0449929712437374
"TSPY2",66,0.0670821311988811,0.0897464992614462,0.06478343564634
"ANKRD13D",67,0.0671335710227501,0.0692183592827014,0.0344113049056442
"C1orf187",68,0.0671463816673076,0.0778366504259062,0.0354519912614204
"TBX20",69,0.0671812670637748,0.0811831972424752,0.0379633217005905
"LOC653107",70,0.0671896333647184,0.0688537029682425,0.0306246202162641
"SCN5A",71,0.0672015059619669,0.0852768518210708,0.0403554262152808
"AGL",72,0.0672319693203306,0.0683538564402464,0.0284571581197497
"SLC30A6",73,0.0674427228019626,0.0770946023855961,0.0371592104035842
"FLJ43950",74,0.0677401833034199,0.0700553992038692,0.0344427871973632
"ONECUT2",75,0.0677564273924847,0.0638932334603887,0.0227863115181861
"TRIM71",76,0.0677625998918364,0.081849923076569,0.0474574057442171
"LOC650167",77,0.0678756345552267,0.0749895727579919,0.0369188742998623
"C11orf76",78,0.0679371205260368,0.0900429179609437,0.0684067041022797
"LOC729444",79,0.0680787740592957,0.0829647873506809,0.0393427015943685
"STRC",80,0.0680801959532447,0.0788926344057055,0.0363784276906888
"DLK2",81,0.0680964269059897,0.0850156052709387,0.04256927169309
"BMP1",82,0.0681103018435611,0.0714106605695157,0.0364885984762437
"CSMD1",83,0.068202743275353,0.0924224687521766,0.0561328272957743
"DNAH10",84,0.0684719081526547,0.0809650354163429,0.0433961474047963
"CCR2",85,0.0684809275791898,0.0633070966937906,0.0266947210802787
"LOC339047",86,0.0685596915120686,0.0633443616237,0.0188146352589529
"FLJ13137",87,0.06858269705696,0.0821421569887163,0.0478759024061684
"IL1F8",88,0.0686677929347696,0.0841638732039858,0.0519604767505418
"CHKA",89,0.068739821769146,0.0916147061642146,0.0596265459477101
"KIRREL2",90,0.0687670952570432,0.0784174151456732,0.0477461548108678
"ALDH3B2",91,0.0687819055252744,0.0828585391903938,0.0389400676396122
"KCNH5",92,0.0687964008350877,0.0814975035169629,0.0486817216151948
"XAGE1",93,0.0687993674824478,0.0667310968970678,0.0260316288420283
"CPLX2",94,0.0688070245991257,0.0806370956412423,0.041594525721193
"GRIK2",95,0.0688501555215979,0.0701335941310972,0.0401385850530658
"LOC732162",96,0.068956080686423,0.0784629905623564,0.0465689342049413
"MUC6",97,0.0689840569574338,0.0716726172927901,0.0341518397856926
"EPHA5",98,0.0690487091585794,0.0750023415884535,0.040525278365638
"LOC284379",99,0.0691680351668695,0.0910687404599847,0.0578526201261872
"KCNIP4",100,0.0692010533337572,0.0718111601773436,0.0316587336973561
"DLX4",101,0.0692147574431909,0.0779980024800577,0.0444343222727287
"PIB5PA",102,0.0693068103056035,0.0843545863674578,0.0485487552412354
"ZFAT",103,0.0693456838410552,0.0788704529207164,0.0366777207122755
"GAS7",104,0.0694445377606744,0.0696456257403405,0.0280945469086436
"CEP170L",105,0.0694983716800881,0.0764461322647026,0.0377994262156245
"PRKCZ",106,0.0696150533855504,0.075977581114134,0.0454937182634521
"STK31",107,0.0696895414886092,0.0725710052885953,0.0364929130203194
"MACROD2",108,0.0697693529827025,0.090710453550999,0.0626333761443541
"C1orf200",109,0.0697775351563317,0.0733166107253387,0.0316468970778055
"SPATA3",110,0.0698300930913824,0.0856875317674382,0.0460312845622966
"SLC45A2",111,0.069842088433923,0.0802545158810456,0.0352045752483301
"SMPDL3B",112,0.0698774197019024,0.0799203350751416,0.0471486365115221
"PCDH11Y",113,0.069909261571337,0.0723799494001063,0.0326297913565341
"LYPD5",114,0.070098504498715,0.0797544266100763,0.0351143852368252
"SNCB",115,0.0701457093401457,0.0698563146275298,0.0348758673382299
"MMP17",116,0.0701460312852699,0.0863651344661265,0.0490065956706442
"CCDC62",117,0.0701962455799286,0.079827570588222,0.0372197850111255
"PCDH11X",118,0.0702764447529853,0.071076952461648,0.0348090191188234
"VCX2",119,0.0703446836884024,0.0610671096296062,0.0248922468286202
