"","GSE65221","GSE119717","GSE115645"
"7A5",0.0852876004043644,NA,0.218134594309919
"A1BG",0.0661948555344294,NA,0.118398772979948
"A1CF",0.0552000788304179,NA,0.181437222596102
"A26C3",0.0744269459377196,NA,0.161654996757102
"A2BP1",0.045649402164874,NA,0.10696897196951
"A2LD1",0.183662869034652,0.0179583268600753,0.193863983790911
"A2M",0.224103737347237,0.0447742724419849,0.237489680295805
"A2ML1",0.0772290834463296,NA,0.247474511093138
"A3GALT2",0.0561536393534595,NA,0.247812825239518
"A4GALT",0.267586928000255,0.0390464839148533,0.318822707174805
"A4GNT",0.121681898904297,NA,0.129929094276956
"AAA1",0.0622370016231493,NA,0.0966608017307364
"AAAS",0.134330509567053,0.0216302713789375,0.257495707706947
"AACS",0.495642851736908,0.038346388735836,0.369627405205193
"AACSL",0.150165014568085,NA,0.222812982252414
"AADAC",0.625429986542514,0.0129833525774666,1.64422003938077
"AADACL1",0.345848869402355,0.0476029871922671,0.287731366888843
"AADACL2",0.0701587786770834,0.0295435009118736,0.208873630306603
"AADACL3",0.0790686621115444,NA,0.222299793995137
"AADACL4",0.168533251487615,0.0387011803482381,0.251917703390692
"AADAT",0.0590197440662388,0.0285854179299865,0.197384081373691
"AAGAB",0.209079453950098,0.0339740280326748,0.205855897339501
"AAK1",0.0979879557719611,0.0486314427389242,0.249945505373826
"AAMP",0.118264003702368,0.0283604076168038,0.176749627209463
"AANAT",0.0644699225548399,NA,0.284695160953093
"AARS",0.161698743806516,0.0161778928027194,0.108802455279481
"AARS2",0.12525554046264,0.0265438921282479,0.108622534065795
"AARSD1",0.0938277556977257,0.0279463377528669,0.140640464517443
"AASDH",0.177033541693666,0.0167063145597952,0.191927391642754
"AASDHPPT",0.141183124691905,0.0269027248340988,0.219871206481091
"AASS",0.209472680326522,0.035999385501755,0.351152527822977
"AATF",0.120866323180232,0.0246868432417661,0.218773882730658
"AATK",0.121789540463415,0.0205280744360259,0.195699967575481
"ABAT",0.0589635923584889,NA,0.234621511299582
"ABCA1",0.239341065802603,0.0487154525724616,0.373299614122545
"ABCA10",0.175070161151274,0.0186695837072186,0.18539596233145
"ABCA11",0.126477558570684,0.0207424478541149,0.279382872490647
"ABCA12",0.0519385049721915,NA,0.179983003299057
"ABCA13",0.0790256270263599,NA,0.275634480194137
"ABCA2",0.161722105680593,0.0310021589956316,0.154493147068044
"ABCA3",0.223183090024169,0.0332933913506175,0.151170117385067
"ABCA4",0.0909798966859881,NA,0.167140540772088
"ABCA5",0.181300713105236,0.0372494581483266,0.414268401754041
"ABCA6",0.236195471689748,0.0523984494616472,0.400162429498883
"ABCA7",0.0566427834529474,0.0552535781543989,0.133687061246397
"ABCA8",0.220269073111752,0.0397141358946111,0.254865817568659
"ABCA9",0.21638154493013,0.0689607076347606,0.227103475272873
"ABCB1",0.184619017931972,0.0313986357307026,0.257086116781327
"ABCB10",0.132514147173802,0.0234340306099481,0.298566931921378
"ABCB11",0.145657503155035,NA,0.107978681971396
"ABCB4",0.15555339631694,NA,0.308213938185497
"ABCB5",0.0755759894512022,NA,0.263504019900276
"ABCB6",0.228119737939382,0.0303586990247321,0.130451510162758
"ABCB7",0.211895241722421,0.0292434000436267,0.224684444407802
"ABCB8",0.115574663605992,NA,0.176884152272814
"ABCB9",0.182763185122714,0.0253289584813048,0.237835141369561
"ABCC1",0.10392187491012,NA,0.288402346676191
"ABCC10",0.133726955758184,0.02489948126729,0.172146976103162
"ABCC11",0.0634100050162281,NA,0.140955920402691
"ABCC12",0.0719420814234643,NA,0.237316509021479
"ABCC13",0.0636217952376159,NA,0.226929634076937
"ABCC2",0.17118416692625,0.0409695505105692,0.286422114938648
"ABCC3",0.372734103269103,0.118792050354657,0.238752063138674
"ABCC4",0.140798660416428,0.0291658760070152,0.280445480430419
"ABCC5",0.172527255379025,0.0266939479583256,0.312044667532085
"ABCC6",0.165923439971833,0.0243654970116952,0.161670183978916
"ABCC6P1",0.127958075004958,NA,0.168801981519116
"ABCC6P2",0.174611467420174,0.0156134313457495,0.107782332221249
"ABCC8",0.0887630300016846,0.0362449199450222,0.265146306021897
"ABCC9",0.111771498058263,0.0264268874617276,0.18664551914781
"ABCD1",0.215289926073949,0.0345304687626713,0.237738834438915
"ABCD2",0.162963714418297,NA,0.175436095317452
"ABCD3",0.133554372271983,0.025034308262961,0.215632175189368
"ABCD4",0.0673040261612469,NA,0.124297914874133
"ABCE1",0.166237860785704,0.0148047270510957,0.236353350475825
"ABCF1",0.120577059395199,0.0212783742614477,0.0865318965510752
"ABCF2",0.126980636411213,0.0179289863133793,0.230130002009795
"ABCF3",0.0972199159741692,0.0182056245507737,0.295854132884672
"ABCG1",0.0973184413059685,0.0347812962749269,0.0959425622642985
"ABCG2",0.0748720710946933,NA,0.29666202077364
"ABCG4",0.10441987574963,NA,0.139366006919707
"ABCG5",0.0819873629871971,NA,0.2573014376219
"ABCG8",0.112709145706908,NA,0.203095789783529
"ABHD1",0.232986711226741,0.0267401857781969,0.22804383593159
"ABHD10",0.148427844382668,0.0267674213898784,0.281637543718673
"ABHD11",0.126446120464677,NA,0.214738564647377
"ABHD12",0.18479985449088,0.0258092795161757,0.270419445331842
"ABHD12B",0.0819336565650307,NA,0.280600482513998
"ABHD13",0.0566935366497681,NA,0.221503119901041
"ABHD14A",0.150934869569498,0.0309009913534927,0.278962848669246
"ABHD14B",0.132227331600134,0.0361337428480707,0.270959484852279
"ABHD15",0.202282471783643,0.041491792712962,0.184309095640956
"ABHD2",0.0862532764992649,0.0192698337481265,0.156393169726578
"ABHD3",0.199422193834812,0.0288972893544623,0.279759469687697
"ABHD4",0.16893003540018,0.0257402489021337,0.244951013325292
"ABHD5",0.327832865466176,0.0986825797737516,0.402353092794298
"ABHD6",0.18426377046623,0.0282917124577957,0.146983332982193
"ABHD7",0.139051421953022,0.018978603089191,0.20660344948184
"ABHD8",0.158660846703846,0.0237250188089928,0.231115632181927
"ABHD9",0.0880001887193125,NA,0.259225906056889
"ABI1",0.134612553568694,0.0298415501260576,0.181913903624391
"ABI2",0.0962181697528099,0.02685935430807,0.123928309678432
"ABI3",0.168460341210862,0.0437767732904892,0.227547224611847
"ABI3BP",0.3450653956949,0.0456312406544954,0.413862324178862
"ABL1",0.0911173015258439,0.0328511176066446,0.223337424573637
"ABL2",0.181105140124173,NA,0.219905047102199
"ABLIM1",0.213341308703607,0.035374907311374,0.429113554071104
"ABLIM2",0.200370118362789,0.0361963974502056,0.171527784459176
"ABLIM3",0.206796818975651,0.0448258931897175,0.241988238919414
"ABO",0.068842405794424,NA,0.30968243821436
"ABP1",0.073539926877186,NA,0.291618522919828
"ABR",0.0881704495602461,0.0152373239239537,0.097066116705418
"ABRA",0.0612998112643175,NA,0.487179336172269
"ABT1",0.130948255736515,0.0266231098868348,0.160045618753735
"ABTB1",0.202861362179177,0.0279183680603053,0.196368781274192
"ABTB2",0.102752849108747,NA,0.184662732541249
"ACAA1",0.142018528845372,0.0322871853736109,0.200668088855073
"ACAA2",0.157471077599057,0.0543198322088685,0.13878889514923
"ACACA",0.565370614687893,0.0548408121165538,0.326279203197059
"ACACB",0.270300588818308,0.0842637610307767,0.139373582245942
"ACAD10",0.144614836684887,0.0163195831262614,0.152592860860532
"ACAD11",0.30024955405016,0.0200001856847564,0.151636619987818
"ACAD8",0.117830229103505,0.0155292755517916,0.143052753588862
"ACAD9",0.137799251861163,0.0242038959028062,0.114782798564204
"ACADL",0.203874336655905,0.0619815352685376,0.210225226296341
"ACADM",0.256428258650927,0.040921945280355,0.248394468238591
"ACADS",0.214274072073629,0.047576786316412,0.265741765125363
"ACADSB",0.11781579803526,NA,0.121994077777164
"ACADVL",0.155339096674158,0.0335207408024987,0.183167065453686
"ACAN",0.0888114886475683,NA,0.455787515232024
"ACAP1",0.240302005030649,0.100111693239134,0.201441394476797
"ACAP2",0.148831624600819,0.0463636658579388,0.311699656101144
"ACAP3",0.143503945600041,NA,0.284875779305346
"ACAT1",0.214707089130071,0.0542595182288764,0.174269199840876
"ACAT2",0.197982355849459,0.0283529500796449,0.178041654492536
"ACBD3",0.104954288231635,0.0219694884115784,0.287728077043849
"ACBD4",0.154478299540692,0.0176863994381466,0.191396591861658
"ACBD5",0.070095658119287,NA,0.273881232004576
"ACBD6",0.11386808016651,0.0209149654313926,0.197075399150264
"ACBD7",0.0521981325612171,NA,0.286596823188109
"ACCN1",0.0519880244115851,NA,0.214826595713822
"ACCN2",0.11481145801202,0.0230430897215841,0.217512947298897
"ACCN3",0.087188520706995,NA,0.177738168586028
"ACCN4",0.0440436325694382,NA,0.0716095447620822
"ACCN5",0.0798033261282512,NA,0.240604494206736
"ACCS",0.268849354056522,0.034886123502576,0.400762596094941
"ACCSL",0.043060433864757,NA,0.307580479081463
"ACD",0.151579336135441,0.022706217784592,0.162874595765608
"ACE",0.0636650999899864,NA,0.254374679197514
"ACE2",0.11522773344256,0.0219189551294973,0.245350107287816
"ACER1",0.0655221410100634,NA,0.151871904847144
"ACER2",0.1123421103265,0.033294508200999,0.126490751755516
"ACER3",0.249765524567521,0.0416667665425223,0.46803130439032
"ACHE",0.0669207902078172,NA,0.138518034221497
"ACIN1",0.110883199103255,0.0385875237992674,0.200049071798777
"ACLY",0.644876074346712,0.01890652997905,0.259444393579699
"ACMSD",0.077158314185649,NA,0.316152063857873
"ACN9",0.134250171641973,0.0297339465267858,0.244818747568908
"ACO1",0.150809926017156,0.0608724604193532,0.127029216326856
"ACO2",0.283646120329676,0.0402101046452918,0.221819000666864
"ACOT1",0.246694361001124,0.07608718798169,0.409918356933677
"ACOT11",0.0938291440579119,NA,0.163974517837667
"ACOT12",0.0555817692378352,NA,0.170607823028095
"ACOT2",0.279762390305557,0.0734172170721553,0.522746881305054
"ACOT4",0.207395737144573,0.0624207875563041,0.166662932082691
"ACOT6",0.0750952842753995,NA,0.254953319095517
"ACOT7",0.0529673357897633,0.0270845565461786,0.148331274091949
"ACOT8",0.126573315301956,0.0162268932037937,0.198825630720555
"ACOT9",0.140789486643983,0.0126679716232892,0.10279425447628
"ACOX1",0.110475264743883,0.0478133704105697,0.209713841487194
"ACOX2",0.188201272139914,0.038831461246146,0.119532220669565
"ACOX3",0.13136814214696,0.0221611667993749,0.180747320423484
"ACOXL",0.0530411196005973,NA,0.215613950281724
"ACP1",0.139901334362074,0.0531592319221587,0.337766592159757
