"","GSE27916","GSE27657","GSE71416","GSE9624"
"A1BG",0.00655931894374444,0.229830051016556,0.0268166089965399,0.823693285988901
"A1BG-AS1",0.00797134549552744,0.404514588546914,0.0421288205713471,0.59938249348539
"A1CF",0.00592624049446033,0.0633039194298823,0.0174771131430923,0.427696651079447
"A2M",0.0168199678622592,0.0487059704676919,0.036758408374555,0.128923338575764
"A2M-AS1",0.0200880273100992,0.169545743137948,0.0553988002927493,0.31318239892958
"A2ML1",0.00520866164631175,0.102479982206406,0.0264928689322443,0.475947515434789
"A2MP1",0.00756910183746616,0.198795389695855,0.0341522154935216,0.262075114206992
"A4GALT",0.00850676369967737,0.15756891077266,0.0527881783172492,0.722515871493936
"A4GNT",0.00703722713971592,0.0834107920676376,0.0623787385144781,0.162758242258872
"AA06",0.00677631442127662,0.130138916794429,0.0152265100671141,0.239450740122393
"AAAS",0.0122006081994388,0.0564242368470076,0.026909625160896,0.510529970069357
"AACS",0.0518996275707919,0.0676830240609784,0.0307826546129779,0.373220502148382
"AACSP1",0.00679228188353503,0.0473223930838227,0.0722118911758713,0.857596898378067
"AADAC",0.0373575512045697,0.429842491731178,0.142500678184897,1.46589203519249
"AADACL2",0.00576947140677512,0.142170666691087,0.0779583933717579,0.462799667893484
"AADACP1",0.00514065775024715,0.111014434939608,0.0388326189576281,2.81110764189808
"AADAT",0.00707642163478577,0.261653275684018,0.0326716165747822,0.228786600892985
"AAED1",0.0131645393558178,0.111728027572976,0.0306147442969226,0.309110946821803
"AAGAB",0.00794423037473443,0.175418149293222,0.0115894766765971,0.417960910435001
"AAK1",0.00693195056045376,0.0893776640532403,0.0424979776216831,0.254382000828932
"AAMDC",0.0194945120797615,0.0931021267877803,0.0417008300586169,0.394059544615217
"AAMP",0.0184238246921212,0.0213853227608971,0.0210853024440497,0.258942320537928
"AANAT",0.00541894679141547,0.0834054807473857,0.0553506117449989,1.90356229208872
"AAR2",0.0101761683914453,0.0925257497478131,0.00832705662806027,0.150920178505045
"AARS",0.0120701009101684,0.0401118373443913,0.01657235083064,0.229363217226074
"AARS2",0.0048609372103598,0.114731865040242,0.0167527631954112,0.568491421316691
"AARSD1",0.00793632690496464,0.0240281328292842,0.0425947788123134,0.128038972536589
"AASDH",0.0110334006547918,0.0551597226497763,0.0897906838132649,0.216359310961283
"AASDHPPT",0.0233538689470874,0.238339997635754,0.0819588830636243,0.332324183730341
"AASS",0.0206110468868789,0.0665037363085313,0.0471016742933443,0.393020278947405
"AATF",0.0134881519666653,0.0171952918572838,0.0416530515643372,0.421329929395848
"AATK",0.00773571213571635,0.173019656398221,0.0550747118941885,0.121679261073385
"AB074162",0.00807979605581953,0.206892516704483,0.061359817775744,0.542174767254398
"AB488780",0.0108349367645685,0.0997706189100399,0.047425086312907,0.232053074618661
"ABAT",0.0105041356496397,0.162521529973059,0.0771232059565477,0.216853218328126
"ABCA1",0.0191668323029114,0.0732291922770061,0.061759946531042,0.422888096599505
"ABCA11P",0.0110278930363331,0.170294895711677,0.0914436353718905,0.339083015018771
"ABCA12",0.0064307328018133,0.234972236494649,0.0191973253164728,1.04420648389017
"ABCA13",0.00543728413443592,0.203468163048471,0.0197797274054375,1.66712093731174
"ABCA17P",0.00804602456138542,0.157493654120089,0.13057380952381,0.33295162004511
"ABCA2",0.010051197704866,0.182589797539684,0.0625744019327684,0.258806249081271
"ABCA3",0.0111139025722601,0.0339349690392626,0.0156129770849104,0.361550746482917
"ABCA4",0.00462594054169603,0.102563561367279,0.0478013826889792,0.351372973282002
"ABCA5",0.0153548792535955,0.125638983573599,0.0334218485355168,0.81339592654444
"ABCA6",0.0250710918142385,0.163353544883448,0.107160878632127,0.526326289023227
"ABCA7",0.00991964995832298,0.12493567237728,0.0371174998002609,0.437644997235082
"ABCA8",0.0130877663570983,0.137487998358846,0.0772566677742892,0.516520258657301
"ABCA9",0.0292074877421497,0.0479015596313902,0.109500231430729,0.82344694175156
"ABCB1",0.00837983831702697,0.226979989118162,0.0273469776073691,0.189894804964311
"ABCB10",0.0204853076033825,0.340916390071497,0.0719298459735885,0.197186076526635
"ABCB11",0.00589713200506565,0.0786571539927352,0.0222126505217094,1.30902631203443
"ABCB4",0.00694075038484289,0.192342668675038,0.0918238634448193,0.715578499850374
"ABCB5",0.00542017187148369,0.243744718771299,0.0759201501124583,0.315701164155322
"ABCB6",0.00713686347529238,0.0483744552866654,0.0441866690090606,0.236156746700142
"ABCB7",0.012438937702509,0.0900695277186278,0.00468343434663958,0.155378528338479
"ABCB8",0.00736730256795073,0.07393009086307,0.0197823913371566,0.3400869
"ABCB9",0.00973107987190907,0.193446576286033,0.0348866842783805,0.529957896786204
"ABCC1",0.0172617085594586,0.0524437421731836,0.0618615133487029,0.214923235004807
"ABCC10",0.00850773495450526,0.0979503361830371,0.123571320845468,0.185966702189706
"ABCC11",0.0050822164692912,0.129083443726324,0.0606591055465823,0.26194167408282
"ABCC12",0.00444921797902886,0.0270697916166173,0.0530646670403772,0.524764100030786
"ABCC13",0.00464107118082462,0.122035356176031,0.024884902858634,0.770825960669941
"ABCC2",0.0076423362017268,0.0944374638890049,0.0251959771769127,1.37945096343723
