"","ranking","median","mean","sd"
"TATDN2",1,0.00716976524201164,0.130280345605733,0.247469176406985
"TMEM8B",2,0.00775340894988444,0.22218517540723,0.431920957474566
"RP5-882O7.1",3,0.00905764083660172,0.050084600643374,0.0855770880139611
"LOC101928826",4,0.0091700328773786,0.045127529786008,0.076569769933812
"PARL",5,0.00944096025319571,0.0455273681021585,0.0751441553438586
"DKFZP434F142",6,0.00968218255113014,0.134352739148821,0.252015313212369
"ND3",7,0.0096868585397745,0.0469197700804531,0.0774364749105568
"ZNF611",8,0.0100318559441766,0.0412793299199928,0.0628759768429693
"HP1BP3",9,0.0100358516238219,0.0539401337371728,0.0895804013416938
"RPLP1",10,0.0101228098280633,0.035863424845483,0.0573964356018391
"EEF1A1",11,0.0103303720238714,0.0325691435850168,0.0472699969089039
"NACAP1",12,0.0107013120415704,0.065177342794499,0.113448399149569
"RPLP0",13,0.0107521820365679,0.0406578815978614,0.0644622205146817
"GNA11",14,0.010843622755764,0.015957212215731,0.0122662752228929
"DUSP13",15,0.0111465638707599,0.0958179382344702,0.172756978896965
"PLSCR3",16,0.0111577445276756,0.0411672896930377,0.0641814713924201
"DYRK3",17,0.0111670843581998,0.0684025051698871,0.117722798218824
"HPS6",18,0.0112132061187861,0.0839846661943525,0.149075106253978
"NOL10",19,0.011266611019675,0.106068110815389,0.192958697782921
"RPS15",20,0.0116290765723001,0.0918410165895868,0.161843635150603
"PCNT",21,0.011695084368284,0.136792185793502,0.254468560548329
"HMGXB3",22,0.0117596320011121,0.0556993707257299,0.0920816457431719
"CTSE",23,0.0117745115158047,0.272420654343184,0.525018982792566
"GPR161",24,0.01179214711544,0.0555888557908685,0.0922074474809124
"HMGCL",25,0.011864501291263,0.0399349290583179,0.0568040388154706
"CPSF7",26,0.0119155580260198,0.12995828217838,0.243041176498313
"XPNPEP3",27,0.0119749632798603,0.0546508901590515,0.0894201637163829
"RTN4",28,0.0120438054045314,0.0740832559221858,0.127445269178901
"STS",29,0.0120840092041376,0.0497291838500686,0.077782736635666
"RPL7",30,0.0120892447213531,0.0276653673842676,0.0364856349558472
"SDF4",31,0.0121093451170639,0.0712066004942497,0.124835005607938
"PTMA",32,0.0122213241055712,0.0736973521412698,0.126158668649048
"RPL24",33,0.0123313609298267,0.0535691074357403,0.0882500617949328
"ZC3H4",34,0.0124774868331618,0.0632407607006732,0.1020530509715
"SLC2A8",35,0.0125876506851907,0.0667051856754743,0.110871308114532
"ABI2",36,0.0126236285918357,0.0250094624947286,0.0295441608137044
"RPL22",37,0.0126377474604405,0.0420268034664606,0.0608867633070648
"RPL39",38,0.0127133588665813,0.0405867355553562,0.0613998969471108
"BRPF1",39,0.0127409945907477,0.0427707922042768,0.0620205105147971
"LOC100506882",40,0.0127526950319612,0.169589424075572,0.317022716850051
"GSTCD",41,0.012804215841381,0.0894403966398808,0.157768442952282
"TIMM9",42,0.0128207506411983,0.0327165846528687,0.0443460146438924
"RASSF7",43,0.0128626080068949,0.116080118474834,0.209139945463871
"LOC100508408",44,0.0128686205679835,0.0328350779723268,0.0445927947058392
"TMEM143",45,0.012937069828001,0.130891060415328,0.241406550974596
"NAA38",46,0.0129406630931466,0.074899236992995,0.125141663454621
"ILK",47,0.0129491752921576,0.0612396600826892,0.103306715866804
"MORN3",48,0.0129580419163915,0.208551533016471,0.396315275020526
"MPC2",49,0.0129589614010642,0.0632794148217276,0.104958562371352
"CYHR1",50,0.0132459236949666,0.0601414192137148,0.0998793878309166
"PABPC3",51,0.0133062064297693,0.054406391157891,0.0895184357602574
"TBK1",52,0.0133336663520268,0.0624486861101107,0.101480111326034
"TIRAP",53,0.0133473575524835,0.0877639669145648,0.154365912537774
"ZDHHC8",54,0.0133550779078442,0.0917946005799486,0.160615626697575
"MOG",55,0.0134456672403526,0.228864882898986,0.435753276922206
"XKR8",56,0.0134886138247177,0.0297403542331466,0.0349015705643104
"CDC34",57,0.0135494948345465,0.27292514818499,0.521862759865327
"CCDC152",58,0.0135706362349447,0.104713274976077,0.183490143811981
"ZNF579",59,0.0135957662104518,0.180575435962476,0.335439394298135
"RNF8",60,0.0136827326085148,0.150136890435934,0.280163586108001
"C17orf82",61,0.0136847402408548,0.127410522706311,0.231257962376273
"ISCU",62,0.0136875172748914,0.0481383528460108,0.073411887926282
"EFTUD2",63,0.0136980368457143,0.125430576619895,0.228924620494259
"LINC00535",64,0.0137005057297197,0.0974697861976603,0.173843167481892
"C16orf87",65,0.0137271612231325,0.0603486818696624,0.0990814857223672
"ANKRD52",66,0.0137275433837601,0.105793320988559,0.186537597232217
"RPL37",67,0.0137353192096146,0.0536720434671875,0.0872499321088202
"DAXX",68,0.0137875943937804,0.0528825097532261,0.0832366474587426
"TTL",69,0.0137956153831447,0.0349706613823996,0.0461736296076661
"MED19",70,0.0138089889332398,0.074730983400323,0.124730946622101
"USP7",71,0.0139204540456885,0.0626346212010807,0.101473528031774
"RPS25",72,0.013944716605549,0.0190054984374584,0.0161276563921148
"ND4",73,0.013954267335529,0.0313037402476913,0.0386681600820997
"GTF3C1",74,0.0139882044927988,0.0416928240742965,0.0582628490220665
"FAM161B",75,0.0140080651002626,0.0261893038642435,0.0273133360212601
"CYSTM1",76,0.0140264593623476,0.0294049382840621,0.0373156303917516
"CNN2",77,0.0140579265452415,0.0564903858803842,0.089905806453196
"MTCH1",78,0.0140855958915762,0.0381727519123145,0.0553718958429833
"APOPT1",79,0.0140978136223722,0.0411129342834014,0.0583128658881648
"NPRL3",80,0.014201386745546,0.0311960762101779,0.0398220500431307
"RPL30",81,0.0142351008718828,0.0288001424484841,0.0349797357915005
"RP13-258O15.1",82,0.0142424072711385,0.0473605630823577,0.0743879545314831
"RPL23A",83,0.0142626684413202,0.0445756236380944,0.0660255369462534
"CCDC88C",84,0.0143038180604274,0.114073483827671,0.204597303852395
"TELO2",85,0.0143371621589442,0.0597695186936417,0.0953461716423216
"RPL22P22",86,0.0144090977932817,0.20155439926708,0.37917661623762
"LARP1",87,0.0144132437007401,0.0212952054015227,0.0175607568813966
"UBE2D4",88,0.0144631342765592,0.0401065939027806,0.0593066307012979
"GLUD2",89,0.0144964438420431,0.081734126279147,0.136968630977264
"LOC100507501",90,0.0145175293119268,0.300626890937383,0.581357931553416
"SPAG7",91,0.014563456637006,0.0457417188174188,0.0642121648662427
"SUN2",92,0.0145974938243513,0.0473176920943023,0.0694285810553184
"CD63",93,0.0147027345891955,0.0341897930640835,0.043749108146508
"UBB",94,0.0147027904335284,0.0372279622201814,0.051313186812089
"MYL12B",95,0.0147570178659996,0.0685636693243681,0.108838796017905
"SETMAR",96,0.0148195362739728,0.0443995775406578,0.0650965700161483
"SCAMP2",97,0.0148255965109161,0.0607044745625278,0.0954347850657053
"TJAP1",98,0.0148566281003091,0.0738151466016825,0.122733780346365
"RPL7AL2",99,0.014902205335998,0.0590063165959719,0.0977201663299857
"NHLRC4",100,0.0149578636736385,0.111427511849457,0.196995093734597
"RPL9",101,0.0150139125369441,0.0445095437713894,0.0622877687959684
"LOC101928143",102,0.0150170195694817,0.0350561321373831,0.0428728773191277
"TMUB1",103,0.0151622621731201,0.060406501695103,0.093800496805815
"CD300LG",104,0.0151953168637908,0.213265203128741,0.400430053040546
"DXO",105,0.0152343300275055,0.0442283873526804,0.0628406668507119
"CYB561D2",106,0.0152647059946784,0.186949897903681,0.348635278805341
"SF3B2",107,0.0152846451366093,0.06214062177153,0.0986706281442183
"LINC00092",108,0.0153078643779677,0.102828460019027,0.180307636652866
"MRPS35",109,0.015323009206796,0.0849179843677729,0.142855789882757
"CCDC51",110,0.0153323954845135,0.0651328983794266,0.104263538214014
"RPL4",111,0.0153517834088563,0.0590289478400628,0.0910436550623856
"LOC100130987",112,0.0153779812825115,0.0813899257539858,0.13851439309648
"LINC01126",113,0.0154303995564047,0.18456440639082,0.343945488221605
"RPL6",114,0.0154379558265571,0.0434809404231034,0.0641681756418689
"DIS3",115,0.0155495133315507,0.0262287930663395,0.0248169345091172
"UBC",116,0.015576301923449,0.0323375486467239,0.0364497903132817
"SDHD",117,0.0156046062436144,0.131309044593284,0.238432152990477
"POU6F1",118,0.015609169848746,0.113586998070558,0.202863280157212
"POM121L12",119,0.0156891796870357,0.187826197381647,0.352244756424725
"NDUFS4",120,0.0156969192466022,0.046988541047714,0.0647829454437346
"TROVE2",121,0.0157239982019073,0.0760619006547248,0.125172264676139
"TRH",122,0.0157582461399639,0.156506689189288,0.287944775906184
"PSMA7",123,0.0157606034143492,0.0732821577352262,0.121802223364174
"LOC441461",124,0.0157653140574355,0.0886302962295923,0.148573167568187
"NUMBL",125,0.0157720998512021,0.0843088179297271,0.140703487206071
"BMS1",126,0.0157959761319549,0.10187199959652,0.175075590486111
"COPS5",127,0.0158592573450359,0.0617161967298555,0.0933180339329427
"LRR1",128,0.0159027193650176,0.0913955519348292,0.160507918019532
"GNG5",129,0.0159484483532958,0.113813056299732,0.200034572487855
"LOC93432",130,0.0159728264623842,0.114879047195281,0.205645681715557
"TUBG2",131,0.0160062532276352,0.101162391938626,0.174208639233306
"ZFHX2",132,0.0160173076992425,0.0916475230472369,0.159224618044077
"JARID2-AS1",133,0.0160768061351688,0.0653547621337542,0.104575504910598
"CCT5",134,0.0160910246373204,0.113204238996761,0.198071761224206
"C5orf66",135,0.0160983678073868,0.0302270001869364,0.0347819531429987
"RNLS",136,0.0161003877574128,0.122156633928784,0.218917353613247
"SLC25A53",137,0.0161184340060786,0.199420804209583,0.374437382970929
"ATP6V1G1",138,0.01615912824967,0.0861216649612393,0.144339953406534
"RP11-382B18.4",139,0.0161640377581177,0.208717541148961,0.392076999233376
"UBA1",140,0.016226786853737,0.0598476172993877,0.0920099556125803
"PACS1",141,0.0162418036051456,0.082273924374008,0.136218023059538
"MGST2",142,0.0162770638759071,0.0498326330189037,0.0683091044935345
"KAT6B",143,0.0162920075413161,0.109678170197565,0.189045996644798
"RPS4X",144,0.0163013935498308,0.0442462101028657,0.0614447753580839
"FAU",145,0.0163306060209947,0.0513118190870807,0.0792229770778768
"GOLGA2",146,0.0163572206156755,0.0333924678068556,0.0387215031030686
"DUS1L",147,0.0163671258408487,0.0577665747598028,0.0871774459479296
"HEBP2",148,0.016384857317952,0.085815438449972,0.142267742130103
"CCDC137",149,0.0163886666868607,0.100728657169784,0.174422867303096
"AC017104.6",150,0.0163935789344677,0.0761377825523303,0.126433521000166
"KLHL36",151,0.0164254141205416,0.0613494106737365,0.093479500998873
"NANS",152,0.0164425621428848,0.104427841917145,0.180198618576431
"LOC102724200",153,0.0164437158664147,0.0869652348125324,0.146270740801529
"RBP3",154,0.0164610262092179,0.279385689553351,0.53165232223804
"MAP1LC3A",155,0.0164726695477282,0.0835377539387522,0.135858182444393
"EIF2S2",156,0.0164902250258505,0.11301649001731,0.202355060380674
"APOC3",157,0.0165115678702331,0.317551952199329,0.609660180054967
"RPL41",158,0.0165300265622206,0.0392213913176848,0.0518344900634083
"FTH1P5",159,0.0165439145753229,0.0751749382413944,0.124079493818665
"LMF2",160,0.0165651957323324,0.0961384190167001,0.162614472211038
"CDC42EP1",161,0.0165687006519791,0.124323516994865,0.222767471542628
"C1orf186",162,0.0165884110277395,0.079706256130424,0.132984552884301
"INTS6-AS1",163,0.0167494383496681,0.166636275683187,0.308206822857903
"ITM2B",164,0.0167841860061632,0.0647471572262728,0.0993146054981623
"ZDHHC5",165,0.0167939202316411,0.0941396412613813,0.162109877689889
"CAST",166,0.0168228151683993,0.0710321262942204,0.112163339876146
"GOLGA8CP",167,0.0168278586308135,0.0938999848068964,0.159505824520827
"DHX32",168,0.016849062556866,0.0913011202367494,0.152402934875401
"FAM19A5",169,0.0168628659179635,0.241826556235584,0.457643193287433
"RPSA",170,0.0168643126062957,0.0450618637599699,0.066626249575271
"CREB3",171,0.0168684225865387,0.0616326154242537,0.0936638332153305
"SKIV2L",172,0.0168997678398778,0.0417760036224098,0.0554983588534499
"MIR6805",173,0.0169282295609606,0.053078364708975,0.0747443820966791
"TXNDC17",174,0.016982972342991,0.0520253107410881,0.0750553842882889
"RMND5B",175,0.0170441647154097,0.0755398191010646,0.123266023910292
"OR7D2",176,0.0170570220232792,0.122195159570946,0.217068054270456
"PGF",177,0.0170758358546963,0.0663140135971612,0.104529011840265
"ANAPC16",178,0.0170892104519548,0.0537196068302167,0.0805434983394753
"FUNDC2",179,0.0170963010417769,0.051220577848778,0.0724571742123126
"EXOC7",180,0.0170977002099915,0.0433383434688825,0.056503713376622
"EIF4H",181,0.0171072054033749,0.0893031996136575,0.153782117929107
"PABPC1",182,0.0171085388948501,0.044476827409348,0.0646202254851487
"STAC",183,0.0171340585323529,0.0618180021560352,0.097183043948004
"MACF1",184,0.0171481793539523,0.0452694356646411,0.0618504154665554
"CAPN2",185,0.0172459003373748,0.064767062226213,0.0993871921556274
"MAPKAPK3",186,0.0173292386910746,0.10790424375268,0.185751034404805
"OGFOD3",187,0.0173700256839344,0.0766164033452824,0.127321086302462
"SLC6A7",188,0.0174803387935747,0.0688644655343881,0.108867676536645
"RP6-11O7.2",189,0.0174834248847628,0.0662911007336522,0.106666421441939
"PTP4A2",190,0.0174885141210221,0.0716564661082396,0.113563573290465
"SNX33",191,0.0174889256453017,0.112660239666739,0.196745937742853
"RGS19",192,0.0175058769589097,0.0784220217814476,0.127528401268396
"MAN1B1-AS1",193,0.0175355921692888,0.0809394364832158,0.12944489176763
"MRPS27",194,0.0175520207491469,0.0795560820511118,0.131720085804135
"PPP1R12B",195,0.0175800808350096,0.244153219934423,0.456540437362177
"AMT",196,0.0176304938948081,0.0818323816310645,0.135019232215565
"RP1-102H19.8",197,0.0176408910120825,0.132820842802705,0.237187288896953
"YWHAG",198,0.0176807552174816,0.0452520092515845,0.0599696025426895
"SLC25A3",199,0.0176811769465069,0.0880039438528872,0.14457041207432
"THOC1",200,0.0177090682658465,0.0947207862850277,0.15872597117206
"MIR1244-3",201,0.0177172105657332,0.11765519746094,0.203488734111278
"PALM3",202,0.017735990011871,0.142785364659058,0.256280609999264
"RPL21",203,0.0177425902860613,0.0412665773331454,0.0516198457467662
"C10orf71",204,0.0177483590345051,0.492156624475622,0.956119192447749
"CCDC8",205,0.0177670876007608,0.0666556204351676,0.106593052743422
"HDDC3",206,0.0177728225424894,0.0820398605419463,0.131681026583903
"TRUB2",207,0.0178217685294361,0.109177034740435,0.188200456876744
"ZNF625",208,0.0178527585226834,0.0645411115696595,0.101999289779815
"HNRNPK",209,0.0178969858846868,0.0664418917148668,0.103458831052794
"MTX2",210,0.0179006970173524,0.0907221274050866,0.149457294135443
"NSMCE1",211,0.0179030144413216,0.0494422566672909,0.0734493312399955
"PMFBP1",212,0.0179065627228632,0.661660026394883,1.29893666973895
"JTB",213,0.0179120440369279,0.0474357076967369,0.0631292322891784
"STOML2",214,0.0179137900103673,0.0728998778390952,0.118987034959705
"ARL8B",215,0.0179183333963501,0.0988885164746647,0.164152139461883
"PABPC5",216,0.017921665896078,0.127969783113532,0.227496190547456
"LINC00324",217,0.0179250441339886,0.071797753599871,0.115529213230565
"CMC1",218,0.0179604251653653,0.0713486722771077,0.109963392938593
"RPS17",219,0.0179760100539713,0.0590827690428754,0.0894810915354703
"RYR2",220,0.0180284387831533,0.199177186831734,0.371611858054958
"C11orf72",221,0.0180324398366285,0.173734202621069,0.318269257154805
"KCNH2",222,0.0180339046839727,0.108862049831351,0.190286514833264
"WFDC8",223,0.0180640483405793,0.105911816799133,0.184293672615212
"TOPORS-AS1",224,0.0181283272632147,0.049774117816441,0.0691928203744737
"NOP10",225,0.0181504699812328,0.132680212803747,0.234305776884963
