"","GSE73108","GSE72158","GSE65221","GSE58559","GSE42809","GSE119717","GSE115645"
"7A5",0.0256128251241206,0.0781315137282559,0.130125583661808,0.036212074411309,0.00246448060113791,NA,0.260086390066218
"A1BG",0.0558945420159552,0.0708260309660673,0.103381485393641,0.0226433092139811,0.00141415654373366,NA,0.199409413014226
"A1CF",0.0330341254532579,0.0447565149920804,0.0823519822575571,0.0322110511295361,0.00494300262924126,NA,0.292622999242247
"A26C3",0.0265750033990101,0.0779564737487124,0.1273185884521,0.0330935795032857,0.00379776307042122,NA,0.280377406943484
"A2BP1",0.0306381593018052,0.0350951513667857,0.0750648968196457,0.0252140556186792,0.0014892387827536,NA,0.183614853638497
"A2LD1",0.163843918760066,0.192680536968496,0.244554147852899,0.047288616362252,0.0404459947824756,0.02755213935828,0.295775729246193
"A2M",0.0187674598184037,0.487815310817682,0.221649339039596,0.0352468576367246,0.00413913328138694,0.0675489031986633,0.37689154864923
"A2ML1",0.0158437488749266,0.0788654886657574,0.107654998381573,0.0386929244787084,0.00190884215130408,NA,0.362409795773544
"A3GALT2",0.0205092957505032,0.0730062178158226,0.094806090468291,0.0239965885338338,0.00381081134894356,NA,0.309254438098378
"A4GALT",0.0737035167147257,0.233974482369226,0.390754129984566,0.0477376593786087,0.142942687224347,0.0563736351234927,0.527349088253403
"A4GNT",0.035689100106506,0.0988562688235763,0.174408799447609,0.0460551199774882,0.00502722120885561,NA,0.200527159301646
"AAA1",0.0247743280104474,0.0628212940020429,0.0899141549924867,0.0280074957939186,0.0035590145329491,NA,0.147397570573844
"AAAS",0.0630501999116957,0.0965132434093119,0.202597326011099,0.0467310422635873,0.0128771822757049,0.0314588986168664,0.279045758177559
"AACS",0.0738907289005548,0.466663535611313,0.675511759436602,0.084161453037582,0.00855537167106437,0.0576486393187065,0.497621316152341
"AACSL",0.0742326565051656,0.0907812225291318,0.190815510628885,0.03290082887401,0.00575889159065983,NA,0.309254451181001
"AADAC",0.162770955850612,0.74060244363259,0.821089788329238,0.0808036379487533,0.0145633392616302,0.0177292843257211,1.48311260937136
"AADACL1",0.035147008020797,0.343400676531266,0.271315528539846,0.0506859895087515,0.0061484955010622,0.0520053197366281,0.30883084130584
"AADACL2",0.452383317324547,0.07663897269464,0.116984577288525,0.0350452694622446,0.00181757210128847,0.0399192080462606,0.345202201586054
"AADACL3",0.0278159856246273,0.088161791945468,0.117351490661807,0.0334747164170905,0.00422980491707895,NA,0.292478964019665
"AADACL4",0.118652885757234,0.150166378876174,0.251383848891943,0.0484635990164728,0.00414314318757226,0.0542073443574344,0.414999430169474
