"","ranking","median","mean","sd"
"COX1",1,0.0123537615148752,0.0570781451290984,0.0814387647059294
"RNA28S5",2,0.0133449387918166,0.0656449374047084,0.0939400412423189
"EEF1A1",3,0.0142837905258707,0.0630568412095148,0.082770950847164
"MT-RNR1",4,0.0148460937859224,0.0699190636757778,0.0931026891347168
"UBC",5,0.0151579748055541,0.0653413251340953,0.0760174229150756
"EIF1",6,0.0162594301460306,0.0870902186098192,0.103752047401058
"CYTB",7,0.0169248912978106,0.0577256157009773,0.0818268578782882
"COX2",8,0.0174710556883465,0.0669475473930469,0.0982069900536206
"RPS11",9,0.0179787952923444,0.0770271722628331,0.0994439519722533
"ANXA2",10,0.0198347085603674,0.104757344622709,0.135730454163358
"GNB1",11,0.019963027649887,0.0858535163117204,0.0976075218274476
"GNAS",12,0.0199832058266481,0.0865056723965115,0.115155297423688
"RPL13A",13,0.0204552906413789,0.09381625128691,0.121362305957562
"ZBED1",14,0.0205447718639315,0.074178899946724,0.0810089065216134
"RN7SKP9",15,0.0206493222410874,0.0775300325212447,0.113440647177069
"TMEM248",16,0.0206610033137518,0.104320193338586,0.135650100212627
"UBB",17,0.0209681030746464,0.0881454397346714,0.0986640561386346
"PCBP1",18,0.0210953114452794,0.105411380255685,0.127069530043614
"FAM104A",19,0.0212334246925581,0.11273508988748,0.142112894941408
"RPS11P5",20,0.0212982062559421,0.0681238626271467,0.089342630722723
"RPL15",21,0.0214048997817024,0.110369484963782,0.137417834020643
"YBX1",22,0.0215472473491665,0.0830685225739787,0.10153743639131
"PTPRA",23,0.0215796743256343,0.090036172239544,0.116353067933623
"RN7SK",24,0.0220478014664529,0.0769372100648007,0.104741159232668
"CHMP4BP1",25,0.0220772058697544,0.0834183579717016,0.107505274979441
"CHMP4B",26,0.0220781036188458,0.0998335151051387,0.117735835525255
"CRKL",27,0.022236853467749,0.107230204169503,0.134377201482803
"RNPS1",28,0.0222787674272867,0.0848455403115986,0.0959770040440676
"FEM1B",29,0.0223539515772857,0.09575018394791,0.110912931568091
"ITM2B",30,0.0223933628300183,0.0900511788339523,0.124049004062191
"RN7SL674P",31,0.0227168710722548,0.0734211344159881,0.0964138657524137
"GOLPH3",32,0.0229063051664344,0.0806837205976273,0.099514738209424
"ND4",33,0.0229754762706829,0.065271726157172,0.0857700069572047
"IST1",34,0.0229904966297315,0.0974440157457319,0.10821794112918
"COX3",35,0.0231006548145018,0.0791443470296083,0.0949271936058758
"MTDH",36,0.0231691795385435,0.096747389182253,0.11779262526991
"UBXN4",37,0.0232069767036777,0.100336485759066,0.122200904934549
"KANSL1",38,0.0232075376167329,0.0984276345496137,0.132613809111473
"DEDD",39,0.0236225431510042,0.0943625189745263,0.110936265855099
"RPL41",40,0.0237067413086325,0.13457810069115,0.179214023082833
"NR2C2",41,0.0237285149922744,0.114171881234904,0.138100281248403
"ND3",42,0.023903708605366,0.0920903541235294,0.121943114412127
"CTDNEP1",43,0.0239428872223199,0.107413427305803,0.122021770497223
"ARPC2",44,0.0239774101576187,0.117230747962289,0.154270871179944
"PARK7",45,0.0242860471014077,0.0891003911742068,0.101785316371398
"BAZ1B",46,0.0243085999348203,0.104751961804068,0.135733064400245
"C16orf72",47,0.0243608909421546,0.0878108864424183,0.10112343128772
"ACTBP2",48,0.0244414096165099,0.108505255865089,0.151107250852522
"TNPO2",49,0.0245249130742388,0.114116624486021,0.121437549574998
"ND5",50,0.0245551708552455,0.0777500660406237,0.113445485901701
"LAPTM4A",51,0.0245850836708059,0.079975656889755,0.0926009367211877
"SAE1",52,0.0246744230794533,0.085937034735815,0.0937553193894225
"YY1AP1",53,0.0247404774979555,0.108231908761045,0.137753121912586
"TPRG1L",54,0.0247531733660318,0.0935143325907694,0.110912525359748
"MCM3AP",55,0.0247634893484297,0.111202293996099,0.138443150264499
"SMAP1",56,0.0247675656959596,0.11368213398064,0.143359997852541
"SHARPIN",57,0.0247784264275716,0.0750164251541141,0.0852676324928321
"RUFY1",58,0.0247876640986837,0.121686552182773,0.147033911411024
