"","GSE73108","GSE65221","GSE115645"
"7A5",0.0256128251241206,0.135665907974014,0.157834868907801
"A1BG",0.0558945420159552,0.101275891638721,0.0318709872852361
"A1CF",0.0330341254532579,0.0789942785311736,0.32430188156584
"A26C3",0.0265750033990101,0.135217888381721,0.268815227081698
"A2BP1",0.0306381593018052,0.0805651351055562,0.297781386059482
"A2LD1",0.163843918760066,0.209605916498913,0.316093255494338
"A2M",0.0187674598184037,0.235353479821896,0.0691667034711908
"A2ML1",0.0158437488749266,0.0982239827074654,0.366965614070812
"A3GALT2",0.0205092957505032,0.103664218066098,0.333487854566502
"A4GALT",0.0737035167147257,0.37336986561771,0.0470462068758235
"A4GNT",0.035689100106506,0.171934816063699,0.342446801150847
"AAA1",0.0247743280104474,0.0864699068410707,0.116609844087929
"AAAS",0.0630501999116957,0.212692964162751,0.131442510108936
"AACS",0.0738907289005548,0.592153149944942,0.0490691160265697
"AACSL",0.0742326565051656,0.157464425964312,0.0243386109031638
"AADAC",0.162770955850612,0.731037873358376,0.487021832519159
"AADACL1",0.035147008020797,0.250121861281674,0.0778747268645683
"AADACL2",0.452383317324547,0.126801697106843,0.220646802597916
"AADACL3",0.0278159856246273,0.102395565876554,0.0496928664347332
"AADACL4",0.118652885757234,0.228239876340013,0.340883359580161
"AADAT",0.0209751381184956,0.0935237729813523,0.311718867674694
"AAGAB",0.0557695372351297,0.284253450240818,0.0198640172469789
"AAK1",0.0555053064998877,0.0916911440815318,0.1026592372518
"AAMP",0.0485889807202823,0.12508833486645,0.156698477469753
"AANAT",0.00749115254860696,0.133493751094759,0.131069012234742
"AARS",0.0125596828776771,0.204809666731897,0.71011364411762
"AARS2",0.0270183633974699,0.15007439895785,0.274785650002943
"AARSD1",0.0349567478301347,0.221591298494877,0.103526746502783
"AASDH",0.0472359781566367,0.184741149065804,0.204545510197262
"AASDHPPT",0.0389412279705415,0.201793544660857,0.0722506985774888
"AASS",0.0771513076531525,0.350899139663953,0.140882557186726
"AATF",0.0521808418091665,0.188111831815015,0.728979708618591
"AATK",0.0475751295556509,0.166375130976661,0.209311370757779
"ABAT",0.0252170187663264,0.109946867542174,0.121370722357604
"ABCA1",0.0352499190521603,0.325388660360383,0.140258619135608
"ABCA10",0.0956906806688412,0.214483780658844,0.183862407671849
"ABCA11",0.0846472273801762,0.1767362283067,0.154878847156116
"ABCA12",0.0137656475817687,0.0827450627806961,0.079630689265869
"ABCA13",0.0162074338027425,0.15095590777828,0.631587649684148
"ABCA2",0.0753734576237517,0.276333879821388,0.518983698046463
"ABCA3",0.0564590985036493,0.334490333144876,0.548769244448455
"ABCA4",0.0767926892733192,0.139607705104608,0.0133933187024899
"ABCA5",0.232567138512731,0.272058048685493,0.0951604662729391
"ABCA6",0.0445931670265413,0.343046002621599,0.110136762370168
"ABCA7",0.018826702893391,0.10670192135584,0.00527828774459033
"ABCA8",0.0609231926406642,0.29566015414233,0.0876475994746956
"ABCA9",0.102599306283144,0.268697365185336,0.0995775452599894
"ABCB1",0.335641879666683,0.211959558156524,0.0238613663803633
"ABCB10",0.0110593502646716,0.229836504001022,0.241265730532645
"ABCB11",0.0542081565324663,0.104384119764777,0.132513465161713
"ABCB4",0.153393926873697,0.154461482474561,0.570004597825945
"ABCB5",0.0266102302156602,0.145700659628275,0.219590004968914
"ABCB6",0.0459700674355644,0.288863807033731,0.00845740736597323
"ABCB7",0.0733562725834126,0.280668841645014,0.0104298257476394
"ABCB8",0.0413057641193484,0.181142063081594,0.539187116246574
"ABCB9",0.108681302390141,0.341243209249105,0.0723245669048236
"ABCC1",0.0485430456368958,0.201076414076957,0.417929983176548
"ABCC10",0.0738148380734587,0.180201248864079,0.274090138783613
"ABCC11",0.0207273164903777,0.0988347123908951,0.0548777314632031
"ABCC12",0.0150799659724862,0.101507449935289,0.0720894961114474
"ABCC13",0.0416719548215907,0.0884237474180998,0.111516594529419
"ABCC2",0.111101801796795,0.352221275309254,0.437270081398677
"ABCC3",0.0741006245273073,0.856686331850904,0.323936669669395
"ABCC4",0.170191337281841,0.214650816148842,0.0993200303751103
"ABCC5",0.067207511444305,0.302461531535073,0.483406872454808
"ABCC6",0.0728545604593458,0.2349517285374,0.175229413621848
"ABCC6P1",0.107156438817084,0.23104311517425,0.17707995395891
"ABCC6P2",0.121772161681619,0.359174615578751,0.0615582892937329
"ABCC8",0.0262554796150573,0.205107622070113,0.407787910591681
"ABCC9",0.0703742708011159,0.275259119720594,0.165281091569253
"ABCD1",0.173275309328153,0.351696635853872,0.9500747185571
"ABCD2",0.0491892061569228,0.268943171862993,0.0152736162198109
"ABCD3",0.0440302413691611,0.127028338710603,0.440871666072388
"ABCD4",0.0284576250021916,0.0877466675160829,0.0169735369841915
"ABCE1",0.0493804096456758,0.160490213933926,0.142438472898746
"ABCF1",0.0134438139126471,0.21957194601472,0.182119768116238
"ABCF2",0.0725717108761258,0.192378541437012,0.385465307849925
"ABCF3",0.0773388780624263,0.158949358393695,0.424084204209808
"ABCG1",0.0604612073745935,0.1608198237936,0.0105847316827275
"ABCG2",0.0404675500507079,0.137944686839968,0.319695232340547
"ABCG4",0.0791005514359973,0.173057552379159,0.162892374432397
"ABCG5",0.0621603162823701,0.0903134969687045,0.527783024533563
"ABCG8",0.0560533877588399,0.140062267578644,0.77272399895183
"ABHD1",0.13430062559683,0.248667172113737,0.328594592618945
"ABHD10",0.0231779712054497,0.17019574765135,0.566665522969969
"ABHD11",0.0804685940497577,0.21187261935547,0.1511012366192
"ABHD12",0.070002931513032,0.227342870463147,0.0665887040483156
"ABHD12B",0.148403539346174,0.123176582472857,0.379406731698734
"ABHD13",0.021794812998118,0.0776319073905228,0.32234519199065
"ABHD14A",0.0249346211722979,0.185138701529189,0.264208559613043
"ABHD14B",0.073634555923038,0.21097051622969,0.000700944702522974
"ABHD15",0.0471130995810959,0.269451122960468,0.344250995269215
"ABHD2",0.0627171758920896,0.142163974256258,0.42096860447112
"ABHD3",0.0532667180440256,0.231838624665183,0.185169952725932
"ABHD4",0.0849993628568039,0.283597193317246,0.364639956627438
"ABHD5",0.122065997850093,0.517156165735593,0.105227835045393
"ABHD6",0.0865489958887336,0.259885975190728,0.134283762211568
"ABHD7",0.0353847208279689,0.25308055194997,0.0104125675349406
"ABHD8",0.045785447524806,0.217582320344985,0.13701880123105
"ABHD9",0.0478495788399638,0.130899864185714,0.00310930509009414
"ABI1",0.0398294393997048,0.184928554742579,0.159933777329214
"ABI2",0.0921364239999909,0.112512837510943,0.045769087437971
"ABI3",0.0637204914847165,0.207811382506388,0.548891956571907
"ABI3BP",0.119892557071363,0.574619565833163,0.530266465067355
"ABL1",0.0741837173210598,0.140361191304142,0.271965811366817
"ABL2",0.127922566093156,0.145061834927745,0.124518243208867
"ABLIM1",0.0168793700631305,0.30469173357461,0.616305800458049
"ABLIM2",0.117072625425598,0.326097091204629,0.0483587431595581
"ABLIM3",0.0854681926333377,0.308149331651957,0.0862172469672274
"ABO",0.0244281655660098,0.101990754674301,0.516546207846882
"ABP1",0.0136904017602157,0.107086863724068,0.0687195265946007
"ABR",0.0417254703134805,0.126110789609998,0.049038708602463
"ABRA",0.020193615150435,0.118462252466455,0.230100579388628
"ABT1",0.0518545878709454,0.201362090968775,0.191439182763299
"ABTB1",0.0565875588875848,0.221971456858575,0.436540610458576
"ABTB2",0.0809870806311461,0.161054648634857,0.241588667958903
"ACAA1",0.0441102481546878,0.190103289352786,0.264364552661262
"ACAA2",0.0537733350994914,0.26337662790595,0.119772180739446
"ACACA",0.0396859376793729,0.517473676255345,0.695473215204213
"ACACB",0.0463403269658315,0.377373284557446,0.741044945414095
"ACAD10",0.0313410350300917,0.141348543906977,0.701207197061473
"ACAD11",0.0364203294435079,0.354461092134482,0.154039043156492
"ACAD8",0.0151456511824228,0.180719720661238,0.0258532153531998
"ACAD9",0.0309783804969381,0.337166278737211,0.123622127682266
"ACADL",0.0809394761254577,0.271752956829678,0.0678884664273413
"ACADM",0.0337754843362846,0.26216160235082,0.168644298262251
"ACADS",0.126544756420433,0.305039794560612,0.0234966472040288
"ACADSB",0.0986071158006213,0.194889851313286,0.231117250768438
"ACADVL",0.0421105802207629,0.266513942859461,0.738520673695743
"ACAN",0.0102210728643322,0.129821137661163,0.0361234390092615
"ACAP1",0.0939280723106271,0.273273072188908,0.492206960865487
"ACAP2",0.0536823665486069,0.161127015902645,0.0556070856693766
"ACAP3",0.0992068710168902,0.245249613291527,0.687430803467174
"ACAT1",0.0275420540370386,0.275930179443471,0.222951683204405
"ACAT2",0.0395432254860528,0.240428442892639,0.233060865752513
"ACBD3",0.0330484753845395,0.243338439578003,0.246550100763094
"ACBD4",0.0878414771761168,0.213732500350518,0.168913371488651
"ACBD5",0.0200554015971637,0.0868068575663121,0.0599075888587457
"ACBD6",0.0474434875960141,0.164738002891468,0.0250290613156631
"ACBD7",0.0183895863745017,0.0921947912668322,0.338713288325569
"ACCN1",0.0361173324707934,0.0747464049919593,0.138267329168484
"ACCN2",0.110861843779935,0.184893043036164,0.299267938768096
"ACCN3",0.0273185260240119,0.0828111170372351,0.327930641942699
"ACCN4",0.0319716097552224,0.059106213026349,0.0432651906968003
"ACCN5",0.0343736159510954,0.119191539000384,0.25688696989143
"ACCS",0.046676185422217,0.276432540132904,0.725907709422997
"ACCSL",0.0159385944844281,0.0797351505893878,0.0548400376783523
"ACD",0.0710099525283429,0.255901578046788,0.592914496735544
"ACE",0.0285542554880844,0.0950539100163169,0.133762213482619
"ACE2",0.121850371163088,0.171822364308149,0.159768744053383
"ACER1",0.0241047673831736,0.0884148300714873,0.00878294517949058
"ACER2",0.0466216138147953,0.139157939764076,0.217449237288401
"ACER3",0.103461958236041,0.294662765854563,0.595741273305162
"ACHE",0.0251000661955605,0.108512970570887,0.154463056666187
"ACIN1",0.0473788328974548,0.23098314080931,0.525267088690429
"ACLY",0.0362251589730364,0.491205498610471,0.400632268211303
"ACMSD",0.0314422077261076,0.113255474261938,0.291532841768452
"ACN9",0.0307553642093848,0.19812182843941,0.637450105759541
"ACO1",0.027389560735434,0.207250230453286,0.085973270433185
"ACO2",0.07052399449384,0.373885021557656,0.0782100004821359
"ACOT1",0.0487490818112051,0.408625529134002,0.433695338198615
"ACOT11",0.0849096115719572,0.0906341822842673,0.219273310309016
"ACOT12",0.0276883611319816,0.127775534142138,0.000902273943028619
"ACOT2",0.0774152045107935,0.471283354387064,0.868590976155964
"ACOT4",0.0623403844914997,0.257158224052389,0.349965121034791
"ACOT6",0.0367191377885037,0.141115179083082,0.385655469663197
"ACOT7",0.0374634439791066,0.0839025645096423,0.159796285371423
"ACOT8",0.0844388556023377,0.20702270470589,0.151417392869297
"ACOT9",0.0316171896801879,0.268341795692718,0.225388334531771
"ACOX1",0.0277463004328432,0.210323637088574,0.177050291685752
"ACOX2",0.0188556329901751,0.252114121470436,0.0586081989107572
"ACOX3",0.0894033367385274,0.243352351127319,0.807903419642024
"ACOXL",0.0332002297852915,0.0907835266598081,0.204472019249825
"ACP1",0.0390017735421109,0.148668909302484,0.613043501180723
"ACP2",0.0694939811707283,0.354806295232814,0.543313295003113
"ACP5",0.0876282388161768,0.793201988000085,0.0930970858384093
"ACP6",0.0776611594787416,0.305387888871873,0.0257144694294476
"ACPL2",0.0720449151573937,0.229985013490697,0.410458165609153
"ACPP",0.162395902239693,0.14813449997525,0.0321440423310402
"ACPT",0.0520957500770417,0.132202111070378,0.101825080978517
"ACR",0.0311645655508434,0.108884552374222,0.394717579492962
"ACRBP",0.114712999521788,0.146517863501855,0.0213075097765421
"ACRC",0.116805921009992,0.212827180562417,0.410367863424302
"ACRV1",0.0137076561724194,0.132587081510007,0.211420894544559
"ACSBG1",0.0293084804140703,0.11819363977995,0.311727655851585
"ACSBG2",0.0433736568265911,0.0958154051389303,0.287524303850116
"ACSF2",0.0712253271079986,0.407631846490534,0.349988732607976
"ACSF3",0.0123609237167391,0.0928998391408273,0.193815846625917
"ACSL1",0.0254385039130951,0.351731106789665,0.184330102254105
"ACSL3",0.04733573756575,0.240712015446099,0.119067871811458
"ACSL4",0.0306874482471025,0.109563857531714,0.209788407018785
"ACSL5",0.0364636535852765,0.11743572273984,0.364215428967345
"ACSL6",0.0198244064568867,0.078040588347208,0.060745907770942
"ACSM1",0.0206164047207931,0.133937023826222,0.0027621870646336
"ACSM2A",0.0415022850702519,0.119600109292541,0.524539261344543
"ACSM2B",0.020695796440099,0.0723389597469414,0.000494326180649563
"ACSM3",0.0461878949832557,0.102218334486244,0.152945750126123
"ACSM4",0.0297788920362886,0.118357450079262,0.0955770234248846
"ACSM5",0.171973394205157,0.436924253959394,0.072887757985249
"ACSS1",0.076226759189608,0.207197347691095,0.0868805741316297
"ACSS2",0.142339906811325,0.387099183919319,0.123671949378295
"ACSS3",0.112232257815636,0.425632682661527,0.241056609195335
"ACTA1",0.0287148820653538,0.472516104271505,0.613394090433553
"ACTA2",0.0700627585628677,0.677599282234084,0.882851249464268
"ACTB",0.0168639858504576,0.19358978909494,0.168278093713351
"ACTBL2",0.0231739720880541,0.104355397807407,0.0197132517982467
"ACTC1",0.0469337824763372,0.129733809814355,0.289130647308509
"ACTG1",0.0261997673170618,0.166781527411699,0.163152300514202
"ACTG2",0.390485266600164,1.33857709442962,0.789367219667419
"ACTL6A",0.0433055790244084,0.1592447307617,0.423458115116126
"ACTL6B",0.017969731430006,0.116260563582727,0.305585865899891
"ACTL7A",0.0129670591460129,0.092256619580643,0.427321440156977
"ACTL7B",0.0234249506391583,0.132612154915998,0.332013181874129
"ACTL8",0.0463719259127075,0.157112300763627,0.101891290512282
"ACTN1",0.039085558217722,0.33837509714233,0.787940908813345
"ACTN2",0.0178046693743483,0.140321635335521,0.661642855302277
"ACTN3",0.0183825136497457,0.126536537546335,0.171924868489609
"ACTN4",0.0519416269487945,0.347388536782427,1.11882502357881
"ACTR10",0.0161610187664012,0.270757618270578,0.630454921865463
"ACTR1A",0.0603576418105886,0.243253354555663,0.962978574689383
"ACTR1B",0.0243400452157234,0.209919698602705,0.0560754397432215
"ACTR2",0.026741390574769,0.26512420223102,0.283635454340499
"ACTR3",0.0272868907466805,0.28883384475569,0.242845934760639
"ACTR3B",0.0322309791583538,0.0932166399291897,0.00721135621534913
"ACTR5",0.0371464626994253,0.181511961266064,0.0817491680237733
"ACTR6",0.0476419017575999,0.186310212964677,0.578021497227745
"ACTR8",0.049928657913902,0.155832265683003,0.343738571780856
"ACTRT1",0.051993303787673,0.339593096201593,0.284658992469364
"ACTRT2",0.0271608380459524,0.0894223177738143,0.0561084963767128
"ACVR1",0.0420267967891583,0.363182551799842,0.220552488222695
"ACVR1B",0.0443705182244512,0.0975701515787798,0.104235234218375
"ACVR1C",0.0867295191666764,0.418947400692777,0.0347799781477472
"ACVR2A",0.0801687575874615,0.200993726576354,0.159798927854908
"ACVR2B",0.0141266780335359,0.0915369043215424,0.285587951547722
"ACVRL1",0.0430842060623388,0.253391415398319,0.412241735694152
"ACY1",0.0464850234066348,0.355120938196762,0.460669655261075
"ACY3",0.0179627048153211,0.122209220802326,0.037125871466117
"ACYP1",0.0284873541845931,0.20990610903426,0.249369664467965
"ACYP2",0.0879546693518875,0.273203461568278,0.824894989960868
"ADA",0.105680314949363,0.257464438681192,0.192184148895412
"ADAD1",0.0178247646251627,0.129916013237506,0.471852443950334
"ADAD2",0.0542126891022378,0.32757942208169,0.033486970302628
"ADAL",0.0308319939141245,0.206104380304659,0.235817617917846
"ADAM10",0.132549386430509,0.196181290605823,0.0130885711146696
"ADAM11",0.0304707167186552,0.105483205713089,0.276264938699186
"ADAM12",0.0643375396700515,0.108980838273607,0.271804208972535
"ADAM15",0.0524489318984064,0.256059345406225,0.730254499712122
"ADAM17",0.0122170434963124,0.163595442436369,0.105150360767743
"ADAM18",0.0211562247089369,0.116542258145635,0.314343313217085
"ADAM19",0.0415779723823517,0.101846934364219,0.323044734663105
"ADAM2",0.0814828308295811,0.143371410170315,0.191316972592438
"ADAM20",0.0114213252838609,0.0957851942684995,0.657972802500554
"ADAM21",0.0552977812866918,0.0977655999818859,0.336156759964736
"ADAM21P",0.0260558309795691,0.102962135999715,0.925037440222338
"ADAM22",0.0427248251880257,0.101928407272178,0.173504111654782
"ADAM23",0.122040827966018,0.0992698732438815,1.10088795204775
"ADAM28",0.0350786512278648,0.117028639611321,0.124139903587957
"ADAM29",0.0455501638604055,0.136641710038595,0.0078212166625697
"ADAM30",0.0297766520342774,0.123862289387722,0.0338122345254087
"ADAM32",0.093070630035396,0.117344212410238,0.0812758754965222
"ADAM33",0.0816663788587322,0.119877621855513,0.201219732814109
"ADAM3A",0.0187112255181614,0.0780355894246535,0.123887216497155
"ADAM5",0.0237430130424862,0.091101582228371,0.0293138252474116
"ADAM5P",0.0132649603050251,0.0986333313115061,0.193775910254822
"ADAM6",0.0255183417169465,0.0810626593829628,0.0362567991197323
"ADAM7",0.0441574682762075,0.102256053578122,0.439600261857652
"ADAM8",0.0622265345767881,0.23603308280794,0.223887481796856
"ADAM9",0.06677878504983,0.284228414522988,0.335186815289493
"ADAMDEC1",0.0262665767022008,0.145012485241893,0.0175465683254768
"ADAMTS1",0.0982015752476555,0.381194680061854,0.126936054397889
"ADAMTS10",0.0405842190087313,0.109858093533943,0.111196974761821
"ADAMTS12",0.0184124685191116,0.105488923406162,0.00987231633739459
"ADAMTS13",0.0457953841939461,0.116545298440395,0.0082539493853715
"ADAMTS14",0.0140269196619203,0.0998719896010776,0.0697227646593498
