"","GSE25401","GSE25910","GSE33070","GSE73655","GSE41223","GSE54280"
"A1BG",0.428104827806018,0.320734651751758,0.0291484577399018,0.0111892543465157,0.567764765364026,0.0113936659367235
"A1CF",0.449991306660204,0.544453611031823,0.0287339637035153,0.031556516888465,0.308496615098407,0.038716774767923
"A2M",0.297282850511058,0.98696150702478,0.0339645904514743,0.0184245792732449,0.872477121310029,0.065417724786589
"A2ML1",0.398458986849081,0.455813331794872,0.0454230712905262,0.0569210940595245,0.500538135354201,0.0709756504763059
"A3GALT2",0.647038566598891,0.642750747461263,0.0530134702701418,0.0609101135949701,0.821376518523077,0.0252474136450999
"A4GALT",0.414826334316703,0.562953629842252,0.0351097608814196,0.0299906745321786,0.202840988989038,0.0164610770682054
"A4GNT",0.584319506784923,0.393918371953023,0.0325238705610532,0.0597145303811304,0.740259332918584,0.0181984367014706
"AAAS",0.247515220824771,0.323405693806962,0.0422899275971219,0.0074075073757311,0.182203848920024,0.0298136200356035
"AACS",0.566449685138744,0.394625216289381,0.121420699656673,0.101749962289799,0.445099707463587,0.0208470103295104
"AADAC",1.04467643620169,1.15043240500512,0.512313551693504,0.306026389763943,1.89807767106593,0.0281011814237104
"AADACL2",0.32529563633244,0.521106798709677,0.0650830317321096,0.0482455021901278,0.799310094545455,0.0168614349144587
"AADACL3",0.455010616986301,0.38284405612882,0.058764153475796,0.0795594605627891,0.561987144064028,0.0249046585952773
"AADACL4",0.520474071243485,0.51578693863751,0.0220413730500327,0.0703809172889546,0.51883146227027,0.0224286996223059
"AADAT",0.274841822535211,0.628715564229695,0.0458548469646935,0.0482488058318585,0.298413612106644,0.0373366195118724
"AAED1",0.400151123071037,0.371710787038837,0.0654660415755428,0.0405970960481888,0.374870238139535,0.0258162865966854
"AAGAB",0.392417586318433,0.393113552207653,0.0394433083450872,0.0223879675344561,0.278357940414229,0.0597874111530602
"AAK1",0.453523663025086,0.302478602134018,0.0543831899660356,0.0441010271210686,0.221130220957439,0.0245633861678772
"AAMDC",0.365353382459381,0.852301529337083,0.0448562042349498,0.0268443453089296,0.412878590237088,0.0206862528386565
"AAMP",0.3836883466955,0.304342762928092,0.0433656225942209,0.0396993949401753,0.300157317384909,0.0107223358684553
"AANAT",0.450892873846154,0.424663838201701,0.0339494359295559,0.0265657409349062,0.482311218498275,0.0112920880358948
"AAR2",0.30578690541352,0.199130518418758,0.0557716463967838,0.0219339920222442,0.3190847086875,0.0102922836987786
"AARD",0.33384634094605,0.302725969509445,0.0191186743860617,0.0472871037714164,0.286446861728395,0.0674001446432107
"AARS",0.303039154182602,0.350612114924156,0.0166677751883651,0.0243079717796095,0.529948601567219,0.0280846896417697
"AARS2",0.411470634912028,0.326686142496847,0.0291274395268574,0.0120319384422764,0.120986482492562,0.0356558617430377
"AASDH",0.393777307392631,0.451731750653437,0.032751489570737,0.0359864357194134,0.351038132068455,0.0514210542052339
"AASDHPPT",0.221610752826636,0.243737701193304,0.0176687310223567,0.0395807441185498,0.305086995763905,0.0305999838936529
"AASS",0.453704632747149,0.3701741147784,0.0655974995380406,0.0589386381289905,0.43757967254608,0.0805223426190143
"AATF",0.353157147947896,0.512740905630446,0.0355378979170269,0.0152978911395205,0.224463793673723,0.0205164603351134
"AATK",0.385866155961348,0.200935690583184,0.0373364920914426,0.0222894493462396,0.339470195499093,0.0177010499698606
"AATK-AS1",0.321900727737462,0.196600495304348,0.0296461401124167,0.0176811628756831,0.431305398522477,0.0224290259392616
"ABAT",0.405877048370746,0.390773824,0.0262644164352519,0.0271217860626485,0.290365884545845,0.0229781526873979
"ABCA1",0.435428361904733,0.550812439412134,0.063283963286118,0.0497176465434396,0.95207130694429,0.197213584250385
"ABCA10",0.522191633019094,0.566898382362729,0.0618781992950585,0.0564318737552113,0.975708179683656,0.0569306552900216
"ABCA11P",0.571698482290076,0.329144197522124,0.0645293532363275,0.101793351645296,0.829808091835755,0.0168278830805333
"ABCA12",0.479264572988992,0.423330860914913,0.0214248567650705,0.0418322311067131,0.479916220220299,0.0418695984027366
"ABCA13",0.481891758923077,0.436052203363636,0.0315397696692452,0.0246978750070195,0.707643078605722,0.0235717258532748
"ABCA2",0.36635046,0.494915436539165,0.0500978951670359,0.0222926154242089,0.279764698704103,0.0603861620012843
"ABCA3",0.481749951223483,0.225396355521592,0.0352147136210313,0.0116693129578462,0.213182206343042,0.0647820478504034
"ABCA4",0.437623344788883,0.275468187192532,0.0137958935314049,0.0112471510079593,0.527975662941176,0.0116579996508442
"ABCA5",0.348850953491042,0.395870986373568,0.0461294771887635,0.089641051688628,0.278573325267459,0.0625844173243523
"ABCA6",0.534949903223939,0.815924751355614,0.0352312828949983,0.0543799925820873,0.518865458369098,0.428084185637317
"ABCA7",0.36042640087653,0.361187131369128,0.0253235360940092,0.013032074327034,0.336290021365942,0.0298453127523638
"ABCA8",0.452334769326023,0.780791799210832,0.077750317882605,0.0273827045618635,0.5150634566456,0.388225713404267
"ABCA9",0.496008565732538,0.838502648772175,0.036612945677716,0.045751505793109,0.385984063504745,0.486343525700146
"ABCB1",0.566225179555976,0.485077068,0.0642252431943765,0.0975703821429925,0.414262656082238,0.00759415842359265
"ABCB10",0.26226008493422,0.26157680132657,0.012199249378409,0.014530409783845,0.245682497904394,0.0130980556005327
"ABCB11",0.378891387591639,0.409266247105601,0.0405113825093355,0.0609102339524351,0.388555768643827,0.0041104823782143
"ABCB4",0.398727594059176,0.53350922277205,0.0631609230124009,0.0403897227792307,0.297261156615087,0.125900071594948
"ABCB5",0.642182421128405,0.661915836258993,0.182918337379272,0.0668887676958598,0.995451791472386,0.0251008609637279
"ABCB6",0.452807740988797,0.548716152000411,0.0386759807277568,0.0293489118846524,0.50861837340296,0.0482273522900222
"ABCB7",0.360961852621042,0.293575112685689,0.0545029676056374,0.0400207062375909,0.273020729741505,0.0114283282538336
"ABCB8",0.349088704876647,0.289060966857956,0.0260226389307316,0.0285341022546684,0.0887332351954201,0.010205472508021
"ABCB9",0.481547326866667,0.405597411108623,0.0203167138701377,0.0154828023280248,0.404241624040805,0.00908942874746114
"ABCC1",0.607115551733594,0.589311547567875,0.040936137471901,0.0192460721210157,0.407530133204143,0.0188826423339941
"ABCC10",0.394087472416717,0.138294908938642,0.0415710111578627,0.0150705136900472,0.250877010468664,0.00892257675234974
"ABCC11",0.510468492198347,0.37424654822089,0.0352578701225303,0.0434670315140242,0.479993868,0.0220061016098115
"ABCC12",0.41564691,0.254852493913043,0.0231553123551659,0.0206324365900645,0.392720158920308,0.00921720488520439
"ABCC13",0.341657224574586,0.425733368002553,0.016737909175762,0.0694484604780343,0.41499100457406,0.013501126284309
"ABCC2",0.49718991,0.529704683856859,0.0377144405872738,0.0207497768832619,0.406863832396694,0.0347911133094189
"ABCC3",0.502916846034123,0.785843076166855,0.0617139560596397,0.0709058529022414,0.385069848777424,0.0533665904016928
"ABCC4",0.374651997517241,0.584757787975293,0.063217003936662,0.0492203860793332,0.307140220934816,0.0128004442205918
