"","GSE29231","GSE43471","GSE29226","GSE112307"
"7A5",0.233529582428643,0.313635815853024,0.142408924328325,0.112205656364771
"A1BG",0.150036360969914,0.199974427733083,0.178634934627742,0.0853912868082034
"A1CF",0.106285227083274,0.244052298581174,0.196018428164548,0.0743023839154573
"A26A1",0.151105790201721,0.224693487973937,0.132532064011841,0.101243758688765
"A26B1",0.246309022583586,0.26170424232316,0.241339459319173,0.0578500190717704
"A26C1B",0.196359958777016,0.198965461182798,0.135573417439442,0.115956207564056
"A26C3",0.18903013281256,0.216176092826886,0.117465959859085,0.0728180524494334
"A2BP1",0.0952932770337519,0.231695973374955,0.179880134519089,0.0595647132310093
"A2M",0.379439295802237,0.466800019232585,0.776657391694657,0.770344539818383
"A2ML1",0.251432037490129,0.291686944246666,0.280727276297479,0.101326758397775
"A3GALT2",0.129535971497567,0.225975077092663,0.139073095219618,0.0753192175131744
"A4GALT",0.479135971448725,0.375600921128759,0.307655136531331,0.334425145521655
"A4GNT",0.338271267685372,0.267747266031151,0.252701167534466,NA
"AAA1",0.130945836792713,0.211519690937897,0.172899519000728,0.0575564867720987
"AAAS",0.232343467357792,0.186012798409276,0.154349812480901,0.158029021086638
"AACS",0.439629082720547,0.658194768030232,0.267972561205413,0.550609324053519
"AACSL",0.271821001559021,0.258474552936179,0.169427744915137,0.105170656099956
"AADAC",0.315665288018266,0.64768963302894,0.428815165156722,0.454021328698094
"AADACL1",0.445111250645409,0.484408343738551,0.577437040412381,0.302177858398741
"AADACL2",0.324840647539978,0.329983103517827,0.178885926315312,0.105606720592812
"AADACL3",0.232441298044164,0.245692083566952,0.264838631855052,0.0987466499105485
"AADACL4",0.270982173522625,0.465115406535339,0.228019052446771,0.226520822227652
"AADAT",0.094487993652195,0.165945686026714,0.0879669133651002,0.0793368778563447
"AAK1",0.199640897358506,0.224630676029209,0.115901250499319,0.0752899652044237
"AAMP",0.30195943603635,0.257627303642023,0.350723417630594,0.180068412247149
"AANAT",0.249121675427644,0.352130006107464,0.15954766089223,0.0870327677808529
"AARS",0.263380118526148,0.182966657515181,0.224031697097777,0.207050866352788
"AARS2",0.210003375324094,0.226954897080065,0.253727659560606,NA
"AARSD1",0.250345877079218,0.231281759754161,0.299051742671922,0.312746691873939
"AASDH",0.145384321786684,0.19950965016257,0.316425387227071,0.149661409104229
"AASDHPPT",0.295449100440488,0.250554302388143,0.494177830259995,0.178164495920672
"AASS",0.154661573916142,0.337259416208133,0.15347684004858,0.099482551071339
"AATF",0.156718467780936,0.213754677107941,0.201296999716153,0.201466305556739
"AATK",0.1912367197521,0.260836248815324,0.10490702556639,0.0798204761892647
"ABAT",0.140551697102785,0.25894701025793,0.128710436048136,0.0788325645885074
"ABCA1",0.488910867528038,0.303238624430925,0.229541715010344,0.357342535421733
"ABCA10",0.315320600070922,0.343656871808173,0.2249380180691,0.0660870717478514
"ABCA11",0.428950528328698,0.230868947586856,0.218531103141488,0.10362067618253
"ABCA12",0.165226845360387,0.247652159736131,0.1303918177865,0.0528212739702166
"ABCA13",0.172790817202963,0.432833079495132,0.242251798453277,0.070731943359857
"ABCA2",0.296651800305844,0.373277710549537,0.12596422885759,0.412211649062639
"ABCA3",0.28838598892866,0.352467274469391,0.231145771650206,0.217020191094965
"ABCA4",0.249883473187353,0.329433743343345,0.184427302122363,0.0834758720794285
"ABCA5",0.445397867211674,0.28764015469559,0.209837016354578,0.085407282301194
"ABCA6",0.591236048123727,0.397524277645613,0.339504300159044,0.152078720964576
"ABCA7",0.0926431819786138,0.246595720811708,0.256168432299487,0.0747236757871551
"ABCA8",0.289733170154772,0.320887468501906,0.429946358728212,0.225745614140017
"ABCA9",0.467864548744415,0.449683869488868,0.375936490962433,0.252410095871128
"ABCB1",0.233387676274999,0.321495822232109,0.106764916668864,0.129015113739696
"ABCB10",0.228868283061242,0.277836161678075,0.377660206634384,0.179777890077877
"ABCB11",0.215423346832948,0.217747141770662,0.220065511783103,0.118715717840842
"ABCB4",0.328752068486296,0.295756585845379,0.269024875262409,0.11954593783508
"ABCB5",0.313749538811534,0.31970263636163,0.120168611856529,0.07515918035754
"ABCB6",0.45140799484777,0.269813536016504,0.261142251521566,0.235291215050919
"ABCB7",0.253886418606398,0.275814556321983,0.287694392507862,0.353093399845301
"ABCB8",0.31039267495397,0.34669313241779,0.234954713038482,0.210596578079625
"ABCB9",0.286058901125152,0.474283489221304,0.249597260158785,0.159150327618923
"ABCC1",0.271620752611662,0.32134287580673,0.227004770964789,0.0978960459527873
"ABCC10",0.214443279042452,0.3076861347001,0.263586511189865,0.13051418744525
"ABCC11",0.193478427365937,0.232528078942004,0.143537877753699,0.0748616288949367
"ABCC12",0.1310881128581,0.234719824689543,0.191424661986582,0.0696858527061957
"ABCC13",0.152588802776939,0.198176543971498,0.129867624340512,0.0818172957455437
"ABCC2",0.30907368183259,0.559300777282839,0.121480102394403,0.165333353977866
"ABCC3",0.342967855905936,0.862731520831891,0.650057619954333,0.511412358572712
