"","ranking","median","mean","sd"
"LOC101928826",1,0.0171306536107546,0.0762437367741571,0.0876780182432638
"RPL22",2,0.0178656898328361,0.102629249951932,0.118479362416249
"RPS4X",3,0.0186863806845403,0.072132087146874,0.0974317130284878
"EEF1A1",4,0.018718779600374,0.195872597582858,0.320690329844126
"NACAP1",5,0.019316304019254,0.103690683823128,0.15863386060732
"RPL41",6,0.0198893962284988,0.0747982577493309,0.106588664934623
"RPL3",7,0.0202665226577278,0.116073898699144,0.159350495648797
"PABPC3",8,0.0202944829577609,0.103987421852829,0.134882992366387
"HNRNPK",9,0.0211342068049957,0.076840939553986,0.101288474084678
"RNU86",10,0.0222179818409033,0.105335390370308,0.167707906219777
"ND4",11,0.0225707901914947,0.0753254436891611,0.0774979835770584
"RP6-11O7.2",12,0.0227215850627975,0.129551240001207,0.169184632392426
"RPL23A",13,0.0229285445042415,0.0832395424622786,0.110507324433678
"LOC100508408",14,0.022954286888203,0.0880132046923518,0.126470694548317
"RPL27",15,0.023421560073262,0.0825289065297919,0.115453741164353
"RP5-882O7.1",16,0.0234826973449851,0.123007614499994,0.191383762894881
"RPL30",17,0.0235161119739242,0.0967884439367088,0.149411775285637
"ND3",18,0.0235277024340407,0.0885531199976437,0.111091449528699
"TMA7",19,0.0235579235973058,0.0916479179437994,0.0916278468959584
"MIR1244-3",20,0.0240702812685292,0.100046073843675,0.131935753025994
"LOC101929087",21,0.0242645675361787,0.0975171864471397,0.122224119866811
"ISCU",22,0.0242904894039995,0.142506136811612,0.155923777034391
"RPLP1",23,0.0247041049649502,0.114891369564447,0.179833133918368
"MTCH1",24,0.0247864841058118,0.0797943257895813,0.0765092012123335
"PABPC1",25,0.0252528878977076,0.114503535768218,0.120332001961067
"SLC25A3",26,0.0256020327683366,0.122369572072094,0.130091940081455
"COX1",27,0.0259570880218301,0.0969678975939324,0.0956970422114416
"EEF2",28,0.0261807851120521,0.151978859923846,0.166966818794061
"EEF1G",29,0.0261960297314017,0.0977606963642648,0.137389608632073
"RPSA",30,0.0262429092610005,0.115402036109778,0.171639881017336
"RPS7",31,0.0262452745804773,0.084481986352337,0.101730985068025
"RPL37",32,0.0263655984786784,0.0800529793876572,0.104204554079513
"CD63",33,0.0265834411212207,0.0858266433068319,0.128840433495338
"RPL24",34,0.026668486298779,0.0883682659020007,0.137702254520887
"RPS15",35,0.0267677137157479,0.11768223782977,0.157187544056057
"RPL7A",36,0.0269683423788622,0.127230517936472,0.17932256394904
"BTF3",37,0.0271891548220322,0.071137718798502,0.0848131218470474
"LOC101060363",38,0.0272789885394612,0.135024425083945,0.163427666712667
"RPL7",39,0.0275139675076448,0.148728749794247,0.172641516347427
"RPL6",40,0.0283390042890112,0.0763639205932645,0.0925091644389435
"RP13-258O15.1",41,0.0285738346598782,0.118724357310968,0.146703467548781
"JTB",42,0.0286984449136039,0.081910616047196,0.0954175634719213
"PRICKLE4",43,0.0287087346455951,0.0942386196901388,0.0942964082538002
"RPL13A",44,0.0288417501560136,0.111516911518086,0.159439395766586
"PTMA",45,0.028927663771409,0.0668749233902249,0.0719506128312305
"UBB",46,0.0289951907867108,0.102801488442286,0.13566788031665
"FAM96B",47,0.0294963687045836,0.121176232776464,0.127245718515518
"RPS17",48,0.0296570763505423,0.114697947828835,0.161801718830459
"RPS18",49,0.0299939842530804,0.129562412779088,0.192526012129969
"ATP5L",50,0.0302095831553043,0.177542363575272,0.213057461315864
"UBC",51,0.0302168510470571,0.11709632799925,0.171130050450813
"RPL39",52,0.0307169200627058,0.0853769421623789,0.121746472463339
"RPS3A",53,0.0308776933551546,0.10096047579527,0.138651110470128
"NDUFAB1",54,0.0310109890170835,0.142180445580713,0.155885327385426
"ITM2B",55,0.0310589107162524,0.0948121504427367,0.128347187671061
"RBBP7",56,0.0310968542036534,0.131117669188309,0.138025828433867
"TSG101",57,0.0312729490546711,0.0829262126510048,0.0964895005106943
"GLO1",58,0.0314111478606657,0.0708021247284266,0.0570084012442514
"RPL9",59,0.0315245080114614,0.0809413839984156,0.105440464893165
"SNX3",60,0.0318148977279113,0.0940685737732984,0.10395713888026
"RPS12",61,0.0319337424759222,0.0961123850629125,0.124088795241674
"RPL12",62,0.0322188408639271,0.106726310854388,0.141824996153257
"NDUFB9",63,0.0322784296355506,0.122785484644566,0.148108118802114
"MRPS24",64,0.0323055999517417,0.109779712705484,0.123840413232017
"NOP10",65,0.0323086277968232,0.0901431070122983,0.102751339806869
"PGAM1",66,0.0325477537275398,0.0855395409286333,0.0787732316524171
"COX2",67,0.0326539356737542,0.0841079348087057,0.0869542762841006
"APEX1",68,0.0326784129408661,0.144936643859805,0.186679900466032
"ATP5C1",69,0.0327812056516697,0.173082327612124,0.203350617368862
"MYL12B",70,0.033100846379246,0.0955136606429112,0.0917619904069659
"NACA",71,0.0331379395430155,0.212108744074857,0.298927582613672
"RPL19",72,0.0331872160063685,0.0974732077671728,0.142100623997278
"RPS4XP2",73,0.0332463800916999,0.106142449304588,0.123562524211957
"EIF3L",74,0.0333535633798453,0.101435896956296,0.0983099505611388
"SRP14",75,0.0333813513135954,0.0727298668830893,0.0865318925848351
"STRAP",76,0.0333938270808642,0.082290772339489,0.082714693008681
"RPS20",77,0.033474864216239,0.21972021954987,0.325482285739486
