"","GSE65221","GSE119717","GSE115645"
"7A5",0.125959992025268,NA,0.248510711952972
"A1BG",0.10766594465435,NA,0.149901114647399
"A1CF",0.0806261613484664,NA,0.281806778549383
"A26C3",0.11082220227683,NA,0.276318589911508
"A2BP1",0.068150089537452,NA,0.1727140402045
"A2LD1",0.282468730302294,0.02755213935828,0.283738368381231
"A2M",0.278957997680871,0.0675489031986633,0.444051371875361
"A2ML1",0.114163748352279,NA,0.371727405165177
"A3GALT2",0.0775356095042837,NA,0.332072972060794
"A4GALT",0.41481757734909,0.0563736351234927,0.558523979491546
"A4GNT",0.150493399913115,NA,0.143007765345497
"AAA1",0.0936713606784462,NA,0.151439637819282
"AAAS",0.198517469377147,0.0314588986168664,0.387523319750049
"AACS",0.728759366400279,0.0576486393187065,0.573776800996239
"AACSL",0.219722594997414,NA,0.306448112611735
"AADAC",0.839281509710648,0.0177292843257211,1.30377009715961
"AADACL1",0.276581268243494,0.0520053197366281,0.42171802299539
"AADACL2",0.102225156138202,0.0399192080462606,0.328302099015181
"AADACL3",0.116606954667664,NA,0.369602676048568
"AADACL4",0.236443622567293,0.0542073443574344,0.447644601693317
"AADAT",0.0838088604067287,0.0423915574856317,0.284227670447808
"AAGAB",0.305616420676638,0.0452964333692205,0.316201731431608
"AAK1",0.138363307555345,0.0706729579658377,0.366002572976104
"AAMP",0.173162019065856,0.0399003112737259,0.304077983877734
"AANAT",0.0974578973320595,NA,0.425919774729284
"AARS",0.235948374980887,0.0297221481097935,0.203203349769723
"AARS2",0.177994454616496,0.0398188847432177,0.199785808956518
"AARSD1",0.139037586576226,0.0390250747220579,0.188451270880704
"AASDH",0.263207318342504,0.0266245439657118,0.261653516344148
"AASDHPPT",0.220263701373571,0.039247812355644,0.343448264965347
"AASS",0.300647596735433,0.0554422109039759,0.366606759356118
"AATF",0.173803245949439,0.0367156498870279,0.357382460453237
"AATK",0.192900780707244,0.0287253470217133,0.295070720694452
"ABAT",0.0821547684800443,NA,0.290445260109972
"ABCA1",0.351408025678574,0.0773737220464711,0.41544318870497
"ABCA10",0.254032914350052,0.0275875855817199,0.307718316702451
"ABCA11",0.211110821205731,0.0290197625752292,0.499830568607546
"ABCA12",0.0834482602553844,NA,0.218653438314898
"ABCA13",0.123956447401663,NA,0.464764393466055
"ABCA2",0.232035899902418,0.0457814435622855,0.189724689347688
"ABCA3",0.338066428483526,0.0493824519626018,0.210269923634392
"ABCA4",0.123372495131252,NA,0.213666817423204
"ABCA5",0.264427463035168,0.0514431216994769,0.645152276003593
"ABCA6",0.321787582897161,0.0792509254562021,0.521233630860915
"ABCA7",0.088652369359495,0.0763748871313976,0.196717389429778
"ABCA8",0.325637556806096,0.053204819147994,0.394719162865428
"ABCA9",0.348285966197179,0.108505597161509,0.358264899140685
"ABCB1",0.249428599529986,0.0430159510156838,0.361251954177449
"ABCB10",0.191153162241948,0.0346640354530229,0.438613002242534
"ABCB11",0.223488373906552,NA,0.190620876076658
"ABCB4",0.217403467003057,NA,0.456426833021772
"ABCB5",0.105648217277762,NA,0.35674847756989
"ABCB6",0.336788855502569,0.0483602538117665,0.196898962974312
"ABCB7",0.287934422041261,0.0450039478132509,0.184079447594955
"ABCB8",0.171851623444583,NA,0.235370669221481
"ABCB9",0.290638495713925,0.0369783033968895,0.339797093708263
"ABCC1",0.151732041622187,NA,0.405482398550458
"ABCC10",0.188731104250664,0.0357565004352112,0.218921408828534
"ABCC11",0.0898922431118463,NA,0.270625180498285
"ABCC12",0.109430663662909,NA,0.381632978009329
"ABCC13",0.0862933477374439,NA,0.343097134163822
"ABCC2",0.260064766156767,0.0608549983351829,0.476948704281785
"ABCC3",0.577535133359678,0.122780416726267,0.388715056090195
"ABCC4",0.211796299224463,0.0404800575371443,0.381021149265477
"ABCC5",0.280386946782201,0.040501788901645,0.523091934292755
"ABCC6",0.25817527259756,0.0382754468935977,0.225913314270854
"ABCC6P1",0.194555992550473,NA,0.253838132174534
"ABCC6P2",0.278735947452921,0.0237070572721562,0.207205712374
"ABCC8",0.130017292417495,0.0525771239763909,0.409081680852136
"ABCC9",0.180911954586261,0.0393278687459151,0.380025507943674
"ABCD1",0.327638620630288,0.0448170569153881,0.308297573752268
"ABCD2",0.224913736720825,NA,0.209047308923784
"ABCD3",0.205681707182052,0.0372386783145369,0.483723205330072
"ABCD4",0.100139111551267,NA,0.189834887946808
"ABCE1",0.238428064179915,0.0207420824684855,0.367387935190044
"ABCF1",0.18213194365013,0.0326447508656778,0.138473217106637
"ABCF2",0.202495393343763,0.0272114239643016,0.275255965112072
"ABCF3",0.148270578984193,0.0276212528367745,0.344318848868818
"ABCG1",0.118686308556736,0.0514456304118731,0.162455437512802
"ABCG2",0.109909062107754,NA,0.336137286458044
"ABCG4",0.153705872298166,NA,0.159952118473713
"ABCG5",0.121980425434672,NA,0.50790022849856
"ABCG8",0.126415276220298,NA,0.290706651465904
"ABHD1",0.365148438151097,0.0408971598237884,0.346332400109268
"ABHD10",0.233967954555027,0.0378934009426459,0.349940572520965
"ABHD11",0.196348030933468,NA,0.316282496877663
"ABHD12",0.285222520293641,0.0385501287831489,0.400762105279256
"ABHD12B",0.127297381653413,NA,0.420860658990588
"ABHD13",0.0930061444860267,NA,0.318626427785023
"ABHD14A",0.247084427927502,0.0484433131477493,0.449826702674257
"ABHD14B",0.210040552733179,0.0513213403240873,0.41562594894429
"ABHD15",0.297129182969413,0.0645561164657726,0.322459223071211
"ABHD2",0.130319593991966,0.0276790392969264,0.229493923423377
"ABHD3",0.281186930038124,0.0488292068697039,0.37045452068126
"ABHD4",0.247119212704774,0.0399429373297112,0.39401520609272
"ABHD5",0.5468376250246,0.143712770269545,0.562408360887158
"ABHD6",0.245294798179411,0.0429137081923317,0.239166738315653
"ABHD7",0.207999027267586,0.0299575911789893,0.277592924264446
"ABHD8",0.233044861858568,0.0398388845839061,0.281259658128599
"ABHD9",0.1391033746032,NA,0.361114268778941
"ABI1",0.189953710798093,0.0435897890446046,0.281660441406405
"ABI2",0.131014301056378,0.0407897806504923,0.165503004310976
"ABI3",0.243961563632537,0.0624446343607462,0.359447427621694
"ABI3BP",0.438899024342866,0.0687064587757892,0.619821728946287
"ABL1",0.12676329814067,0.0495497852713244,0.34328810979169
"ABL2",0.197131608826766,NA,0.351354496026173
"ABLIM1",0.322028121089884,0.0583330465260414,0.461320783190097
"ABLIM2",0.269035904156133,0.0524964796909915,0.343433803043382
"ABLIM3",0.303326310313363,0.0616977667343853,0.359652321637155
"ABO",0.0877239176231566,NA,0.488428654769897
"ABP1",0.107824574364003,NA,0.312900517991388
"ABR",0.128850996896734,0.0232070410036405,0.13020904288063
"ABRA",0.0782095175403839,NA,0.522058394384286
"ABT1",0.185624077708858,0.0403203267164282,0.24349398658493
"ABTB1",0.301845302654244,0.0386079888184211,0.285107843529667
"ABTB2",0.14558969076378,NA,0.352850398964138
"ACAA1",0.196159486213474,0.0503848949200937,0.277318442036257
"ACAA2",0.239178106932988,0.0759251854665911,0.238063204546732
"ACACA",0.601840767112882,0.0823142558244588,0.524446403830582
"ACACB",0.326778963959343,0.123936905311299,0.228400623801925
"ACAD10",0.215153811521407,0.025019136647314,0.271402354757107
"ACAD11",0.430219604480682,0.0316082549462387,0.315147552999161
"ACAD8",0.17762334824108,0.0209384788106659,0.239716485908738
"ACAD9",0.234272645642939,0.035217840200975,0.181423821367077
