"","ranking","median","mean","sd"
"POLR2J4",1,0.0426714983141889,0.0971440929015745,0.109121027195512
"FTL",2,0.0470294062600295,0.114000185490064,0.12460886532366
"SCAND2",3,0.0505369654757435,0.0649005723997571,0.054476710162072
"FAM60A",4,0.0521175753687938,0.120048436994908,0.119366466604184
"NUDT2",5,0.0527087536835235,0.209325227838455,0.275420344879273
"LOC23117",6,0.0528513697300914,0.0637519203871609,0.0289187004649145
"LOC440595",7,0.0536617510503124,0.0853095812206713,0.0749449980387984
"LAMP2",8,0.0557536535636029,0.147764156965628,0.167400969424357
"PPP2R4",9,0.0566118001867497,0.0967254688140659,0.0919259320246152
"KCMF1",10,0.0568143492580041,0.117860335616581,0.137632269886252
"LOC728944",11,0.0579092203128461,0.123033743223316,0.136653495008778
"PPP2R2B",12,0.0579244421636344,0.126119200594647,0.119177186651775
"CDC25C",13,0.0579845948843764,0.107818101207445,0.11862335900147
"G3BP2",14,0.0583432028638229,0.136421771077704,0.142967300047095
"PI4KA",15,0.0589216954996089,0.149811343782543,0.181648353462922
"TAF6",16,0.0589698702849597,0.103132514536016,0.106278676595078
"PPP2R5C",17,0.0590237222528808,0.134151188320534,0.139726145975267
"LOC642995",18,0.0591941022309621,0.112183766388626,0.119647418771744
"GSTT2",19,0.0592367407485775,0.131691657776515,0.158949347863819
"LOC728440",20,0.05938485969022,0.152962225841191,0.180118913246525
"SIRT2",21,0.0594875420461679,0.105664355835831,0.0967370583039801
"OR1J1",22,0.0595016708588811,0.0862617205054582,0.0778427534530263
"LOC644353",23,0.0600724255671443,0.0949698841313062,0.0817649995207948
"SSR2",24,0.0603164270232678,0.104173039347563,0.0907110083964682
"LOC388237",25,0.060442888859365,0.0789709121770545,0.0621902387587135
"OPA3",26,0.0604539223595561,0.109188333212029,0.108852035371454
"LOC100129905",27,0.0604550414364594,0.1477267443626,0.162020042380879
"LYSMD3",28,0.0605255457343887,0.140016884711056,0.160524218193339
"HIF3A",29,0.0608811366351916,0.0911804936840998,0.0625625936330658
"GPR89C",30,0.0608964011186801,0.100221877288706,0.0890061026065688
"GRB10",31,0.061088537603315,0.160147187974663,0.189341821453436
"RGN",32,0.0612057241086484,0.100749721545921,0.0882976897829896
"TAF1B",33,0.0614274296430372,0.170490592440218,0.214281369740159
"MINA",34,0.0614904602831781,0.086814728045233,0.0861530006261381
"CTAGE5",35,0.061588952220576,0.109468198805644,0.0918053565157529
"GMPPA",36,0.0622847016126671,0.112697513111769,0.092068692721572
"PRKAG2",37,0.0625523338204896,0.105597532345456,0.099401744057354
"LOC100127922",38,0.0627027313884202,0.133676644666413,0.152254015134573
"OGFRL1",39,0.0627378842988513,0.145905838888744,0.168015954163685
"GPHN",40,0.0627607877651848,0.164203806846772,0.19525305673655
"RFK",41,0.062895065199193,0.123028669305732,0.14220918816927
"LOC653438",42,0.0630141469866008,0.117063977884804,0.101424861518457
"LOC100128060",43,0.0630182192573316,0.204245096688283,0.246182412151615
"LOC100125556",44,0.063147412506783,0.0787572367939865,0.055798090388909
"LOC100128908",45,0.0633843302293843,0.0750847066867454,0.0434223952500889
"TP53I11",46,0.0636589701045488,0.139502551639973,0.161835485229988
"PSEN1",47,0.063696098193061,0.10809119691872,0.100728079162447
"LOC652330",48,0.0637870529347083,0.110825702291505,0.102182624684045
"GPR125",49,0.0638850053815786,0.115683647763895,0.114592451209751
"LOC649553",50,0.0638902088049572,0.11634022802157,0.101659029096865
"LOC642446",51,0.0638939844231969,0.0814459974441737,0.0594140740410022
"DDX12",52,0.0639011410933486,0.0740537389186451,0.0515568258291675
"SYNGR1",53,0.0640408955496252,0.144900144488287,0.169974025537573
"OLFM4",54,0.0640487814290341,0.106897109105807,0.0789927429812909
"EHBP1",55,0.064090064794721,0.155447369083369,0.164714559548996
"LOC728060",56,0.0640997105959399,0.147910659795848,0.160225357552669
"HOXA9",57,0.064164367769104,0.17247784826877,0.195097129379051
"SRL",58,0.064412404875328,0.132262582997876,0.139282452419834
"KIAA1644",59,0.0644473093722475,0.109905600319853,0.08231345764757
"LOC729858",60,0.0646022950314595,0.0917449407275251,0.093071708940243
"LONRF2",61,0.0646479636979445,0.0860426039517301,0.0748454479237307
"RELL1",62,0.064754646306981,0.134900495042519,0.12230541240299
"TMEM67",63,0.0648008751225827,0.0771691452221422,0.0671462891690222
"LOC653162",64,0.0651613189329621,0.107890319006632,0.113625921508055
"PPP2R3A",65,0.0651895094876108,0.102924153204723,0.0761208813877055
"PIGW",66,0.0653256365122278,0.105183411745257,0.103194201717952
"DDX26B",67,0.065403735142999,0.0846699833939189,0.0557960727474704
"OCIAD2",68,0.0655189071634171,0.116784310173413,0.102811395297941
"OCIAD1",69,0.0655711781785319,0.217924252943111,0.302414482549188
"SYNE2",70,0.0656517050208371,0.102880781534193,0.0925231712274194
"KRAS",71,0.0657944240790809,0.124357731025406,0.136269297602319
"HPSE",72,0.065808256861919,0.0945763001605063,0.0765919639084206
"LAMA3",73,0.0658183965969313,0.0972189990209434,0.0867376864714859
"XRN2",74,0.0658539224022758,0.097177519132893,0.0662062978455935
"HIATL1",75,0.0659106552757731,0.0847869598573796,0.0636004512580904
"OGDH",76,0.0659988198496458,0.132787678874362,0.127688099364776
"PRMT5",77,0.0662479430066183,0.0831608341046906,0.0681909026074395
"TSPYL5",78,0.066474495695383,0.209344635344248,0.270719283262237
"LOC441155",79,0.0666060092068195,0.0812982871535502,0.0577330940886454
"KLF6",80,0.0666390146071583,0.173041570330698,0.189862448577182
"CROCC",81,0.0666480568073407,0.160975612608317,0.18425819401496
"LOC100129203",82,0.0667127732978925,0.118434233948013,0.108028871870198
"LOC100132288",83,0.0667194353384217,0.213439796992579,0.264938137171038
"GNAL",84,0.0668232477679792,0.0832865664965222,0.0648794365884091
"KIAA1737",85,0.0668384870763858,0.132642652409547,0.126701055610847
"OLFM1",86,0.0670112562736482,0.114549030256257,0.0944407797457821
"TBC1D22A",87,0.0670711060989472,0.095290676351929,0.0898739777557738
"TRPT1",88,0.0671281972685576,0.153872677397313,0.16097023679825
"HLTF",89,0.0672054361941857,0.189216318357344,0.233878925255299
"LOC728787",90,0.0672622642007203,0.0891353398965018,0.0796100335944978
