"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"25642","RNA28S5",1,0.0126552826069264,13
"24159","MT-RNR1",2,0.0129695634596749,12
"38173","LOC653162",3,0.0150255416571841,7
"27451","RPS11P5",4,0.0159181843453042,12
"25092","RN7SKP9",5,0.0162615923343605,12
"23125","CYTB",6,0.0166065903173905,12
"30722","LOC100129158",7,0.016680568471127,7
"30715","LOC100129141",8,0.0166842776860993,7
"36365","LOC647276",9,0.0169144912724118,7
"11302","LOC101928826",10,0.0172612872863434,19
"32198","LOC100133931",11,0.0175128482331857,7
"4127","COX2",12,0.017626039596872,30
"10775","LOC100508408",13,0.0177212436714317,19
"32817","LOC284393",14,0.0177529716285494,7
"24096","MIR4485",15,0.0177729078114485,13
"22897","ACTG1P1",16,0.0177748132309903,12
"17725","RP6-11O7.2",17,0.0184905043352683,17
"36778","LOC648729",18,0.0187073308824949,7
"36873","LOC649076",19,0.0187928272425962,7
"25317","RN7SL396P",20,0.0191691847726402,12
"33214","LOC389404",21,0.0192232484720897,7
"31682","LOC100132488",22,0.0193266356192156,7
"38906","LOC728533",23,0.0195194988822461,7
"27475","RPS2P7",24,0.0195820778634295,12
"27393","RPL12P1",25,0.0196656449217905,13
"13737","ND4",26,0.0196735665513665,32
"36302","LOC647099",27,0.019685603004501,7
"33179","LOC389101",28,0.019690731207117,7
"30569","LOC100128585",29,0.0197253575036091,7
"17713","RP5-882O7.1",30,0.0198081300883356,18
"13736","ND3",31,0.0198705605810084,31
"27435","RPL4P4",32,0.0202730941176987,13
"23416","HIST2H2BC",33,0.0203323588425673,13
"24212","ND5",34,0.0206515646858829,12
"27399","RPL13AP5",35,0.0208113239359165,13
"38898","LOC728517",36,0.0211382283762099,7
"23105","CSNK2A3",37,0.0212628681277905,13
"30321","KLRAQ1",38,0.0212823758057155,7
"35767","LOC645715",39,0.0212892545730995,7
"38476","LOC653881",40,0.0213051086280436,7
"28079","YBX1P10",41,0.0214014094403435,12
"31125","LOC100130550",42,0.0214106153926492,7
"25505","RN7SL674P",43,0.021518175275346,12
"33595","LOC401717",44,0.0215222115880589,7
"23134","DDX39B",45,0.0215573562861353,13
"27921","TMEM110-MUSTN1",46,0.0216792807669382,13
"28084","YWHAZP3",47,0.0216848934173786,12
"41341","ZC3H11B",48,0.0216961111894339,7
"34941","LOC643856",49,0.0217363086987909,7
"39413","LOC729903",50,0.0217806629013173,7
"33196","LOC389223",51,0.0219455801618553,7
"33683","LOC440043",52,0.0220100156665143,7
"28078","YBX1P1",53,0.0220136197227567,12
"33669","LOC439953",54,0.0221405000183316,7
"38921","LOC728576",55,0.0222263640281593,7
"33468","LOC400013",56,0.0222349388471452,7
"32806","LOC284230",57,0.0222927937766234,7
"24804","PTMAP4",58,0.0224571689039631,13
"33885","LOC441484",59,0.0224734652157595,7
"28875","C3orf75",60,0.0224823269422129,7
"34040","LOC552889",61,0.0225099607095199,7
"35197","LOC644363",62,0.0225118873141492,7
"38973","LOC728693",63,0.0226865808584819,7
"35692","LOC645515",64,0.0228108039440162,7
"26522","RNU6-1261P",65,0.0228413414378694,12
"29264","CYTSA",66,0.022895396436469,7
"27920","TMED7-TICAM2",67,0.0229166008382752,13
"40658","PPIAL4A",68,0.0229262303949895,7
"30408","LOC100127982",69,0.0229293687685244,7
"29573","FAM54B",70,0.0229858361901426,7
"30451","LOC100128115",71,0.0230483465228971,7
"38877","LOC728467",72,0.0230947759605688,7
"31949","LOC100133224",73,0.0231372535828017,7
"23070","CHMP4BP1",74,0.0231535726199252,12
"31312","LOC100131257",75,0.0231794132460256,6
"22894","ACTBP2",76,0.0232133046149353,12
"39432","LOC729960",77,0.0232251971881582,7
"23420","HIST3H2BA",78,0.0232335542071515,12
"17644","RP3-507I15.1",79,0.0232357516100317,17
"32986","LOC343184",80,0.0234479631318044,7
"33395","LOC391777",81,0.023487793900579,7
"28070","WTH3DI",82,0.0236058740875902,13
"24801","PTGES3L-AARSD1",83,0.0236765579061953,13
"29598","FAM75C1",84,0.0236985725039689,7
"24222","NELFA",85,0.0237677612649854,13
"38927","LOC728597",86,0.0237757338244849,6
"40473","NCRNA00161",87,0.0238340609499525,6
"31100","LOC100130472",88,0.0238705153290172,6
