"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"25642","RNA28S5",1,0.00908649534246313,13
"24159","MT-RNR1",2,0.0097380093642181,12
"11302","LOC101928826",3,0.011438993369877,19
"23125","CYTB",4,0.0114814812908205,12
"27451","RPS11P5",5,0.0127572728721457,12
"17713","RP5-882O7.1",6,0.0142265281165569,18
"38921","LOC728576",7,0.0144197327392818,7
"10775","LOC100508408",8,0.0146444843347587,19
"16927","RNU86",9,0.0148391526515387,24
"23070","CHMP4BP1",10,0.0149523702802922,12
"4117","COX1",11,0.015196337099607,30
"13736","ND3",12,0.015232922703996,31
"4127","COX2",13,0.0152493545813178,30
"38906","LOC728533",14,0.0153537189967451,7
"30715","LOC100129141",15,0.015369774203472,7
"32172","LOC100133876",16,0.015402710386973,7
"25092","RN7SKP9",17,0.0154351989837626,12
"36778","LOC648729",18,0.015469299666949,7
"33395","LOC391777",19,0.0156416366777164,7
"33179","LOC389101",20,0.0156512640395052,7
"17725","RP6-11O7.2",21,0.0157028470462771,17
"24212","ND5",22,0.0157597572344717,12
"30722","LOC100129158",23,0.0159395509621787,7
"35608","LOC645296",24,0.0160983590525712,7
"24096","MIR4485",25,0.0162257837863748,13
"13737","ND4",26,0.0162395194687404,32
"22894","ACTBP2",27,0.0162918418943378,12
"24198","MYL8P",28,0.0163256445132791,12
"31949","LOC100133224",29,0.0163874067944694,7
"35767","LOC645715",30,0.0163992273350759,7
"17806","RPL41",31,0.0166486527830104,48
"40651","POTEF",32,0.0168306929887881,7
"36302","LOC647099",33,0.0168603156891729,7
"22897","ACTG1P1",34,0.0168884635671054,12
"32198","LOC100133931",35,0.0171736270590992,7
"27393","RPL12P1",36,0.0174422774803484,13
"36873","LOC649076",37,0.0175278081845064,7
"27920","TMED7-TICAM2",38,0.0175897121301162,13
"28079","YBX1P10",39,0.0176008713092738,12
"30555","LOC100128533",40,0.0177449954494747,7
"33678","LOC440027",41,0.0179571565550274,7
"39432","LOC729960",42,0.018083615700584,7
"20436","TMA7",43,0.0180936652255295,31
"25317","RN7SL396P",44,0.0181300861753306,12
"31017","LOC100130178",45,0.0182566423392003,7
"27475","RPS2P7",46,0.0183974456690202,12
"30321","KLRAQ1",47,0.0184303106887679,7
"38842","LOC728368",48,0.0186654260726824,7
"41341","ZC3H11B",49,0.0187663900418193,7
"13513","MYL12B",50,0.0188495758996587,32
"29656","FLJ10661",51,0.0189859189847479,6
"28009","UBBP4",52,0.0189991400365204,12
"38173","LOC653162",53,0.0190041020254491,7
"17808","RPL6",54,0.019069605286125,48
"38898","LOC728517",55,0.0190723190979558,7
"32817","LOC284393",56,0.0191340106028098,7
"38973","LOC728693",57,0.0191647933502892,7
"31127","LOC100130553",58,0.0193135467753242,7
"33885","LOC441484",59,0.0193840356893407,7
"12928","MIR1244-3",60,0.0193858322146468,18
"31456","LOC100131737",61,0.0195964178654831,7
"23416","HIST2H2BC",62,0.0197163958794749,13
"34943","LOC643863",63,0.0197958879256026,7
"38877","LOC728467",64,0.0198101251436588,7
"24744","POTEJ",65,0.019838744420221,13
"11358","LOC101929087",66,0.0198924466014629,17
"27949","TMSB4XP2",67,0.0199919753295933,13
"33764","LOC440575",68,0.0201856321443362,7
"34941","LOC643856",69,0.0203650111118116,7
"31125","LOC100130550",70,0.0204920463522173,7
"34345","LOC642446",71,0.0205318317685949,7
"27439","RPL7AP8",72,0.0206108220786644,12
"24818","RAC1P2",73,0.0206238111522171,12
"35372","LOC644745",74,0.0206326217179933,7
"34040","LOC552889",75,0.0206572730338261,7
"35197","LOC644363",76,0.0206980574645224,7
"25505","RN7SL674P",77,0.0208935434427336,12
"34632","LOC643123",78,0.02093475141853,7
"23177","EEF1A1P11",79,0.0209898225612507,12
"33214","LOC389404",80,0.0209984830864287,7
"35692","LOC645515",81,0.0210584975689176,7
"36365","LOC647276",82,0.0210767567605895,7
"24211","ND1",83,0.0211642759212363,13
"35557","LOC645174",84,0.0211697574808493,7
"33196","LOC389223",85,0.0211745285790696,7
"28914","C5orf44",86,0.0212825839040525,7
"31682","LOC100132488",87,0.0213982665600296,7
"32806","LOC284230",88,0.0214374418130075,7
"38476","LOC653881",89,0.0214580889354885,7
"38927","LOC728597",90,0.021470792220519,6
"24747","PPIAL4G",91,0.0214887656627677,19
"27435","RPL4P4",92,0.021496355379583,13
"29348","DUB4",93,0.0216183908995854,6
"28391","C12orf51",94,0.0216192621183996,7
"26712","RNU6-283P",95,0.0216443168624536,12
"35993","LOC646316",96,0.0216493521835276,7
"25414","RN7SL526P",97,0.02178735242591,12
"32023","LOC100133478",98,0.0217969268819961,7
"28875","C3orf75",99,0.0218232396009169,7
"17611","RP13-258O15.1",100,0.0219043502228213,17
"22895","ACTBP7",101,0.0219520958464573,12
"28807","C22orf40",102,0.0219547068789661,7
"29593","FAM75A4",103,0.021990671068945,6
"28078","YBX1P1",104,0.0220082464170194,12
"36040","LOC646438",105,0.0220214442471382,6
"27406","RPL22P11",106,0.0220392604317174,13
"32986","LOC343184",107,0.0220649681611189,7
"27399","RPL13AP5",108,0.0220789586317739,13
"25137","RN7SL156P",109,0.0220796635405415,12
"39088","LOC728975",110,0.0221094247043535,7
"31963","LOC100133273",111,0.022137678360455,7
"23355","GOLGA8DP",112,0.0221910516072026,13
"32970","LOC341689",113,0.0222967183747715,6
"31086","LOC100130426",114,0.0223002207813619,6
"36240","LOC646934",115,0.0223299949800001,6
"39413","LOC729903",116,0.0223415523942676,7
"23054","CDC42P6",117,0.0223432413509695,13
"39630","LOC730964",118,0.022348871452103,6
"33251","LOC389873",119,0.0223795931558076,7
"17786","RPL3",120,0.0223867532563405,47
"33669","LOC439953",121,0.0224430469999747,7
"17799","RPL37",122,0.0224856117539285,49
"26489","RNU6-1218P",123,0.0224906100450307,12
"26522","RNU6-1261P",124,0.0225062102469892,12
"28070","WTH3DI",125,0.0225812836859423,13
"39859","MARCHF5",126,0.0226225764947895,7
"31295","LOC100131199",127,0.022644411416971,6
"33335","LOC391044",128,0.0226776633233881,7
"13013","MIR6890",129,0.0227696868246035,19
"40473","NCRNA00161",130,0.0228220859663193,6
"38746","LOC728098",131,0.0228519133906137,7
"24164","MT-TF",132,0.0228699181695688,12
"32937","LOC339970",133,0.0228826242045959,7
"29598","FAM75C1",134,0.0228905683081859,7
"27397","RPL13AP25",135,0.0229148603282499,12
"23420","HIST3H2BA",136,0.022931898456261,12
"27590","SNAP47",137,0.0229325472600977,20
"27470","RPS2P32",138,0.0229648353834497,13
"40658","PPIAL4A",139,0.0230898735092629,7
"30069","GRXCR2",140,0.0231262509020018,6
"17758","RPL12",141,0.0231461164784345,47
"30537","LOC100128469",142,0.0232117225362098,6
"33204","LOC389328",143,0.0232236869770849,6
"23430","HMGB1P10",144,0.023229596523961,12
"31864","LOC100132979",145,0.0232742511709005,6
"31046","LOC100130262",146,0.023279792807684,6
"4144","COX7A2L",147,0.0233955581377392,40
"23309","FOXD4L6",148,0.0234144583678735,19
"2110","BRK1",149,0.02342183239571,33
