"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"25642","RNA28S5",1,0.0133449387918166,13
"24159","MT-RNR1",2,0.0148460937859224,12
"11302","LOC101928826",3,0.0161605231911506,19
"23125","CYTB",4,0.0169248912978106,12
"17713","RP5-882O7.1",5,0.0199157290778426,18
"30722","LOC100129158",6,0.0200629509665303,7
"25092","RN7SKP9",7,0.0206493222410874,12
"30715","LOC100129141",8,0.0209471179542565,7
"27451","RPS11P5",9,0.0212982062559421,12
"10775","LOC100508408",10,0.0216531085616858,19
"23070","CHMP4BP1",11,0.0220772058697544,12
"38921","LOC728576",12,0.0222648622635961,7
"4127","COX2",13,0.0223782554774123,30
"16927","RNU86",14,0.0224402106398443,24
"33678","LOC440027",15,0.0225233684328737,7
"33395","LOC391777",16,0.022598871952751,7
"25505","RN7SL674P",17,0.0227168710722548,12
"36873","LOC649076",18,0.0228645582729712,7
"33179","LOC389101",19,0.0228677000434946,7
"13736","ND3",20,0.0233967391887555,31
"4117","COX1",21,0.0234300369268133,30
"36778","LOC648729",22,0.0238401140186997,7
"17725","RP6-11O7.2",23,0.0238973637150302,17
"22894","ACTBP2",24,0.0244414096165099,12
"31949","LOC100133224",25,0.0245006172819146,7
"24212","ND5",26,0.0245551708552455,12
"24198","MYL8P",27,0.0249146559749059,12
"34943","LOC643863",28,0.025043026545379,7
"35608","LOC645296",29,0.0250484406810484,7
"35767","LOC645715",30,0.0250663878873269,7
"22897","ACTG1P1",31,0.0253032709880515,12
"24096","MIR4485",32,0.0255255986203351,13
"13737","ND4",33,0.0255307360200046,32
"38898","LOC728517",34,0.0256445720172173,7
"13513","MYL12B",35,0.0257794543767911,32
"30321","KLRAQ1",36,0.0259854514349948,7
"36365","LOC647276",37,0.0260075773858071,7
"28009","UBBP4",38,0.0261345072184805,12
"38173","LOC653162",39,0.0261622258420336,7
"32817","LOC284393",40,0.0264327529817485,7
"38906","LOC728533",41,0.026471927029544,7
"40651","POTEF",42,0.0265084115486244,7
"36302","LOC647099",43,0.0266710099797614,7
"27920","TMED7-TICAM2",44,0.0268417756765376,13
"24744","POTEJ",45,0.026905841258538,13
"41341","ZC3H11B",46,0.0271160288875642,7
"30961","LOC100129979",47,0.0272046798374272,7
"33885","LOC441484",48,0.0272650627127938,7
"17806","RPL41",49,0.0273195939017485,48
"38973","LOC728693",50,0.0277961626022269,7
"27475","RPS2P7",51,0.0280270393772886,12
"31127","LOC100130553",52,0.0280391651481936,7
"38877","LOC728467",53,0.0280897813312295,7
"32172","LOC100133876",54,0.0281050514089316,7
"24211","ND1",55,0.0281854349609132,13
"25317","RN7SL396P",56,0.0283340627974348,12
"35692","LOC645515",57,0.0284679404723913,7
"5541","EEF1A1",58,0.028521379324033,49
"28807","C22orf40",59,0.0285879313397885,7
"17786","RPL3",60,0.0286205176131374,47
"23416","HIST2H2BC",61,0.0287133308651324,13
"23420","HIST3H2BA",62,0.0287246685184591,12
"27393","RPL12P1",63,0.02888437883438,13
"12928","MIR1244-3",64,0.0289469127561182,18
"34941","LOC643856",65,0.0290838997186571,7
"28079","YBX1P10",66,0.0291759918880692,12
"29656","FLJ10661",67,0.0292271342730714,6
"30555","LOC100128533",68,0.0294630581229046,7
"38842","LOC728368",69,0.029970008445629,7
"31125","LOC100130550",70,0.030271847013635,7
"29776","FLJ33630",71,0.030287467456562,7
"34040","LOC552889",72,0.0303459316800013,7
"33764","LOC440575",73,0.0303480625246729,7
"33468","LOC400013",74,0.0303519217114099,7
"17787","RPL30",75,0.0306100863537576,49
"11358","LOC101929087",76,0.0307573482372322,17
"33196","LOC389223",77,0.030775795357286,7
"34632","LOC643123",78,0.0308464302906233,7
"30903","LOC100129758",79,0.0309124010510796,7
"28875","C3orf75",80,0.0310032892527603,7
"27960","TPM3P9",81,0.0310823573620178,13
"35557","LOC645174",82,0.0311497282356684,7
"20436","TMA7",83,0.0311681945108181,31
"26712","RNU6-283P",84,0.0312359171943396,12
"35197","LOC644363",85,0.0313477680495282,7
"24818","RAC1P2",86,0.0313691311771064,12
"32023","LOC100133478",87,0.0314167220184984,7
"40658","PPIAL4A",88,0.0314319549416607,7
"23177","EEF1A1P11",89,0.0315338341593103,12
"23941","METTL16",90,0.031552310272682,13
"17611","RP13-258O15.1",91,0.0316353064197708,17
"38927","LOC728597",92,0.0316402615861592,6
"29598","FAM75C1",93,0.031869169841214,7
"17808","RPL6",94,0.0318793878243537,48
"35372","LOC644745",95,0.0320900606262218,7
"29593","FAM75A4",96,0.0321294301267329,6
"33214","LOC389404",97,0.0321366090924324,7
"24801","PTGES3L-AARSD1",98,0.0322228149961957,13
"32986","LOC343184",99,0.0322275769792035,7
"26522","RNU6-1261P",100,0.0323035176007904,12
"31456","LOC100131737",101,0.0324327243666686,7
"27906","TEN1-CDK3",102,0.0324606012212316,13
"28078","YBX1P1",103,0.032483090045625,12
"26010","RNASEK-C17orf49",104,0.0325291061705665,13
"38476","LOC653881",105,0.0325677949677406,7
"32198","LOC100133931",106,0.0326455271261516,7
"25137","RN7SL156P",107,0.032655806144975,12
"36040","LOC646438",108,0.0327680305593397,6
"34345","LOC642446",109,0.0327852794368653,7
"30797","LOC100129413",110,0.0328579953441759,6
"33669","LOC439953",111,0.0328779584960339,7
"24804","PTMAP4",112,0.0330775245257311,13
"39413","LOC729903",113,0.0332580600937454,7
"33335","LOC391044",114,0.0333682939524394,7
"24747","PPIAL4G",115,0.0334094641781782,19
"27397","RPL13AP25",116,0.0334204786016784,12
"23054","CDC42P6",117,0.0334512271612828,13
"31086","LOC100130426",118,0.0334896147360469,6
"30331","KRT18P40",119,0.0335264518536514,6
"40473","NCRNA00161",120,0.033579870017116,6
"26489","RNU6-1218P",121,0.0335846805471906,12
"23134","DDX39B",122,0.0336054260464722,13
"39244","LOC729402",123,0.0336195335088756,7
"27968","TRAJ41",124,0.0336497199291034,13
"27590","SNAP47",125,0.0336666229361277,20
"27406","RPL22P11",126,0.0337109481667576,13
"27399","RPL13AP5",127,0.0337153527703435,13
"39088","LOC728975",128,0.0337727314346296,7
"33251","LOC389873",129,0.0337898887107739,7
