"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"31626","LOC100132310",1,0.00903923821576587,3
"29790","FLJ35379",2,0.00952262470154713,3
"22897","ACTG1P1",3,0.0134376044034431,5
"30557","LOC100128542",4,0.0141642743653146,3
"31602","LOC100132235",5,0.0149531124666,3
"28266","BECN1L1",6,0.0150164993926326,3
"23070","CHMP4BP1",7,0.0153276570886365,5
"26506","RNU6-123P",8,0.0156152755425065,5
"30688","LOC100129058",9,0.0158937058657163,3
"24212","ND5",10,0.0166305314856284,5
"26827","RNU6-424P",11,0.0166359813120794,5
"28079","YBX1P10",12,0.0168621422217138,5
"30637","LOC100128870",13,0.0169418559125489,3
"31275","LOC100131124",14,0.0172658418434221,3
"27245","RNU6-929P",15,0.0176946923515433,5
"38173","LOC653162",16,0.0177228911228664,3
"28078","YBX1P1",17,0.0178304366641948,5
"29439","ERCC-00092",18,0.0178744365569943,3
"24950","RN7SKP20",19,0.0179114129912706,5
"23125","CYTB",20,0.0179165110407893,5
"27439","RPL7AP8",21,0.0180838040179279,5
"25077","RN7SKP73",22,0.0187946060297557,5
"27305","RNU6-997P",23,0.0189432479362345,5
"25330","RN7SL413P",24,0.019192502432653,5
"23431","HMGB1P14",25,0.0192013960851591,5
"26241","RNU4-73P",26,0.0197742806062978,5
"25414","RN7SL526P",27,0.0198843534986974,5
"25518","RN7SL68P",28,0.0199473908052035,5
"23183","EEF1GP8",29,0.0202881800307812,5
"24933","RN7SKP181",30,0.0203767480340403,5
"30748","LOC100129236",31,0.0204917114514889,3
"25557","RN7SL753P",32,0.0205284886449848,5
"26621","RNU6-173P",33,0.020570177663469,5
"29516","FAM123C",34,0.0206499001015081,3
"28084","YWHAZP3",35,0.0207070338447275,5
"25412","RN7SL521P",36,0.0207881381784103,5
"25860","RNA5SP379",37,0.0208600116963896,5
"25092","RN7SKP9",38,0.0208902726906079,5
"25331","RN7SL414P",39,0.0208933833709557,5
"27049","RNU6-692P",40,0.0210026716308806,5
"26732","RNU6-307P",41,0.0211315592753462,5
"26148","RNU2-40P",42,0.0213042968582063,5
"24973","RN7SKP225",43,0.0215109840548099,5
"25428","RN7SL554P",44,0.0215150325270623,5
"25591","RN7SL802P",45,0.0217146368658052,5
"24956","RN7SKP206",46,0.0217197416608196,5
"13736","ND3",47,0.0217296195202342,13
"25017","RN7SKP271",48,0.0218293004657711,5
"24199","NACA3P",49,0.0218494401898385,5
"24873","RN7SKP115",50,0.0218680560713292,5
"27138","RNU6-802P",51,0.0219424378919975,5
"26663","RNU6-225P",52,0.0219426133812556,5
"26662","RNU6-224P",53,0.0220539392715061,5
"26199","RNU4-27P",54,0.0220559639653477,5
"33721","LOC440302",55,0.0221509324154337,3
"24895","RN7SKP140",56,0.0221657948820316,5
"23316","FTH1P18",57,0.0221985418101674,5
"23340","GJA1P1",58,0.0223057014816759,5
"25208","RN7SL252P",59,0.0223235909454343,5
