"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"41211","TTC34",1,0.00816131675130611,3
"29790","FLJ35379",2,0.00840375104779851,3
"29440","ERCC-00095",3,0.00859231535136938,3
"34041","LOC553137",4,0.00982724585528947,3
"39713","LOC731787",5,0.0099445981969494,3
"29446","ERCC-00108",6,0.0105960343040842,3
"31275","LOC100131124",7,0.0107583556995116,3
"23125","CYTB",8,0.0114431653792404,5
"39379","LOC729789",9,0.0116196976890879,3
"30622","LOC100128819",10,0.0124694365582815,3
"31562","LOC100132088",11,0.0125648114213179,3
"39387","LOC729815",12,0.0125982589634635,3
"31890","LOC100133053",13,0.0127070169349712,3
"40088","MIR20B",14,0.0130008180099743,3
"38868","LOC728449",15,0.0131037905421481,3
"31819","LOC100132870",16,0.0131275834961848,3
"31133","LOC100130563",17,0.0135142273935827,3
"40192","MIR525",18,0.0136190719018221,3
"31066","LOC100130341",19,0.014152730417504,3
"33426","LOC392452",20,0.0143495539936456,3
"31602","LOC100132235",21,0.014635322705551,3
"24164","MT-TF",22,0.014774674009157,5
"31626","LOC100132310",23,0.0150394838898512,3
"29439","ERCC-00092",24,0.0150516417712875,3
"31849","LOC100132944",25,0.0156625376647342,3
"38815","LOC728290",26,0.0156791236778232,3
"38692","LOC727951",27,0.0156876206608017,3
"29427","ERCC-00073",28,0.0157402115928227,3
"40235","MIR556",29,0.0159642250274052,3
"30551","LOC100128519",30,0.0160315646471344,3
"25428","RN7SL554P",31,0.0161841557575186,5
"35208","LOC644387",32,0.0162672437265052,3
"27245","RNU6-929P",33,0.0164712417574129,5
"28744","C20orf66",34,0.0165450609079986,3
"39585","LOC730517",35,0.0167176843069449,3
"32089","LOC100133649",36,0.0170084600881603,3
"33034","LOC360030",37,0.0170655706363652,3
"11302","LOC101928826",38,0.0171306536107546,7
"40985","SNORD112",39,0.0171602627554424,3
"40065","MIR181D",40,0.0171617832897282,3
"39399","LOC729854",41,0.0174096028513028,3
"36203","LOC646851",42,0.0174216086927794,3
"38634","LOC727831",43,0.0174428591446374,3
"39018","LOC728804",44,0.0177997885448648,3
"39062","LOC728914",45,0.0178111473139639,3
"31763","LOC100132733",46,0.018059310337353,3
"30413","LOC100127989",47,0.0182021815048613,3
"39403","LOC729862",48,0.0183048373084544,3
"30894","LOC100129719",49,0.0183221181753142,3
"31573","LOC100132113",50,0.0184591074725385,3
"32883","LOC286157",51,0.0184731131417334,3
"32524","LOC121906",52,0.0186982418262316,3
"32219","LOC100133993",53,0.0188349476296929,3
"36479","LOC647597",54,0.0188523861501628,3
"40135","MIR376A2",55,0.0189171536451628,3
"32012","LOC100133446",56,0.0189525038455151,3
"38901","LOC728522",57,0.0189938145444173,3
"31143","LOC100130616",58,0.0190215645928311,3
"31024","LOC100130207",59,0.019058732855386,3
"31356","LOC100131414",60,0.0190631183289079,3
"31871","LOC100133005",61,0.0191191513182979,1
"30856","LOC100129626",62,0.0192807887697826,3
"39221","LOC729368",63,0.019420618921553,3
"13737","ND4",64,0.0194918991274081,12
"30688","LOC100129058",65,0.0195396890939726,3
"31809","LOC100132847",66,0.0197544192710361,3
"39977","MIR1180",67,0.0197549425438523,3
"33476","LOC400129",68,0.0197957682939304,3
"31395","LOC100131549",69,0.01979942609788,3
"39490","LOC730121",70,0.019996068065939,3
