"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"23125","CYTB",1,0.00741309063805315,4
"11302","LOC101928826",2,0.00898702742034064,4
"24212","ND5",3,0.00980527549530286,4
"27393","RPL12P1",4,0.0103838941330387,4
"25092","RN7SKP9",5,0.010697450012324,4
"24199","NACA3P",6,0.0113182522377554,4
"24164","MT-TF",7,0.0116333999356373,4
"24096","MIR4485",8,0.0118701459684735,4
"4117","COX1",9,0.0121540980178062,8
"25394","RN7SL4P",10,0.0121942512929873,4
"23070","CHMP4BP1",11,0.0122223314476583,4
"26858","RNU6-460P",12,0.012551091537217,4
"27112","RNU6-769P",13,0.012592098375129,4
"22895","ACTBP7",14,0.0126559764825647,4
"25505","RN7SL674P",15,0.0128391667888854,4
"26306","RNU5F-8P",16,0.0130153272591063,4
"25692","RNA5SP163",17,0.0130712382744309,4
"26193","RNU4-20P",18,0.0131128698476498,4
"22897","ACTG1P1",19,0.0131409711279174,4
"26133","RNU2-25P",20,0.0135090548455352,4
"8395","IBA57",21,0.0135365962133088,8
"27451","RPS11P5",22,0.0136119693607485,4
"27439","RPL7AP8",23,0.0136394085513436,4
"24613","OR7E106P",24,0.0136507227701478,4
"27382","RNY4P28",25,0.0137686271077524,4
"17713","RP5-882O7.1",26,0.0138013273673438,4
"25756","RNA5SP240",27,0.0138761678067207,4
"13737","ND4",28,0.0139722676467106,8
"27461","RPS18P9",29,0.014102514861359,4
"13736","ND3",30,0.0141104926736219,8
"26962","RNU6-597P",31,0.0142305221629912,4
"26835","RNU6-435P",32,0.0142640609042949,4
"27944","TMPPE",33,0.0143989742679569,4
"24744","POTEJ",34,0.0144695542379594,4
"27435","RPL4P4",35,0.0146086989055343,4
"24211","ND1",36,0.0147401045016434,4
"24222","NELFA",37,0.0148172028835705,4
"25066","RN7SKP61",38,0.0148550055837813,4
"22894","ACTBP2",39,0.0148924989136161,4
"25782","RNA5SP275",40,0.0149992221755202,4
"26140","RNU2-32P",41,0.0150823613086804,4
"26512","RNU6-1246P",42,0.0152515707625745,4
"27464","RPS20P27",43,0.0154729161150178,4
"26162","RNU2-56P",44,0.0154771422766336,4
"26131","RNU2-21P",45,0.0156085721473987,4
"24875","RN7SKP118",46,0.0156229144192174,4
"26421","RNU6-1134P",47,0.015627217892659,4
"26563","RNU6-1307P",48,0.0157540933906663,4
"26432","RNU6-1146P",49,0.015903261896314,4
"23245","FAM86JP",50,0.0159060753790276,4
"24758","PPP1R42",51,0.0159974335809775,4
"27460","RPS18P12",52,0.0160461523578888,4
"23894","LPEQ6126",53,0.0161757006310863,4
"4713","CYSTM1",54,0.0161879235192675,8
"23355","GOLGA8DP",55,0.0162783322493469,4
"23068","CHCHD2P8",56,0.0163462733284358,4
"24982","RN7SKP235",57,0.0164208979113258,4
"6148","FAM161B",58,0.0164298682064051,10
"26800","RNU6-391P",59,0.0164445852538907,4
"15462","PMS2P3",60,0.0165632052401994,8
"25455","RN7SL591P",61,0.0165651883108374,4
"26296","RNU5E-5P",62,0.0166369469968663,4
"24937","RN7SKP185",63,0.0166683318144007,4
"24782","PRR27",64,0.0167969562558096,4
"27933","TMEM236",65,0.0169010540960687,4
"23353","GOLGA6L10",66,0.0169157565768929,4
"26279","RNU5A-2P",67,0.0169969252258068,4
"23182","EEF1DP3",68,0.017031234031364,4
