"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"27054","RNU6-69P",1,0.00582968594355984,4
"27327","RNU6ATAC34P",2,0.00602126667749076,4
"26705","RNU6-275P",3,0.00631141040694895,4
"26792","RNU6-383P",4,0.00652686959465649,4
"24096","MIR4485",5,0.00711227768604893,4
"26962","RNU6-597P",6,0.00717414362611221,4
"27843","SRSF2",7,0.00763710182147638,4
"26634","RNU6-193P",8,0.00788580636298438,4
"24885","RN7SKP128",9,0.00789222969683761,4
"23125","CYTB",10,0.00789551485509448,4
"23389","HBCBP",11,0.0080249471149667,4
"25333","RN7SL416P",12,0.00834619958618868,4
"26699","RNU6-268P",13,0.00835540257758146,3
"26133","RNU2-25P",14,0.00853779420552726,4
"26306","RNU5F-8P",15,0.00880115050996002,4
"25756","RNA5SP240",16,0.00887024342377947,4
"26563","RNU6-1307P",17,0.00894990422778065,4
"27275","RNU6-963P",18,0.00897120840787308,4
"25066","RN7SKP61",19,0.00898440069172838,4
"24887","RN7SKP130",20,0.00899017481238487,4
"17713","RP5-882O7.1",21,0.00905764083660172,4
"11302","LOC101928826",22,0.0091700328773786,4
"26214","RNU4-43P",23,0.0093395196321096,4
"22897","ACTG1P1",24,0.00934943654973858,4
"27207","RNU6-884P",25,0.00938671799860193,4
"24212","ND5",26,0.00946110920251437,4
"13736","ND3",27,0.00951048704534448,8
"25692","RNA5SP163",28,0.00981795052783338,4
"21980","WRAP73",29,0.00982456215385625,8
"26837","RNU6-438P",30,0.0100645937782423,4
"27382","RNY4P28",31,0.0101693177631991,4
"25455","RN7SL591P",32,0.0102347576613078,4
"26557","RNU6-129P",33,0.0102531613964482,4
"4117","COX1",34,0.010327918149064,8
"25092","RN7SKP9",35,0.0103289044519393,4
"24199","NACA3P",36,0.0104535099981719,4
"22895","ACTBP7",37,0.0104619170126057,4
"9930","LINC00529",38,0.0105124488809484,8
"27250","RNU6-935P",39,0.0105328210573923,4
"26506","RNU6-123P",40,0.0105673488583024,4
"27944","TMPPE",41,0.0106932029653691,4
"25505","RN7SL674P",42,0.0107490197122258,4
"23722","LOC100131232",43,0.0107570787761181,4
"26210","RNU4-39P",44,0.0107716109278107,4
"26297","RNU5E-7P",45,0.0107821376323196,4
"26821","RNU6-417P",46,0.010808442638147,4
"5839","EPHX4",47,0.0109331503942692,8
"25642","RNA28S5",48,0.0111517391855695,4
"24755","PPP1R2P1",49,0.0112052266977625,4
"26835","RNU6-435P",50,0.0112055789274228,4
"27460","RPS18P12",51,0.0112865757525872,4
"26193","RNU4-20P",52,0.0114050171546262,4
"23904","LRRC37A6P",53,0.0114111139799779,4
"24779","PRR23B",54,0.0114875803924476,4
"27112","RNU6-769P",55,0.0115068383829088,4
"26023","RNU1-115P",56,0.0115267185475967,4
"23519","IGKV2OR22-4",57,0.0115523078961932,4
"23528","IGLV9-49",58,0.0115636633710219,4
"24875","RN7SKP118",59,0.0116138386313328,4
"24211","ND1",60,0.0116456093437672,4
"27240","RNU6-924P",61,0.0116472766470593,4
"26955","RNU6-588P",62,0.0116676854755637,4
"25122","RN7SL135P",63,0.0118583190502103,4
"23894","LPEQ6126",64,0.011870858044126,4
"14175","NRDE2",65,0.0118784828563989,8
"23488","IFNL3",66,0.0118920491437718,4
"23938","MEIOB",67,0.011901150610388,4
"27439","RPL7AP8",68,0.0119572013980648,4
"25242","RN7SL299P",69,0.0119586652347074,4
"24758","PPP1R42",70,0.0119768754924688,4
"27081","RNU6-72P",71,0.0119946228217229,4
"24842","RFTN1P1",72,0.0120384008896747,4
"27187","RNU6-857P",73,0.0120609572354919,4
"28078","YBX1P1",74,0.0120943253403184,4
"24164","MT-TF",75,0.0121080536767602,4
"500","ADTRP",76,0.0121171145995377,8
"27435","RPL4P4",77,0.0121301162406122,4
"8395","IBA57",78,0.0121496974285651,8
"26985","RNU6-624P",79,0.0121890451438613,4
"24858","RN7SKP101",80,0.0122074042367403,4
"26258","RNU4-90P",81,0.0122081652640358,4
"9904","LINC00476",82,0.0122393503192239,8
"25782","RNA5SP275",83,0.0122448929911429,4
"25153","RN7SL177P",84,0.0122543569384046,4
