GSEID,GPL,nSamples_adi,indicadorMT,adiGSMs,InformacionSexo,muestrasSexo,anotacionSexo,sex_tags,información_adicional
GSE115799,GPL570,49,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE120196,GPL570,14,MONOTEJIDO,ALL **REVISADO,NO,NA,NO,NA,
GSE13070,GPL570,84,MULTITEJIDO,"'GSM342612', 'GSM342613', 'GSM342618', 'GSM342619', 'GSM342624', 'GSM342625', 'GSM342630', 'GSM342631', 'GSM342636', 'GSM342637', 'GSM342640', 'GSM342641', 'GSM342646', 'GSM342647', 'GSM342652', 'GSM342657', 'GSM342658', 'GSM342663', 'GSM342664', 'GSM342669', 'GSM342670', 'GSM342675', 'GSM342676', 'GSM342681', 'GSM342682', 'GSM342687', 'GSM342688', 'GSM342693', 'GSM342694', 'GSM342699', 'GSM342700', 'GSM342705', 'GSM342710', 'GSM342711', 'GSM342716', 'GSM342721', 'GSM342722', 'GSM342727', 'GSM342728', 'GSM342733', 'GSM342734', 'GSM342739', 'GSM342740', 'GSM342745', 'GSM342746', 'GSM342751', 'GSM342752', 'GSM342757', 'GSM342758', 'GSM342763', 'GSM342764', 'GSM342769', 'GSM342770', 'GSM342775', 'GSM342776', 'GSM342781', 'GSM342782', 'GSM342787', 'GSM342788', 'GSM342793', 'GSM342794', 'GSM342799', 'GSM342800', 'GSM342805', 'GSM342806', 'GSM342811', 'GSM342812', 'GSM342817', 'GSM342818', 'GSM342823', 'GSM342824', 'GSM342829', 'GSM342830', 'GSM342835', 'GSM342840', 'GSM342841', 'GSM342846', 'GSM342847', 'GSM342852', 'GSM342853', 'GSM342858', 'GSM342859', 'GSM342864', 'GSM342865'",NO,NA,NO,NA,
GSE133346,GPL570,24,MONOTEJIDO,ALL **REVISADO,NO,NA,NO,NA,
GSE13506,GPL570,49,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE17090,GPL570,10,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE17170,GPL570,70,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE26339,GPL570,50,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE27657,GPL570,18,MONOTEJIDO,ALL,SI,AMBOS,SI,Sex: Male///Sex: Female,
GSE27916,GPL570,375,MONOTEJIDO,ALL,SI,AMBOS,SI,Sex: male///Sex: female,women (n=262) and men (n=113)
GSE27949,GPL570,33,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE28005,GPL570,38,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE3526,GPL570,10,MULTITEJIDO,"'GSM80561', 'GSM80562', 'GSM80563', 'GSM80564', 'GSM80580', 'GSM80583', 'GSM80584', 'GSM80588', 'GSM80589', 'GSM80590'",NO,NA,NO,NA,"La información del sexo de la muestra está en el resumen (summary) del estudio, no podemos identificar con certeza las muestras"
GSE39117,GPL570,54,MONOTEJIDO,"ALL **REVISADO, subserie de tejido adiposo del estudio GSE39118",NO,NA,NO,NA,
GSE41168,GPL570,70,MULTITEJIDO,"'GSM1009752', 'GSM1009753', 'GSM1009756', 'GSM1009757', 'GSM1009760', 'GSM1009761', 'GSM1009764', 'GSM1009765', 'GSM1009768', 'GSM1009769', 'GSM1009772', 'GSM1009773', 'GSM1009776', 'GSM1009777', 'GSM1009778', 'GSM1009779', 'GSM1009782', 'GSM1009783', 'GSM1009784', 'GSM1009785', 'GSM1009788', 'GSM1009789', 'GSM1009796', 'GSM1009797', 'GSM1009800', 'GSM1009801', 'GSM1009804', 'GSM1009805', 'GSM1009806', 'GSM1009807', 'GSM1009810', 'GSM1009811', 'GSM1009812', 'GSM1009813', 'GSM1009816', 'GSM1009817', 'GSM1009820', 'GSM1009821', 'GSM1009824', 'GSM1009825', 'GSM1009828', 'GSM1009829', 'GSM1009832', 'GSM1009833', 'GSM1009836', 'GSM1009837', 'GSM1009840', 'GSM1009841', 'GSM1009844', 'GSM1009845', 'GSM1009848', 'GSM1009849', 'GSM1009854', 'GSM1009855', 'GSM1009858', 'GSM1009859', 'GSM1009862', 'GSM1009863', 'GSM1009866', 'GSM1009867', 'GSM1009872', 'GSM1009873', 'GSM1009874', 'GSM1009875', 'GSM1009878', 'GSM1009879', 'GSM1009882', 'GSM1009883', 'GSM1009886', 'GSM1009887'",SI,MUJERES,SI,gender: Female,todo mujeres
GSE61302,GPL570,15,MONOTEJIDO,ALL,SI,MUJERES,SI,gender: female,todo mujeres
GSE66159,GPL570,38,MULTITEJIDO,"'GSM1615577', 'GSM1615578', 'GSM1615579', 'GSM1615580', 'GSM1615581', 'GSM1615582', 'GSM1615583', 'GSM1615584', 'GSM1615585', 'GSM1615586', 'GSM1615587', 'GSM1615588', 'GSM1615589', 'GSM1615590', 'GSM1615591', 'GSM1615592', 'GSM1615593', 'GSM1615594', 'GSM1615595', 'GSM1615596', 'GSM1615597', 'GSM1615598', 'GSM1615599', 'GSM1615600', 'GSM1615601', 'GSM1615602', 'GSM1615603', 'GSM1615604', 'GSM1615605', 'GSM1615606', 'GSM1615607', 'GSM1615608', 'GSM1615609', 'GSM1615610', 'GSM1615611', 'GSM1615612', 'GSM1615613', 'GSM1615614'",SI,MUJERES,NO,NA,todo mujeres en el estudio
GSE71416,GPL570,20,MONOTEJIDO,ALL,SI,AMBOS,SI,Sex: Male///Sex: Female,
GSE88837,GPL570,30,MONOTEJIDO,ALL,SI,MUJERES,SI,gender: Female,todo mujeres
GSE9624,GPL570,11,MONOTEJIDO,ALL,SI,AMBOS,SI,gender: M///gender: F,solo 1 muestra de mujer
GSE25401,GPL6244,56,MONOTEJIDO,ALL,SI,MUJERES,SI,genotype: female,todo mujeres en el estudio
GSE70529,GPL6244,36,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE62832,GPL6244,36,MONOTEJIDO,ALL,NO,NA,NO,NA,", indicmuestras"
GSE25910,GPL6244,36,MONOTEJIDO,ALL,SI,MUJERES,SI,gender: female,todas las muestras son de mujeres
GSE20571,GPL6244,27,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE37324,GPL6244,26,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE33070,GPL6244,26,MONOTEJIDO,ALL,SI,AMBOS,SI,gender: Male///gender: Female,
GSE73655,GPL6244,20,MONOTEJIDO,ALL,SI,AMBOS,SI,gender: Male///gender: Female,
GSE34302,GPL6244,20,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE41223,GPL6244,20,MONOTEJIDO,ALL,SI,AMBOS,SI,gender: Male///gender: Female,
GSE38792,GPL6244,18,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE54280,GPL6244,12,MONOTEJIDO,ALL,SI,AMBOS,SI,gender: male///gender: female,
GSE59325,GPL6244,10,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE73108,GPL10558,12,MONOTEJIDO,ALL,SI,MUJERES,SI,gender: female,todas las muestras son de mujeres
GSE72158,GPL10558,84,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE65221,GPL10558,136,MONOTEJIDO,ALL,SI,AMBOS,SI,gender: Male///gender: Female,
GSE58559,GPL10558,170,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE42809,GPL10558,12,MONOTEJIDO,ALL,NO,NA,NO,NA,
GSE119717,GPL10558,60,MULTITEJIDO,"'GSM3381381', 'GSM3381382', 'GSM3381383', 'GSM3381384', 'GSM3381389', 'GSM3381391', 'GSM3381397', 'GSM3381398', 'GSM3381401', 'GSM3381402', 'GSM3381404', 'GSM3381405', 'GSM3381408', 'GSM3381409', 'GSM3381410', 'GSM3381412', 'GSM3381413', 'GSM3381416', 'GSM3381419', 'GSM3381420', 'GSM3381421', 'GSM3381423', 'GSM3381425', 'GSM3381426', 'GSM3381427', 'GSM3381428', 'GSM3381429', 'GSM3381430', 'GSM3381432', 'GSM3381435', 'GSM3381438', 'GSM3381440', 'GSM3381441', 'GSM3381444', 'GSM3381447', 'GSM3381449', 'GSM3381453', 'GSM3381454', 'GSM3381460', 'GSM3381462', 'GSM3381464', 'GSM3381465', 'GSM3381469', 'GSM3381470', 'GSM3381474', 'GSM3381477', 'GSM3381479', 'GSM3381480', 'GSM3381482', 'GSM3381483', 'GSM3381487', 'GSM3381489', 'GSM3381490', 'GSM3381493', 'GSM3381495', 'GSM3381496', 'GSM3381497', 'GSM3381499', 'GSM3381504', 'GSM3381505'",SI,HOMBRES,SI,Sex: Male,todas las muestras son de hombres
GSE115645,GPL10558,24,MONOTEJIDO,ALL,SI,AMBOS,SI,Sex: male///Sex: female,
GSE43471,GPL6947,96,MONOTEJIDO,ALL,SI,MUJERES,SI,gender: female,todas las muestras son de mujeres
GSE32512,GPL6947,204,MONOTEJIDO,ALL,SI,HOMBRES,NO,NA,todas las muestras son hombres
GSE29231,GPL6947,24,MONOTEJIDO,ALL,SI,MUJERES,SI,gender: Female,todas las muestras son de mujeres
GSE29226,GPL6947,24,MONOTEJIDO,ALL,SI,MUJERES,SI,gender: Female,todas las muestras son de mujeres
