GSEID	GPL
GSE87160	GPL15207
GSE55526	GPL14550
GSE42650	GPL6480
GSE18391	GPL570
GSE19238	GPL570
GSE48772	GPL6884
GSE37660	GPL14550
GSE26626	GPL570
GSE12843	GPL570
GSE12399	GPL201
GSE133803	GPL10558
GSE122721	GPL16522
GSE12793	GPL1456
GSE112216	GPL16686
GSE63754	GPL17077
GSE42523	GPL10558
GSE46353	GPL14550
GSE20014	GPL6480
GSE18201	GPL201
GSE14982	GPL4133
GSE130393	GPL10558
GSE124226	GPL570
GSE104815	GPL21827
GSE89330	GPL16956
GSE98421	GPL570
GSE66921	GPL13607
GSE39250	GPL6480
GSE37896	GPL570
GSE30133	GPL6480
GSE61113	GPL16686
GSE56635	GPL6246
GSE56635	GPL6244
GSE18698	GPL5175
GSE95777	GPL17692
GSE59325	GPL6244
GSE36839	GPL15362
GSE17090	GPL570
GSE16415	GPL2986
GSE590	GPL96
GSE133786	GPL17586
GSE136778	GPL11532
GSE128949	GPL17692
GSE8954	GPL201
GSE9624	GPL570
GSE66084	GPL570
GSE48774	GPL6884
GSE48774	GPL10558
GSE73108	GPL10558
GSE55695	GPL10558
GSE54280	GPL6244
GSE42809	GPL10558
GSE37215	GPL96
GSE37215	GPL571
GSE20536	GPL6884
GSE19811	GPL96
GSE120196	GPL570
GSE12894	GPL1456
GSE67297	GPL11532
GSE72332	GPL20843
GSE61302	GPL570
GSE38947	GPL14550
GSE43264	GPL15362
GSE124935	GPL16686
GSE84599	GPL16699
GSE42902	GPL5175
GSE43266	GPL15362
GSE40551	GPL16022
GSE28070	GPL7020
GSE5090	GPL96
GSE123685	GPL6097
GSE108511	GPL17586
GSE42432	GPL11532
GSE27657	GPL570
GSE38792	GPL6244
GSE17053	GPL7408
GSE17053	GPL7363
GSE20033	GPL570
GSE12895	GPL1456
GSE73655	GPL6244
GSE71416	GPL570
GSE47511	GPL4133
GSE36841	GPL15362
GSE34302	GPL6244
GSE117353	GPL16791
GSE117353	GPL1261
GSE55200	GPL17692
GSE42560	GPL10558
GSE42560	GPL15802
GSE19795	GPL7408
GSE19795	GPL7363
GSE139352	GPL16699
GSE133346	GPL570
GSE115645	GPL10558
GSE87382	GPL11532
GSE29231	GPL6947
GSE29226	GPL6947
GSE32026	GPL4133
GSE17060	GPL6101
GSE17060	GPL8843
GSE37324	GPL6244
GSE33070	GPL6244
GSE35411	GPL10335
GSE17992	GPL4133
GSE20571	GPL6244
GSE28073	GPL4133
GSE15524	GPL4044
GSE12884	GPL7350
GSE102524	GPL16956
GSE88837	GPL570
GSE43322	GPL15362
GSE77532	GPL16686
GSE53376	GPL16686
GSE47513	GPL4133
GSE47513	GPL13534
GSE87761	GPL15331
GSE27949	GPL570
GSE94667	GPL16043
GSE70529	GPL6244
GSE62832	GPL6244
GSE25910	GPL6244
GSE23506	GPL6947
GSE12050	GPL7034
GSE12050	GPL7038
GSE113080	GPL23126
GSE28005	GPL570
GSE14954	GPL7020
GSE95624	GPL10332
GSE14938	GPL8217
GSE41223	GPL6244
GSE41223	GPL8786
GSE27951	GPL13273
GSE27951	GPL570
GSE115799	GPL570
GSE13506	GPL570
GSE26339	GPL570
GSE80654	GPL17586
GSE92405	GPL19109
GSE112307	GPL6947
GSE39117	GPL570
GSE25401	GPL6244
GSE103766	GPL19109
GSE113823	GPL17586
GSE113823	GPL13112
