GSEIDs,nSamples_tot,nSamples_adi,indicadorMT,adiGSMs
GSE27916,375,375,MONOTEJIDO,ALL
GSE13070,364,84,MULTITEJIDO,"'GSM342612', 'GSM342613', 'GSM342618', 'GSM342619', 'GSM342624', 'GSM342625', 'GSM342630', 'GSM342631', 'GSM342636', 'GSM342637', 'GSM342640', 'GSM342641', 'GSM342646', 'GSM342647', 'GSM342652', 'GSM342657', 'GSM342658', 'GSM342663', 'GSM342664', 'GSM342669', 'GSM342670', 'GSM342675', 'GSM342676', 'GSM342681', 'GSM342682', 'GSM342687', 'GSM342688', 'GSM342693', 'GSM342694', 'GSM342699', 'GSM342700', 'GSM342705', 'GSM342710', 'GSM342711', 'GSM342716', 'GSM342721', 'GSM342722', 'GSM342727', 'GSM342728', 'GSM342733', 'GSM342734', 'GSM342739', 'GSM342740', 'GSM342745', 'GSM342746', 'GSM342751', 'GSM342752', 'GSM342757', 'GSM342758', 'GSM342763', 'GSM342764', 'GSM342769', 'GSM342770', 'GSM342775', 'GSM342776', 'GSM342781', 'GSM342782', 'GSM342787', 'GSM342788', 'GSM342793', 'GSM342794', 'GSM342799', 'GSM342800', 'GSM342805', 'GSM342806', 'GSM342811', 'GSM342812', 'GSM342817', 'GSM342818', 'GSM342823', 'GSM342824', 'GSM342829', 'GSM342830', 'GSM342835', 'GSM342840', 'GSM342841', 'GSM342846', 'GSM342847', 'GSM342852', 'GSM342853', 'GSM342858', 'GSM342859', 'GSM342864', 'GSM342865'"
GSE17170,70,70,MONOTEJIDO,ALL
GSE41168,140,70,MULTITEJIDO,"'GSM1009752', 'GSM1009753', 'GSM1009756', 'GSM1009757', 'GSM1009760', 'GSM1009761', 'GSM1009764', 'GSM1009765', 'GSM1009768', 'GSM1009769', 'GSM1009772', 'GSM1009773', 'GSM1009776', 'GSM1009777', 'GSM1009778', 'GSM1009779', 'GSM1009782', 'GSM1009783', 'GSM1009784', 'GSM1009785', 'GSM1009788', 'GSM1009789', 'GSM1009796', 'GSM1009797', 'GSM1009800', 'GSM1009801', 'GSM1009804', 'GSM1009805', 'GSM1009806', 'GSM1009807', 'GSM1009810', 'GSM1009811', 'GSM1009812', 'GSM1009813', 'GSM1009816', 'GSM1009817', 'GSM1009820', 'GSM1009821', 'GSM1009824', 'GSM1009825', 'GSM1009828', 'GSM1009829', 'GSM1009832', 'GSM1009833', 'GSM1009836', 'GSM1009837', 'GSM1009840', 'GSM1009841', 'GSM1009844', 'GSM1009845', 'GSM1009848', 'GSM1009849', 'GSM1009854', 'GSM1009855', 'GSM1009858', 'GSM1009859', 'GSM1009862', 'GSM1009863', 'GSM1009866', 'GSM1009867', 'GSM1009872', 'GSM1009873', 'GSM1009874', 'GSM1009875', 'GSM1009878', 'GSM1009879', 'GSM1009882', 'GSM1009883', 'GSM1009886', 'GSM1009887'"
GSE39117,54,54,MONOTEJIDO,ALL **REVISADO subserie de tejido adiposo del estudio GSE39118
GSE39118,54,54,MONOTEJIDO,**REVISADO, gse multitejido y multiplataforma, para gpl570 solo muestras de tejido adiposo, caso especial, datos repetidos, Son los mismos que el GSE39118, mismas etiquetas, ID, etc
GSE26339,50,50,MONOTEJIDO,ALL
GSE115799,49,49,MONOTEJIDO,ALL
GSE13506,49,49,MONOTEJIDO,ALL
GSE28005,38,38,MONOTEJIDO,ALL
GSE66159,76,38,MULTITEJIDO,"'GSM1615577', 'GSM1615578', 'GSM1615579', 'GSM1615580', 'GSM1615581', 'GSM1615582', 'GSM1615583', 'GSM1615584', 'GSM1615585', 'GSM1615586', 'GSM1615587', 'GSM1615588', 'GSM1615589', 'GSM1615590', 'GSM1615591', 'GSM1615592', 'GSM1615593', 'GSM1615594', 'GSM1615595', 'GSM1615596', 'GSM1615597', 'GSM1615598', 'GSM1615599', 'GSM1615600', 'GSM1615601', 'GSM1615602', 'GSM1615603', 'GSM1615604', 'GSM1615605', 'GSM1615606', 'GSM1615607', 'GSM1615608', 'GSM1615609', 'GSM1615610', 'GSM1615611', 'GSM1615612', 'GSM1615613', 'GSM1615614'"
