GSE_ID,GPL_ID,nMuestras_GPL,nMuestas_adiposo,indicadorMT,ESTADO,criterio_de_exclusión
GSE140954,GPL1261,22,12,MULTITEJIDO,EXCLUIDO,2
GSE140953,GPL1261,12,12,MONOTEJIDO,INCLUIDO,-
GSE117353,GPL1261,10,10,MONOTEJIDO,EXCLUIDO,2
GSE117352,GPL1261,10,10,MONOTEJIDO,INCLUIDO,-
GSE110531,GPL1261,23,23,MONOTEJIDO,INCLUIDO,-
GSE66132,GPL1261,16,16,MONOTEJIDO,INCLUIDO,-
GSE66131,GPL1261,8,8,MONOTEJIDO,EXCLUIDO,3
GSE66130,GPL1261,8,8,MONOTEJIDO,EXCLUIDO,3
GSE106271,GPL1261,8,8,MONOTEJIDO,EXCLUIDO,3
GSE106270,GPL1261,3,3,MONOTEJIDO,EXCLUIDO,3
GSE87854,GPL1261,12,12,MONOTEJIDO,INCLUIDO,-
GSE87853,GPL1261,11,11,MONOTEJIDO,INCLUIDO,-
GSE77943,GPL1261,62,21,MULTITEJIDO,INCLUIDO,-
GSE97240,GPL1261,74,34,MULTITEJIDO,INCLUIDO,-
GSE71367,GPL1261,27,27,MONOTEJIDO,INCLUIDO,-
GSE67389,GPL1261,16,16,MONOTEJIDO,INCLUIDO,-
GSE51080,GPL1261,18,18,MONOTEJIDO,INCLUIDO,-
GSE53403,GPL1261,16,16,MONOTEJIDO,INCLUIDO,-
GSE46209,GPL1261,21,6,MULTITEJIDO,EXCLUIDO,3
GSE36492,GPL1261,2,2,MONOTEJIDO,EXCLUIDO,3
GSE30247,GPL1261,16,16,MONOTEJIDO,INCLUIDO,-
GSE39562,GPL1261,26,26,MONOTEJIDO,INCLUIDO,-
GSE31940,GPL1261,8,8,MONOTEJIDO,EXCLUIDO,3
GSE27309,GPL1261,10,10,MONOTEJIDO,INCLUIDO,-
GSE24207,GPL1261,73,3,MULTITEJIDO,EXCLUIDO,3
GSE21754,GPL1261,2,2,MONOTEJIDO,EXCLUIDO,3
GSE17923,GPL1261,6,6,MONOTEJIDO,EXCLUIDO,3
GSE7852,GPL1261,18,6,MULTITEJIDO,EXCLUIDO,3
GSE13432,GPL1261,12,12,MONOTEJIDO,INCLUIDO,-
GSE13585,GPL1261,12,6,MULTITEJIDO,EXCLUIDO,3
GSE13582,GPL1261,6,6,MONOTEJIDO,EXCLUIDO,3
GSE10246,GPL1261,182,4,MULTITEJIDO,EXCLUIDO,3
GSE9954,GPL1261,70,3,MULTITEJIDO,EXCLUIDO,3
GSE8044,GPL1261,6,6,MONOTEJIDO,EXCLUIDO,3
GSE122374,GPL6246,6,6,MONOTEJIDO,EXCLUIDO,3
GSE118575,GPL6246,2,0,MULTITEJIDO,EXCLUIDO,1
GSE80148,GPL6246,14,6,MULTITEJIDO,EXCLUIDO,3
