"","ranking","median","mean","sd"
"Adam29",1,0.0167877701700779,0.0477140231257489,0.0553901147146881
"Olfr514",2,0.0178328751623142,0.0762918759580169,0.105122480392285
"Xkr9",3,0.0185052574139829,0.0792501327175984,0.100983847941341
"OTTMUSG00000005737",4,0.0186182052358382,0.0889996091100858,0.117614426507258
"Dlgap2",5,0.0186566931036906,0.0648937537958427,0.0745010056202406
"Olfr1352",6,0.0187644412715843,0.063964990438744,0.0755744732474347
"Neurod1",7,0.0187725187433619,0.0738944050969188,0.0882429748888438
"Olfr103",8,0.0187951598535686,0.0604076538152792,0.0763423331583458
"LOC666118",9,0.0191855236521602,0.0880458529662598,0.115748462997863
"Avpr1b",10,0.019431713914586,0.0659004134744834,0.0781199250230212
"1200008A14Rik",11,0.0197503235117697,0.0617229851977931,0.0787551275207843
"Psg19",12,0.0199506406146729,0.0494769447053367,0.0572906062147367
"Sim1",13,0.0199834466505939,0.0773200243316542,0.0983818463800157
"Olfr1098",14,0.0200020660434585,0.09718539866046,0.13488496287388
"Spam1",15,0.0201940759889845,0.0603465895255424,0.0746133908093013
"4930433I11Rik",16,0.0202143917739153,0.0582772078893173,0.074147612893494
"D330037H05Rik",17,0.0202598795669446,0.0687432553827335,0.090331697726852
"Rnh2",18,0.0203513205900545,0.0558801237536287,0.072613226487091
"Ereg",19,0.020604936867464,0.0635534049725297,0.0833096208248584
"D030018L15Rik",20,0.0206392026379537,0.0967405491519292,0.128450288950248
"Evx2",21,0.0207855704640572,0.0729542689384601,0.0911307248322726
"Obp1a",22,0.020794922327904,0.095241218820392,0.139614444996824
"Lingo2",23,0.0207970302796927,0.0669348265541276,0.085014908908719
"9130411I17Rik",24,0.0209784954432762,0.117911333804342,0.1552079074544
"Pkd1l2",25,0.0209854818336779,0.0733890901947747,0.0939700670397515
"Rpgrip1",26,0.0209886465731607,0.0508457080427684,0.0552755344207475
"Olfr549",27,0.0211254105158937,0.0686287673273762,0.0812505475193812
"Olfr203",28,0.0211414699757238,0.047177083417633,0.0548177190284614
"Olfr1364",29,0.0211693462953765,0.0968918038068368,0.129909418398294
"Cdh8",30,0.0212219073814626,0.0509576124025685,0.0609285550151455
"Olfr889",31,0.0213433193650166,0.0838225285491425,0.104818851672433
"Gzmc",32,0.0214196950556216,0.105234024644669,0.144142302171597
"Cacna1c",33,0.0216537188803713,0.0482650132974431,0.0584083909967468
"Gm1961",34,0.0216704891177966,0.0475199460030317,0.0536302249680258
"Spry1",35,0.0216718368382718,0.0662483752064053,0.0864283822337558
"Cd244",36,0.0216839165646161,0.072477847374733,0.0978984973749524
"Olr1",37,0.0217276635413622,0.0700312091112806,0.085472751687049
"Hmga2",38,0.0219711554574299,0.067810908728069,0.0878432686002218
"Eif4e1b",39,0.0219755019371207,0.0512673105878732,0.0599312058084746
"Olfr1045",40,0.0220028002480693,0.089400121808436,0.11520122520302
"Hmmr",41,0.0221281654063333,0.0775303187077523,0.102013788500863
"9830137M10Rik",42,0.0221833134387141,0.07052802195594,0.0902562702616805
"9930039A11Rik",43,0.022199510598938,0.0963568611557156,0.124136641969635
"Siglece",44,0.0223544352636603,0.0605534539236882,0.0751494394954399
"Ga17",45,0.0224968678319441,0.0855499076065852,0.106356822816726
"4930481M05",46,0.0225208753222395,0.0844638875075427,0.10106107048288
"2310010P21Rik",47,0.0225689836087277,0.0757319431461686,0.102288390306562
"Cntn4",48,0.0225770770230697,0.0718532701661527,0.0886084063919995
"Olfr494",49,0.022581035016895,0.0594596179698854,0.0746601580070658
"Ckt2",50,0.0225890931343493,0.0726903085444123,0.0946155013415603
"Ptpn2",51,0.0226041526062676,0.0708012086013562,0.0843229113525481
"V1rc24",52,0.0227152868973648,0.0912902414263405,0.117100380658829
"Park2",53,0.0227759598723711,0.0495443549187033,0.0567236473524376
"Olfr1206",54,0.0228185240857925,0.0670835337351096,0.100479151699706
"Olfr1335",55,0.0228462029985584,0.0510908316365438,0.0563235966211588
"Nalp5",56,0.0228508377293178,0.0481626624001699,0.0596621952797295
"Prdm8",57,0.0228884625084949,0.0683872165330305,0.0903369617845884
"Olfr360",58,0.0228994908870797,0.0554266228279112,0.0681769570950268
"Lect1",59,0.022933525571103,0.0915027104106872,0.111058473467889
"Serpinb3d",60,0.0229417185813088,0.050840751620287,0.0649228483360385
"D930016N04Rik",61,0.0230018551120204,0.0531824563705899,0.0611462710266525
"Olfr746",62,0.0230997533322177,0.071714472426425,0.0863770223287505
"Pask",63,0.0231275144885217,0.0634732912560719,0.0807758593837676
"Mastl",64,0.0231560526669782,0.055477502563348,0.0718391409348645
"Gm93",65,0.0231635933980738,0.0892857575952736,0.11924269470239
"Spata17",66,0.0232169737983712,0.059756337712592,0.0737004802456406
"Tyr",67,0.0232170121568893,0.0869435887161717,0.109420483435213
"Cyp21a1",68,0.023223640753402,0.0671877804682896,0.0865476957155497
"Hist3h2ba",69,0.0233029497153932,0.120255618344491,0.163475089809807
"Slc24a2",70,0.0233168120327348,0.0768681159295792,0.099415866496639
"Olfr1243",71,0.0233186941777297,0.0816281625775864,0.101110192341464
"Capn8",72,0.0233364525127414,0.0574500548633666,0.0667960184542111
"Slc26a7",73,0.0233428888847464,0.0769662568915537,0.101718503653612
"5330421F07Rik",74,0.0234183783732433,0.0613456244570353,0.0732543273472187
"1700028P14Rik",75,0.0234923472500704,0.0802406910038798,0.0985781326026059
"Crisp2",76,0.0235234660573979,0.0862885732316568,0.116926829738253
"Tshb",77,0.0235381805745343,0.10265543100917,0.129945557082916
"Crygb",78,0.0235423187361408,0.0867627843452094,0.115321594787218
"Olfr961",79,0.0235980731938095,0.0594379371002991,0.0744314738994582
"6430590A10Rik",80,0.0236218877953914,0.0738653494741616,0.0971444097841316
"A530054K11Rik",81,0.0236219004663776,0.064702630352084,0.0880068430454495
"Ttk",82,0.0236220463512924,0.0965491100079022,0.1318625832312
"9330182L06Rik",83,0.0236579477215407,0.105136213680956,0.13662990335163
"Dnmt3a",84,0.0237238650851196,0.0729460868423566,0.0975683740409111
"Chek1",85,0.0237347944538556,0.0694458706398161,0.0894838419144931
"V1rd9",86,0.0237474860367706,0.0679311349785316,0.088995428590264
"Prlpm",87,0.023751004265558,0.0955084779431912,0.129721056972237
"Olfr663",88,0.0238229306155552,0.0956576264420015,0.122120516162256
"Tll2",89,0.023874841486033,0.0707506489075467,0.0864455267006575
"Zfp111",90,0.0238878900991471,0.0563173003423355,0.0645456990552565
"Hrh4",91,0.023901057823717,0.0889962533230399,0.11974477663785
"Olfr1344",92,0.0239484135353967,0.0921346782361071,0.116802633883251
