"","GSE33684","GSE113808","GSE104128","GSE97910","GSE70857","GSE62324","GSE57659","GSE39313"
"0610005K03Rik",0.0710887598113192,0.351404494382022,0.0218061108653373,0.0344794877414529,0.00710613240229183,0.264488471296983,0.0984668421091048,0.0024141630901287
"0610006F02Rik",0.0817952135847655,0.345130340333092,0.269532827438512,0.200001952428635,0.0563612617910244,0.10880007282318,0.121658057718695,0.01227560718057
"0610006I08Rik",0.057836592921331,0.362163351268699,0.178396766309159,0.276222431077775,0.0529622252366023,0.179976482422378,0.0269831609407088,0.0185667233319167
"0610006K04Rik",0.0866593765531094,0.155159705159705,0.154785134216466,0.0828245625346005,0.0245855717473985,0.145428594977807,0.0376557935514981,0.012668918918919
"0610007C21Rik",0.0651213621322294,0.199205560968235,0.173920988150414,0.185056080579556,0.0111492675788562,0.0217410071168509,0.022137321122562,0.034673144876325
"0610007H07Rik",0.098778135636654,0.0437751390039039,0.231145488265979,0.182080082083721,0.0189309237274354,0.0948731218507945,0.0181031478651565,0.0160857908847185
"0610007P06Rik",0.164617900701973,0.15247022979808,0.0930600830117581,0.199466197113561,0.0366983647540205,0.152454729565638,0.0291409084494923,0.0421629347308243
"0610007P08Rik",0.082493997432908,0.156460296096904,0.079247011176261,0.02483258596063,0.00470492914864609,0.130145501732031,0.0450515838293899,0.000401929260450081
"0610007P14Rik",0.107890460978845,0.132103077213517,0.166972447306873,0.2003072278962,0.0220395300190831,0.110823033660154,0.0337312463341756,0.0152671755725192
"0610007P22Rik",0.104891748514728,0.183428671491945,0.059747296303795,0.0549210209360218,0.0198220736421827,0.0774757013117058,0.0398898410712005,0.0205063291139242
"0610008A10Rik",0.0777770138017565,1.09075846833579,0.0536441085401334,0.0258853654054076,0.00585854081468932,0.212312333749802,NA,0.000804721030042901
"0610008C08Rik",0.0890330844030026,0.217574257425743,0.0456852896625827,0.07825366539475,0.0159684880594655,0.117620229956093,0.0654748295382932,0.000804721030042901
"0610009B10Rik",0.121949808072264,0.205924855491329,0.10876199188581,0.0271364916950436,0.0055320051348038,0.173547373165223,0.0751153530171827,0.00180965147453076
"0610009B22Rik",0.115098815091226,0.20743556807823,0.735869264608815,0.212059040209216,0.0443649774329583,0.271319852847981,0.0411853039784347,0.0342722437137331
"0610009C03Rik",0.0591804711717062,0.192207112970711,0.0241904137483583,0.0144449999969562,0.00403855644244842,0.107289455267734,0.0518145334320553,0.000804721030042901
"0610009D07Rik",0.0506755463782805,0.13668499607227,0.0297454670380366,0.0360151768044193,0.00583019785850416,0.164240644174493,0.0554576744519341,0.00130382455201921
"0610009E20Rik",0.0643942556284383,0.167248873515088,0.162861158161498,0.444295552697227,0.0518925494475788,0.128559449698825,0.0231123905602684,0.0259237187127533
"0610009F02Rik",0.0979150276905821,0.247325776323142,0.0963512475032152,0.337676733890151,0.0657779706699674,0.153622641164092,0.0348134253809602,0.0578859060402684
"0610009I22Rik",0.0963433437969101,0.142535508439687,0.349862869098212,0.511205097468501,0.140415736492333,0.0230066114760035,0.0515002782275506,0.0314388217522658
"0610009J22Rik",0.0902087277371218,0.208914974619289,0.166960894276729,0.0908361285453988,0.0120429080020423,0.128278563592418,0.0346048196301571,0.0031762837480149
"0610009K11Rik",0.276748146404129,0.240574104234528,0.545952504929917,0.395342138381517,0.0963090704640592,0.197237474688588,0.0524924701092323,0.020401554404145
"0610009M14Rik",0.0691149201639763,0.195981051344743,0.553527492982608,0.106207518596986,0.0122047742160224,0.176049492276147,0.0598905081743308,0.00753171247357299
