"","ranking","median","mean","sd"
"Cdh8",1,0.0091644622613989,0.0417796771809776,0.0619217532265277
"Psg19",2,0.0120681773191822,0.0506532132927895,0.063198234135966
"Tcl1b3",3,0.0123750959077603,0.0366389053493737,0.0394279664470441
"4930433I11Rik",4,0.0128871668838056,0.0573819467495969,0.074897393769147
"Olfr103",5,0.0131139531375095,0.0456925149268885,0.0540034219770916
"Chrnd",6,0.0133532640867792,0.0676260254768001,0.0912288050739249
"Dlx5",7,0.0136391968282956,0.0693016020842512,0.104429331260923
"B3gat2",8,0.0137235865771683,0.0706869941141351,0.104560746379042
"Olfr360",9,0.0139276184914276,0.0418886718812012,0.0494301563397524
"Tll2",10,0.0140026850419785,0.0805717856437777,0.0983680482927794
"Adra1d",11,0.0141764605485887,0.0529394688837917,0.0669930106554871
"Olr1",12,0.0141899899952787,0.0502667549248952,0.0576891602925061
"1200008A14Rik",13,0.0143962998192656,0.0613142747499053,0.0777678164181709
"Serpinb3d",14,0.0145489728168506,0.0549389526227205,0.0776371208817
"Olfr955",15,0.014953220789095,0.0831920690208093,0.106905570621866
"Obox3",16,0.015063369164403,0.0614191173217681,0.0747791496843313
"Olfr1206",17,0.0151683816195868,0.0718511346326439,0.112741755002583
"Adam29",18,0.0153804018838378,0.0396362723695853,0.045597328658757
"Olfr1280",19,0.0153954169642533,0.0548821269689578,0.0626377534328125
"4933425O20Rik",20,0.0155017946257497,0.0554677912608572,0.073563419907888
"Olfr494",21,0.0155670861973323,0.0560704854305932,0.0667393908462041
"Avpr1b",22,0.0157619882410261,0.0654688921571611,0.0759546715218356
"Dlgap2",23,0.0157718934606487,0.0580738742723784,0.0647753499317668
"D930016N04Rik",24,0.0158847592951463,0.0459939164024365,0.0499207421732627
"Olfr417",25,0.0159656424979262,0.0632115682503903,0.0869847021934081
"Olfr961",26,0.0159718617460897,0.048097804947348,0.0629564717309968
"Npas3",27,0.0159753160728857,0.0627105083169757,0.0776807489692977
"Cnbp2",28,0.0159806516391266,0.0571823469085852,0.0726383834532226
"Spam1",29,0.0162529125002456,0.0442470336346832,0.0574454031339481
"Fprl1",30,0.0162966474228579,0.082987797699887,0.106114090951977
"Sema6c",31,0.016311181770683,0.077392755918117,0.110101994787877
"2610109H07Rik",32,0.0165231464260085,0.0527592229767764,0.0661222532213516
"Evx2",33,0.0165522546242757,0.0707515481388129,0.0984067129854832
"Hapln1",34,0.0165672804481691,0.0836063963834008,0.1169983722429
"Gk2",35,0.0166386573851964,0.0698107925700993,0.10266542032876
"Nr5a1",36,0.0166579378807701,0.0713564798648911,0.0990987262974504
"Dnmt3a",37,0.016700060231036,0.0720127647850555,0.100501361894275
"Iltifb",38,0.0167504363197823,0.0666873227853095,0.0884973109326373
"Gpr37",39,0.016841668103883,0.113072202127297,0.169106893140771
"Rnh2",40,0.0168864487151915,0.0475427912295,0.0583201002737316
"4930538K18Rik",41,0.0168922951089296,0.0567849062588996,0.0678123077336227
"1200003C23Rik",42,0.0169807326648605,0.118379589021896,0.190695082601131
"Olfr1016",43,0.0169933835775053,0.0745724411463215,0.091401777580262
"Tmem74",44,0.0169969361630556,0.0514892385970727,0.067517406253258
"Tlx1",45,0.0171466619042443,0.0530263876580506,0.0677796701801716
"Spata17",46,0.017185028655273,0.0579481497185683,0.0769407815148951
"Neurod1",47,0.0172126805069973,0.0771901225320349,0.0946998527849245
"Olfr1416",48,0.0172295636217532,0.0961288338833357,0.126683221788691
"Lrrc21",49,0.0172496277399111,0.0756645820112755,0.0990460850831424
"Glmn",50,0.0172568274306969,0.0527098086666727,0.0654698739592218
"Ghsr",51,0.0172691655276845,0.0729592794445178,0.0883295845721304
"4732454E20Rik",52,0.0172839960356636,0.0724470192599212,0.092838781946797
"Olfr1462",53,0.0172843252430939,0.0768973092709824,0.0982247146564835
"1700011F14Rik",54,0.0172887906442061,0.10740070593437,0.157421566854101
"V1rc32",55,0.0173144164737782,0.0754823964106199,0.0884503944283907
"V1rd19",56,0.0173286823834764,0.0875494133280133,0.126017741712716
"Fras1",57,0.0173594607883309,0.0513510240106392,0.0605882662626038
"Olfr1242",58,0.0173670577932004,0.0882203144592051,0.135646035574301
"Myf5",59,0.0174267292684038,0.067315042553739,0.0862183931308549
"Anktm1",60,0.0174648361193539,0.101278525649389,0.14453803023493
"Ereg",61,0.0175070725403815,0.0684413860448807,0.0959681047068087
"Olfr598",62,0.0176202478405106,0.0658428702078967,0.0807854627453314
"Cnnm1",63,0.0176414313791134,0.0655508936974671,0.0782863296850233
"Zfp112",64,0.0177476814915721,0.0887840125117831,0.120636274855511
"Olfr597",65,0.0177612034892663,0.0721986167377862,0.0870419550372533
"Olfr1352",66,0.0177823620278549,0.0608426943318608,0.0693097534055924
"Xlr",67,0.0177865738063915,0.097382533068603,0.139216750200932
"D030018L15Rik",68,0.0177898735322641,0.0930482155633241,0.126415582697499
"Kb17P",69,0.017857417502549,0.0732232572592296,0.0923420105138255
"Gpr63",70,0.0178893411494833,0.108500724437886,0.150557688747282
"Cacna1c",71,0.018008387336369,0.045804131800827,0.0543289281302205
"Ptgdr",72,0.0180476177961476,0.0688189427631613,0.0850719609487616
"Olfr115",73,0.0180555834656271,0.0944356082816622,0.131869337584346
"4930470P17Rik",74,0.0180600631048772,0.0666353713024899,0.0821822494083348
"Hrh4",75,0.0181162353605619,0.0863634926918324,0.113652490014032
"Slc5a5",76,0.0181235537996487,0.0838654241454227,0.110536298527779
"Olfr1162",77,0.0181799434525294,0.0812832433675229,0.118490085551906
"9130411I17Rik",78,0.0181898313703058,0.112622249286474,0.162502344573792
"Defb7",79,0.0182659158453948,0.109880044380453,0.150468098312704
"Veph1",80,0.0183316445899388,0.0626158149673498,0.0750027948981259
"9930039A11Rik",81,0.0183430664484902,0.0815382117710696,0.11961262794046
"2010004J24Rik",82,0.0183644103155662,0.071391952804699,0.0946170881704356
"Olfr429",83,0.0183791141741434,0.0824846509404648,0.118861931177574
"Sprr4",84,0.0183857786918034,0.0430483520724861,0.0488027112652319
"Disp2",85,0.0184318821901823,0.105478810195245,0.138568302846239
"Olfr1396",86,0.0184455831598242,0.0569901366951908,0.0767366803393697
"Olfr1364",87,0.0184738500559529,0.077387059358081,0.0997161945225759
"Tead1",88,0.018513011933788,0.0893266763985815,0.129931930470376
"Plekhh2",89,0.0185605975053225,0.0833087042844426,0.104483201388325
"Olfr203",90,0.0185923013303662,0.0401622652524744,0.0497224565729675
"Tmlhe",91,0.0186057028038459,0.0678640652823334,0.100217037192503
"6230417E10Rik",92,0.0186761973542278,0.0520538319656243,0.0697190679352955
"Prdm8",93,0.0187040821049314,0.0606187779020263,0.0753989616202594
"A530054K11Rik",94,0.0187209871320447,0.0457624477245548,0.060141574553683
"Angptl3",95,0.0187333910887546,0.0553340074645755,0.0579732955761533
"LOC666118",96,0.0187745063372347,0.0687087414818515,0.090682479954017
"Crygb",97,0.0187969086532155,0.0961353882247421,0.150093537475053
"Mrgpra4",98,0.0188067398420317,0.0664063018172726,0.0880940104707954
"Ga17",99,0.0188159877363033,0.0568468322859068,0.0688266838996465
"H2-T3",100,0.0188173868448312,0.0692419986354625,0.0808596714575064
"Park2",101,0.0188270967808342,0.0382393314643215,0.0415711657683822
"Csh2",102,0.0188440630590799,0.0861337652648849,0.119769372237796
"Gm949",103,0.018864972633462,0.0809419919918442,0.106770378863139
"Olfr549",104,0.0188984791561098,0.0662408048214859,0.0871996311642634
"Olfr512",105,0.0189357871849671,0.0648122413892007,0.0853283061532828
"Tex12",106,0.0189565077231227,0.0694580041720111,0.0805979558742163
"Ksr2",107,0.0189753255661126,0.0811092193886543,0.118320936407826
"EG231903",108,0.0189849088424298,0.10629898118766,0.135754825512916
"BC011426",109,0.0189860504555027,0.0668520023293913,0.0792223555651402
"9030421J09Rik",110,0.0190363495602217,0.0603376872230387,0.0663446748909738
"Pkd1l2",111,0.0190368824579694,0.0681876212729803,0.0890931814481711
"Olfr917",112,0.0191292757312382,0.0523902173828384,0.058737439251272
"Tex15",113,0.0191460894003586,0.0744523648694521,0.0998879059443738
"4933406J04Rik",114,0.0191476529277069,0.0731482570442423,0.0959830624264509
"Pde9a",115,0.0191525054288706,0.0837781779079784,0.114817064101786
"Ifnk",116,0.019165354159525,0.0902667337110108,0.119766854755335
"5430439G14Rik",117,0.0191661698241295,0.0737078363831725,0.113670935619138
"AW209491",118,0.0191692618956969,0.0801241406494755,0.103672294195716
"Hrnr",119,0.0192308340654567,0.067189741678498,0.0888971553751931
"Tnfaip6",120,0.0192368574684864,0.0781436672913886,0.0890315554629384
"Stra8",121,0.0192775954696563,0.10273990438972,0.136724511559859
"2310010P21Rik",122,0.0192860152373978,0.0714963455292978,0.0940540021965228
"Xpo1",123,0.0192871450338972,0.0529426410042897,0.0586435874170106
"Olfr204",124,0.0193387059090073,0.0613390157595369,0.0748228012326333
"Add2",125,0.019350481353157,0.0491393987621546,0.0567945772739474
"Olfr849",126,0.0193810218796098,0.11812480168091,0.172889348387712
"Tmem16d",127,0.0193926918098575,0.0901817230724,0.120707886080675
"1700028P14Rik",128,0.0194227879548676,0.0624505727913109,0.0779680370424205
"Xkr9",129,0.0194612015659334,0.0679218034757798,0.0949874983650608
"Olfr470",130,0.0194768991470759,0.0596920100864621,0.0776686038057533
"Pcdh10",131,0.0195162059766106,0.0474663413051374,0.0602876837750568
"Il17f",132,0.0195168298886819,0.11589969981483,0.164106326148052
"Pgc",133,0.0195243562446054,0.101011942663845,0.139616816890253
"A730011L01Rik",134,0.0195465357738484,0.0446143347585509,0.0557776414074018
"LOC238331",135,0.0195683876078942,0.081585770144312,0.111513804206934
"Olfr1181",136,0.0195796979706504,0.0884398496594062,0.116618859262875
"V1re12",137,0.0195806267533031,0.0750811318370357,0.0997273960709271
"Olfr118",138,0.0196045794590135,0.0637879888315082,0.0892618328281372
"Mab21l1",139,0.0196067596738419,0.0563481582788408,0.0742316846450584
"Col25a1",140,0.0196264474561397,0.0407542914150448,0.0484141527658689
"Cyp21a1",141,0.0196455499778906,0.0573627799693742,0.0758398914389076
"Ott",142,0.0196639809325975,0.0520189662951475,0.0657183304766077
"D630039A03Rik",143,0.0196682253709872,0.0408198223957354,0.0453739486643206
"Fev",144,0.0197243426001961,0.0837032576226613,0.107275814185775
"9230102D03Rik",145,0.019744568092318,0.0737783932578466,0.0861439784214612
"Gm608",146,0.0197618017269992,0.089056542396287,0.141184720582746
"Slc2a12",147,0.0197681471988833,0.0861157024307511,0.10020603548514
"3830417A13Rik",148,0.0197734527042541,0.068832760308573,0.0906978414128502
"Mageb1",149,0.0197756187170671,0.0846608990861894,0.108194065601962
"Neurog3",150,0.0197885721109137,0.0862131925219896,0.117237754065672
"Olfr727",151,0.0198337741632607,0.104985826162802,0.146008292890744
"Kcnk7",152,0.0198632578574561,0.080337895952417,0.0995967033638224
"Dub1",153,0.0198766085989359,0.0579526151802728,0.0868114979111747
"Olfr438",154,0.0199168783758651,0.0583312767927819,0.07878495484597
"2300006N05Rik",155,0.0199250299307943,0.0604196760659371,0.070525480569325
"Otop2",156,0.0199299651350131,0.0649704366301088,0.0739312606229979
"V1ra4",157,0.0199339061901144,0.100911735987046,0.131846462320486
"Slc10a2",158,0.0199778446093831,0.0720266420973657,0.081566463411747
"Spata20",159,0.0199865454735205,0.0807092359558607,0.106724477242151
"Olfr887",160,0.0199939543608488,0.0909169999693325,0.119687261781215
"V1rc21",161,0.0200157899362309,0.0989374693261705,0.140298218458801
"Cyp2j5",162,0.0200468347124867,0.0865479245437964,0.112881506004274
"Opn1sw",163,0.0200722009704888,0.0470998207238386,0.0543057446519479
"Aurkc",164,0.0201093501543353,0.105206944891318,0.150667391916374
"Btbd7",165,0.0201238330603823,0.094658056746034,0.132286546654856
"LOC621818",166,0.0201679570511618,0.0763534586134541,0.0953905235012756
"Olfr589",167,0.020219609599883,0.102374478897867,0.157015135840608
"Olfr1052",168,0.0202267723046451,0.07887671281675,0.118585568107626
"0610012A05Rik",169,0.0202380207633109,0.051186613610961,0.0593906976566898
"Gramd2",170,0.0202676546426572,0.0714122782901511,0.0946013047336068
"D430014M15",171,0.0203270095064762,0.094155958945236,0.122900317589654
"Sim1",172,0.0203317946554217,0.0770621249883686,0.102308899225146
"Cd244",173,0.0203650163800571,0.0688401060227241,0.0913998156326119
"Zfp354c",174,0.0203727146898081,0.0751358849314768,0.0907138065492881
"Nhs",175,0.0203837840734521,0.0420585094730945,0.0407147597294503
"Gabrg1",176,0.0203967615335463,0.0891058742990279,0.122001017931319
"4930401F20Rik",177,0.0204053641013516,0.0720853856483897,0.0807166327712163
"LOC225922",178,0.0204607749394954,0.0796169321915639,0.0945753445219782
"Fbn2",179,0.0204773002057147,0.0810688036858583,0.10624322374313
"Rab6ip2",180,0.0204867742030554,0.0470948680940583,0.0613052500780421
"Dtprp",181,0.0204919851579326,0.0813679884858674,0.10179607060666
"Olfr1504",182,0.0205024479254953,0.0822575912437243,0.122262008601874
"Edg3",183,0.0205053250058251,0.0419970061813328,0.0472703798372821
"Olfr814",184,0.0205070369813221,0.0736802203654247,0.101482005317228
"V1rc33",185,0.020532126053715,0.0806911005275953,0.102602212191785
"Six4",186,0.0205538421253432,0.085476257957769,0.109990199616834
"Olfr739",187,0.0205563587334556,0.0652947536788439,0.0829030658537599
"Il9r",188,0.0205922939920873,0.0735155836101866,0.0919732024591012
"Gzme",189,0.0206224881270473,0.0736765217010088,0.0927496695795018
"Magea2",190,0.02066101898935,0.0660670855538468,0.0844839462182946
"Nut",191,0.0206710783420407,0.0844077947510933,0.112061172467739
"Taar7f",192,0.020680257000522,0.0773893834751703,0.0961388026282186
"Olfr1045",193,0.0206836247284843,0.0912211169366056,0.124680875367681
"Chl1",194,0.020689974004959,0.0437801238733893,0.0541886904323878
"4931432M23Rik",195,0.0207299381537756,0.0774272541832581,0.105294780968194
"Hdgfl1",196,0.0207347316709268,0.0645609040820793,0.0858331898919118
"4930564N15Rik",197,0.0207649846959623,0.0766979903938551,0.0913992733625974
"Krt40",198,0.0207996606647608,0.0999524406882107,0.13157560987708
"Olfr728",199,0.0208270869415432,0.0691520258763893,0.0859049264327225
"Olfr1408",200,0.0208393255085378,0.079251083930658,0.109651449425281
"Asb4",201,0.0208449907039921,0.0718744647453292,0.107028760823502
"LOC241235",202,0.0208462923990137,0.115799284474486,0.170386567927882
"Olfr1330",203,0.0208796911793551,0.062149467526664,0.0770609497198074
"Tas2r115",204,0.0209335012352138,0.09368352194635,0.126355326614936
"4930481M05",205,0.0209468692438471,0.0689960940369666,0.0904844098733819
"Crygs",206,0.020951261025957,0.0780978194658404,0.0969853420388106
"Actrt1",207,0.0209694663017448,0.0774581529829678,0.107287455340606
"Crisp2",208,0.0209807797842997,0.0705818074395316,0.0939171429040312
"Olfr178",209,0.0209838315241294,0.116334928906878,0.14882089821081
"V1re10",210,0.0209879877038923,0.0742283026245992,0.096598686224349
"Gngt1",211,0.0209911254296986,0.0675504482258307,0.0829697691649405
"Adam39",212,0.0209926296166824,0.0870276851367109,0.122181938987858
"Cbln4",213,0.0210013059648297,0.0778172617277295,0.108554870436322
"9030619P08Rik",214,0.0210248008686005,0.0491091131818326,0.0503669946037529
"Tshb",215,0.0210312017429208,0.0666823428752859,0.0873799783857736
"Olfr889",216,0.0210635269648949,0.085179759091292,0.114953356782495
"V1rg4",217,0.021082393628625,0.04966423038587,0.0579142034816906
"Shcbp1",218,0.02115525439636,0.053581217267443,0.0739268205995013
"1700128F08Rik",219,0.0211712546154942,0.0823108380031528,0.116124715150745
"Chrng",220,0.0212011279951067,0.0765195356447512,0.0917147761697166
"V1re11",221,0.0212285482137647,0.0629194723927356,0.0702793644381053
"Cyp2j6",222,0.0212555672660433,0.0919175896376934,0.127599976426033
"OTTMUSG00000005737",223,0.0212598379728123,0.0847647236694724,0.109452159429577
"Pit1",224,0.0212907896428948,0.0687410917346195,0.0923945232158024
"Olfr1130",225,0.0213002034004707,0.0769376196977715,0.10473457566476
"Fshr",226,0.0213033203022538,0.0483811034733062,0.0535353438216595
"Olfr1355",227,0.0213240200337962,0.122621152340681,0.175796389418609
"Nudt15",228,0.0213315711236895,0.0849822465191479,0.110289453393344
"Olfr736",229,0.0213325409167009,0.102251224020097,0.143211538337787
"Hs6st2",230,0.0213516387541639,0.0500605459383156,0.0625376225073296
"Olfr996",231,0.0213773486922134,0.0725486490539215,0.0961178610478113
"Sbp",232,0.0213800822699391,0.0771288878433838,0.101130835844834
"Olfr10",233,0.0213803413474638,0.105626561428053,0.155005508974278
"V2R2",234,0.0214121575314401,0.05435342257858,0.0797781466986369
"Fgf14",235,0.0214247637027653,0.0552298837020772,0.0682993188296637
"Rps6kc1",236,0.0214312371784602,0.0563238752329655,0.0633967506714968
"Otx2",237,0.0214485613970701,0.0601400023730982,0.0782052046989606
"Gm93",238,0.0214577910834787,0.0824481354046691,0.101279334780646
"AU040377",239,0.02147482450814,0.0577913839644783,0.071468603268949
"Urp",240,0.0214759374481682,0.0718968436815653,0.0956800369203648
"Olfr514",241,0.0214835005948949,0.0647229434734383,0.0818197316821757
"Mastl",242,0.0214891601511345,0.0451149891388964,0.0560383253968097
"Abca16",243,0.0215063964852972,0.0698126006265841,0.0935666491413895
"BC015286",244,0.0215126251179203,0.0912721224406107,0.1187353445039
"Plxna3",245,0.0216394752812261,0.0660904304957218,0.0810703679061893
"Prdm6",246,0.0216406783005038,0.0657185715173789,0.080353117841214
"Olfm4",247,0.0216664593478307,0.0715067014592869,0.0968096709904876
"Btn2a2",248,0.0216876969289093,0.0502287499332496,0.0527223162618857
"2610027O18Rik",249,0.0217260350127233,0.0732544871533716,0.0852970076000802
"Olfr1276",250,0.021736365435213,0.0738541302369352,0.0924632551354848
"1700021E15Rik",251,0.02178347529295,0.10307094002263,0.165089071816169
"Olfr1098",252,0.0217849776625343,0.107769903154085,0.164896167398989
"Lrp8",253,0.0217955988643194,0.0393110598144327,0.0427187273903798
"2700059L22Rik",254,0.02180910390858,0.0724462550662536,0.0888043373180026
"Isp1",255,0.0218761393672036,0.100871826515192,0.163190436654676
"9830107B12",256,0.0218861403307848,0.111551536915853,0.172379730831633
"Qk",257,0.0219104494679223,0.0594836603702836,0.0767879908126683
"EG408196",258,0.0219493386478459,0.102953966689467,0.133643505784052
"Cacng4",259,0.0219640439554532,0.0610854001930109,0.0833389063241198
"LOC380730",260,0.0219713446574109,0.0572526956950753,0.0656741375519349
"Olfr746",261,0.0219986888998263,0.0702131547033288,0.0860609233644141
"Olfr1513",262,0.0220060094588046,0.0499252223697081,0.0597965192911342
"Pkhd1",263,0.0220560351695611,0.0533045377403476,0.0655721167642452
"Ptpn2",264,0.0220567664462568,0.0592484174094586,0.0823670811217954
"C130023O10Rik",265,0.0220595613781844,0.0786880526063831,0.0955214830511108
"Olfr25",266,0.0220713820032904,0.091306058414076,0.11197789945972
"Msr1",267,0.0220773679569243,0.082168106290428,0.10831617260947
"Mrgprb1",268,0.0221151868364668,0.0754850254585856,0.0924621325162644
"Sox15",269,0.0221307983984179,0.083232900394172,0.113195603315289
"Olfr697",270,0.0221325325604061,0.090832115876906,0.137889323810122
"Zfp2",271,0.022147381111463,0.0414984492345687,0.0449932201675182
"4930550L21Rik",272,0.0221521783642007,0.0641162673060823,0.0755344936562261
"Olfr197",273,0.022159257105706,0.0687560651266254,0.0829670736090616
"CN716893",274,0.0222080833320736,0.050945674009709,0.0591903341257166
"Olfr1434",275,0.0222292703404,0.0788384491320008,0.0989933448976547
"Olfr401",276,0.022229800149028,0.102540375221895,0.153405792177804
"Runx2",277,0.0222356840311611,0.0746028954981663,0.0924945868323545
"Cxcl5",278,0.0222434246420435,0.0614943434713899,0.0814510666709664
"Sipa1l3",279,0.0222543999204534,0.0604134211173042,0.0688367520581482
"Olfr609",280,0.0222673675717262,0.114933078394628,0.161350481870844
"Obp1a",281,0.0222705709775932,0.0934891249943136,0.138382463187593
"Pou2f3",282,0.0222942312006065,0.0797481357082037,0.101976573398503
"Mageb2",283,0.0223121546056821,0.0806746771181551,0.109986229802852
"Olfr582",284,0.0223286839745549,0.0639826589256004,0.0873224101423969
"Olfr610",285,0.0223392352021636,0.06082191416765,0.0670525201024035
"5730470L24Rik",286,0.0223849274684357,0.0747522988587963,0.0924332362410066
"Musk",287,0.022391137125499,0.0618098258108194,0.0835909757201489
"E330026B02Rik",288,0.0223962353324193,0.0657616208982637,0.0892702060510644
"Olfr382",289,0.0223964012372357,0.0995895131224614,0.14265963282839
"Hormad2",290,0.0223975525031963,0.0901147820013277,0.120140902946629
"Siglece",291,0.0224001492361466,0.0585367528525181,0.0675714144513457
"6330549D23Rik",292,0.02241024234743,0.0642541382893983,0.0842782348110728
"V1rc10",293,0.0224149104788739,0.0531963319821426,0.06437875601719
"Txn1",294,0.0224425012661763,0.0405863717474238,0.0429500278800466
"Olfr948",295,0.022454971120198,0.0595593337916494,0.0936595436405913
"Olfr1465",296,0.0224574841469874,0.0655248413323553,0.0710627707916828
"Olfr1259",297,0.0224758218678976,0.0928162966587033,0.129204990365965
"Gzmc",298,0.0225042234088638,0.113867293998012,0.153070903152352
"Kctd8",299,0.0225217175064664,0.0675235914052918,0.0906088668077991
"Prss16",300,0.0225323379099255,0.0761738754673459,0.0932854632310223
"Anapc10",301,0.0225332390706156,0.0438428742787893,0.0598043081981107
"Pga5",302,0.022558225178798,0.0614293215688914,0.0694426846202512
"Il1f6",303,0.0225856324926837,0.0705893763279969,0.0821064171957565
"V1rc24",304,0.0225924108529177,0.0818046930312855,0.105131164113675
"Olfr594",305,0.0225938261052527,0.061925139032964,0.0796150692258423
"BC048355",306,0.022605672795211,0.107517075786217,0.151941621312222
"Nalp5",307,0.0226073010630244,0.0457668756462634,0.0550650614446269
"Rnasel",308,0.0226076169812196,0.0937176560575589,0.1349842214904
"Olfr1325",309,0.0226410036124652,0.0724931800249712,0.089263058472653
"Olfr564",310,0.0226464848232074,0.0680161513510009,0.0783937693653909
"Olfr1385",311,0.0226495275585894,0.0804318579609642,0.0986798518899221
"Gm597",312,0.0226529290985393,0.0817941747042531,0.103113758091019
"Cacng3",313,0.0226591524882273,0.0723376881023137,0.0964212357198011
"V1rd9",314,0.0226888909636466,0.0670165620487767,0.0869935821136052
"Tnfrsf19l",315,0.0227007776512799,0.0547378034492365,0.0746000771647514
"BC085284",316,0.0227058178424267,0.105454110504287,0.144774241168307
"F830104D24Rik",317,0.0227229691061154,0.1182218629126,0.177933878544522
"Cntnap5c",318,0.0227328554686326,0.0647150207282188,0.0692138162538029
"Bsx",319,0.0227411597427228,0.0817851954578061,0.117126426139176
"Cdh7",320,0.0227449298748825,0.0751043419733343,0.112071049545073
"Nppb",321,0.0227464808865415,0.0833537572154301,0.0958287709598522
"9930022N03Rik",322,0.0227597523747604,0.0630956129171691,0.0828595372806226
"9630042H07Rik",323,0.0227631662143315,0.11151029524641,0.164203351141889
"Dscam",324,0.0227644260387449,0.0529986928166253,0.0639105299198157
"Slc6a14",325,0.0227673081658776,0.116803749432027,0.168133353649366
"Ltbp1",326,0.0227799139307689,0.0428713624662382,0.0489400354931011
"4921530L21Rik",327,0.022785433632223,0.05705603563651,0.0853183977223161
"Tas2r140",328,0.0227996009638531,0.0916540917639759,0.121930788658554
"Prdm10",329,0.0228027054339412,0.061851494036275,0.0858124344236336
"BC004701",330,0.0228028863491221,0.0802724875567986,0.104091195071381
"Serpina5",331,0.0228094229247011,0.0461911407899873,0.059650848011628
"Nnt",332,0.0228284695519745,0.0577623563039059,0.0729921349478522
"Tieg3",333,0.0228334340825411,0.104948313436564,0.152139797920268
"2410080H04Rik",334,0.022851156388874,0.058018423555837,0.0775811396430811
"3110006P09Rik",335,0.0228529445326635,0.060428831876589,0.0632886344282088
"Olfr645",336,0.0228550808280361,0.0734302043788815,0.0984952106804512
"Sh2d1b2",337,0.0228628591016361,0.0836528645608062,0.106601215669482
"Olfr606",338,0.0228887433187162,0.0810318078586567,0.105164642093901
"Rpl37",339,0.0229396460862169,0.0695495692170344,0.0879822522936256
"AF119384",340,0.0229457947279208,0.0975676968883202,0.127591746068512
"Olfr108",341,0.0229468655797456,0.0622261670451975,0.0786608233746601
"Iqcf4",342,0.0229673862724836,0.0803623518211725,0.114786386190283
"Olfr354",343,0.0230025277395429,0.0581326678031943,0.0695020388564901
"Olfr275",344,0.0230202258493299,0.0691719330933808,0.0780126431308653
"Zfp352",345,0.0230243775073479,0.0813826143028395,0.0969765790001803
"Klk16",346,0.0230349165346917,0.110957093241494,0.142637406229619
"Atxn7l4",347,0.0230524733122838,0.0714066046418962,0.101082038149982
"5330439B14Rik",348,0.0230538418484449,0.10572118121546,0.148697777135552
"A730039N16Rik",349,0.0230806456648662,0.0799436198871033,0.0983517014275431
"Gm216",350,0.0230820717182389,0.077333775122102,0.107939512187176
"Arhgef7",351,0.0230831688457408,0.0785881581252828,0.099906946232199
"Gpr12",352,0.023109411991548,0.0639497447008202,0.0810538494083346
"Arid3c",353,0.0231447894959539,0.0755541126171379,0.106679089709679
"Serpinb1b",354,0.023160114878847,0.079395762870317,0.102166152930013
"AF529169",355,0.0231727722760355,0.0875734725606326,0.105953791551041
"9830137M10Rik",356,0.0231769650446287,0.0637060477519539,0.0839471154557909
"Ptpn4",357,0.0231774660418906,0.075389818054384,0.102644830783663
"Wnt8a",358,0.0231904694252332,0.0546582874707949,0.0640560078070021
"Slc24a2",359,0.02319896609561,0.0795237103154014,0.106812501388492
"Nefl",360,0.0232058123325183,0.0938301838611275,0.115301224670615
"Olfr1472",361,0.0232196853447147,0.0535210817949804,0.0724860633885538
"1700017B05Rik",362,0.0232667652715824,0.0912833085376112,0.13204248019128
"Pcdha10",363,0.0232753997080057,0.0861063732819814,0.107136115034663
"Tyr",364,0.023275691425606,0.0695935608238296,0.0909164592508493
"Olfr472",365,0.0232774533605852,0.0870447422168331,0.108281889894123
"Zfyve9",366,0.0232782462420684,0.060228959668105,0.0647119935965314
"Dmc1h",367,0.0233044468376754,0.0941897431635577,0.120949058676289
