"","ranking","median","mean","sd"
"Rn7sk",1,0.0055598906285571,0.00574222626544436,0.0026982201538935
"COX1",2,0.00608399240847784,0.0100904162400643,0.00757464128395475
"CYTB",3,0.00656769057581133,0.0145961169923394,0.0143474432081796
"ND4",4,0.00756785932617431,0.0113093656380571,0.00983733203279753
"ND3",5,0.0077446680860701,0.0226326836737137,0.0355192523284398
"Fam120a",6,0.0082458302893891,0.00989997963857727,0.00421432258431685
"Canx",7,0.00838232205338803,0.0180358727954858,0.0152073697287934
"COX2",8,0.00935558902194794,0.0165457856078406,0.0170009046032673
"ND1",9,0.00969660699448774,0.0153585174567969,0.0125161678311588
"Gnb1",10,0.0100112849871904,0.0127952113159405,0.00500208362459351
"ND5",11,0.010184878908693,0.0143617082409237,0.0129920187242465
"Clta",12,0.0102857997449549,0.0117417227991631,0.00339191207382052
"Tmed7",13,0.0104014852983945,0.0137715835458244,0.00630396661082165
"Uba52",14,0.0104274062522975,0.0141490518473881,0.0123303558467698
"ND4L",15,0.0105377210966292,0.0186849816466871,0.0199243569046199
"Rrp1",16,0.0107204514516465,0.0165122925683172,0.013188049501354
"Arf1",17,0.0107825013775904,0.0141818725693823,0.0096177398813091
"Ltn1",18,0.0108472216332715,0.0305863189170488,0.0396056368939488
"Tcf25",19,0.0110351800047814,0.0159865730238532,0.0108408182167112
"Ss18",20,0.0111348454308392,0.0212557571987419,0.0148515494996237
"COX3",21,0.0111436667214467,0.0142408698783122,0.0111345577298052
"Fabp4",22,0.011193859539883,0.0456107012337613,0.0821161513583467
"Rc3h2",23,0.0113364887149455,0.0193197047528977,0.0161507013796408
"ATP6",24,0.0113420663407431,0.0177172656116132,0.0135489465873477
"Arhgef11",25,0.0113834621571556,0.0220714611286893,0.0180639615740977
"Rab7",26,0.0115791190166812,0.0118914024866441,0.00190014870628198
"Trip12",27,0.0116569482655998,0.0201042688537859,0.0198262278576921
"Sec63",28,0.0116775620622775,0.012262971399148,0.00342744209877873
"Ppia",29,0.0117032360809198,0.018458188754202,0.0171956342986149
"Aup1",30,0.011714149322621,0.0130742950325992,0.00458783611691125
"Sept2",31,0.0117587522824537,0.01732591169909,0.0144451749947061
"Rnf181",32,0.0118072447972719,0.0279152796344748,0.0280141298092158
"Ralgapa1",33,0.0118156392761151,0.0232548546106461,0.0227632794267724
"Strap",34,0.0118353895722583,0.0153016074137211,0.00823851094764736
"Pbrm1",35,0.0118869569619848,0.0199662493193354,0.0130908881892228
"Naca",36,0.0119001577553135,0.0112165387136877,0.00520307707168059
"Ssr3",37,0.011926959914246,0.019515953633621,0.0193836541245142
"Rbm42",38,0.0120461988640892,0.0273344952726596,0.0246815633288953
"Txndc17",39,0.0120731948859421,0.0155764846563488,0.00693201299635136
"Ik",40,0.0121018687465591,0.0168265399861629,0.0128081611185485
"Cltc",41,0.012134421637514,0.0211717345523621,0.0181729324661602
"Uba1",42,0.0121564255203619,0.0163438230976492,0.00804421784717642
"Eif4a1",43,0.0122984780081751,0.0152411683692894,0.00978221284653199
"Edem3",44,0.0123716385386819,0.014832440255726,0.0112861596546117
"Gapvd1",45,0.0123910086848882,0.0180655240562256,0.0113880561507169
"Ranbp3",46,0.0124442256098816,0.0238324411056953,0.0169358016386748
"Dazap1",47,0.012505009380531,0.0197734674825305,0.0121298042828758
"Csnk1d",48,0.0125701644681663,0.0244167375445359,0.0240382902638154
"Nrd1",49,0.0125838813062409,0.0309812729041399,0.0429219813954332
"Mettl14",50,0.012592247708524,0.0213302057876469,0.0125163834452647
"Tax1bp1",51,0.0125960045370203,0.0225659118413222,0.0227503686306276
"Dpp8",52,0.0126057078878003,0.018954587024374,0.0112115379443058
"Mapk1",53,0.0126349749311968,0.0156582434813712,0.00691792426925206
"Sf3b1",54,0.0127232838010011,0.0210897720680128,0.013205776769677
"Ppil2",55,0.0127258314933449,0.0188814428107761,0.00920248150820691
"Rab2a",56,0.01273255943128,0.0145196901681299,0.00824659873290442
"Tram1",57,0.0127468472537487,0.0243724625926277,0.0170599275184738
"Golga5",58,0.0127618462390814,0.0162502562860708,0.00962525325443829
"Ywhae",59,0.0129885509764116,0.0176240396717907,0.00842646414494792
"Ube2j1",60,0.0129982412620859,0.0175373974257609,0.00667196809439394
"Rabgap1",61,0.0129997286774176,0.0194497527330928,0.0120066295723211
"Eif4g2",62,0.0130116580110496,0.0208006886931208,0.0191649535267976
"Vps8",63,0.0130451202373888,0.0169065992923899,0.0109426664959233
"Wdr48",64,0.0130525701954939,0.0168585785324098,0.00784458554026011
"Rsl1d1",65,0.0130917377010125,0.0174811206654589,0.0102010009410029
"Hsp90b1",66,0.013137506261667,0.0147659300690772,0.00357737218650179
"Ndfip1",67,0.0131467858776621,0.020690712565645,0.0132039720045971
"Prpf6",68,0.0131801425036722,0.0150525962370607,0.00580417313494812
"AU040320",69,0.0132160460896202,0.0223717610801144,0.0163652311990574
"Slc25a36",70,0.0132274455129573,0.0408050800662296,0.0566957423712307
"Itm2b",71,0.0132676690104836,0.0120691000210402,0.00521556572565912
"Btf3",72,0.013345087061591,0.0201881393372231,0.0131098392995312
"Chd8",73,0.0133607943437126,0.0216364209922737,0.014118846240126
"Nisch",74,0.0133886343464529,0.0264959312439241,0.0289239539613534
"Tmem59",75,0.0134069282924272,0.0176982935474616,0.00957925851176937
"Fbxw2",76,0.0135071048264849,0.0287598829416887,0.0256298917747068
"Tcf20",77,0.0135127923850827,0.0294378244369732,0.0235672724307897
"ND2",78,0.0135288375553984,0.015717907808418,0.0106171719070743
"Narfl",79,0.013533259979136,0.0180272237921563,0.0124075218804635
"1110037F02Rik",80,0.0135444430513382,0.0272538548932482,0.0270918973521004
"Actn4",81,0.0135979166023453,0.0210001666631222,0.0149255981111442
"B230219D22Rik",82,0.0136150761075217,0.018697618579961,0.0102049039021718
"Wac",83,0.0136179977962218,0.0160024416886863,0.0114768809165902
"Mon2",84,0.0136378541857953,0.0180738324511829,0.00923591893667158
"Gm20555",85,0.0136429795627162,0.0181527186691936,0.014752594842181
"Eef1d",86,0.0136551387359835,0.0284508345814288,0.0219629522985832
"Bnip2",87,0.0136833553778815,0.0269408623995348,0.0277662358007588
"Cul3",88,0.0136879340316104,0.0271836552388978,0.0303512931068962
"Psenen",89,0.0138633248016703,0.0138963816873979,0.00674924698807473
"Srsf11",90,0.0139218450523144,0.0173658007251644,0.00700563326156036
"Mark3",91,0.0139225761190579,0.0177259156235537,0.00826340485566124
"Fth1",92,0.0139288972440704,0.01369276460019,0.00574431211115701
"Fam165b",93,0.0139297907611534,0.017690866922018,0.0104029544396625
"Max",94,0.0139904703764318,0.0212505467586898,0.0143523736850461
"Ccni",95,0.0140265820150795,0.0180961826872216,0.0092461880810336
"Rpl23a",96,0.0140402628441472,0.0198221039166084,0.0109180289156883
"Actr1a",97,0.0140904023076925,0.022918526558618,0.0196232400740887
"Pgam5",98,0.0141004200321146,0.0158445604102913,0.00644500947447342
"Ryk",99,0.014116821471566,0.0274143349271751,0.0217809079650535
"Crbn",100,0.0141293957147715,0.0444776302467195,0.0663958672068602
"Vps72",101,0.0141335828026179,0.017946832722115,0.0102073834842163
"Anapc1",102,0.0141721647969052,0.0149653773092861,0.0023585322538014
"Scd1",103,0.0141765521244486,0.0737110675885195,0.138814557645177
"Ccdc130",104,0.0142418395481127,0.0208222006744329,0.0123968726974306
"Cyth2",105,0.0142522409410893,0.024441613039112,0.0184900345386982
"Rac1",106,0.0142779009984306,0.0170349708246479,0.00783672479182399
"Ccdc137",107,0.0142986999834456,0.0268555257478708,0.0189303001757111
"Eif1",108,0.0143504180605133,0.0188541301228586,0.0118201194781425
"Sbds",109,0.0143542675194468,0.0163978956943687,0.00803177729734355
"Mtdh",110,0.0143993105948116,0.0236340166822406,0.014314506505575
"Ppp2r5c",111,0.0144026775563692,0.0171023719609065,0.0113525196764454
"Ercc3",112,0.014412567465279,0.0198706485585633,0.0121643041830298
"Golga7",113,0.0144172229293982,0.0205912685663675,0.0111646547623706
"2400003C14Rik",114,0.0144205429428304,0.01880116230712,0.0104644576523366
"Lamtor3",115,0.0144377584227917,0.017598022251943,0.0108795871432713
"Chmp2a",116,0.0144453631544358,0.0162804084644146,0.0083602118762971
