"X","medianGPL1261","medianGPL6246","medianGPL6887","medianGPL6885","medianGPL16570"
"0610005C13Rik",0.100591534119911,NA,0.0179732910355711,NA,0.0290046509250683
"0610005I04",NA,NA,0.0144400581391818,NA,NA
"0610005K03Rik",NA,NA,NA,0.0586177461258058,NA
"0610006F02Rik",NA,NA,NA,0.149013500816323,NA
"0610006I08Rik",NA,NA,0.013781232850128,0.0968739544081711,NA
"0610006K04Rik",NA,NA,NA,0.120024707194448,NA
"0610006L08Rik",0.0858259121471009,NA,0.0134132925627045,NA,NA
"0610007C21Rik",NA,NA,0.0139914899694518,0.0527421269149737,0.019721688381562
"0610007H07Rik",NA,NA,NA,0.0796534796901564,NA
"0610007J10Rik",NA,NA,0.0312463986191694,NA,NA
"0610007L01Rik",NA,NA,0.0115769445122626,NA,0.0183075169454664
"0610007N19Rik",NA,NA,0.0280268798632305,NA,0.0416674080545043
"0610007P06Rik",NA,NA,NA,0.130770624723338,NA
"0610007P08Rik",NA,NA,0.0147662086446292,0.0639658134653032,0.0198201003368619
"0610007P14Rik",0.101849649286051,0.0154652236549114,0.0203428565848982,0.0937180495681568,0.0259403039196882
"0610007P22Rik",NA,NA,0.0196079272136923,0.0730249393981044,0.0216372632467003
"0610008A10Rik",NA,NA,NA,0.037434980882899,NA
"0610008C08Rik",NA,NA,0.0168152199951794,0.0689205822170708,NA
"0610008F07Rik",NA,NA,0.0193863111606778,NA,0.0234247297030592
"0610009B10Rik",NA,NA,NA,0.0840128056215575,NA
"0610009B14Rik",NA,NA,0.0164586002806626,NA,0.0211756493742606
"0610009B22Rik",0.0844460439607348,0.0219189991816354,0.0375444562586348,0.15765870569661,0.0366615830702496
"0610009C03Rik",NA,NA,NA,0.0463228092969947,NA
"0610009D07Rik",NA,NA,0.018187467834203,0.0462862853989367,0.0158115690807928
"0610009E02Rik",NA,NA,NA,NA,0.041484566323326
"0610009E20Rik",NA,NA,NA,0.109992166801187,NA
"0610009F02Rik",NA,NA,NA,0.113687805651041,NA
"0610009I22Rik",NA,NA,NA,0.100872160579438,NA
"0610009J05Rik",NA,NA,0.0388943040832711,NA,NA
"0610009J22Rik",NA,NA,NA,0.0774323001650405,NA
"0610009K11Rik",NA,NA,NA,0.235607936389829,NA
"0610009L18Rik",0.0854817563703397,0.0202381972981302,0.0424497875118268,NA,0.0319237932517566
"0610009M14Rik",NA,NA,NA,0.170874920053332,NA
"0610009O03Rik",NA,NA,NA,0.112205281066155,NA
"0610009O04Rik",NA,NA,0.0184942113466682,NA,NA
"0610009O20Rik",0.0606688814555996,0.0173505279716255,0.0321322668141458,0.100178745462344,0.0211852072273277
