"X","medianGPL1261","medianGPL6246","medianGPL6887","medianGPL6885","medianGPL16570"
"0610005C13Rik",0.0890287491570042,NA,0.018466963685151,NA,0.0288903943463415
"0610005I04",NA,NA,0.0122124931699804,NA,NA
"0610005K03Rik",NA,NA,NA,0.052784123776386,NA
"0610006F02Rik",NA,NA,NA,0.115229065270938,NA
"0610006I08Rik",NA,NA,0.0119706925612324,0.118116679615245,NA
"0610006K04Rik",NA,NA,NA,0.0847419695438549,NA
"0610006L08Rik",0.0789072531434626,NA,0.0124701421363624,NA,NA
"0610007C21Rik",NA,NA,0.0142887237811631,0.0498972535042772,0.0204759236814623
"0610007H07Rik",NA,NA,NA,0.0693241304273492,NA
"0610007J10Rik",NA,NA,0.0295792729568164,NA,NA
"0610007L01Rik",NA,NA,0.010802365535954,NA,0.0212965704605984
"0610007N19Rik",NA,NA,0.0273779857790463,NA,0.03371985816748
"0610007P06Rik",NA,NA,NA,0.122757406288698,NA
"0610007P08Rik",NA,NA,0.0174608313795998,0.0621492975028255,0.0168510197027308
"0610007P14Rik",0.0500561714773161,0.0174569648067563,0.0172057353323879,0.1093567473195,0.0244786958425467
"0610007P22Rik",NA,NA,0.0169061621539421,0.0573341586199084,0.0229064039408867
"0610008A10Rik",NA,NA,NA,0.0536441085401334,NA
"0610008C08Rik",NA,NA,0.0205021254881853,0.0718642474665216,NA
"0610008F07Rik",NA,NA,0.0175955580744422,NA,0.0257184424957639
"0610009B10Rik",NA,NA,NA,0.0919386724514963,NA
"0610009B14Rik",NA,NA,0.0154555605294772,NA,0.0200770075836608
"0610009B22Rik",0.0867069489688783,0.0236020295745962,0.0309670760371736,0.161267191584728,0.0351368189254675
"0610009C03Rik",NA,NA,NA,0.0380024735902068,NA
"0610009D07Rik",NA,NA,0.0166853388047317,0.0433453615913499,0.0137750754140099
"0610009E02Rik",NA,NA,NA,NA,0.0414312875615615
"0610009E20Rik",NA,NA,NA,0.0964768526636317,NA
"0610009F02Rik",NA,NA,NA,0.0971331375968986,NA
"0610009I22Rik",NA,NA,NA,0.118379540144622,NA
"0610009J05Rik",NA,NA,0.0335784342330079,NA,NA
"0610009J22Rik",NA,NA,NA,0.0905224281412603,NA
"0610009K11Rik",NA,NA,NA,0.218905789461558,NA
"0610009L18Rik",0.0510912949563491,0.0192182999173438,0.0444445900191611,NA,0.0266639845622519
"0610009M14Rik",NA,NA,NA,0.0876612193804812,NA
"0610009O03Rik",NA,NA,NA,0.0755966117948041,NA
"0610009O04Rik",NA,NA,0.0172947269383003,NA,NA
"0610009O20Rik",0.0637933672330116,0.0184342256328575,0.0356750131504973,0.127982061901241,0.0148327415398918
"0610010B08Rik",0.0465091189187814,NA,NA,NA,0.0177657506347863
"0610010D20Rik",NA,NA,0.03203925573483,0.0727505551782849,NA
"0610010D24Rik",NA,NA,0.0318700855326252,0.0545286938352085,NA
"0610010E21Rik",NA,NA,0.0238795233629171,0.108679744789738,NA
"0610010F05Rik",0.0710418343508511,0.025736705485813,0.0210984369405259,NA,0.0180195291835656
"0610010I05Rik",NA,NA,0.0251317504364068,NA,NA
"0610010K06Rik",NA,NA,0.0103552839080815,0.0676248638031124,NA
"0610010K14Rik",0.0624834968356963,0.0140611743432739,0.0158508474341696,0.0640512142177264,0.0217687675542664
"0610010O12Rik",NA,NA,NA,NA,0.0240137439808055
"0610011B16Rik",NA,NA,0.0172278689786114,0.060733713951072,NA
"0610011F06Rik",0.0986723645608218,0.0224691847586868,0.0233474356410166,NA,0.0198821796759942
"0610011I19Rik",NA,NA,0.0170964890305238,NA,NA
"0610011L14Rik",NA,NA,0.0168860099755282,0.0453224008358216,0.0198321558252076
"0610011N22Rik",NA,NA,NA,0.0562612580222931,NA
"0610012A05Rik",NA,NA,0.0220391497990202,0.0202380207633109,NA
"0610012A11Rik",NA,NA,NA,0.0692542888836419,NA
"0610012C01Rik",NA,NA,NA,0.0721756340969855,NA
"0610012D14Rik",NA,NA,0.0125207201283383,0.0462664397790477,NA
"0610012D17Rik",NA,NA,NA,0.102496484609633,NA
"0610012G03Rik",0.0740807594537626,0.0293057203505842,0.0241926527563263,0.100165215367721,0.0452373577358089
"0610012H03Rik",NA,NA,0.0141316193546417,0.0415325001865477,0.0286160003230024
"0610012K18Rik",NA,NA,NA,0.0304760249588808,NA
"0610013E23Rik",NA,NA,0.0201326956577476,0.0819562680440989,NA
"0610025G21Rik",NA,NA,0.0160903829776461,NA,NA
"0610025J13Rik",0.106734201849312,0.0232398979315245,0.0119543168889739,NA,NA
"0610025L06Rik",NA,NA,NA,0.0671898530068651,NA
"0610025O11Rik",NA,NA,NA,0.0432559268864933,NA
"0610025P10Rik",NA,NA,0.0161732709549762,0.0686157536327736,NA
"0610027B03Rik",NA,NA,NA,0.0517943305519976,NA
"0610027O18Rik",NA,NA,NA,0.0937598349139737,NA
"0610030E20Rik",0.0344682827150967,0.0151094728035092,0.0314214829466453,NA,0.0137011523380423
"0610030G03Rik",NA,NA,0.0206589340286728,NA,NA
"0610030H11Rik",NA,NA,NA,0.0693987662315133,NA
"0610030P10Rik",NA,NA,0.015587432550302,NA,NA
"0610031G08Rik",NA,NA,0.0376851772954266,NA,NA
"0610031J06Rik",0.0711556651912973,0.0148600361268789,0.0158338752528221,0.117248146044204,0.0237704235969026
"0610031O16Rik",NA,NA,NA,NA,0.0307295683159317
"0610033E06Rik",NA,NA,NA,0.0420028269288642,NA
"0610033H09Rik",NA,NA,NA,0.062514026598907,NA
"0610033M06Rik",NA,NA,0.0201203198069833,NA,NA
"0610033M10Rik",0.0730446227124591,NA,NA,NA,NA
