"X","medianGPL1261","medianGPL6246","medianGPL6887","medianGPL6885","medianGPL16570"
"0610005C13Rik",0.135739611241469,NA,0.024718591587546,NA,0.0434902706012598
"0610005I04",NA,NA,0.0208631400666037,NA,NA
"0610005K03Rik",NA,NA,NA,0.0789300464058509,NA
"0610006F02Rik",NA,NA,NA,0.155036038275193,NA
"0610006I08Rik",NA,NA,0.0171424323896997,0.166776608062116,NA
"0610006K04Rik",NA,NA,NA,0.125204457831663,NA
"0610006L08Rik",0.0845198575246707,NA,0.0192179901111114,NA,NA
"0610007C21Rik",NA,NA,0.0233367018843859,0.0673085988884951,0.0253689322785339
"0610007H07Rik",NA,NA,NA,0.0834114492087897,NA
"0610007J10Rik",NA,NA,0.0414572284214375,NA,NA
"0610007L01Rik",NA,NA,0.0161077494824571,NA,0.0293931560577617
"0610007N19Rik",NA,NA,0.0502383336846132,NA,0.0581686840677256
"0610007P06Rik",NA,NA,NA,0.178374601127606,NA
"0610007P08Rik",NA,NA,0.0259244153242181,0.0826418279694281,0.0245668818665744
"0610007P14Rik",0.0727469122825005,0.0218862720608342,0.0261457501446078,0.157322509504071,0.0430543543219988
"0610007P22Rik",NA,NA,0.0278540361670662,0.0834746871135705,0.0303186587586204
"0610008A10Rik",NA,NA,NA,0.0804688388158517,NA
"0610008C08Rik",NA,NA,0.0321765599126927,0.0952770297946384,NA
"0610008F07Rik",NA,NA,0.022645335215514,NA,0.0286101094981062
"0610009B10Rik",NA,NA,NA,0.130561304429623,NA
"0610009B14Rik",NA,NA,0.0252122514129468,NA,0.0343801328440731
"0610009B22Rik",0.146793009267912,0.0344620311095446,0.0414518184912898,0.228307775966622,0.0588382426554677
"0610009C03Rik",NA,NA,NA,0.0567789170488933,NA
"0610009D07Rik",NA,NA,0.0295574188304882,0.0594127634080122,0.0253141977263154
"0610009E02Rik",NA,NA,NA,NA,0.062830515080207
"0610009E20Rik",NA,NA,NA,0.149677369296754,NA
"0610009F02Rik",NA,NA,NA,0.162681543567736,NA
"0610009I22Rik",NA,NA,NA,0.163199600258271,NA
"0610009J05Rik",NA,NA,0.047231983396828,NA,NA
"0610009J22Rik",NA,NA,NA,0.0861480310302107,NA
"0610009K11Rik",NA,NA,NA,0.268683746019435,NA
"0610009L18Rik",0.0915174149152447,0.0298450253144695,0.0773168137726974,NA,0.0471722881992941
"0610009M14Rik",NA,NA,NA,0.156835620162015,NA
"0610009O03Rik",NA,NA,NA,0.135227431512204,NA
"0610009O04Rik",NA,NA,0.028784220658354,NA,NA
"0610009O20Rik",0.0890469375762453,0.0295472849776025,0.0538874940464501,0.19464459674711,0.0219220548825646
"0610010B08Rik",0.0852714781505333,NA,NA,NA,0.0262066572444444
"0610010D20Rik",NA,NA,0.0397883419065711,0.108624960313041,NA
"0610010D24Rik",NA,NA,0.0459484200147876,0.0877810669902014,NA
"0610010E21Rik",NA,NA,0.0360395083029812,0.175438373302441,NA
"0610010F05Rik",0.110651048903658,0.0410622210453494,0.0363113111354101,NA,0.0312977377642042
"0610010I05Rik",NA,NA,0.0370214219159375,NA,NA
"0610010K06Rik",NA,NA,0.0179359625167069,0.10629939481629,NA
"0610010K14Rik",0.0886048193693156,0.0188736776396343,0.0289724787232672,0.0983193227778711,0.0351333577296549
"0610010O12Rik",NA,NA,NA,NA,0.0344881704120042
"0610011B16Rik",NA,NA,0.0247858492616739,0.093757250293713,NA
"0610011F06Rik",0.130927904153263,0.0360081428482601,0.0382690594024512,NA,0.0307540150515467
"0610011I19Rik",NA,NA,0.0291712362096313,NA,NA
"0610011L14Rik",NA,NA,0.0238142586171964,0.0669157057251798,0.0278680909247337
"0610011N22Rik",NA,NA,NA,0.0967190600074524,NA
"0610012A05Rik",NA,NA,0.0306263351214494,0.0261629077278094,NA
"0610012A11Rik",NA,NA,NA,0.0995129304112113,NA
"0610012C01Rik",NA,NA,NA,0.117528503781808,NA
"0610012D14Rik",NA,NA,0.0187119398830122,0.0689431382813906,NA
"0610012D17Rik",NA,NA,NA,0.155265060562713,NA
"0610012G03Rik",0.117916386180263,0.0428077165997362,0.035909916598166,0.150392383257524,0.0601332735348902
"0610012H03Rik",NA,NA,0.0208240597413053,0.0591394031350183,0.0387561791596498
"0610012K18Rik",NA,NA,NA,0.0635385774273102,NA
"0610013E23Rik",NA,NA,0.0312631608195279,0.118248940803318,NA
"0610025G21Rik",NA,NA,0.0271444319279789,NA,NA
"0610025J13Rik",0.141486307376239,0.028379844864343,0.0192273611573698,NA,NA
"0610025L06Rik",NA,NA,NA,0.105009673116024,NA
"0610025O11Rik",NA,NA,NA,0.0714765660022352,NA
"0610025P10Rik",NA,NA,0.0242630779949221,0.11893446865832,NA
"0610027B03Rik",NA,NA,NA,0.0791875939909068,NA
"0610027O18Rik",NA,NA,NA,0.15587634634852,NA
"0610030E20Rik",0.0574050365877582,0.0217927051435179,0.0436519207737836,NA,0.0220885485772012
"0610030G03Rik",NA,NA,0.031360431442828,NA,NA
"0610030H11Rik",NA,NA,NA,0.105025472053204,NA
"0610030P10Rik",NA,NA,0.0270931378460836,NA,NA
"0610031G08Rik",NA,NA,0.0562291955224127,NA,NA
"0610031J06Rik",0.108458174049588,0.0194309684429914,0.0252471674085718,0.170406478699425,0.0363510593877179
"0610031O16Rik",NA,NA,NA,NA,0.0448033366152796
"0610033E06Rik",NA,NA,NA,0.0701042926032118,NA
"0610033H09Rik",NA,NA,NA,0.108291771403021,NA
"0610033M06Rik",NA,NA,0.0291055666419962,NA,NA
"0610033M10Rik",0.132800893747806,NA,NA,NA,NA
"0610034P02Rik",NA,NA,NA,0.110533278132356,NA
"0610035N01Rik",NA,NA,0.0265805464565179,NA,NA
"0610037B23Rik",NA,NA,0.0288578356619241,NA,NA
"0610037D15Rik",NA,NA,0.0348769038416214,0.0972275835125373,NA
"0610037H22Rik",NA,NA,NA,0.0993900536009493,NA
"0610037L13Rik",0.0827808350146513,0.0218703829479548,0.0302267103333884,0.114246640926204,0.0230858632094635
"0610037M15Rik",NA,NA,0.0560342426389876,NA,NA
"0610037P05Rik",NA,NA,0.0180623180194368,0.0463385948701343,0.0359660645213021
"0610038B21Rik",0.0828486948590832,0.0368019470791889,0.0192639881830191,NA,0.0502105599735824
"0610038D11Rik",NA,NA,0.0242697941611554,NA,NA
"0610038F07Rik",NA,NA,0.0331016755010716,0.157808793654222,NA
"0610038F15Rik",NA,NA,0.0613760801808651,NA,NA
"0610038K03Rik",NA,NA,NA,0.131315072186709,NA
"0610038L08Rik",NA,NA,NA,NA,0.0326301218114742
"0610039D01Rik",NA,NA,NA,0.139933578899089,NA
"0610039J04Rik",NA,NA,NA,0.0948456171411603,NA
"0610039K10Rik",0.0600479252565078,0.0323431745862114,0.0201448947491076,NA,0.0370280504519899
"0610039N19Rik",NA,NA,NA,0.278859436812041,NA
"0610039P13Rik",NA,NA,NA,0.182453672726825,NA
"0610040A22Rik",0.115764655776318,NA,NA,NA,NA
"0610040B10Rik",0.125775464308691,0.0381517829908899,0.0482287727442171,NA,0.0460208842314053
"0610040B21Rik",NA,NA,NA,0.239342793711107,NA
"0610040D20Rik",NA,NA,NA,0.0840794244634716,NA
"0610040F04Rik",0.121701734151438,NA,NA,NA,0.0548561115936138
"0610040J01Rik",0.0989242697821869,0.043361857123634,0.0301463958538703,0.0981763030055046,0.0542741422222224
"0610040O15Rik",NA,NA,0.0142543231989495,NA,NA
"0610041B22Rik",NA,NA,NA,0.15825559675334,NA
"0610041E09Rik",NA,NA,0.0207259648457366,0.134219852730787,NA
"0610041G09Rik",NA,NA,NA,0.243150226539285,NA
"0610042C05Rik",NA,NA,0.0356766287224202,NA,NA
"0610042E07Rik",NA,NA,NA,0.135609301300306,NA
"0610042E11Rik",0.0744238977019134,NA,NA,NA,NA
"0610043K17Rik",NA,NA,NA,NA,0.0548790661412763
"0710001A04Rik",0.0737397720769231,NA,NA,NA,NA
"0710001B24Rik",NA,NA,NA,0.160917410488474,NA
"0710001C05Rik",NA,NA,0.0368441694923877,NA,NA
"0710001D07Rik",0.119210253083287,NA,0.0388249768980328,NA,NA
"0710001E13Rik",NA,NA,NA,0.0381378352258903,NA
"0710005M24Rik",NA,NA,NA,0.0721243104956007,NA
"0710007A14Rik",NA,NA,NA,0.13234989919681,NA
"0710007C18Rik",NA,NA,0.0238964780330591,NA,NA
"0710007G10Rik",0.0912664574107817,NA,0.0236369459392652,NA,NA
"0710007J16Rik",NA,NA,0.0264429873371727,NA,NA
"0710008K08Rik",NA,NA,NA,0.129147972384532,NA
"0910001A06Rik",NA,NA,0.0402471822925372,0.086870890801507,NA
"0910001K20Rik",NA,NA,NA,0.0639324209183545,NA
"0910001L09Rik",NA,NA,0.0199457331732033,0.0797458729703731,0.0515351370168522
"0910001L17Rik",NA,NA,0.0221950072375354,NA,NA
"100041294",NA,NA,0.0252057767667326,NA,NA
"100043387",NA,NA,NA,NA,0.038332551676666
"1010001B22Rik",0.0622693375028761,NA,NA,NA,0.0374481809340202
"1010001D01Rik",NA,NA,0.0351593434174374,0.0730899178934302,NA
"1010001I08Rik",0.071309426531196,NA,0.0268042164267035,NA,NA
"1010001N08Rik",NA,NA,0.0274966620591708,NA,0.0710426453911955
"10181072_290",NA,NA,0.0185258814848815,NA,NA
"1100001A21Rik",NA,NA,NA,0.149992070846697,NA
"1100001D10Rik",NA,NA,NA,0.129798110494368,NA
"1100001E04Rik",NA,NA,0.0214981521436143,0.0675334891629959,NA
"1100001F19Rik",NA,NA,0.0289861855600042,NA,NA
"1100001G20Rik",NA,NA,0.0499838752526336,0.169284971486087,0.0845784554871723
"1100001H23Rik",NA,NA,0.0360558650088203,0.0868118500227832,NA
"1100001I19Rik",NA,NA,0.0190530664622625,0.0759279429623108,NA
"1100001I22Rik",NA,NA,NA,0.138661512591238,NA
"1100001J08Rik",NA,NA,0.0259816921075031,NA,NA
"1100001L02Rik",NA,NA,0.021291166484584,NA,NA
"1110001A05Rik",NA,NA,NA,0.121226503399267,NA
"1110001A07Rik",NA,NA,0.0212887661928881,0.0728222572178865,NA
"1110001A12Rik",NA,NA,NA,0.176795614610148,NA
"1110001A23Rik",NA,NA,NA,0.120296701830523,NA
"1110001C20Rik",NA,NA,0.0309347890003054,0.126748253096601,NA
"1110001C23Rik",NA,NA,0.0295767939029186,NA,NA
