"","Gene","metaRanking","RP"
"1","Rn28s1",1,2.178
"2","mt-Rnr1",2,4.282
"3","CYTB",3,5.615
"4","Rn7sk",4,7.34
"5","mt-Rnr2",5,10.93
"6","ND1",6,14.92
"7","ND2",7,15.23
"8","Gm14296",8,16.35
"9","LOC100045585",9,19.28
"10","ATP6",10,21.26
"11","ND4",11,23.4
"12","COX1",12,26.38
"13","7530428D23Rik",13,30.11
"14","4833413D08Rik",14,31.75
"15","Nsep1",15,33.43
"16","Gm8973",16,34.7
"17","Lba1",17,38.68
"18","G0B-alpha",18,40.15
"19","Cn1a",19,42.43
"20","Lrrc67",20,43.8
"21","LOC100043544",21,45.16
"22","4930505D03Rik",22,47.17
"23","Tll",23,51.22
"24","LOC664822",24,52.5
"25","LOC635720",25,53.78
"26","F730015K02Rik",26,55.22
"27","AU042671",27,56.47
"28","A830027B17Rik",28,59.78
"29","Gprc2a-rs5",29,61.3
"30","C130069I09Rik",30,62.73
"31","LOC677215",31,63.98
"32","AI844366",32,66.66
"33","A830054O04Rik",33,72.04
"34","COX2",34,72.95
"35","Csnd",35,74.18
"36","LOC547329",36,78.93
"37","Rdh20",37,80.28
"38","Rps11-ps2",38,81.91
"39","8030475D13Rik",39,83.49
"40","EG668310",40,86.08
"41","OTTMUSG00000010173",41,88.24
"42","Gm4819",42,89.58
"43","5330432B20Rik",43,90.84
"44","Gm318",44,92.09
"45","Defcr3",45,93.41
"46","1700085A12Rik",46,95.16
"47","Gm7222",47,98.82
"48","Murr2",48,100.1
"49","mtDNA_COXIII",49,102.4
"50","LOC382933",50,103.7
"51","mKIAA1108",51,105
"52","D730040F13Rik",52,106.3
"53","BC050078",53,109.4
"54","D930046H04Rik",54,110.8
"55","B230215L15Rik",55,113.1
"56","8430426H19Rik",56,115.6
"57","2700010E02Rik",57,117.1
"58","BC042720",58,118.4
"59","Nef3",59,120.9
"60","ND4L",60,122.4
"61","Sec8",61,124.5
"62","LOC100044443",62,125.8
"63","Gm6344",63,127
"64","LOC677551",64,129.5
"65","5430404L10Rik",65,131
"66","LOC100047966",66,132.7
"67","LOC100046800",67,134
"68","Rpl19-ps11",68,135.6
"69","E130112H22Rik",69,136.9
"70","4921509A18Rik",70,139.1
"71","V1rb10",71,140.6
"72","4930550G17Rik",72,141.9
"73","Gm12034",73,144
"74","LOC100044766",74,145.4
"75","5-Htr2c",75,146.7
"76","Jarid1a",76,148.4
"77","9030411M15Rik",77,150.1
"78","1700041C02Rik",78,152.3
"79","LOC100044699",79,154.1
"80","LOC667118",80,156.1
"81","Uba52",81,156.1
"82","EG382109",82,159.2
"83","6130401L20Rik",83,162.1
"84","4731413G05Rik",84,163.6
"85","E130113E03Rik",85,164.9
"86","LOC384448",86,166.2
"87","LOC100039649",87,170.2
"88","2700082O15Rik",88,172.1
"89","1700124P09Rik",89,174.1
"90","1700112M01Rik",90,175.8
"91","LOC100039479",91,178
"92","Gm6444",92,180.7
